"pronoun"	"verb"	"context"	"filename"
"424"	"he"	"acknowledged"	" Asked to explain the situation, he blamed it mainly on the persistent trade deficit with Japan. Because Japan has had so many changes of government, he acknowledged, ``there has not been the political capacity to reach any agreements which would permit the trade deficit to narrow.'' </P> "	"nyt_eng_199407.gz"
"687"	"he"	"acknowledged"	" Still, he acknowledged, if crawls were to run in addition to typical spots, rather than substituting for them, they might soon wear out their freshly minted welcome. </P> "	"nyt_eng_199407.gz"
"898"	"she"	"acknowledged"	" For $200 a month, the parolees get a room in a former shelter for the homeless that, she acknowledged, ``needs to be fixed up and refurbished.'' The men clean up after themselves and take turns with the cooking. </P> "	"nyt_eng_199407.gz"
"1632"	"she"	"acknowledged"	" ``I went to the North. I invited people down to Dublin. I don't think this caused friction,'' she said, denying reports and statements by officials in London that it did. But, she acknowledged, ``I probably overreached because of my interest.'' </P> "	"nyt_eng_199407.gz"
"3119"	"he"	"acknowledged"	" Among the issues left unresolved, he acknowledged, were employer payments for workers' insurance; long-term care; and public health programs and medical education, for which the Mitchell proposal allocated $82 billion over ten years. </P> "	"nyt_eng_199408.gz"
"3609"	"he"	"acknowledged"	" Yet, he acknowledged, Broadway aside, New York is still the place where plays go for the imprimatur of quality (or at least commercial viability) necessary for a life beyond its original production. Indeed, in recent interviews that focused on the relationship between theater in New York and elsewhere in the country, executives at several institutional theaters here and on the West Coast said that in spite of the rise of the regionals in recent years, New York still exerts its primacy over what appears on stages nationwide. </P> "	"nyt_eng_199408.gz"
"4277"	"he"	"acknowledged"	" Keith Simon, chief financial officer for the team, said that the 49ers usually request police escorts when they travel and that getting the parade permits were just part of that routine. However, he acknowledged, he didn't realize the hotel was right across the street from the stadium when he applied for the permits. </P> "	"nyt_eng_199409.gz"
"4343"	"he"	"acknowledged"	" Miller, of the ``Messiest Office'' contest, has also found it hard to keep religion. He left his law practice this summer and is now working toward opening a restaurant, but his desk, he acknowledged, again looks like it has been bombed. </P> "	"nyt_eng_199409.gz"
"6355"	"he"	"acknowledged"	" On July 1, Stitt became the executive director of Circle Rep; it is the first time the company has ever had an official whose responsibility is long-range planning. He has a mandate to increase the subscriber base (it is currently about 5,000, down from a peak of 6,100) and the number of its contributors (now about 400, although many of those, he acknowledged, are of the $25 variety). </P> "	"nyt_eng_199410.gz"
"6367"	"he"	"acknowledged"	" His work was unsupervised and was not a formal scientific study, he acknowledged, but he said his results were roughly comparable to those found with RU-486, which is widely used in Europe but still not approved in the United States. He said he was willing to make his results public. </P> "	"nyt_eng_199410.gz"
