"pronoun"	"verb"	"context"	"filename"
"3571"	"she"	"acknowledges"	" But, she acknowledges, the neglect couldn't have occurred without the help of critics and historians who were justifiably eager to celebrate the laudable achievements of the company that was founded during the civil-rights movement. </P> "	"nyt_eng_199408.gz"
"4536"	"she"	"acknowledges"	" The creative process is what she relishes in her work. She is not fond of press interviews, appearing on television shows, frequent trips and the loss of her privacy as a celebrity. She is shy, she acknowledges, and has a phobia about the television camera. ``They tell me to ignore the cameras but I can't ignore them when I have a picture of myself in my face.'' </P> "	"nyt_eng_199409.gz"
"5574"	"he"	"acknowledges"	" Downey denies that he suffered anything approaching severe depression, saying he was working so hard that if he wasn't on the scene, he was probably somewhere sleeping. Still, he acknowledges, ``I would question the grip on reality of anyone in my position who (italics)wasn't(end italics) depressed at certain points last season.'' </P> "	"nyt_eng_199409.gz"
"10437"	"she"	"acknowledges"	" It is a hard living, she acknowledges, but it is better than what she left behind. ``I missed it at first,'' Ramirez says of her rural home in the mountains northeast of Mexico City. </P> "	"nyt_eng_199412.gz"
"11067"	"he"	"acknowledges"	" Gordon has not yet built a prototype of his invention. But in one respect, he acknowledges, the invention would not be as sophisticated as the Jetsons' meal maker or, for that matter, the ``food replicator'' featured in episodes of ``Star Trek: The Next Generation'': an ordinary human would have to measure and add the ingredients before the machine could process them, he said. Nor does the patent cover a conveyor belt or a robot maid. </P> "	"nyt_eng_199412.gz"
"12021"	"he"	"acknowledges"	" But to get there, he acknowledges, almost everyone would have to: </P> "	"nyt_eng_199501.gz"
"15663"	"he"	"acknowledges"	" Ramcheran has done well in New York City -- better, he acknowledges, than he might have done in Trinidad. His five children were born and raised there. He has a home in Queens County. And he has worked for the New York City Transit Authority for 12 years. </P> "	"nyt_eng_199502.gz"
"15783"	"he"	"acknowledges"	" In his bully-pulpit column (and now his book), Negroponte hammers away at what he sees as the doltish lack of imagination holding back the digital revolution. His book has, he acknowledges, ``a continual tone of, `Why can't you understand it, dummy? It's so simple and it's staring you in the face and you keep going in the wrong direction.''' </P> "	"nyt_eng_199503.gz"
"16231"	"he"	"acknowledges"	" Wine makers and their distributors are eager to have their wines included in the Cite promotion, and they are prepared to make whatever price concessions they can to participate. Stillman says that guests who take part in the promotion drink almost a full bottle of wine each and that he only breaks even. But, he acknowledges, the busy, after-8 dining room -- and the publicity -- more than compensate. </P> "	"nyt_eng_199503.gz"
"17542"	"he"	"acknowledges"	" Overall, he acknowledges, the agency booked $6 million in new business in 1994. Yet that figure has zero to do with royalty income from past contracts, monies from bonus clauses, purchase prices for film properties or many other factors. </P> "	"nyt_eng_199503.gz"
"18783"	"he"	"acknowledges"	" ``So, it wasn't such a great year,'' says Philip Knight, chief executive of Nike. ``We all know the negatives.'' The company has had its troubles, he acknowledges, and they ``get plenty of ink because they make the most entertaining story.'' </P> "	"nyt_eng_199504.gz"
"19087"	"he"	"acknowledges"	" ``So, it wasn't such a great year,'' says Philip Knight, chief executive of Nike. ``We all know the negatives.'' The company has had its troubles, he acknowledges, and they ``get plenty of ink because they make the most entertaining story.'' </P> "	"nyt_eng_199504.gz"
"19848"	"he"	"acknowledges"	" The law student is 26-year-old Brenden P. Leydon, who is in his third year at Rutgers Law School. He says he became interested in public access while working on a New Jersey case for Rutgers' Constitutional Law Clinic. His lawsuit, he acknowledges, is an independent study project. </P> "	"nyt_eng_199504.gz"
"21940"	"he"	"acknowledges"	" Meanwhile, these last few weeks make him a little sad, he acknowledges, as he thinks of parting with employees, some of whom have been with him since he opened. He's proud of those he's helped train _ like Paul O'Connell, owner of Providence restaurant, Anthony Ambrose of Ambrosia on Huntington, and Stan Frankenthaler of Salamander _ and of colleagues with whom he's had special relationships. The ``chaos built into restaurants'' is part of a business built on large egos and personalities, something White has been known for. He's always been supportive of others in Boston, although he finds it disappointing that so many young chefs are embracing the Mediterranean juggernaut rather than exploring their native cuisine. </P> "	"nyt_eng_199505.gz"
"22769"	"he"	"acknowledges"	" If physical conditions were at first chaotic, so was the teaching. Delgado erred, he acknowledges, by hiring mostly youthful but inexperienced instructors. One of the few veterans, Tim Kaltenecker, who left to become an instructor at a private school, said Delgado made matters worse by attempting to patch together math, science, English and social studies into one interdisciplinary curriculum. </P> "	"nyt_eng_199505.gz"
"23836"	"she"	"acknowledges"	" This was no kidnapping, she acknowledges, merely the illusion _ the painful delusion _ of a crime that a voice in her head convinced her she must stop. She realized her error soon enough. </P> "	"nyt_eng_199506.gz"
"24515"	"he"	"acknowledges"	" Horace Grant, the man with three NBA championship rings, understands. This seemingly simplest of tasks, he acknowledges, has become the not-so-silent fear of a team that has shown little timidness in making this too-much, too-soon title run. </P> "	"nyt_eng_199506.gz"
