"pronoun"	"verb"	"context"	"filename"
"2632"	"she"	"admits"	" Rhianna Ayers, 17, plays in the girls' soccer team in her school, where, she admits, sex and boys still dominate locker-room chat. But she feels no discomfort as a devotee of chastity. ``The majority of my school do have sex, but in my group of friends it's the cool thing to do the opposite.'' </P> "	"nyt_eng_199408.gz"
"2633"	"she"	"admits"	" Rhianna Ayers, 17, plays in the girls' soccer team in her school, where, she admits, sex and boys still dominate locker-room chat. But she feels no discomfort as a devotee of chastity. ``The majority of my school do have sex, but in my group of friends it's the cool thing to do the opposite.'' </P> "	"nyt_eng_199408.gz"
"2635"	"she"	"admits"	" Rhianna Ayers, 17, plays in the girls' soccer team in her school, where, she admits, sex and boys still dominate locker-room chat. But she feels no discomfort as a devotee of chastity. ``The majority of my school do have sex, but in my group of friends it's the cool thing to do the opposite.'' </P> "	"nyt_eng_199408.gz"
"2636"	"she"	"admits"	" Rhianna Ayers, 17, plays in the girls' soccer team in her school, where, she admits, sex and boys still dominate locker-room chat. But she feels no discomfort as a devotee of chastity. ``The majority of my school do have sex, but in my group of friends it's the cool thing to do the opposite.'' </P> "	"nyt_eng_199408.gz"
"2784"	"she"	"admits"	" Rhianna Ayers, 17, plays in the girls' soccer team in her school, where, she admits, sex and boys still dominate locker-room chat. But she feels no discomfort as a devotee of chastity. ``The majority of my school do have sex, but in my group of friends it's the cool thing to do the opposite.'' </P> "	"nyt_eng_199408.gz"
"2785"	"she"	"admits"	" Rhianna Ayers, 17, plays in the girls' soccer team in her school, where, she admits, sex and boys still dominate locker-room chat. But she feels no discomfort as a devotee of chastity. ``The majority of my school do have sex, but in my group of friends it's the cool thing to do the opposite.'' </P> "	"nyt_eng_199408.gz"
"2846"	"he"	"admits"	" That was four years ago and now Hobbs' thinking has changed. The coaches at Pacific were right, he admits, the switch was the best thing that happened to his career. </P> "	"nyt_eng_199408.gz"
"3578"	"he"	"admits"	" And though he bridles at suggestions that these events are political, they clearly provide incumbency's platform to dole out money, get on local television and tout a 12-year record that, he admits, can be ``a burden as well as an advantage.'' </P> "	"nyt_eng_199408.gz"
"4152"	"she"	"admits"	" Despite her responsiveness to her environments, to different kinds of music and to her dancers, the main source of her creativity, she admits, is finally herself. ``It's me with my feelings -- it's always that.'' For her, the attempt to understand often involves looking inward, to the sensations and minute internal movements of the body. </P> "	"nyt_eng_199409.gz"
"4340"	"she"	"admits"	" Still, she admits, even the agency has limits. ``If people are going to be so dumb as to be on inline skates, hold onto a car, and do wheelies and get killed, our hearts go out to them, but you've got to know not to hold onto a car going 70 miles an hour.'' </P> "	"nyt_eng_199409.gz"
