"pronoun"	"verb"	"context"	"filename"
"618"	"he"	"admitted"	" In the past, he admitted, he sometimes didn't always play hard, or aggressively. The season without football made him vow not to let that happen again. </P> "	"nyt_eng_199407.gz"
"871"	"he"	"admitted"	" When he arrived, he was shuttled to a news conference, where about 40 reporters grilled him about everything, from what he knew about soccer to how he would handle drunken Brazilians. He knew little about soccer, he admitted, and as for drunken people, he would tell the police to unite them with friends who were sober. </P> "	"nyt_eng_199407.gz"
"872"	"he"	"admitted"	" When he arrived, he was shuttled to a news conference, where about 40 reporters grilled him about everything, from what he knew about soccer to how he would handle drunken Brazilians. He knew little about soccer, he admitted, and as for drunken people, he would tell the police to unite them with friends who were sober. </P> "	"nyt_eng_199407.gz"
"915"	"he"	"admitted"	" When he arrived, he was shuttled to a news conference, where about 40 reporters grilled him about everything, from what he knew about soccer to how he would handle drunken Brazilians. He knew little about soccer, he admitted, and as for drunken people, he would tell the police to unite them with friends who were sober. </P> "	"nyt_eng_199407.gz"
"916"	"he"	"admitted"	" When he arrived, he was shuttled to a news conference, where about 40 reporters grilled him about everything, from what he knew about soccer to how he would handle drunken Brazilians. He knew little about soccer, he admitted, and as for drunken people, he would tell the police to unite them with friends who were sober. </P> "	"nyt_eng_199407.gz"
"2276"	"she"	"admitted"	" For a long time, she admitted, Kitayev and Lydia lived with her. ``We took walks, but always the three of us, me with my son and Lydia,'' she said. </P> "	"nyt_eng_199408.gz"
"3089"	"she"	"admitted"	" But even that job can get a little crazy, she admitted, because the executives and engineers keep seeking newer and more exotic blends. Ms. Olson recently bought Yemen beans and Ethiopian Longberry beans, both $12 a pound. But she said she had drawn the line, ``so far, at least,'' on Jamaican Blue Mountain, which is $34 a pound. </P> "	"nyt_eng_199408.gz"
"3943"	"she"	"admitted"	" Not all public schools, she admitted, ``are this good,'' adding that she and other parents put money and effort into the school. </P> "	"nyt_eng_199409.gz"
"4123"	"she"	"admitted"	" Not all public schools, she admitted, ``are this good,'' adding that she and other parents put money and effort into the school. </P> "	"nyt_eng_199409.gz"
"4898"	"she"	"admitted"	" And yes, she admitted, ``I go home at night and show them all the new programs. I ask them: `What do you think of this?' '' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940918.0116 type=story > <HEADLINE> A BOOM IN LATIN BUSINESS READING </HEADLINE> <DATELINE> RIO DE JANEIRO, Brazil  (BC-LATIN-ECON-MEDIA-416&AMP;ADD-NYT) </DATELINE> <TEXT> "	"nyt_eng_199409.gz"
"6610"	"she"	"admitted"	" But Martin left Universal when creative difficulties arose, and ``Like It'' landed at Columbia. Where, she admitted, things went pretty well during production. </P> "	"nyt_eng_199410.gz"
"7740"	"he"	"admitted"	" ``I had long hair, a beard, hiking boots and jeans,'' he said. That, he admitted, was virtually the collegiate uniform of the 1960s, ``but not for an engineering student.'' </P> "	"nyt_eng_199410.gz"
"8259"	"he"	"admitted"	" Today, on his farm in Wisconsin, Toon says he still experiences the woozy effects of those blows. And two years ago, quarterback Timm Rosenbach, after several injuries including a concussion, retired from the game because, he admitted, he had become frightened of further harm. </P> "	"nyt_eng_199411.gz"
"8733"	"he"	"admitted"	" Though, he admitted, it ``will be a tough year because of the circumstances.'' </P> "	"nyt_eng_199411.gz"
