"pronoun"	"verb"	"context"	"filename"
"36735"	"he"	"admonished"	" And that's not all: on that same funky flight, Mr. Clinton revivified a term I have never dealt with in this space. To reporters exhausted by early-morning jogging, he admonished, ``Don't fall asleep _ not fall asleep, but just don't get blah.'' </P> "	"nyt_eng_199510.gz"
"37488"	"he"	"admonished"	" And that's not all: on that same funky flight, Mr. Clinton revivified a term I have never dealt with in this space. To reporters exhausted by early-morning jogging, he admonished, ``Don't fall asleep _ not fall asleep, but just don't get blah.'' </P> "	"nyt_eng_199510.gz"
"37494"	"he"	"admonished"	" And that's not all: on that same funky flight, Mr. Clinton revivified a term I have never dealt with in this space. To reporters exhausted by early-morning jogging, he admonished, ``Don't fall asleep _ not fall asleep, but just don't get blah.'' </P> "	"nyt_eng_199510.gz"
"85309"	"he"	"admonished"	" Old liberals, he admonished, were stuck in the past. They obsessed on Vietnam and federal programs to feed the hungry, while younger Americans saw food stamps getting abused and the Soviet Union invading its neighbors. </P> "	"nyt_eng_199701.gz"
"85457"	"he"	"admonished"	" Old liberals, he admonished, were stuck in the past. They obsessed on Vietnam and federal programs to feed the hungry, while younger Americans saw food stamps getting abused and the Soviet Union invading its neighbors. </P> "	"nyt_eng_199701.gz"
"85552"	"he"	"admonished"	" Old liberals, he admonished, were stuck in the past. They obsessed on Vietnam and federal programs to feed the hungry, while younger Americans saw food stamps getting abused and the Soviet Union invading its neighbors. </P> "	"nyt_eng_199701.gz"
"125023"	"he"	"admonished"	" And, he admonished, ``Let's make sure that every individual citizen who sees something suspicious reports it either to the Joint Terrorism Task Force or the local law enforcement.'' </P> "	"nyt_eng_200209.gz"
"125042"	"he"	"admonished"	" And, he admonished, ``Let's make sure that every individual citizen who sees something suspicious reports it either to the Joint Terrorism Task Force or the local law enforcement.'' </P> "	"nyt_eng_200209.gz"
"130939"	"he"	"admonished"	" Still, he admonished, ``We need to be patient and give the inspectors time and space to do their work. We should not be seen as rushing the process and impatiently moving on to the next phase.'' </P> "	"nyt_eng_200211.gz"
"130963"	"he"	"admonished"	" Still, he admonished, ``We need to be patient and give the inspectors time and space to do their work. We should not be seen as rushing the process and impatiently moving on to the next phase.'' </P> "	"nyt_eng_200211.gz"
