"pronoun"	"verb"	"context"	"filename"
"937"	"she"	"advised"	" Given the aliases common in cyberspace, investors should always demand note senders' real names and check that they -- and their securities -- are registered. If the Texas retiree had done so, Ms. Crawford said, ``he would have learned his fund was fictitious.'' Also, ``print out the screens with investment conversations'' as a record, she advised, and never post your name and address or ``you'll end up on sucker lists.'' </P> "	"nyt_eng_199407.gz"
"1059"	"he"	"advised"	" Joplin himself was a somber, ambitious man who studied music seriously and lectured his public regularly on what he called ``the real ragtime of the higher class.'' Each note should be played as written, he advised, ``as it takes this and the proper time divisions to complete the sense intended.'' </P> "	"nyt_eng_199407.gz"
"5477"	"he"	"advised"	" We hear that Homer the Brave was heckled by strike- angered baseball fans at the Duluth, Ga., fall arts festival parade Saturday. No such treatment, though, for Duluth native and former Heisman Trophy winner George Rogers. . . . Edd Hartness of Kennesaw, a minor-league baseball player for 20 years and later a manager and general manager in the minors, calls with some ideas about settling the strike: Let the owners have the salary cap, he advised, but allow players to earn in excess of the cap through a wide range of bonuses tied to performance. </P> "	"nyt_eng_199409.gz"
"11100"	"he"	"advised"	" The key to food safety, Gravani said, is safe food preparation. Beforehand and afterward, he advised, clean the kitchen counter, hands and utensils with hot water and soap, and possibly sanitize the counter and utensils with a bleach solution. </P> "	"nyt_eng_199412.gz"
"11928"	"he"	"advised"	" ``Bad FATs. Bad news,'' he informed me. The measures I took had worked but they were, he advised, ``duct-tape solutions.'' He told me to go scavenging for a new drive. They are techno-junk. People don't know what to do with them. </P> "	"nyt_eng_199501.gz"
"17656"	"he"	"advised"	" Besides trying to show home cooks how to use the global seasonings and spices available in local markets, Carpenter said he hopes the book's recipes will encourage cooks to experiment. The best way to get started, he advised, is to take a familiar dish and add a technique, a piece of cooking equipment or a seasoning from another country. Avoid adding several different new items to a dish initially, he advised, as you may end up with disappointing results. </P> "	"nyt_eng_199503.gz"
"17845"	"he"	"advised"	" Besides trying to show home cooks how to use the global seasonings and spices available in local markets, Carpenter said he hopes the book's recipes will encourage cooks to experiment. The best way to get started, he advised, is to take a familiar dish and add a technique, a piece of cooking equipment or a seasoning from another country. Avoid adding several different new items to a dish initially, he advised, as you may end up with disappointing results. </P> "	"nyt_eng_199503.gz"
"28086"	"she"	"advised"	" Ms. Hoeppner said he should first repay his sister and then establish a cash cushion of $7,000 to $10,000. Put $5,000 in a bank money market account or money market mutual fund, she advised, and the rest in short-term mutual funds like the Vanguard Short Term Bond fund. </P> "	"nyt_eng_199507.gz"
"29480"	"he"	"advised"	" For these myopic strategists, ``asset allocation becomes a fallout of what investments they have made,'' said Steve Norwitz of T. Rowe Price. Instead, he advised, start with an asset allocation plan and then find investments to suit it. </P> "	"nyt_eng_199507.gz"
"29790"	"he"	"advised"	" More traditional in the method of his First Amendment right to be heard was a letter writer who mailed in his urging to a New York congressman on the panel whom he accused of ``spouting off your ultra-bigoted, anti-white-Christian mouth.'' Imagine, he advised, that the ``Hasidic cult in New York is accused of beating or disciplining children'' and so finds a small army of federal agents descending on it, with the subsequent loss of 80 lives. </P> "	"nyt_eng_199508.gz"
"37840"	"they"	"advised"	" He pleaded guilty to a misdemeanor on the gun charge in exchange for no jail time or criminal record. He wanted to sue for the watch, but lawyers told him that immunity laws protected the city. Anyway, they advised, a trial would cost more than the watch. </P> "	"nyt_eng_199510.gz"
"40432"	"he"	"advised"	" On the blackboard, Irving drew a three-stripe soundtrack (the area along one side of movie film that carries the sound) and wrote the names of the tracks: music, dialogue and effects. Then he began a discussion of voice-over, on-screen dialogue and off-screen sound. Use voice-over sparingly, he advised, perhaps as counterpoint, and never explain what the audience is seeing. A scene from Scorsese's 1990 film, ``Goodfellas,'' was shown as an example. </P> "	"nyt_eng_199511.gz"
"40437"	"they"	"advised"	" I buttonholed a man walking past with a bag of groceries and asked him to point out the nearest cable car stop. He mumbled something in Chinese and shrugged. A man and woman dressed like movie cowboys pointed to another sign halfway down the block. Stand there, they advised, and when the cable car approaches, dash into the street and jump on, even if there's apparently no room. </P> "	"nyt_eng_199511.gz"
"40842"	"he"	"advised"	" At his death, he will have a small audience. When dying, he advised, ``do not be alone.'' And Leary hardly ever is, to judge from the number of people circulating around him, helping him with his archives, enlisting his help in multimedia ventures or, apparently, just passing the time at his house. ``Dying,'' he said, ``is a team sport.'' </P> "	"nyt_eng_199511.gz"
"40998"	"he"	"advised"	" At his death, he will have a small audience. When dying, he advised, ``do not be alone.'' And Leary hardly ever is, to judge from the number of people circulating around him, helping him with his archives, enlisting his help in multimedia ventures or, apparently, just passing the time at his house. ``Dying,'' he said, ``is a team sport.'' </P> "	"nyt_eng_199511.gz"
"69640"	"he"	"advised"	" After outlining his sister's bad points and good, he advised, ``Exercise would give you a healthier skin. You should never rub cold cream into your face because you have a slight tendency to grow hairs on it. I'd find out about this from some Dr. who'd tell you what you could use.'' </P> "	"nyt_eng_199608.gz"
"70462"	"he"	"advised"	" But for thin groups, he advised, the religious factor has to be teased out from polls, interviews, profiles of officials who may or may not have loyal followers and from surveys of religious publications, no one of which can be assumed to be representative. </P> "	"nyt_eng_199609.gz"
"71103"	"he"	"advised"	" Over cocktails, Salk drew Lewis aside and admonished her to seek out her kind of people. Don't talk to everyone, he advised, because some will get what you're about, others won't. </P> "	"nyt_eng_199609.gz"
"79575"	"he"	"advised"	" Plant clumps of them, he advised, half a dozen for one tree. </P> "	"nyt_eng_199611.gz"
"80320"	"he"	"advised"	" LeDonne also believes in pedigree. ``Credentials are meaningful,'' he said. ``Educate yourself on the track record of the lyricist, composer, writer, director and to some extent the producers.'' Above all, he advised, trust your instincts: ``Do the songs strike you as moving? Did the script or run-through make you laugh or cry?'' </P> "	"nyt_eng_199612.gz"
"86179"	"he"	"advised"	" ``The market is punishing companies that don't make earnings big time right now,'' said Jerry Dombcik, director of research at McDonald &AMP; Co. in Cleveland. ``There are increasing worries about earnings and valuations. Most of the strategists on the street seem to be getting worried.'' Still, he advised, ``You could get a nice correction, but low interest rates and low inflation is generally not the starting point of a bear market.'' </P> "	"nyt_eng_199702.gz"
"86571"	"he"	"advised"	" A political conservative, he advised, taught and wrote many books about nuclear strategy and defense, and international conflict in general. He was among the foreign-policy planners on Richard M. Nixon's transition team in 1968. </P> "	"nyt_eng_199702.gz"
"96519"	"she"	"advised"	" ``Avoid large irrevocable decisions like changing jobs or moving'' in the first year after the event, Goodman said. But, she advised, do get in touch with corporate benefit offices, insurers and Social Security to determine what benefits will be available and the procedures for making claims. ``Take notes, with the date, time and name of the person you're talking with, and expect it to take time,'' she said. </P> "	"nyt_eng_200109.gz"
"97782"	"he"	"advised"	" According to those customs, after a body had been buried for a certain amount of time in a limestone sarcophagus, there was a second, final burial on ``the day of the collection of the bones.'' On that day, Jewish law dictated, there would be an additional day of mourning. Jewish families, he advised, should take that day of mourning and bury the body _ defined under Jewish law as the skull and spine. </P> "	"nyt_eng_200110.gz"
"100400"	"she"	"advised"	" Angela Bies, a professor at Texas A&AMP;M's George Bush School of Government and Public Service, said it is vital for donors to remember that charities need the flexibility provided by unrestricted donations. If you want to ensure that your gift goes just where you intend it to, she advised, communicate that in writing. </P> "	"nyt_eng_200111.gz"
"100404"	"she"	"advised"	" Angela Bies, a professor at Texas A&AMP;M's George Bush School of Government and Public Service, said it is vital for donors to remember that charities need the flexibility provided by unrestricted donations. If you want to ensure that your gift goes just where you intend it to, she advised, communicate that in writing. </P> "	"nyt_eng_200111.gz"
"100645"	"she"	"advised"	" Angela Bies, a professor at Texas A&AMP;M's George Bush School of Government and Public Service, said it is vital for donors to remember that charities need the flexibility provided by unrestricted donations. If you want to ensure that your gift goes just where you intend it to, she advised, communicate that in writing. </P> "	"nyt_eng_200111.gz"
"106018"	"he"	"advised"	" Next time, he advised, remove the shoes (beginitalic)before(enditalic) entering the magnetometer. ``You'll save yourself some time.'' </P> "	"nyt_eng_200202.gz"
