"pronoun"	"verb"	"context"	"filename"
"6644"	"she"	"advises"	" Speakerphone power games are ``just pathetic,'' Ms. Baldrige said in a nonspeakerphone interview. ``It's so sad that people are so insecure they have to pull stunts like that.'' When it's absolutely necessary to use a speakerphone, she advises, explain why, ask the other parties to the conversation whether they mind being on the speakerphone and tell them who else is in the room. </P> "	"nyt_eng_199410.gz"
"8424"	"he"	"advises"	" As Ward's Vinnie lies on a rumpled bed in a hungover depression, Shepard tells him to imagine a buzzard circling overhead. To Harris, whose character undergoes the play's most devastating transformation (into what the actor describes as ``a quivering ectoplasm''), he advises, ``I think what we're shooting for are the signs of the earthquake.'' </P> "	"nyt_eng_199411.gz"
"12808"	"he"	"advises"	" When such events have occurred in the past, he advises, they often have signaled a cyclical topping out of interest rates. </P> "	"nyt_eng_199501.gz"
"35678"	"she"	"advises"	" In it, she advises, ``A girl's best defense is her helplessness; it appeals to a man (while he is still sober) more than shrewishness.'' </P> "	"nyt_eng_199510.gz"
"35692"	"she"	"advises"	" (Father Greeley's e-mail address is Agreel(at)aol.com) </P> </TEXT> </DOC> <DOC id=NYT_ENG_19951005.0381 type=advis > <DATELINE>  (BC-TEXBUDGET-TEX) </DATELINE> <TEXT> The Fort Worth Star-Telegram plans to move the following stories for clients of the NYTimes News Service for AMs and PMs of Friday, Oct. 6, and thereafter. If you have any questions, please call Brian Wilson, Paul Wagner, Lou Hudson or Jim Peipert on the Star-Telegram's National/Foreign Desk at (817) 390-7785.  FEMALE-STUDENT-GUIDE  UNDATED _ College women have come a long way since Elizabeth Eldridge penned her 1936 guidebook for young ladies on campus, ``CO-EDiquette: Poise and Popularity for Every Girl.'' In it, she advises, ``A girl's best defense is her helplessness; it appeals to a man (while he is still sober) more than shrewishness.'' Clearly, it's time for a new guide, and two recent Barnard graduates have obliged with 614 pages of practical advice titled ``The College Woman's Handbook.'' By LINDA SWIFT. Story has moved in ``l'' lifestyle category.  FASHION-MESSAGES  UNDATED _ Skip the shrink. It's the closet that needs analyzing. Clothing can be more powerful than a handshake and more revealing than a diary. Like it or not, the way people cover their bodies sends out vital messages about themselves, positive or negative, writer Toby Fischer-Mirkin says. ``Fashion is powerful,'' she says. ``By understanding the clothes that work well for you in business and personal relationships, you can enhance both your private and professional life.'' By KELLY DeGARMO. Story has moved in ``l'' lifestyle category.  BOOK-LEAKEY FAMILY  UNDATED _ Hard upon European dominion over Africa came the missionaries. Thus it was that Canon and Mrs. Harry Leakey left turn-of-the-century England to establish a mission in British East Africa. Here in 1903 was born Louis S.B. Leakey, principal figure of this lengthy, marvelously entertaining and informative study: ``Ancestral Passions: The Leakey Family and the Quest for Humankind's Beginnings.'' By ARTHUR K. BERLINER. Story will move in ``e'' entertainment category.  BOOK-ALBERT SPEER  UNDATED _ In a season of few ``important'' books, here is one. Perhaps only now, historically distanced, can we begin to fathom the Third Reich in all its horrific particulars. Gitta Sereny's post-mortem testimony should be read alongside Albert Speer's own books. If only for those, we should be everlastingly grateful that he wasn't hanged. By LARRY SWINDELL. Story will move in ``e'' entertainment category.  BIZ-BOOKS  UNDATED _ Some say the best way to learn is through our mistakes. If that's true, then American business managers can learn a lot from a new book by renowned management consultant Alan Weiss ... if they can stomach it. All Weiss does is point out their mistakes over the past 10 or so years, with no holds barred, and then offer quite a different take on how to fix them. His book is ``Our Emperors Have No Clothes: Incredibly stupid things corporate executives have done while reengineering, restructuring, downsizing, TQM'ing, team-building, and empowering ... in order to cover their ifs, ands or `buts.''' By TERESA McUSIC. Story has moved in ``f'' financial category.  WANDERINGS-COLUMN  UNDATED _ Notes from the travel world, including items on South Padre Island, Disney World, Ireland, Eseeola Lodge, N.C., various halls of fame, St. Thomas and Natchitoches, La. Story has moved in ``t'' travel category. </TEXT> </DOC> <DOC id=NYT_ENG_19951005.0382 type=story > <HEADLINE> POVERTY DOWN, WHILE INCOME AND HEALTH INSURANCE STAGNATE, SAYS </HEADLINE> <DATELINE> WASHINGTON (BC-CENSUS-400&AMP;add-COX) </DATELINE> <TEXT> "	"nyt_eng_199510.gz"
"44496"	"she"	"advises"	" For her, the forbidden ``F'' word is ``feel,'' and an addiction to ``I'' signals indecision. Skip the ``touchy-feely'' syntax, she advises, and head for the real subject. People who say, ``I (think)(guess)(feel) we need more time,'' are perceived as uncertain; people who say, ``We need more time,'' or even, ``More time is needed,'' are not. </P> "	"nyt_eng_199601.gz"
"44497"	"she"	"advises"	" Get together with a friend, she advises, and agree to holler every time these mannerisms creep into the conversation. </P> "	"nyt_eng_199601.gz"
"59775"	"he"	"advises"	" Clearly delineate responsibilities, he advises, and encourage a team approach to everyday projects. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960521.0367 type=story > <HEADLINE> ITT GETS INDIANA GAMING LICENSE FOR OHIO RIVER CASINO (UPDATE1) </HEADLINE> <DATELINE> New York, May 21 (Bloomberg) (BC-ITT-CAESARS-RIVERBOAT-UPDATE1-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199605.gz"
"59871"	"he"	"advises"	" Clearly delineate responsibilities, he advises, and encourage a team approach to everyday projects. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960522.0104 type=story > <HEADLINE> OECD AGREES ON TRADE STATEMENT; U.S. POLICY AT ISSUE (UPDATE2) </HEADLINE> <DATELINE> Paris, May 22 (Bloomberg) (BC-OECD-MEETING-UPDATE2-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199605.gz"
"78096"	"it"	"advises"	" In the most extreme weather, it advises, there would be even less service, and ``the smartest travel plan is to stay home.'' Riders are advised to listen to radio and television for reports on which level of service to expect. </P> "	"nyt_eng_199611.gz"
