"pronoun"	"verb"	"context"	"filename"
"3290"	"we"	"agree"	" She suspects that the leather bag, sitting in full view of the back alley, tempted some unscrupulous passerby. What a creepy thing to happen, we agree, while she was feeling safe at home. </P> "	"nyt_eng_199408.gz"
"5874"	"I"	"agree"	" Yes, I agree, the volume level of all this shouting does get a little uncomfortable after a while, but I'm sure you'll find our next exhibition more soothing and restful. It's the Statue of the Unknown Taxpayer. Yes, that is an inspiring inscription, isn't it? </P> "	"nyt_eng_199410.gz"
"14477"	"they"	"agree"	" An even bigger problem, they agree, is the fundamental evolution in retailing patterns in the $18 billion United States toy industry -- where many toy orders are placed well before the toy fair offers itself as a showcase. </P> "	"nyt_eng_199502.gz"
"15529"	"they"	"agree"	" Imbedded in the cracked sidewalks leading to the high school are blue and white signs reading ``Drug Free School Zone.'' Lawrence was among the students who turned that into a lie: none of his friends or family would say exactly when it started, but at some point, they agree, Lawrence decided to enter the neighborhood's thriving trade in marijuana and crack. </P> "	"nyt_eng_199502.gz"
"19611"	"I"	"agree"	" As we drive through the blanketed valley, Nicky is thrilled about the snow, but then he didn't grow up with it. To me, snow meant shoveling it all winter. B.J. notes that in snowy Christmas movies, the people are always rich. You have to be rich to buy Christmas, I agree, thinking ahead a month. </P> "	"nyt_eng_199504.gz"
"20513"	"they"	"agree"	" At least Poulin and Ross see an upside to Berlin's war of the presses. Competition, they agree, has made the 112-year-old Reporter -- hastily converted by James from a weekly to a daily in the face of the Sun's challenge -- more aggressive. Aggressiveness plus increased frequency have in turn made local officials more accountable, and townspeople better informed. </P> "	"nyt_eng_199504.gz"
"21360"	"I"	"agree"	" ``We've got a lot of work to do out there, I agree,'' Babbitt said. ``But the Western states are increasingly urbanized, not highly ideological in their politics. They are conservative and, I think, winnable.'' </P> "	"nyt_eng_199505.gz"
"24222"	"they"	"agree"	" The key, they agree, is unconditional love. ``A strong sense of security is very difficult to achieve in life,'' the president says, ``unless you know when you're little that you're the most important person in the world to someone'' _ and ideally, that ``someone'' is your parents. </P> "	"nyt_eng_199506.gz"
"25037"	"they"	"agree"	" The key, they agree, is unconditional love. ``A strong sense of security is very difficult to achieve in life,'' the president says, ``unless you know when you're little that you're the most important person in the world to someone'' _ and ideally, that ``someone'' is your parents. </P> "	"nyt_eng_199506.gz"
"25257"	"I"	"agree"	" ``Yes, I agree,'' he said with a smile when asked his assessment of his play over the last month and a half. </P> "	"nyt_eng_199506.gz"
"27604"	"they"	"agree"	" The best practitioners of this new profession, they agree, have an avid interest in the subject area, deep reservoirs of patience, and the on-line finesse to move a discussion along without dominating it. </P> "	"nyt_eng_199507.gz"
"27872"	"they"	"agree"	" The best practitioners of this new profession, they agree, have an avid interest in the subject area, deep reservoirs of patience, and the on-line finesse to move a discussion along without dominating it. </P> "	"nyt_eng_199507.gz"
"30298"	"they"	"agree"	" Though the product is not yet on the shelves, most reviewers have given Windows 95 high marks for being a big improvement for most computer users, making PCs less frustrating to use and able to do more. Windows 95 is so good, they agree, that it is almost like Apple's decade-old Macintosh system. </P> "	"nyt_eng_199508.gz"
"35591"	"I"	"agree"	" ``It was cruel, I agree,'' said Keitel, who came up with the ruse. ``But in all my career as an actor, I've never seen anyone irreparably hurt on the set.'' </P> "	"nyt_eng_199510.gz"
"38670"	"I"	"agree"	" It's harder to make an argument against the Vanguard Quantitative portfolio. This fund seeks to maintain a portfolio that's similar in nature to the S&AMP;P 500, but to exceed the index's return. Over the last five years it has done so, having bested the average by 0.19 percent per year, according to the latest report from Morningstar Mutual funds. In contrast, the Vanguard Index 500 fund has trailed its target by an average 0.18 percent during the same period. But it hasn't always been a smooth road _ the big edge for Quantitative came in 1993, when it beat the index by 3.73 percent; the worst was the next year, when it trailed by 1.93 percent. In the last 10 years, the weakest relative performance of Index 500 was in 1986, when it trailed the index by 0.62 percent. Because of its simpler mission (and dramatically larger asset base) Index 500's expense ratio is usually about 0.20 percent, compared to about 0.48 percent for Quantitative. In the end, I tend to favor Index 500 because it's a plain vanilla product; with its portfolio of 500 stocks, there's less to go wrong, while the managed portfolio of Quantitative, 182 issues at the last Morningstar count, is slightly more volatile. Finally, as in my assessment of Value, when in doubt, I go with the dividend yield, which is 2.10 percent for the Index 500 portfolio compared to 1.92 percent for Quantitative, according to Lipper Analytical Services. Yes, I agree, these are pretty niggling variations. There's a real difference between Index Growth and Index Value, but with this pair, the philosophy and results are very similar. If I were to chose I'd take the plain vanilla Index 500. But it's pretty clear from the record you're not likely to get hurt much with Quantitative, and you could well end up ahead. </P> "	"nyt_eng_199511.gz"
"38683"	"I"	"agree"	" If Gingrich is ``implying that the balanced budget is more important than what he calls a technical default, I agree,'' said Stanley Druckenmiller, chief investment officer at Soros Fund Management in New York. </P> "	"nyt_eng_199511.gz"
"38685"	"I"	"agree"	" If Gingrich is ``implying that the balanced budget is more important than what he calls a technical default, I agree,'' said Stanley Druckenmiller, chief investment officer at Soros Fund Management in New York. </P> "	"nyt_eng_199511.gz"
"40050"	"they"	"agree"	" I can imagine this carload of Southern boys headed over to the Purolator 500 to watch Dale Earnhardt's No. 3 take another checkered flag when one of them says he'd like to stop for a burger. Yeah, they agree, a burger would be good. But they can't agree on a burger joint. </P> "	"nyt_eng_199511.gz"
"40240"	"we"	"agree"	" ``Yigal was a very good student, absolutely,'' he said. ``A very serious student with really high marks. But Yigal was very, very stubborn. If I raise a problem in class for discussion, this one shouts, the others answer. Finally we come to a solution, we agree, everybody got it. Yigal, no. </P> "	"nyt_eng_199511.gz"
"40253"	"we"	"agree"	" ``Yigal was a very good student, absolutely,'' he said. ``A very serious student with really high marks. But Yigal was very, very stubborn. If I raise a problem in class for discussion, this one shouts, the others answer. Finally we come to a solution, we agree, everybody got it. Yigal, no. </P> "	"nyt_eng_199511.gz"
