"pronoun"	"verb"	"context"	"filename"
"6241"	"she"	"agreed"	" The conversation boldly took off. Yes, she was a fan, too, she told Margolin. Yes, she'd been to ``Star Trek'' conventions. And yes, she agreed, there might be a course in here. </P> "	"nyt_eng_199410.gz"
"9840"	"we"	"agreed"	" ``We can go only so far with cybernetics, automation and sophisticated machinery,'' he concluded, ``before we run up against the limitations of an uneducated work force.'' He applauded Mexico's recent dictum requiring universal public schooling through high school graduation. To do less, we agreed, would be as useful as having a fleet of modern jet aircraft and no trained pilots. </P> "	"nyt_eng_199412.gz"
"9848"	"we"	"agreed"	" ``We can go only so far with cybernetics, automation and sophisticated machinery,'' he concluded, ``before we run up against the limitations of an uneducated work force.'' He applauded Mexico's recent dictum requiring universal public schooling through high school graduation. To do less, we agreed, would be as useful as having a fleet of modern jet aircraft and no trained pilots. </P> "	"nyt_eng_199412.gz"
"13682"	"she"	"agreed"	" Neutral backgrounds are almost an Evelyn Lauder signature. The living room of the Manhattan duplex apartment that she won't discuss -- an interview was conducted there, on the condition nothing be written about it -- is beige. Could that color be mentioned? Yes, she agreed, but nothing more. Her office, too, high up in the General Motors Building on Fifth Avenue at 59th Street, is a symphony of noncolor, deliberately bland. </P> "	"nyt_eng_199502.gz"
"15305"	"she"	"agreed"	" Shocked, she agreed, though the man she says raped her refused to take the test. When her test results were inconclusive, the case was dropped. </P> "	"nyt_eng_199502.gz"
"17178"	"they"	"agreed"	" And the people, they agreed, are the biggest asset. In New York, had they not been ready to load a shipment of furniture onto a truck when it arrived, the driver would have filled their ears with expletives and driven off without their cargo. </P> "	"nyt_eng_199503.gz"
"18022"	"he"	"agreed"	" His uncle, Adam Atet, said he had moved here several years ago from Wisconsin, where he owned a grocery, to go into business selling Indian crafts. This is a long way from Palestine, he agreed, but the diaspora is a wide one. </P> "	"nyt_eng_199503.gz"
"18331"	"he"	"agreed"	" Owners, he agreed, need assurances from the union that the players won't strike again this season if baseball resumes while negotiations toward a settlement continue. As for a potential lockout by the owners, Colangelo said, ``I have no idea about that.'' </P> "	"nyt_eng_199503.gz"
"20741"	"they"	"agreed"	" Despite the strides made by women in the workplace, they agreed, the boys around them took it for granted that they would grow up to be workers and breadwinners, while the girls were ``just encouraged to be pretty.'' </P> "	"nyt_eng_199504.gz"
"21932"	"we"	"agreed"	" It was foolishness, we agreed, to let friendships go so long neglected. Christmas cards across 2,000 miles do not suffice. </P> "	"nyt_eng_199505.gz"
"22651"	"they"	"agreed"	" Once their cargo was unloaded at the warehouse, the drivers headed to a nearby Norwegian army compound for hot showers and cold beer. It had been, they agreed, an easy trip. Jan Norheim, a Norwegian driver, recalled sitting stuck at Sarajevo for 18 days last December. </P> "	"nyt_eng_199505.gz"
"22793"	"they"	"agreed"	" Once their cargo was unloaded at the warehouse, the drivers headed to a nearby Norwegian army compound for hot showers and cold beer. It had been, they agreed, an easy trip. Jan Norheim, a Norwegian driver, recalled sitting stuck at Sarajevo for 18 days last December. </P> "	"nyt_eng_199505.gz"
"25060"	"they"	"agreed"	" The visual sensibility, they agreed, should evoke the obsessive, sexual ostinato that runs through ``Monster,'' which, as Stipe put it, ``is really confrontational, one-dimensional and raw.'' </P> "	"nyt_eng_199506.gz"
"26859"	"they"	"agreed"	" Professor Lazreg said that she hoped so, as did several people who participated in the symposium. Assassinations, they agreed, hardly help. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950630.0473 type=story > <HEADLINE>      pennsylvania votechart </HEADLINE> <DATELINE>  (BC-STATES-watch-PA) </DATELINE> <TEXT> "	"nyt_eng_199506.gz"
"26946"	"it"	"agreed"	" After the United States won the Mexican-American War in 1848, it agreed, in the Treaty of Guadalupe Hidalgo, to recognize the lands that had been granted to villages by the Spanish and, later, the Mexican governments. </P> "	"nyt_eng_199507.gz"
"32145"	"he"	"agreed"	" The danger of the mountain, he agreed, was reinforced by the deaths Aug. 20 of two climbers who fell about 200 feet from where Otis and Ryan plummeted. </P> "	"nyt_eng_199508.gz"
"35349"	"they"	"agreed"	" Men, they agreed, often equate shooting ability with manliness. </P> "	"nyt_eng_199510.gz"
"35896"	"they"	"agreed"	" This, they agreed, might have been a critical juncture in that regard. </P> "	"nyt_eng_199510.gz"
"40720"	"we"	"agreed"	" And he knew that it had been written in the United States that the killer was just an average religious right-wing hardliner who had heard Likud. Logically, we agreed, that would mean that the average person in a substantial segment of the Israeli public was a potential assassin. Then there was another American Jewish intellectual who wrote that this was not a time for the ``sham'' of healing talk but for reckoning. </P> "	"nyt_eng_199511.gz"
"40799"	"we"	"agreed"	" And he knew that it had been written in the United States that the killer was just an average religious right-wing hardliner who had heard Likud. Logically, we agreed, that would mean that the average person in a substantial segment of the Israeli public was a potential assassin. Then there was another American Jewish intellectual who wrote that this was not a time for the ``sham'' of healing talk but for reckoning. </P> "	"nyt_eng_199511.gz"
"43458"	"they"	"agreed"	" The three felt that Stewart, who is black, was misguided. His problem, they agreed, was that he was too talented to only play quarterback. </P> "	"nyt_eng_199512.gz"
"54711"	"she"	"agreed"	" At the end of his career, his powers diminished, his will to live ebbing, Johnson again persuaded a reluctant Kearns to help him write his memoirs. Wary of his manipulative skills, she agreed, on her own terms. She would not move to the LBJ ranch as he offered (with promises of new dresses, her own cabin and millionaire escorts), but would remain in her teaching position at Harvard and commute to Texas on weekends and holidays. </P> "	"nyt_eng_199604.gz"
