"pronoun"	"verb"	"context"	"filename"
"569"	"I"	"am"	" As you know, I am, somewhat peripherally, interested in gardening. </P> "	"nyt_eng_199407.gz"
"6050"	"I"	"am"	" ``Yes, I am,'' I said. ``I want to know why you hate men.'' </P> "	"nyt_eng_199410.gz"
"7628"	"I"	"am"	" ``I mean, I am, but for the most part, we're diverse. Guys from out of state come in here and they just recognize how unique Nebraska is.'' </P> "	"nyt_eng_199410.gz"
"8568"	"I"	"am"	" ``Yeah, I am,'' he said, ``but it's weird. Against Oklahoma, on one of my touchdowns, I thought the kid had me covered. Chad just threw a great ball, and I made a catch. </P> "	"nyt_eng_199411.gz"
"8708"	"I"	"am"	" Bud Light in particular has enjoyed robust growth in the last two years, fueled by humorous commercials from DDB Needham Chicago featuring an inept liar who asserts, ``Yes, I am,'' when his many outlandish claims are challenged. </P> "	"nyt_eng_199411.gz"
"13741"	"I"	"am"	" ``Yes, I am,'' Jane answers. ``And I'm sure you hear that from women all the time, but in my case it happens to be true.'' </P> "	"nyt_eng_199502.gz"
"16667"	"I"	"am"	" Seaman Daniel Yarnall, a 24-year-old Navy intelligence code technician, said a barroom prank in Japan last fall nearly ended in disaster. Yarnall said after he rebuffed the advances of a woman in the bar, she yelled out that he must be gay. Yarnall said he jokingly yelled back, ``Yeah, I am,'' and pretended to kiss a male friend next to him. </P> "	"nyt_eng_199503.gz"
"16697"	"I"	"am"	" Seaman Daniel Yarnall, a 24-year-old Navy intelligence code technician, said a barroom prank in Japan last fall nearly ended in disaster. Yarnall said after he rebuffed the advances of a woman in the bar, she yelled out that he must be gay. Yarnall said he jokingly yelled back, ``Yeah, I am,'' and pretended to kiss a male friend next to him. </P> "	"nyt_eng_199503.gz"
"18190"	"I"	"am"	" At moments like this, the '60s seem far away and a far more innocent, good-natured time. Marvin Gaye looks impossibly young, tall and mild-mannered, and The Supremes are impossibly gorgeous; Davis kvetches his way through ``I'm Henry VIII, I Am,'' and even a Dylanesque guy like McGuire can be counted on to participate in the ``top pop'' segment, happily singing ``Hang On, Sloopy'' while sitting between two frugging dancing girls. </P> "	"nyt_eng_199503.gz"
"23463"	"I"	"am"	" ``Landlords say to tenants, `You are not in the real estate business, I am, so I should get the profits,''' said Ghazarossian. ``Obviously, tenants don't see it that way.'' </P> "	"nyt_eng_199505.gz"
"23666"	"I"	"am"	" Some words were chosen for their eccentricity, their odd and wondrous presence in a language that holds its share of mediocrity: Discombobulated (film director Milos Foreman); ramshackle (Ray Bradbury); pixilated (``Yes, I am,'' wrote actor Mark Hamill. ``Are you?''); phosphorescent (John Updike); ragamuffin (Rita Dove); bamboozle (sports columnist Ira Berkow); nincompoop (cartoonist Berke Breathed). </P> "	"nyt_eng_199505.gz"
"32649"	"I"	"am"	" Plus, I am, for once in my life, somewhat qualified to speak on an issue that people actually care about (as opposed to, say, the sports history of the New River Valley District, or Virginia's contribution to the illegal-moonshine industry). </P> "	"nyt_eng_199508.gz"
"33295"	"I"	"am"	" ``Yeah, I am,'' he said. </P> "	"nyt_eng_199509.gz"
"35652"	"I"	"am"	" ``Yeah, I am,'' Simpson replied. ``But I haven't really had a chance to grieve. Yesterday, it was a very festive mood at my house, but at the same time, my kids don't have a mother. People don't seem to understand that I loved that woman.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19951005.0026 type=story > <HEADLINE> CNN PRODUCER TRIES TO REACH SIMPSON SISTER, REACHES O.J. INSTEAD  </HEADLINE> <DATELINE> LOS ANGELES (BC-SIMPSON-PHONE-LADN) </DATELINE> <TEXT> "	"nyt_eng_199510.gz"
"35653"	"I"	"am"	" ``Yeah, I am,'' Simpson replied. ``But I haven't really had a chance to grieve. Yesterday, it was a very festive mood at my house, but at the same time, my kids don't have a mother. People don't seem to understand that I loved that woman.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19951005.0027 type=story > <HEADLINE> CANSECO, VAUGGHN ZERO IN </HEADLINE> <DATELINE> CLEVELAND (BC-BBA-SHAUGHNESSY COLUMN-BOS) </DATELINE> <TEXT> "	"nyt_eng_199510.gz"
"38725"	"I"	"am"	" ``Yes, I am,'' said Brown, who had been a practice player the year before. </P> "	"nyt_eng_199511.gz"
"40306"	"I"	"am"	" ``I don't actually feel like I'm homeless, but in reality, I am,'' Chuck said. ``To me, homeless is when you ain't got nowhere to go.'' </P> "	"nyt_eng_199511.gz"
"47875"	"I"	"am"	" ``Well, I am,'' said Hillary, wiping her hands clean on her apron. The crew pulled him out the door. </P> "	"nyt_eng_199602.gz"
"48092"	"I"	"am"	" If Vince is comfortable with this arrangement, I am, too. A friend of mine in Indianapolis described Vince as a ``vanilla'' kind of guy. But hey, after two years of Buddy, I'll take vanilla. Two scoops, in fact. </P> "	"nyt_eng_199602.gz"
"50845"	"I"	"am"	" ``She asked me if I was guilty and I said, `Yes, I am,''' Johnson said. </P> "	"nyt_eng_199603.gz"
"53645"	"I"	"am"	" ``Yes, I am,'' Harris said. Raising his right hand as if taking an oath, he added, ``That's how sorry I am.'' </P> "	"nyt_eng_199603.gz"
"53724"	"I"	"am"	" ``People who get into this are idealists, closet romantics _ at least, I am,'' he said. ``And I think one of the things that offends them is to discover their universities are acting just like corporations.'' </P> "	"nyt_eng_199603.gz"
"53928"	"I"	"am"	" ``People who get into this are idealists, closet romantics _ at least, I am,'' he said. ``And I think one of the things that offends them is to discover their universities are acting just like corporations.'' </P> "	"nyt_eng_199604.gz"
"57745"	"I"	"am"	" ``You're a good mother, right?'' he asked, his voice dripping with sarcasm. ``Yes, I am,'' Mrs. Bryant responded, gazing steadily at him. </P> "	"nyt_eng_199605.gz"
"62355"	"I"	"am"	" ``Newt Gingrich isn't running in this district, I am,'' is a line sure to be uttered by dozens of this year's Republican nominees. </P> "	"nyt_eng_199606.gz"
"62358"	"I"	"am"	" ``Newt Gingrich isn't running in this district, I am,'' is a line sure to be uttered by dozens of this year's Republican nominees. </P> "	"nyt_eng_199606.gz"
"67442"	"I"	"am"	" ``It's like if you go 75 miles an hour,'' Sam Stoltzfus said, using the example of a car. ``If your wife says, `Are you going over the 65-mile speed limit?' you say, `Well, yes, dear, I am, but I have to get to the meeting.' She'll then say she doesn't want you to go 75 miles an hour, but she tolerates it.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960810.0096 type=story > <HEADLINE> CRIME, SCANDAL AND OTHER YAWNERS IN MONTANA POLITICS </HEADLINE> <DATELINE> HELENA, Mont. (BC-MONTANA-POLITICS-ART-2TAKES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199608.gz"
"67468"	"I"	"am"	" ``It's like if you go 75 miles an hour,'' Sam Stoltzfus said, using the example of a car. ``If your wife says, `Are you going over the 65-mile speed limit?' you say, `Well, yes, dear, I am, but I have to get to the meeting.' She'll then say she doesn't want you to go 75 miles an hour, but she tolerates it.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960811.0029 type=story > <HEADLINE> END OF LINE FOR A TOWN ONCE RUN FOR SALMON </HEADLINE> <DATELINE> MASSET, British Columbia (BC-CANADA-SALMON-NYT) </DATELINE> <TEXT> "	"nyt_eng_199608.gz"
