"pronoun"	"verb"	"context"	"filename"
"4670"	"she"	"announced"	" ``Do you know what the hell's going on?'' she whooped into the receiver. Then, turning to those in the room, she announced, ``It's Johnny!'' </P> "	"nyt_eng_199409.gz"
"4711"	"she"	"announced"	" ``Do you know what the hell's going on?'' she whooped into the receiver. Then, turning to those in the room, she announced, ``It's Johnny!'' </P> "	"nyt_eng_199409.gz"
"5328"	"he"	"announced"	" To get around these obstacles, he announced, the Palestinians will open about a dozen voter-registration offices on their own. </P> "	"nyt_eng_199409.gz"
"9994"	"he"	"announced"	" The clerk, E. Dotson Wilson, had suddenly taken ill, he announced, citing ``too much stress.'' That being the ``unfortunate'' turn of events, he went on, there was a little noted clause in the Assembly's rules that provided for the body's senior member to preside. </P> "	"nyt_eng_199412.gz"
"20291"	"I"	"announced"	" I went home and told my wife that I could not imagine why anyone would want a machine that insists upon a personal relationship. Our family, I announced, would never have one. </P> "	"nyt_eng_199504.gz"
"20463"	"he"	"announced"	" As of May 1, he announced, lunch hours will be just that, and no longer a leisurely 90 minutes. Minutes into Ms. Mazzola's testimony, he ordered that two spectators be removed for whispering. Just as severely, he cautioned lawyers against long-winded objections. </P> "	"nyt_eng_199504.gz"
"20508"	"I"	"announced"	" I went home and told my wife that I could not imagine why anyone would want a machine that insists upon a personal relationship. Our family, I announced, would never have one. </P> "	"nyt_eng_199504.gz"
"20959"	"he"	"announced"	" The next Congress, O'Neill had to lay down the law once again. In 1981, he announced, House members could not wear overcoats on the House floor. </P> "	"nyt_eng_199505.gz"
"20965"	"he"	"announced"	" The next Congress, O'Neill had to lay down the law once again. In 1981, he announced, House members could not wear overcoats on the House floor. </P> "	"nyt_eng_199505.gz"
"20971"	"he"	"announced"	" The next Congress, O'Neill had to lay down the law once again. In 1981, he announced, House members could not wear overcoats on the House floor. </P> "	"nyt_eng_199505.gz"
"21040"	"he"	"announced"	" The next Congress, O'Neill had to lay down the law once again. In 1981, he announced, House members could not wear overcoats on the House floor. </P> "	"nyt_eng_199505.gz"
"21046"	"he"	"announced"	" The next Congress, O'Neill had to lay down the law once again. In 1981, he announced, House members could not wear overcoats on the House floor. </P> "	"nyt_eng_199505.gz"
"21575"	"he"	"announced"	" The next Congress, O'Neill had to lay down the law once again. In 1981, he announced, House members could not wear overcoats on the House floor. </P> "	"nyt_eng_199505.gz"
"21581"	"he"	"announced"	" The next Congress, O'Neill had to lay down the law once again. In 1981, he announced, House members could not wear overcoats on the House floor. </P> "	"nyt_eng_199505.gz"
"21587"	"he"	"announced"	" The next Congress, O'Neill had to lay down the law once again. In 1981, he announced, House members could not wear overcoats on the House floor. </P> "	"nyt_eng_199505.gz"
"23650"	"he"	"announced"	" FBI Director J. Edgar Hoover said the group planned to blow up the Jewish Daily Forward, the Cameo Theater on West 42nd Street (which showed Russian-made films), the General Post Office and the Federal Reserve Bank. Their goal, he announced, was to overthrow the government and set up a Hitler-like dictatorship. </P> "	"nyt_eng_199505.gz"
"25335"	"he"	"announced"	" But after trying the $36,755 vehicle on for size, he announced, ``I can't fit in this one. I would like to keep this for the memory. But I would like to keep something I will drive. </P> "	"nyt_eng_199506.gz"
"33497"	"they"	"announced"	" The Karnataka Farmers Association also has political clout. Late last month, officials from the state health ministry seized chicken from the restaurant and tested it. The chicken, they announced, contained an excess of monosodium glutamate and they threatened to revoke KFC's license. </P> "	"nyt_eng_199509.gz"
"33888"	"they"	"announced"	" The Karnataka Farmers Association also has political clout. Late last month, officials from the state health ministry seized chicken from the restaurant and tested it. The chicken, they announced, contained an excess of monosodium glutamate and they threatened to revoke KFC's license. </P> "	"nyt_eng_199509.gz"
"43174"	"he"	"announced"	" His first objective, he announced, is the removal of most of the party officers and principal government officials in this region. </P> "	"nyt_eng_199512.gz"
"44826"	"he"	"announced"	" Outside, the snow fell in nearly horizontal sheets, and the cold began to seep into the darkened, silent cars. Finally, the conductor's voice crackled over the intercom. We are disabled, he announced, and so are several trains on the tracks in front of us. ``It looks like we might be here for a while,'' he said. </P> "	"nyt_eng_199601.gz"
