"pronoun"	"verb"	"context"	"filename"
"5249"	"he"	"announces"	" Rezai emerges as an intriguing, if not entirely likable, character. Now that he's an actor, he announces, he will never do masonry again. But as he pursues the object of his affection, who refuses to speak to him or even to make eye contact, his ardent appeals become badgering. In the film's spectacular final scene, the camera follows him in a long shot as he trails behind his beloved on a course that takes them up and down a mountain slope and across a field until the two of them of almost disappear. </P> "	"nyt_eng_199409.gz"
"26925"	"he"	"announces"	" Naturally, he announces, The Village Shoppe delivers to Manhattan. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950701.0086 type=story > <HEADLINE> ALL THE COMFORTS OF HOME IN THE HAMPTONS </HEADLINE> <DATELINE>  (BC-NY-HAMPTONS-DELIVERIES-2TAKES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199507.gz"
"26928"	"he"	"announces"	" Naturally, he announces, The Village Shoppe delivers to Manhattan. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950701.0088 type=story > <HEADLINE> EDITORIAL: ORANGE COUNTY'S THREAT TO US ALL </HEADLINE> <DATELINE>  (BC-EDIT-ORANGE-COUNTY-NYT) </DATELINE> <TEXT> "	"nyt_eng_199507.gz"
"30092"	"he"	"announces"	" ``The Philly general manager was Roy Hamey,'' Sparky recalls. ``Within two days after making the trade, he announces, `This is the best deal I've ever made in my life.' And within eight days of the deal, he leaves to work for the Yankees. I'm thinking, `This might not be too good a deal.''' </P> "	"nyt_eng_199508.gz"
"34635"	"he"	"announces"	" After attending a convent production of a comedy written by Juana that ridicules male chauvinism, he announces, ``This is not a convent; it's a bordello.'' </P> "	"nyt_eng_199509.gz"
"51025"	"he"	"announces"	" Once, a long time ago, in a famous article that ever since has served as a bible of academic arrogance, Milton Babbitt tried to laugh the audience's claims on 20th-century music right out of court. ``Imagine a layman chancing upon a lecture on `Pointwise Periodic Homeomorphisms,' he wrote. ``At the conclusion, he announces, `I didn't like it.' '' Leaving the snobbery to one side, the analogy did make a philosophical point worth pondering. </P> "	"nyt_eng_199603.gz"
"52867"	"it"	"announces"	" On one side of the congressman's office, over by the window, hangs a notice written in scruffy, thick-tipped marker: the national debt, it announces, stood at $18,978.67 per American as of March 8. </P> "	"nyt_eng_199603.gz"
"52868"	"it"	"announces"	" On one side of the congressman's office, over by the window, hangs a notice written in scruffy, thick-tipped marker: the national debt, it announces, stood at $18,978.67 per American as of March 8. </P> "	"nyt_eng_199603.gz"
"52869"	"it"	"announces"	" On one side of the congressman's office, over by the window, hangs a notice written in scruffy, thick-tipped marker: the national debt, it announces, stood at $18,978.67 per American as of March 8. </P> "	"nyt_eng_199603.gz"
"53131"	"it"	"announces"	" On one side of the congressman's office, over by the window, hangs a notice written in scruffy, thick-tipped marker: the national debt, it announces, stood at $18,978.67 per American as of March 8. </P> "	"nyt_eng_199603.gz"
"53133"	"it"	"announces"	" On one side of the congressman's office, over by the window, hangs a notice written in scruffy, thick-tipped marker: the national debt, it announces, stood at $18,978.67 per American as of March 8. </P> "	"nyt_eng_199603.gz"
"53150"	"it"	"announces"	" On one side of the congressman's office, over by the window, hangs a notice written in scruffy, thick-tipped marker: the national debt, it announces, stood at $18,978.67 per American as of March 8. </P> "	"nyt_eng_199603.gz"
"72519"	"she"	"announces"	" With that pronouncement he seats himself at the head table on a ``great chair,'' which is slightly more elevated than the three-legged chairs on which sit the church elder William Brewster and his wife, Mistress Mary Brewster. Bradford holds forth in front of a table full of English linens; handblown glasses; pewter cups, plates and chargers; and pottery bowls. The servants and children bring the food _ fowl from the Pilgrims and deer from the natives _ and curtsy or bow to the head of the table first. As the platters go around, to both costumed Pilgrims and contemporary guests, Mistress Brewster (Lisa Walbridge) pulls off a piece of rabbit with her hand. Delighted with the array, she announces, ``Some number of goodly meats, from king's meat to that which we feed our dogs. We are doubtful we shall eat this way again for a year.'' </P> "	"nyt_eng_199609.gz"
"75747"	"she"	"announces"	" But there's no doubt that there are the makings of a great Lady Bracknell in her. With her long, marmoreal face saddled with a veritable fruit bowl of a hat, she nonetheless manages to give off something approaching absolute authority. When Lady Bracknell asks her daughter's suitor his address in Belgrave Square and realizes it is on the unfashionable side, she announces, ``That could easily be altered.'' </P> "	"nyt_eng_199610.gz"
