"pronoun"	"verb"	"context"	"filename"
"10159"	"she"	"answers"	" In some ways, the novel ``Disclosure'' stacks its arguments even more heavily than the movie. But it does have one touch of realism that's omitted from the film. When the CEO asks Sanders' lawyer when the cycle of harassment lawsuits and paranoia will end, she answers, ``When women have 50 percent of the executive positions.'' </P> "	"nyt_eng_199412.gz"
"14700"	"he"	"answers"	" The accident never slowed him down. Often he'll teach two three-hour classes in a day, which, for a performer like Pepin, is exhausting. When someone in the Borders Bookstore audience asks the 59-year-old chef how he keeps going, he answers, ``Anything is easier than being behind a stove 12 hours a day. That's very hard work.'' </P> "	"nyt_eng_199502.gz"
"17337"	"she"	"answers"	" When Lange speaks of the hoopla surrounding the Oscars as ``trashy and fun,'' is she speaking of the movie business in general? No, she answers, ``because still, for me, it's really about the acting. And that I hold in very high esteem.'' </P> "	"nyt_eng_199503.gz"
"23737"	"he"	"answers"	" Crumb's response? ``Maybe I should be locked up.'' When journalist Peggy Orenstein tells him his work scared her as a young girl, he answers, ``Not everything's for children _ not everything's for everyone.'' </P> "	"nyt_eng_199505.gz"
"28707"	"he"	"answers"	" Eleven-year-old Emily Wickey answers the phone at the girls' infirmary. ``What kind of sick are you?'' Halsband asks. When Emily says she is sick to her stomach, he answers, ``Ooh, lots of Coca-Colas for you, OK?'' </P> "	"nyt_eng_199507.gz"
"34491"	"he"	"answers"	" Le Corbusier was famous for the maxim ``Architecture or Revolution. Revolution can be avoided.'' I ask Ando whether he shares this view of architecture's power to transform a civilization. No, he answers, what inspired him about Le Corbusier was his determination to persevere. </P> "	"nyt_eng_199509.gz"
"37662"	"he"	"answers"	" Rosie's husband was long since gone, having died in 1960 from bronchial pneumonia. She was alone with little Kenny in a run-down neighborhood, the floor made of concrete, the windows cracked. When people ask Lofton today why he doesn't talk much, he answers, ``It's probably the way I was brought up. We had nothing. And when we did get something _ a new toy, some new shoes, anything _ we protected it so no one messed it up.'' </P> "	"nyt_eng_199510.gz"
"59768"	"he"	"answers"	" Asked how much of the firm's estimated 1995 revenue of $710 million came from the box and how much from radio, television, magazines and the news wire, he answers, ``Virtually all the box.'' Asked whether nonbox business could account for 10 percent of revenue by the year 2000, he says, ``Yeah sure,'' but adds, ``I can't conceive of it being more.'' </P> "	"nyt_eng_199605.gz"
"71359"	"she"	"answers"	" ``Do you love me, Pauline?'' he asks, anticipating rejection. Without hesitation, she answers, ``When two people have what we have, there are no words.'' </P> "	"nyt_eng_199609.gz"
"97140"	"he"	"answers"	" To an outsider, they look like peasants with guns. Only one man has a uniform and a quarter of them appear to be teen-agers. When asked, the general explains that all of his soldiers must be at least 21. When pressed, he answers, ``This is not a professional army.'' </P> "	"nyt_eng_200109.gz"
