"pronoun"	"verb"	"context"	"filename"
"10876"	"I"	"apologize"	" ``If my attitude is not right on the day we lose, I apologize,'' Hasty said. ``Seven years has taken its toll. If the Jets feel like it's time for James Hasty to move on, or if James Hasty feels like it's time to move on, then so be it. </P> "	"nyt_eng_199412.gz"
"16796"	"we"	"apologize"	" ``If we have offended any, we apologize,'' he said in a prepared statement. ``Our only desire is to cultivate a spirit of mercy and kindness.'' </P> "	"nyt_eng_199503.gz"
"28449"	"I"	"apologize"	" ``If I was rude, I apologize, I really do,'' Hubbell said. ``But I don't believe I shoved anybody that evening.'' </P> "	"nyt_eng_199507.gz"
"29072"	"I"	"apologize"	" ``Mea culpa. If there was a breakdown in communications, I apologize,'' O'Toole said. ``It was not intentional and it is not the policy of the Boston Police Department to hide anything or censor the news.'' </P> "	"nyt_eng_199507.gz"
"80893"	"we"	"apologize"	" ``Without accepting the church's sin, its failure, there can be no reconciliation,'' says Rev. Ubald Rugirangoga, 40, a Catholic priest at Kigali's College of St. Andre who lost his entire family in the 1994 killings. ``The church must say, `We failed, we apologize, we beg pardon.''' </P> "	"nyt_eng_199612.gz"
"83316"	"I"	"apologize"	" ``To whatever degree in any way I have brought controversy or inappropriate attention to the House, I apologize,'' he said. </P> "	"nyt_eng_199701.gz"
"83333"	"I"	"apologize"	" ``To the degree I was too brash, too self-confident, or too pushy, I apologize,'' Gingrich told lawmakers after becoming the first Republican speaker in 68 years to win re-election. ``It is my intention to do everything I can to work with every member of this Congress.'' </P> "	"nyt_eng_199701.gz"
"83345"	"I"	"apologize"	" ``Let me say to the entire House that two years ago when I become the first Republican speaker in 40 years, to the degree to which I was too brash, too self-confident, or too pushy, I apologize. To whatever degree and in any way that I brought controversy or inappropriate attention to the House, I apologize,'' Gingrich said. </P> "	"nyt_eng_199701.gz"
"83352"	"I"	"apologize"	" ``Two years ago, when I became the first Republican speaker in 40 years, to the degree I was too brash, too self-confident or too pushy, I apologize,'' he said, in an all-out effort to convince his colleagues that he had learned his lesson. ``To whatever degree, in any way that I brought controversy or inappropriate attention to the House, I apologize.'' </P> "	"nyt_eng_199701.gz"
"83355"	"I"	"apologize"	" Understandably for a politician who soon must face a full-fledged ethical airing in the House, Gingrich opened the Congress with an apology. ``To the degree that I was too brash, too self-confident or too pushy, I apologize,'' he said, seeking a humble note. </P> "	"nyt_eng_199701.gz"
"83358"	"I"	"apologize"	" ``To the degree I was too brash, too self-confident or too pushy, I apologize,'' said Gingrich, the controversial architect of the Republican majority in the House who Tuesday became the first GOP speaker to win re-election in 68 years. ``To whatever degree in any way that I brought controversy or inappropriate attention to the House, I apologize.'' </P> "	"nyt_eng_199701.gz"
"83370"	"I"	"apologize"	" ``To the degree I was too brash, too self confident or too pushy, I apologize. To whatever degree in any way that I brought controversy or inappropriate attention to the House, I apologize,'' Gingrich said. ``It is my intention to do everything I can to work with every member of this Congress. </P> "	"nyt_eng_199701.gz"
"83383"	"I"	"apologize"	" ``To the degree I was too brash, too self-confident, or too pushy, I apologize,'' he told a hushed House. ``To whatever degree, in any way that I brought controversy or inappropriate attention to the House, I apologize.'' </P> "	"nyt_eng_199701.gz"
"83391"	"I"	"apologize"	" ``To the degree I was too brash, too self-confident or too pushy, I apologize,'' the Georgia Republican said. ``To whatever degree, in any way that I brought controversy or inappropriate attention to the House, I apologize.'' </P> "	"nyt_eng_199701.gz"
"83396"	"I"	"apologize"	" ``To the degree I was too brash, too self confident or too pushy, I apologize. To whatever degree in any way that I brought controversy or inappropriate attention to the House, I apologize,'' Gingrich said. ``It is my intention to do everything I can to work with every member of this Congress. </P> "	"nyt_eng_199701.gz"
"83399"	"I"	"apologize"	" ``Two years ago, when I became the first Republican speaker in 40 years, to the degree I was too brash, too self-confident or too pushy, I apologize,'' he said, in an all-out effort to convince his colleagues that he had learned his lesson. ``To whatever degree, in any way that I brought controversy or inappropriate attention to the House, I apologize.'' </P> "	"nyt_eng_199701.gz"
"83965"	"I"	"apologize"	" ``Now if he came out and he said, `well, I apologize, I regret my conduct if it was offensive to you. I can tell you and others, perhaps, that you did nothing wrong and I'll have no further comment.' Well, I don't know but that gets close to where we need to be,'' Cammarata said. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19970113.0662 type=story > <DATELINE>  (BC-HASKEL-SALE-LADN) </DATELINE> <TEXT> "	"nyt_eng_199701.gz"
"114140"	"we"	"apologize"	" ``For anybody who is offended, we apologize, because obviously it is not our intent to offend anybody,'' he said. </P> "	"nyt_eng_200204.gz"
"129172"	"I"	"apologize"	" Scioscia acknowledges the fan and media interests here, but he won't be altering his approach to the most destructive hitter in the game. ``Our job is to win ballgames,'' he pointed out. ``That takes precedence over anything that you might say anyone wants to see. If that's upsetting some people or hurting somebody's feelings out there in the media or fans, I apologize, but our responsibility is to win games for the Anaheim Angels. We're going to continue to run our club that way.'' </P> "	"nyt_eng_200210.gz"
"129647"	"I"	"apologize"	" ``If anyone was hurt by my comedic comments, I apologize,'' O'Neal said. </P> "	"nyt_eng_200210.gz"
"140551"	"I"	"apologize"	" Again, I apologize, he said, looking directly at the accuser's parents. </P> "	"nyt_eng_200407.gz"
"145916"	"I"	"apologize"	" For that, I apologize, Carter said with a smile. But I and the people of this nation are grateful that he recovered from that temporary setback. </P> "	"nyt_eng_200411.gz"
"149568"	"I"	"apologize"	" I quietly asked for the person who had submitted the resume. The tone of my greeter instantly changed and she said, 'Oh, that's me, I apologize, I thought you were a bill collector and I've had it with their phone calls.' I told her that she didn't appear to have the qualifications we were looking for. </P> "	"nyt_eng_200502.gz"
