"pronoun"	"verb"	"context"	"filename"
"351"	"it"	"appears"	" The Italian hosts are making every effort to break the old record when it comes to security procedures. Large sections of downtown Naples have been shut down to everyone without a pass. And some passes, it appears, are better than others. The 12,000 journalists' credentials are heavily discounted. In order to get any where near the summiteers, reporters need to have a series of special hard-to-get pool passes. </P> "	"nyt_eng_199407.gz"
"573"	"it"	"appears"	" Even a cease-fire is proving elusive, largely, it appears, because the rebels do not want to stop fighting now that they are about to push the government into Zaire. </P> "	"nyt_eng_199407.gz"
"1243"	"it"	"appears"	" Virtually shut out of nominations was last season's biggest new hit, ``Grace Under Fire,'' which got only one nomination for Diane Ladd in a guest role. Although the voting members of the Television Academy of Arts and Sciences sometimes recognize quality quickly (witness ``NYPD Blue'' and last year's acting and series wins by ``Picket Fences''), more frequently they are slow to acknowledge shows built around strong women, such as Roseanne (who wasn't nominated her first three seasons and finally won last year) and now, it appears, ``Grace's'' Brett Butler. </P> "	"nyt_eng_199407.gz"
"1396"	"it"	"appears"	" Reason and sanity, it appears, will just have to wait their turn. </P> "	"nyt_eng_199407.gz"
"1759"	"it"	"appears"	" Although Mutko said the city has cleared 1 billion rubles (the equivalent of approximately $500,000) in ticket sales, local television cameras keep panning across the empty bleachers. Television, it appears, is part of the problem, not the solution. </P> "	"nyt_eng_199407.gz"
"2007"	"it"	"appears"	" While most of Nasdaq's embarrassments Monday dealt with a power outage that shut down its computers, a lot of talk on Wall Street was about Newbridge Networks, a Canadian maker of equipment for computer networks, and the fact that Nasdaq's effort that same day to halt trading in the company's stock somehow failed. Sometimes, it appears, Nasdaq cannot make its systems work. Sometimes it cannot keep them from functioning. </P> "	"nyt_eng_199408.gz"
"2014"	"it"	"appears"	" ``No, I am not, sir,'' he said, offering a rare smile that seemed to say: ``Here endeth the lesson.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940802.0342 type=multi > <DATELINE>  (BC-BIZGLANCE-NYT) </DATELINE> <TEXT> Companies   American Home Products offered to buy American Cyanamid for $8.5 billion in cash. The offer, which stunned Wall Street, is a sign that the consolidation in health care is far from over.   American General made a $2.6 billion bid to acquire Unitrin, a financial services holding company. There was no reaction from Unitrin, which had rejected a previous offer by the insurer.   Thrifty Rent-a-Car System and Ryder Consumer Truck Rental reached an agreement that permits the two companies to use each other's rental services in the United States and Canada.   ICN Pharmaceuticals plans to merge with its three affiliates, creating a company with lower overall administrative costs.   International   South Africa is still awaiting a surge of foreign investment 10 months after Nelson Mandela appealed for businesses to return. The new government is counting on foreign capital to fuel growth and jobs, but investors are worried about high labor costs, trade barriers and the Government's commitment to capitalism.   GATT took a step toward congressional approval. But the key Senate committee that acted on the world trade accord created a problem for the Clinton administration by rejecting its request for a renewal of so-called fast-track authority.   Mexico accused the U.S. steel industry of dumping -- selling products abroad at unfairly low prices. Mexico imposed tariffs on two types of United States steel imports.   The Economy   Sales of new homes fell 14.1 percent in June, the government reported. Analysts said higher interest rates were putting a crimp in housing, an important segment of the economy.   Consumer borrowing and corporate bank loans are rising, suggesting that there is still optimism and growth in the economy. Many economists say that the increase reflects an economy that is healthy today, whatever the future might hold.   Nearly $1 billion in shipbuilding contracts was announced. The government contracts will benefit shipyards in California, Louisiana, Mississippi and Virginia.   Markets   Three recent technical breakdowns at Nasdaq have tarnished the exchange's image as as a technological leader and has prompted concern from securities traders and lawmakers.   Prices of Treasury securities were mixed. Short-term securities rose, while the price of the long bond fell.   Blue-chip stocks slipped in listless trading.   The London stock market led rallies by European exchanges. China's stock market gave back part of Monday's gains.   The dollar rose against the yen as the outlook improved for trade relations between the United States and Japan.   Crude oil prices tumbled amid speculation that political unrest in Nigeria would ease. Gold prices fell sharply.   Business Technology   Olivetti has recast itself as an information technology company and appears to be on its way toward achieving a turnaround. The troubled Italian giant has expanded beyond computers in recent years to focus on designing, installing and maintaining computer networks for big corporate European customers.   Columns   A power outage was not the only embarrassment for Nasdaq on Monday. Nasdaq tried to halt trading in the shares of Newbridge Networks, but somehow failed. Sometimes, it appears, Nasdaq cannot make its systems work, and other times it cannot prevent them from functioning.   Is cyberspace ready for advertising? An Ogilvy &AMP; Mather executive has proposed six guidelines for responsible marketing on the Internet, the global web of networks.  </TEXT> </DOC> <DOC id=NYT_ENG_19940802.0343 type=story > <HEADLINE> MEDICAL AND LEGAL QUANDARY IN FATHER'S LETTING BABY DIE </HEADLINE> <DATELINE>  (BC-BABY-DEATH-500&AMP;ADD-NYT) </DATELINE> <TEXT> "	"nyt_eng_199408.gz"
"3194"	"it"	"appears"	" Foreman will thus become the first man in history to fight for the heavyweight title after filing an age-discrimination suit. The sport's lawyers, it appears, are unable to save him from himself and nobody seems to have thought of asking the doctors. If only Foreman's television show had succeeded, he would have been spared this latest offense against common sense. </P> "	"nyt_eng_199408.gz"
"3399"	"it"	"appears"	" Still, in recent years many big banks have stopped fighting the government's community reinvestment and anti-discrimination initiatives and have concluded that reaching out to low-income people is a necessary cost of doing business. Now, it appears, banks will have to go further. </P> "	"nyt_eng_199408.gz"
"3510"	"it"	"appears"	" Lincoln Coleman's troubling preseason is finally over. And so, it appears, is his job with the Cowboys. </P> "	"nyt_eng_199408.gz"
"3529"	"it"	"appears"	" But he is prepared to try, to work, to be patient and struggle. And so, it appears, is she. </P> "	"nyt_eng_199408.gz"
"3791"	"it"	"appears"	" Pretty mild stuff. The people asking those questions shouldn't take it personally. Rathman, it appears, has been ducking more than questions this week. He said he hasn't spoken to many of his friends up in the Bay Area. </P> "	"nyt_eng_199408.gz"
"4267"	"it"	"appears"	" The meetings of U.S. and Cuban diplomats over the refugee crisis would be almost amusing were they not so pathetic. At issue in those meetings are the number of people Fidel Castro will allow out of his decomposing socialist state. Never, it appears, is Castro's abdication discussed as the way to stem the mass exodus. </P> "	"nyt_eng_199409.gz"
"4299"	"it"	"appears"	" He recognizes, it appears, a rare window of opportunity. With baseball shut down, with the pennant races suspended in place, tennis is center stage again, side by side with football. People are, out of necessity, giving it more than a cursory look. </P> "	"nyt_eng_199409.gz"
"4522"	"it"	"appears"	" ``I've got a lot of friends, it appears,'' he added, ``and they were glad for me and I was touched by it.'' </P> "	"nyt_eng_199409.gz"
"6051"	"it"	"appears"	" Now, it appears, some may learn at a very early age what might kill them. </P> "	"nyt_eng_199410.gz"
"6921"	"it"	"appears"	" Wild mushrooms are the true wild card in the food deck. They grow when and where they want to, refusing in many cases to be tamed or cultivated. Their soft, fleshy textures, enchanting shapes and lingering, evocative aromas make them ultimately irresistible. It's easy to become passionate about mushrooms, addicted, perhaps, for life. And life, it appears, is finally catching up with art; we're in the middle of a mushroom boom. </P> "	"nyt_eng_199410.gz"
"7385"	"it"	"appears"	" Yes, Reynolds is still very much alive. But he is also, it appears, very lost. </P> "	"nyt_eng_199410.gz"
"8163"	"it"	"appears"	" Yes, Reynolds is still very much alive. But he is also, it appears, very lost. </P> "	"nyt_eng_199411.gz"
"8266"	"it"	"appears"	" The first successful use of prime-time reruns, it appears, was in 1990, when Fox filled a gap in its Saturday night schedule by running two back-to-back episodes of ``Cops,'' the second of which was a rerun. </P> "	"nyt_eng_199411.gz"
"8271"	"it"	"appears"	" The first successful use of prime-time reruns, it appears, was in 1990, when Fox filled a gap in its Saturday night schedule by running two back-to-back episodes of ``Cops,'' the second of which was a rerun. </P> "	"nyt_eng_199411.gz"
"8713"	"it"	"appears"	" There's more money to be made, and, it appears, just as much blood to be let. </P> "	"nyt_eng_199411.gz"
"9284"	"it"	"appears"	" The place quickly became popular with the city's better-heeled residents. But a powerful Hong Kong tycoon, Li Ka-shing, has grander ideas for that street corner and, it appears, better connections in Beijing. </P> "	"nyt_eng_199411.gz"
"9285"	"it"	"appears"	" The place quickly became popular with the city's better-heeled residents. But a powerful Hong Kong tycoon, Li Ka-shing, has grander ideas for that street corner and, it appears, better connections in Beijing. </P> "	"nyt_eng_199411.gz"
"9286"	"it"	"appears"	" The place quickly became popular with the city's better-heeled residents. But a powerful Hong Kong tycoon, Li Ka-shing, has grander ideas for that street corner and, it appears, better connections in Beijing. </P> "	"nyt_eng_199411.gz"
"9422"	"it"	"appears"	" The place quickly became popular with the city's better-heeled residents. But a powerful Hong Kong tycoon, Li Ka-shing, has grander ideas for that street corner and, it appears, better connections in Beijing. </P> "	"nyt_eng_199411.gz"
"9423"	"it"	"appears"	" The place quickly became popular with the city's better-heeled residents. But a powerful Hong Kong tycoon, Li Ka-shing, has grander ideas for that street corner and, it appears, better connections in Beijing. </P> "	"nyt_eng_199411.gz"
"9424"	"it"	"appears"	" The place quickly became popular with the city's better-heeled residents. But a powerful Hong Kong tycoon, Li Ka-shing, has grander ideas for that street corner and, it appears, better connections in Beijing. </P> "	"nyt_eng_199411.gz"
"10123"	"it"	"appears"	" Shirley, it appears, choked to death on a piece of moo shu pork while dining out at a Chinese restaurant. </P> "	"nyt_eng_199412.gz"
"11630"	"she"	"appears"	" Dr. Carle tends to surface in the latter moments of a show, after the accusations have flown. Just when all seems hopeless, she appears, a vision in bright red hair with dramatic eyelashes. As the studio audience hoots and the host interrupts, she somehow manages to ask all the right questions (``Don't you two think it's time to really talk to each other?''), and then -- quickly -- she dispenses answers (``The thing is, you must take control of your own life!''). </P> "	"nyt_eng_199501.gz"
"11720"	"it"	"appears"	" Bipartisanship, it appears, exists when Gingrich gets his way and the Democrats go quietly along with whatever he wants. This is an unnatural political condition and cannot last. </P> "	"nyt_eng_199501.gz"
"11774"	"it"	"appears"	" The only winners so far, it appears, are people like James Wilkerson, 30, a collector who is scooping up bargains from distressed dealers. ``I'm mad at both sides of the dispute,'' he said. ``But the deals on cards, especially hockey, are really too good to pass up.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950106.0293 type=story > <HEADLINE> IN FIRST SKIRMISH, DEMS SAY GOP WOULD GUT MEDICARE </HEADLINE> <DATELINE> WASHINGTON  (BC-CONGRESS-500(2TAKES)-NYT) </DATELINE> <TEXT> "	"nyt_eng_199501.gz"
"11938"	"it"	"appears"	" The Secret Service's distress over underwear became the first one-liner in the company's seemingly endless underwear shtick. Underwear, it appears, in this puritanical land, somehow reduces even the sophisticated into Beavises and Buttheads. </P> "	"nyt_eng_199501.gz"
"11939"	"it"	"appears"	" The Secret Service's distress over underwear became the first one-liner in the company's seemingly endless underwear shtick. Underwear, it appears, in this puritanical land, somehow reduces even the sophisticated into Beavises and Buttheads. </P> "	"nyt_eng_199501.gz"
"12968"	"it"	"appears"	" And so, it appears, Wilkins has a friend in the Celtics inner circle. How many friends does Ford have there? Carr was the one who gave him the security of a contract extension, an extension Ford said he needed to command the respect of his players. Yet Carr has been curiously quiet during this ``communication problem'' between his first free agent and his first coach. </P> "	"nyt_eng_199501.gz"
"13188"	"it"	"appears"	" Nothing, it appears, even though some investors were getting private word that made them antsy. </P> "	"nyt_eng_199501.gz"
"15475"	"it"	"appears"	" The man who raced to the front of the idealistic and activist baby boomers, it appears, was not very different from Lyndon Baines Johnson, the president he had demonstrated against in anti-Vietnam War protests. </P> "	"nyt_eng_199502.gz"
"15476"	"it"	"appears"	" The man who raced to the front of the idealistic and activist baby boomers, it appears, was not very different from Lyndon Baines Johnson, the president he had demonstrated against in anti-Vietnam War protests. </P> "	"nyt_eng_199502.gz"
"15697"	"it"	"appears"	" The man who raced to the front of the idealistic and activist baby boomers, it appears, was not very different from Lyndon Baines Johnson, the president he had demonstrated against in anti-Vietnam War protests. </P> "	"nyt_eng_199502.gz"
"15698"	"it"	"appears"	" The man who raced to the front of the idealistic and activist baby boomers, it appears, was not very different from Lyndon Baines Johnson, the president he had demonstrated against in anti-Vietnam War protests. </P> "	"nyt_eng_199502.gz"
"16335"	"it"	"appears"	" After playing straight man to a St. Bernard in two family comedies, ``Beethoven'' and ``Beethoven's 2d,'' he is exiting from the movies -- and, it appears, from stage acting, directing, writing plays and writing books, to name some of his other pursuits. Enter Charles Grodin, cable talk-show star. </P> "	"nyt_eng_199503.gz"
"16643"	"it"	"appears"	" Blake, it appears, could be sidelined for a month, and certainly he'll be off skates at least a week. Kurri, who ``heals fast'' according to Melrose, thinks he'll be available Monday in Toronto but admitted it might be wise taking ``a good day off of rest.'' </P> "	"nyt_eng_199503.gz"
"16672"	"it"	"appears"	" In the fillies' race, it appears, Lukas may need only Serena's Song, who demonstrated again in Sunday's $211,600 Santa Anita Oaks that she has a nose for the wire. </P> "	"nyt_eng_199503.gz"
"17307"	"it"	"appears"	" We want baseball back, but with a new attitude, something a little more user-friendly than we've seen in the past. The only thing worse than no ball is the same old bad behavior that poisoned the ballpark atmosphere in the past. And that, it appears, is precisely what we're about to get. </P> "	"nyt_eng_199503.gz"
"17709"	"it"	"appears"	" Kozyrev was lucky not to be in Moscow that day because the Moscow regional electrical authority cut power to many of the elevators -- including those used exclusively by Kozyrev and his principal deputies -- in the enormous, gothic Foreign Ministry building that towers over Smolenskaya Square in central Moscow. For many months now, it appears, the Foreign Ministry has failed to pay its electricity bills. </P> "	"nyt_eng_199503.gz"
"19660"	"it"	"appears"	" Joe Montana, it appears, has thrown his last pass. Fortunately, his last pass won't be remembered -- an incomplete fizzler during the Kansas City Chiefs' loss to Miami in the AFC playoffs last December. </P> "	"nyt_eng_199504.gz"
"19951"	"it"	"appears"	" Yet none of this is discussed or shown in ``500 Nations.'' The only Indian flaw, it appears, was an occasional penchant for warring on each other. </P> "	"nyt_eng_199504.gz"
"20392"	"it"	"appears"	" And, it appears, he's staying. </P> "	"nyt_eng_199504.gz"
"21780"	"it"	"appears"	" It is this rich history that beckons me for an overnight visit. On a Sunday afternoon, I set out from Ashland, taking U.S. Highway 99 north a few miles to Phoenix, where I connect with the Stage Road South. It's a pretty drive that meanders through a countryside dotted with orchards, farms, rolling hills and bucolic scenes of horses and cows grazing. By the time I reach Jacksonville's downtown, I am in a mellow mood. So, it appears, are the town's other visitors, who are ambling along the sidewalks, many with ice cream cones in hand or pieces of Mrs. Beekman's fudge from the Back Porch shop. </P> "	"nyt_eng_199505.gz"
"22129"	"it"	"appears"	" Honda Racing, it appears, is an oxymoron no more. A year ago, that seemed to be the case when Bobby Rahal,who bore the torch for Honda's debut in the PPG Indy Car World Series, ended his season by switching to Mercedes-Benz. Enter Steve Horne,owner of Tasman Motorsports, who this season helped Honda save face by joining forces with Robert Clarke,general manager of Honda Performance Development, to put a competitive package on the track for drivers Scott Goodyear and rookie Andre Ribeiro. ``What we have now is a totally different engine, with an alloy block and revised induction system,'' Clarke said. ``Most of the performance gains have been made in the induction area.'' While they ran an old HRX engine last season and in the first five races this season, Honda engineers developed a new aluminum block engine, the HRH. ``I think the opportunity to work with Honda is a once-in-a-lifetime proposition,'' said Horne. ``When the opportunity came up, there was no question in my mind what we wanted to do, because there was no downside for us.'' Even by marrying the engine with a Reynard chassis and Firestone tires? ``I didn't feel like we were rolling the dice with Honda and Firestone,'' Horne said. ``I think I looked at the facts. And the facts are that Honda had a difficult year last year, but if you look at their previous history in racing (specifically in Formula One, where Honda developed a dominant engine for Team McLaren), you'd have to be blind not to recognize their record of success over the years. I didn't see any dice involved in that.'' ... Scott Sharp of East Norwalk, Conn., who made his Indy 500 debut last year with PacWest Racing, landed a ride with A.J. Foyt and will drive a year-old Lola-Ford Cosworth. During Friday's practice, Sharp went 224.003 m.p.h., the fastest tour he's ever made at the Brickyard. ``That was a lot faster than I thought we had run,'' said Sharp, who qualified 17th with a four-lap average of 222.091 m.p.h, a year ago. ``A.J. is just fantastic, honestly. Every change he's made has been a good change. You don't usually get that. You usually get a couple of good ones then one in the wrong direction. But he's just really helped me out. We're in a '94 car, so I'll be happy with any spot that will get me in securely.'' </P> "	"nyt_eng_199505.gz"
