"pronoun"	"verb"	"context"	"filename"
"1156"	"you"	"are"	" ``The larger you are, the more capable, presumably, you are,'' Nisbet said Wednesday. ``It certainly gives you increased recognition as a primary source for defense products.'' </P> "	"nyt_eng_199407.gz"
"1423"	"we"	"are"	" Nonetheless, we are, as a nation, moving steadily toward more and more choice in our partnering possibilities. </P> "	"nyt_eng_199407.gz"
"3641"	"they"	"are"	" These signs have returned with the start of school. If I took better care of my yard, I'd know the students are messing it up. As it is, I can't always be sure. As it is, the part of the yard through which they pass is in the process of returning to nature. I believe the schoolkids may be speeding up the process. If so, they are, as I suspected all along, allied with the possums. </P> "	"nyt_eng_199408.gz"
"4627"	"they"	"are"	" ``Obviously, they are, but they're not playing nine-man fronts all the time,'' Graber said. ``We can't continue to win unless we control the ball on the offensive side and on the defensive side.'' </P> "	"nyt_eng_199409.gz"
"4824"	"they"	"are"	" If nothing else, they are, as Limbaugh notes, a well-dressed group. The tickets -- available by calling (212) 397-7367 Monday through Thursday from 7 to 10 a.m. Pacific time -- request jacket and tie, a provision unheard of since the days of Jack Paar's ``Tonight Show,'' which much of this crowd looks old enough to remember. </P> "	"nyt_eng_199409.gz"
"5481"	"we"	"are"	" ``When we say we're going to take a fresh look, we are,'' McLearn said. </P> "	"nyt_eng_199409.gz"
"6982"	"they"	"are"	" Yeltsin has increasingly surrounded himself with loyalists from Yekaterinburg and his early Moscow days, rather the way an American president does. And these officials, with all the perks of office, know that once Yeltsin is gone, they are, too. </P> "	"nyt_eng_199410.gz"
"13273"	"you"	"are"	" Hawke is a passionate fan of the classic Bob Dylan documentary ``Don't Look Back,'' in which a ferocious Dylan can be seen stomping on an interviewer who is trying to label him. ``The writer asks, `How do you feel as a folk singer?' And Dylan's, like, `I'm not a folk singer.' `Well, yes, you are, you sing folk songs.' And Dylan says, `I also go to sleep, but I'm not a sleeper. I do lots of things.' It's just that even the littlest labels end up stopping your head.'' </P> "	"nyt_eng_199501.gz"
"15301"	"we"	"are"	" ``Yes, we are,'' Howard said. </P> "	"nyt_eng_199502.gz"
"17687"	"we"	"are"	" A spokesman for Merrill Lynch &AMP; Co. said: ``We have been, we are, and we will continue to be, bidding in this market. If the Salomon offer illustrates the existing liquidity in the market, it can't be a bad thing.'' </P> "	"nyt_eng_199503.gz"
"17815"	"we"	"are"	" Other studies show that although Americans have been bombarded for a decade with advice on health, diet and exercise, we are, in 1995, fatter than ever. </P> "	"nyt_eng_199503.gz"
"21505"	"they"	"are"	" Indeed, they are, on average, the wealthiest Americans. </P> "	"nyt_eng_199505.gz"
"21563"	"they"	"are"	" Indeed, they are, on average, the wealthiest Americans. </P> "	"nyt_eng_199505.gz"
"21591"	"they"	"are"	" But this is a working port. While tourists may think that Eugenia Moran, E.F. Moran and Nancy Moran, the red and black tugboats tied up at the Ceres Street dock, add a charming ambiance, especially when veiwed from the waterfront restaurants along Ceres and Bow Streets, they are, in fact, workboats. The tugs are used to dock and undock ships on the Piscataqua River, notorious for its swift currents (averaging 3 to 4 knots) and tidal changes (a 9-foot rise and fall). </P> "	"nyt_eng_199505.gz"
"22589"	"you"	"are"	" I hear what you're saying. You're saying, ``Dave, you are, once again, an idiot. A horn is an important safety feature. It sounds a warning to other motorists or pedestrians or animals and alerts them to your presence. Horn honking prevents accidents.'' </P> "	"nyt_eng_199505.gz"
"22728"	"they"	"are"	" That's hardly a safer alternative. Christine and her classmates now find themselves in a legal no man's land. At 18, they're considered adults. Yet when they want to enjoy a drink like other adults, they are, as they put it, ``disenfranchised.'' </P> "	"nyt_eng_199505.gz"
"22843"	"they"	"are"	" That's hardly a safer alternative. Christine and her classmates now find themselves in a legal no man's land. At 18, they're considered adults. Yet when they want to enjoy a drink like other adults, they are, as they put it, ``disenfranchised.'' </P> "	"nyt_eng_199505.gz"
"23000"	"you"	"are"	" But if your pecs jiggle and your belly wobbles, you are, as Foreman discovered during his comeback, derided for not caring, being a travesty to heavyweight boxing history, as if the sport does not damage itself fine on its own. And if you come back after you've spent a decade chopping trees, shaving your hair off and preaching on Texas street corners, you are quite the porcine oddity. </P> "	"nyt_eng_199505.gz"
"23478"	"they"	"are"	" In Dyson's view, it is the CIGs, among them the Metropolitan Museum and Carnegie Hall, that bring in those big tourist bucks. About that, Dyson is clearly accurate. As for the program groups, whose fate he would leave mostly to challenge grants, they are, he said once, simply recipients of ``clubhouse type political handouts.'' About that, he is not right. </P> "	"nyt_eng_199505.gz"
"25710"	"we"	"are"	" ``There are some items in this budget which the Legislature considers priorities in the local level,'' he said. ``We can't forget that the Legislature is closer to the local spending needs than, perhaps, we are, but we are going to look at those items on a case-by-case basis.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950619.0739 type=story > <HEADLINE> CIGAR, CONCERN COULD MEAN $1 MILLION PURSE </HEADLINE> <DATELINE>  (BC-RAC-GOLDCUP-LADN) </DATELINE> <TEXT> "	"nyt_eng_199506.gz"
"26192"	"they"	"are"	" Yet despite the way many of them gripe about New York City's schools as if they were in the national cellar, they are, by several measures, better than most urban school systems. </P> "	"nyt_eng_199506.gz"
"26317"	"they"	"are"	" ``I kept thinking about close friends of mine that I've lost,'' said Maurice Franklin, board secretary for the group, when the march resumed. ``And I just tried to bring them into the parade. Wherever I am, they are, too.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950625.0204 type=story > <HEADLINE> AGGRESSIVE STRATEGY BY NRA HAS LEFT ITS FINANCES REELING </HEADLINE> <DATELINE>  (BC-NRA-DEFICITS-ART-2TAKES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199506.gz"
"26338"	"they"	"are"	" Yet despite the way many of them gripe about New York City's schools as if they were in the national cellar, they are, by several measures, better than most urban school systems. </P> "	"nyt_eng_199506.gz"
"28785"	"they"	"are"	" Behind them, a wonderful photo of two ladies on an East Hampton beach wearing almost identical dresses. Made of heavy eyelet cotton and linen with lace inserts, they are, said Nora Cammon, the curator, ``masterpieces of construction; the handwork is mind-boggling.'' </P> "	"nyt_eng_199507.gz"
