"pronoun"	"verb"	"context"	"filename"
"1170"	"they"	"argue"	" For one thing, they argue, economic growth is gearing down to an annual rate of 3 percent or so, which is more or less in line with the nation's capacity to expand without suffering production bottlenecks that result in shortages, rising prices and a higher inflation rate. That kind of concern played a role in the Federal Reserve's decision to slow the economy by raising rates, beginning in February. Greenspan indicated in his testimony yesterday that the Fed did not yet know whether the economy had slowed enough to rule out another rise in interest rates. </P> "	"nyt_eng_199407.gz"
"1289"	"they"	"argue"	" If the United States or other countries had responded more aggressively to appeals for intervention by the United Nations Secretary General, Boutros Boutros-Ghali, they argue, they might not need to cope now with what has become a monumental relief burden. </P> "	"nyt_eng_199407.gz"
"2135"	"they"	"argue"	" That is, there is a segment of society -- reflected by this judge -- which believes that the mother of small children belongs at home with them no matter what extenuating circumstances there might be. Day care is not needed, they argue, if women do as they should and stay home. And, whether elected politicians, judges, or voters, they apply pressure to keep day care opportunities and better pay for providers in check. </P> "	"nyt_eng_199408.gz"
"2221"	"they"	"argue"	" Currently, most of these organizations get discounts from doctors and other medical providers by promising to provide them with a minimum amount of business. If they are forced to hire an unlimited number of professionals, they argue, they could no longer guarantee business and would not receive the discounts. </P> "	"nyt_eng_199408.gz"
"2385"	"they"	"argue"	" No one is suggesting that animals are just little people with fur or feathers. Instead, they argue, many species give strong indications of possessing self-awareness, awareness of others and a certain degree of foresight and intention, all traits that the orthodox anti-anthropomorphists insist animals do not have. The researchers say that by granting their nonhuman subjects a measure of motivation and desire they end up asking comparatively more compelling questions and devising more revealing experiments. </P> "	"nyt_eng_199408.gz"
"2416"	"they"	"argue"	" But other welfare experts argue that mothers forced into low-wage jobs that are unfulfilling might be resentful, overwhelmed by stress and unable to pay for quality child care. And poor children, they argue, are particularly in need of child care that offers an enriched environment in which they are encouraged to learn. </P> "	"nyt_eng_199408.gz"
"3171"	"they"	"argue"	" HMO executives argue that the solution to patient choice isn't to undermine the structure of their plans by forcing them to accept doctors they don't want. Instead, they argue, employers should offer different types of insurance for consumers, including fee-for-service plans. </P> "	"nyt_eng_199408.gz"
"3432"	"they"	"argue"	" Because their acts are ``worthy'' of an adult, some strive to treat them as such. They argue that the age for being shunted into the adult criminal system should be lowered to 14, 13, 12. Barring that, they argue, the best thing to do is build more juvenile prisons and boot camps. </P> "	"nyt_eng_199408.gz"
"3476"	"they"	"argue"	" For Serbs who have remained in Sarajevo throughout the 28-month siege, it is particularly frustrating to hear Western radio broadcasts quote Karadzic as ``the Bosnian Serb leader.'' Bosnian Serbs are not a monolith, they argue, a fact borne out by their own refusal to leave Sarajevo for the supposed security of Serbian-controlled territory. </P> "	"nyt_eng_199408.gz"
"3928"	"they"	"argue"	" To preserve good sound quality, they argue, Nextel would have had to serve fewer customers. ``This thing was not built to be a cellular system,'' said Jack Grubman, a telecommunications analyst with Salomon Brothers. ``Something had to give somewhere.'' </P> "	"nyt_eng_199409.gz"
"4789"	"they"	"argue"	" To some, what is happening was inevitable. The ``national pastime'' label, they argue, became spurious when Americans began watching television for an average of seven hours a day. </P> "	"nyt_eng_199409.gz"
"4790"	"they"	"argue"	" To some, what is happening was inevitable. The ``national pastime'' label, they argue, became spurious when Americans began watching television for an average of seven hours a day. </P> "	"nyt_eng_199409.gz"
"4791"	"they"	"argue"	" To some, what is happening was inevitable. The ``national pastime'' label, they argue, became spurious when Americans began watching television for an average of seven hours a day. </P> "	"nyt_eng_199409.gz"
"4956"	"they"	"argue"	" To some, what is happening was inevitable. The ``national pastime'' label, they argue, became spurious when Americans began watching television for an average of seven hours a day. </P> "	"nyt_eng_199409.gz"
"4957"	"they"	"argue"	" To some, what is happening was inevitable. The ``national pastime'' label, they argue, became spurious when Americans began watching television for an average of seven hours a day. </P> "	"nyt_eng_199409.gz"
"4958"	"they"	"argue"	" To some, what is happening was inevitable. The ``national pastime'' label, they argue, became spurious when Americans began watching television for an average of seven hours a day. </P> "	"nyt_eng_199409.gz"
"4976"	"they"	"argue"	" To some, what is happening was inevitable. The ``national pastime'' label, they argue, became spurious when Americans began watching television for an average of seven hours a day. </P> "	"nyt_eng_199409.gz"
"4977"	"they"	"argue"	" To some, what is happening was inevitable. The ``national pastime'' label, they argue, became spurious when Americans began watching television for an average of seven hours a day. </P> "	"nyt_eng_199409.gz"
"4978"	"they"	"argue"	" To some, what is happening was inevitable. The ``national pastime'' label, they argue, became spurious when Americans began watching television for an average of seven hours a day. </P> "	"nyt_eng_199409.gz"
"5091"	"they"	"argue"	" As a result of heavy industry lobbying, the Senate measure wound up with so many restrictions that many analysts predict it would actually reduce competition. The many new rules, they argue, would skew decisions on how to invest hundreds of billions of dollars in new technology and endanger the nation's global competitive advantage. </P> "	"nyt_eng_199409.gz"
"5530"	"they"	"argue"	" With fewer people leaving the shelters, they argue, fewer spaces open up for families entering the shelter system. ``The escalating violations over the last couple of months are directly attributable to certain of the budget cuts,'' Banks said. </P> "	"nyt_eng_199409.gz"
"5819"	"they"	"argue"	" The biggest challenge facing the next governor, they argue, is that much of the tax burden in New York is imposed by cities, towns and counties, whose finances are interwowen with Albany's in a tangle of money and politics. </P> "	"nyt_eng_199410.gz"
"6486"	"they"	"argue"	" Charter school advocates argue that parents who can afford private schools have genuine choices, while those who cannot have very few. Charter schools, they argue, give such choices to those who want to stay in public schools. Charter schools are set up with specific mission statements and learning goals and can lose their charters if they do not achieve the goals they set. </P> "	"nyt_eng_199410.gz"
