"pronoun"	"verb"	"context"	"filename"
"208"	"she"	"argued"	" Medical costs, she argued, will overwhelm the public and the government unless they are controlled, and medical costs cannot be controlled until the uninsured pay their share of the bill. Therefore, everyone must be insured. </P> "	"nyt_eng_199407.gz"
"582"	"he"	"argued"	" ``Most of the time, a spinoff is the better answer so you can eliminate any debate about valuation,'' he said. But, he argued, because spinoffs are not always possible because of tax and credit-rating consequences, targeted stock is the next best thing. </P> "	"nyt_eng_199407.gz"
"797"	"they"	"argued"	" The Clinton plan, they argued, would exempt 85 percent of recipients in the first year and provides a ``near entitlement'' of two years of education and training that would keep some people on welfare rolls even longer. </P> "	"nyt_eng_199407.gz"
"865"	"he"	"argued"	" Clinton also mocked accusations that his plan would turn the medical system over to the government -- in fact, he argued, his proposal is less intrusive than the existing Medicare system -- and that it would cripple small businesses by raising their insurance costs. </P> "	"nyt_eng_199407.gz"
"969"	"he"	"argued"	" Gardner had another suggestion. Rather than encourage weaker teams to play for a tie and take their chances with penalty kicks, he said to try counting corner kicks. That, he argued, would mean breaking a tie with a statistic that measures a team's effectiveness attacking. </P> "	"nyt_eng_199407.gz"
"1117"	"he"	"argued"	" ``They cannot claim something that they never owned,'' Meshorer said. If such ex-post-facto claims were allowed, he argued, then Israel should be allowed to retrieve valuable biblical-era objects taken by the Turks to Istanbul when they controlled the area. </P> "	"nyt_eng_199407.gz"
"1123"	"she"	"argued"	" Cuomo, she argued, has not received his due from a negativist press, particularly given the difficulty of leading such a diverse and populous state through a long recession. </P> "	"nyt_eng_199407.gz"
"1146"	"he"	"argued"	" His broader objection to a move toward globally managed exchange rates, however, is that it would not be practical. European countries, he argued, have a strong incentive to coordinate policies because their economies are exceptionally interdependent. </P> "	"nyt_eng_199407.gz"
"1583"	"he"	"argued"	" New York, he argued, had just increased the size of its police force to what it considered an optimum strength of 31,000, up nearly 5,000 from four years earlier. It did not need more officers, Giuliani said; what it needed was more technology and more civilians so the department could put more of those already on the force on the front lines. </P> "	"nyt_eng_199407.gz"
"1725"	"he"	"argued"	" Such an exclusion, he argued, went against the standard requirement that the police fully investigate and give the defense any information that might reasonably be expected to help clear the defendant. </P> "	"nyt_eng_199407.gz"
"2250"	"he"	"argued"	" But, he argued, it can also be interpreted as magnanimous, even protective, because it made her unattractive and less likely to be raped by other soldiers. </P> "	"nyt_eng_199408.gz"
"2356"	"he"	"argued"	" But, he argued, it can also be interpreted as magnanimous, even protective, because it made her unattractive and less likely to be raped by other soldiers. </P> "	"nyt_eng_199408.gz"
"2417"	"he"	"argued"	" But, he argued, shareholders know when they buy a fund that ``a very substantial degree of flexibility'' has been retained by the fund manager, whose reputation and track record is the real attraction to customers. </P> "	"nyt_eng_199408.gz"
"2469"	"he"	"argued"	" But, he argued, shareholders know when they buy a fund that ``a very substantial degree of flexibility'' has been retained by the fund manager, whose reputation and track record is the real attraction to customers. </P> "	"nyt_eng_199408.gz"
