"pronoun"	"verb"	"context"	"filename"
"464"	"he"	"argues"	" In Peter Collier's new book on the Roosevelts, he attempts to overcome a popular perception that the families of Theodore and Franklin D. Roosevelt were distinct, separated by age, geography, political parties and bloodlines. Instead, he argues, the Roosevelts were linked closely during their time at the forefront of history. </P> "	"nyt_eng_199407.gz"
"483"	"it"	"argues"	" The Council of New York Cooperatives, however, is lobbying for an even earlier release. The names, it argues, are critical to the data needed to win an insurance settlement. </P> "	"nyt_eng_199407.gz"
"718"	"he"	"argues"	" What, then, would Zimmerman do to prevent teen-agers from being hooked by Joe Camel? ``If we were really serious about it,'' he says, ``we'd stop sales of cigarettes from vending machines'' where children have access. In general, he argues, ``the biggest payoff at the lowest cost,'' would come through tough enforcement of laws against under-age smoking. </P> "	"nyt_eng_199407.gz"
"1239"	"he"	"argues"	" The strategic impact of surging populations, spreading disease, disappearing forests and other related blights, he argues, will make the environment the preeminent national security issue of the early 21st century. </P> "	"nyt_eng_199407.gz"
"1240"	"he"	"argues"	" The strategic impact of surging populations, spreading disease, disappearing forests and other related blights, he argues, will make the environment the preeminent national security issue of the early 21st century. </P> "	"nyt_eng_199407.gz"
"1249"	"he"	"argues"	" The strategic impact of surging populations, spreading disease, disappearing forests and other related blights, he argues, will make the environment the preeminent national security issue of the early 21st century. </P> "	"nyt_eng_199407.gz"
"1250"	"he"	"argues"	" The strategic impact of surging populations, spreading disease, disappearing forests and other related blights, he argues, will make the environment the preeminent national security issue of the early 21st century. </P> "	"nyt_eng_199407.gz"
"1402"	"he"	"argues"	" The strategic impact of surging populations, spreading disease, disappearing forests and other related blights, he argues, will make the environment the preeminent national security issue of the early 21st century. </P> "	"nyt_eng_199407.gz"
"1403"	"he"	"argues"	" The strategic impact of surging populations, spreading disease, disappearing forests and other related blights, he argues, will make the environment the preeminent national security issue of the early 21st century. </P> "	"nyt_eng_199407.gz"
"1488"	"he"	"argues"	" In the last decade the market has segmented; demand for places at the highest ranked colleges increased even as second- and third-tier colleges were unable to fill classes with qualified students. But no law of economics, he argues, guarantees that these trends will hold. </P> "	"nyt_eng_199407.gz"
"1502"	"he"	"argues"	" In the last decade the market has segmented; demand for places at the highest ranked colleges increased even as second- and third-tier colleges were unable to fill classes with qualified students. But no law of economics, he argues, guarantees that these trends will hold. </P> "	"nyt_eng_199407.gz"
"2907"	"he"	"argues"	" Transferring responsibilities for Medicaid to private businesses will generate substantial savings, he argues, perhaps even obviating the need for more burden-sharing by insurers' paying customers. </P> "	"nyt_eng_199408.gz"
"2961"	"he"	"argues"	" Uwe Reinhardt, an economist at Princeton's Woodrow Wilson School, adds an ominous note to the debate about whether incipient market forces are indeed taming cost inflation. Most of the savings, he argues, have actually been driven by employers and insurers, who have become more vigilant in preventing physicians and hospitals from passing along costs not covered by Medicaid or by walk-in patients lacking the means to pay. </P> "	"nyt_eng_199408.gz"
"2962"	"he"	"argues"	" ``A lot of this fat will be squeezed out,'' he predicts. And as a result, the pressures to skimp on the quality of care for the poor will grow, he argues, and ``the unwritten catastrophic insurance'' now provided to the formally uninsured ``may not get financed.'' </P> "	"nyt_eng_199408.gz"
"4032"	"he"	"argues"	" For two decades he has studied structures inside neurons known as microtubules. These protein cylinders, which lend structure to neurons, are computing systems unto themselves, he argues, adding unimaginable complexity to the network of three billion neurons that make up the human brain. </P> "	"nyt_eng_199409.gz"
"4512"	"he"	"argues"	" ``We alone are capable of understanding and feeling the weight of the meaning of eating, at once form and life preserving and form and life destroying.'' This knowledge, he argues, makes it possible and imperative to sanctify the act of eating. </P> "	"nyt_eng_199409.gz"
"4749"	"he"	"argues"	" Stelzer is more sanguine. If the Dodgers or the New York Yankees had to worry about local competition, he argues, they would do what was necessary to reduce other teams' financial incentives to poach on their franchises. </P> "	"nyt_eng_199409.gz"
"5519"	"he"	"argues"	" Priced right, he argues, devices like Magic Link could be widely appealing. ``I am sending this from Japan,'' Brown commented in his E-mail missive, ``and it's amazing how easy it is to make it work from here.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940927.0400 type=story > <HEADLINE> A DIRECTOR WITH A TASTE FOR SURPRISE AND DANGER </HEADLINE> <DATELINE> LONDON  (BC-DONNELLAN-THEATER-ART-2TAKES-$ADV02-NYT) </DATELINE> <TEXT> "	"nyt_eng_199409.gz"
