"pronoun"	"verb"	"context"	"filename"
"1041"	"I"	"ask"	" ``If I don't know something, I ask,'' Switzer said. ``But think about this: Having been at Oklahoma, I coached against a lot of the great college players who are now playing in the NFL. Hell, a lot of them were guys I coached.'' </P> "	"nyt_eng_199407.gz"
"1785"	"you"	"ask"	" What, you ask, is this magical money-making mechanism? </P> "	"nyt_eng_199407.gz"
"2661"	"I"	"ask"	" ``Women to me are not a category that can be so easily analyzed. When asked whether women are more active in politics, I ask, `Which ones?' The housewives, students, workers, professionals -- they all play different roles, but there is a long way to go.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940812.0296 type=story > <HEADLINE> DAY'S HEALTH REFORM DEVELOPMENTS AT A GLANCE </HEADLINE> <DATELINE> WASHINGTON  (BC-HEALTH-GLANCE-COX) </DATELINE> <TEXT> "	"nyt_eng_199408.gz"
"2673"	"I"	"ask"	" ``Women to me are not a category that can be so easily analyzed. When asked whether women are more active in politics, I ask, `Which ones?' The housewives, students, workers, professionals -- they all play different roles, but there is a long way to go.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940812.0338 type=story > <HEADLINE> THE ROAD TO SUMMITVILLE, A GOLD MINING DEBACLE </HEADLINE> <DATELINE>  (BC-GALACTIC-RESOURCES-GOLD-ART-3TAKES-$ADV14-NYT) </DATELINE> <TEXT> "	"nyt_eng_199408.gz"
"5042"	"they"	"ask"	" Why, they ask, was Exxon reimbursed $39.9 million for its cleanup efforts in the years following the spill? That sum, the point out, is almost as much as the $43 million the trustees have spent to buy land for habitat protection. </P> "	"nyt_eng_199409.gz"
"5415"	"you"	"ask"	" But alas, those are simply the environs. What about the clothes, you ask, the all-important clothes? </P> "	"nyt_eng_199409.gz"
"6872"	"they"	"ask"	" They see negotiations with other Arabs on fast forward -- a self-rule deal with the Palestinians, interest offices with Morocco and Tunisia, now a treaty with Jordan to accompany one signed 15 years ago with Egypt. Why, they ask, does the Sphinx-like Assad seem stuck on pause? </P> "	"nyt_eng_199410.gz"
"7463"	"they"	"ask"	" When a new standard is proposed in construction, company owners and trade groups can be counted on to protest. How, they ask, do you expect this to fly in our industry? What about the cost, which OSHA is required to consider? </P> "	"nyt_eng_199410.gz"
"7536"	"they"	"ask"	" ``The middle class hasn't gone anywhere in a long time ... there's no uplifting distraction, like a war, and there are no heroes, no Joe DiMaggio or Martin Luther King or Bobby Kennedy, not even old Ronald Reagan, that genial man they grabbed because there was nobody else ... they conclude that government has failed to solve problems, like crime and the homeless and drugs, which is certainly true, so why, they ask, should they give government any more money? ... the American people are in a mood to pay a quarter and throw three balls at the clown's head, and I keep sticking my head into the circle.'' </P> "	"nyt_eng_199410.gz"
"7541"	"they"	"ask"	" ``The middle class hasn't gone anywhere in a long time ... there's no uplifting distraction, like a war, and there are no heroes, no Joe DiMaggio or Martin Luther King or Bobby Kennedy, not even old Ronald Reagan, that genial man they grabbed because there was nobody else ... they conclude that government has failed to solve problems, like crime and the homeless and drugs, which is certainly true, so why, they ask, should they give government any more money? ... the American people are in a mood to pay a quarter and throw three balls at the clown's head, and I keep sticking my head into the circle.'' </P> "	"nyt_eng_199410.gz"
"8306"	"I"	"ask"	" To my unnamed friend, I ask, who made the decision here? Was it Stephen or was it Sarah? Or was Stephen merely tempted by the snake in the parking lot? </P> "	"nyt_eng_199411.gz"
"8308"	"I"	"ask"	" To my unnamed friend, I ask, who made the decision here? Was it Stephen or was it Sarah? Or was Stephen merely tempted by the snake in the parking lot? </P> "	"nyt_eng_199411.gz"
"8648"	"they"	"ask"	" But cases like Hill's expose a conflict between the defendant's rights and society's interest in punishing with death only when it is warranted, experts in criminal law say. How can anyone be sure the death penalty is appropriate, they ask, if mitigating evidence that may exist was not presented? </P> "	"nyt_eng_199411.gz"
"8672"	"we"	"ask"	" When indicators of immunity point in different directions, the Eleventh Amendment's twin reasons for being remain our prime guide. See supra, at 8-9. We have already pointed out that federal courts are not alien to a bistate entity Congress participated in creating. Nor is it disrespectful to one State to call upon the Compact Clause entity to answer complaints in federal court. See supra, at 11. Seeing no genuine threat to the dignity of New York or New Jersey in allowing Hess and Walsh to pursue FELA claims against PATH in federal court, we ask, as Lake Country instructed, whether there is here ``good reason to believe'' the States and Congress designed the Port Authority to enjoy Eleventh Amendment immunity. 440 U. S., at 401. </P> "	"nyt_eng_199411.gz"
"9131"	"they"	"ask"	" And the local governments worry that the ballot question has eroded their power. Why, they ask, should voters in the Berkshires and on Cape Cod get to decide what happens in Boston, Brookline and Cambridge? </P> "	"nyt_eng_199411.gz"
"14461"	"they"	"ask"	" To that kind of rationale for public broadcasting, the critics respond with cries of ``elitism!'' Why, they ask, should the public pay for programs watched only by a well-to-do elite in New York and Boston and San Francisco? </P> "	"nyt_eng_199502.gz"
"14524"	"they"	"ask"	" To that kind of rationale for public broadcasting, the critics respond with cries of ``elitism!'' Why, they ask, should the public pay for programs watched only by a well-to-do elite in New York and Boston and San Francisco? </P> "	"nyt_eng_199502.gz"
"17019"	"I"	"ask"	" ``We've heard the same rhetoric about compassion,'' said Rep. Gerald B.F. Solomon, R-N.Y., who as chairman of the House Rules Committee played an influential role in shepherding the legislation to the floor. ``If we don't make these cuts and more, we're going to add another trillion dollars to our four-and-a-half trillion dollar national debt. What, I ask, is so compassionate about saddling our children and grandchildren with such staggering debt?'' </P> "	"nyt_eng_199503.gz"
"20327"	"you"	"ask"	" And what, you ask, is eternity? For an initial definition, let us turn to Lucretius, the Latin poet who once wrote the great generic poem, ``On the Nature of Things.'' (Imagine trying to get away with that sort of title today. Imagine writing a book called, say, ``About Some Stuff.'' Why, you'd be told, ``Find your niche market, fool!'') </P> "	"nyt_eng_199504.gz"
"20769"	"they"	"ask"	" For the only constraints on defense theories are ``what the jury is going to believe,'' said Ronald Kuby, who with William Kunstler initially represented Ferguson. ``When lawyers sit down and sketch out possible defenses with their clients, they ask, `Is this believable?' And only then do you engage in the question, `Is it true?' </P> "	"nyt_eng_199504.gz"
"20856"	"I"	"ask"	" Baiul said: ``There are people who say we are enemies, Nancy and me. I mean, we even help each other. Like when I change costumes, I ask, `Will you hook me?' And maybe she says, `Oksana, do you have tape for my ankles?''' </P> "	"nyt_eng_199504.gz"
"20905"	"they"	"ask"	" For the only constraints on defense theories are ``what the jury is going to believe,'' said Ronald Kuby, who with William Kunstler initially represented Ferguson. ``When lawyers sit down and sketch out possible defenses with their clients, they ask, `Is this believable?' And only then do you engage in the question, `Is it true?' </P> "	"nyt_eng_199505.gz"
"21622"	"you"	"ask"	" Naturally then, you are worried about your future. Does it make sense, you ask, to go to work for a great company like Consolidated? </P> "	"nyt_eng_199505.gz"
"22914"	"you"	"ask"	" What, you ask, is the official dirt, er, soil of Kansas? </P> "	"nyt_eng_199505.gz"
"23336"	"I"	"ask"	" ``I'm not against dessert,'' Gullo said. ``But it is not part of a weight-loss program. Have it on special occasions.'' If they are not trying to lose weight, Gullo tells clients to ask themselves a question when considering rich desserts. ``I ask the men, do you like it enough to wear it? For women, I ask, do you like it enough to wear a larger size?'' </P> "	"nyt_eng_199505.gz"
"23857"	"you"	"ask"	" But, you ask, why were these Wimbledon champs, Stich and Edberg, facing off in the second round? It was testimony to Edberg's recession, unseeded for the first time in 41 major tournaments, a streak that began here in 1985. </P> "	"nyt_eng_199506.gz"
"26006"	"you"	"ask"	" First, you ask, what is a mule? It's the breeding result of a male donkey and female horse. A mule is gentle to ride, has stamina and is a pleasant companion, perfect as a mount to tread the steep trail to the bottom of Grand Canyon. Tourists do it every day, and the ride down and up is a kind of modern adventure. The trouble is that too many summer tourists want to ride the mules. NOW is not too late to reserve a mule Summer 1996. It's easier to go in the winter, but it's often a cold, uncomfortable ride. Sometimes you can sign up as a standby and, with luck, go the next day. More often not. There are two basic trips. Up and down in one day: $102 per person, including lunch. Down, overnight at Phantom Ranch, and up: $250.25 for accommodations and all meals. The rules: mandatory broad-brimmed hat, long pants, long-sleeved shirt, canteen and solid-toed shoes; each rider must be taller than 4 feet 7, speak fluent English, be in good physical shape and unafraid of heights; nobody rides who weighs even an ounce more than 200 pounds (fully clothed and carrying gear), and weight must be proportionate to height (''If you are significantly overweight, we cannot let you ride.'') And yes, park rangers weigh each and every rider _ ``Don't assume we'll ignore an extra pound or two and let you ride. We won't.'' The mule appreciates it. For details, contact Grand Canyon National Park Lodges, Box 699, Grand Canyon, Ariz. 86023 (602) 638-2401. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950622.0364 type=story > <HEADLINE> A FRENCH COUNTRY INN WITH a BRONX vvvvROOOOM! </HEADLINE> <DATELINE> NEW YORK (BC-NYC-COUNTRY-INN-ART-3TAKES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199506.gz"
"27376"	"they"	"ask"	" Rabin's military background, his rough speaking manner and even his uncertainties _ all are virtues, his supporters say, for they combine to persuade more than enough Israelis that they can trust him not to sell out their security interests. He has doubts? Well, so do they. But is that, they ask, an automatic reason not to move tentatively ahead? </P> "	"nyt_eng_199507.gz"
"27814"	"you"	"ask"	" And in what context, you ask, would that kind of comment be even remotely appropriate? </P> "	"nyt_eng_199507.gz"
"30952"	"they"	"ask"	" And that has some people really nervous. If the market should turn sharply, they ask, can Vinik's behemoth, already listing to one side because of its heavy concentration of technology stocks, possibly turn with it? Or will Magellan help set off a destructive chain reaction, jeopardizing not only its 3.6 million investors but the mutual fund industry and even the equity markets as a whole? </P> "	"nyt_eng_199508.gz"
