"pronoun"	"verb"	"context"	"filename"
"1544"	"she"	"asked"	" For example, she asked, ``Why does the disease seem to concentrate in one community and not another, even when those communities are very similar? What skills are needed to prevent risky sexual behavior? What messages should we give that would be effective in changing behavior?'' </P> "	"nyt_eng_199407.gz"
"1906"	"I"	"asked"	" I mentioned this to Fred Eckhard, a U.N. spokesman. Why, I asked, did the organization keep talking about </P> "	"nyt_eng_199408.gz"
"3887"	"he"	"asked"	" Consider the response Hudson got Tuesday when he asked radio listeners if they thought the electric chair was the right method. Should the state, he asked, consider switching to something more humane, such as lethal injection? </P> "	"nyt_eng_199409.gz"
"4104"	"he"	"asked"	" Then, Blando said, he asked, ``Who's going to take me upstairs?'' apparently referring to another security office on the second floor where the videocameras had taped events on the ground floor. </P> "	"nyt_eng_199409.gz"
"4380"	"he"	"asked"	" Dr. Brad Efron, a statistician at Stanford University, has a slightly different view. Since USAir has 20 percent of the domestic flights in the United States, he asked, what is the chance that if there are seven major airline crashes, any airline that has that proportion of the flights will account for four of the crashes? </P> "	"nyt_eng_199409.gz"
"4468"	"he"	"asked"	" Dr. Brad Efron, a statistician at Stanford University, has a slightly different view. Since USAir has 20 percent of the domestic flights in the United States, he asked, what is the chance that if there are seven major airline crashes, any airline that has that proportion of the flights will account for four of the crashes? </P> "	"nyt_eng_199409.gz"
"4640"	"he"	"asked"	" When she said she thought Simpson was guilty, he asked, ``Do you think he enjoyed it?'' </P> "	"nyt_eng_199409.gz"
"5787"	"he"	"asked"	" Why, he asked, would it not be also considered a right of those who are not terminally ill but seek suicide to escape suffering from chronic pain or mental illness? On what legal grounds, McGough asked, should only the competent be granted this right? </P> "	"nyt_eng_199409.gz"
"5795"	"he"	"asked"	" Want to know what a coach said the other day? The college football and basketball players will strike soon. That's right. He made a pretty good case too. How long, he asked, can they continue to earn millions for their universities and not even get meal and laundry money? </P> "	"nyt_eng_199409.gz"
"6201"	"he"	"asked"	" Uelman ridiculed the piecemeal investigation, noting how on Aug. 14 the police had removed from the Bronco a pair of Simpson's sneakers, ostensibly to determine his shoe size, when they already had access to 50 pairs of his shoes at his home. Did the police need 51 pairs of shoes, he asked, to make such a determination? </P> "	"nyt_eng_199410.gz"
"6552"	"he"	"asked"	" One attorney, however, did make a trenchant observation. What kind of lesson are we teaching, he asked, when youngsters learn by direct personal experience, on their school buses yet, that what is important is not so much good behavior itself as not getting caught at doing the other kind? </P> "	"nyt_eng_199410.gz"
"6961"	"he"	"asked"	" Besides, had not Kuwaitis voluntarily contributed part of their salaries to the Liberation Front's war of independence in Algeria in the 1950s, he asked, and again -- this without any irony -- to the Palestinian cause in the 1970s? </P> "	"nyt_eng_199410.gz"
"6962"	"he"	"asked"	" Besides, had not Kuwaitis voluntarily contributed part of their salaries to the Liberation Front's war of independence in Algeria in the 1950s, he asked, and again -- this without any irony -- to the Palestinian cause in the 1970s? </P> "	"nyt_eng_199410.gz"
"7039"	"he"	"asked"	" Besides, had not Kuwaitis voluntarily contributed part of their salaries to the Liberation Front's war of independence in Algeria in the 1950s, he asked, and again -- this without any irony -- to the Palestinian cause in the 1970s? </P> "	"nyt_eng_199410.gz"
"7040"	"he"	"asked"	" Besides, had not Kuwaitis voluntarily contributed part of their salaries to the Liberation Front's war of independence in Algeria in the 1950s, he asked, and again -- this without any irony -- to the Palestinian cause in the 1970s? </P> "	"nyt_eng_199410.gz"
"7445"	"she"	"asked"	" If the officers were looking for additional victims, she asked, why weren't they looking near the murder scene? </P> "	"nyt_eng_199410.gz"
"7670"	"I"	"asked"	" ``After the prayer, I asked, `How come you broke into my service?' and they said, `We don't have a CO,' Lee said, referring to the certificate of occupancy that is at the heart of the dispute. </P> "	"nyt_eng_199410.gz"
"7929"	"she"	"asked"	" Posing questions to Wilson during her speech, she asked, ``If you were teaching a class for a day at a public school -- as many former public officials do -- and thought one of the kids was an illegal alien, would you report the child? Would you report a neighbor if you thought he or she was an illegal alien?'' </P> "	"nyt_eng_199411.gz"
"7931"	"she"	"asked"	" Posing questions to Wilson during her speech, she asked, ``If you were teaching a class for a day at a public school -- as many former public officials do -- and thought one of the kids was an illegal alien, would you report the child? Would you report a neighbor if you thought he or she was an illegal alien?'' </P> "	"nyt_eng_199411.gz"
"8305"	"I"	"asked"	" Staring out the window like a kid looking for Santa Claus, Stephen asked, ``Is there any chance you could take me for a ride?'' As we started out the door, I asked, ``Don't you think you better tell Sarah where you are going?'' (I should note here that there has been an important change in Stephen's life recently. He married Sarah, who now also works at the restaurant.) </P> "	"nyt_eng_199411.gz"
"8307"	"I"	"asked"	" Staring out the window like a kid looking for Santa Claus, Stephen asked, ``Is there any chance you could take me for a ride?'' As we started out the door, I asked, ``Don't you think you better tell Sarah where you are going?'' (I should note here that there has been an important change in Stephen's life recently. He married Sarah, who now also works at the restaurant.) </P> "	"nyt_eng_199411.gz"
"10119"	"she"	"asked"	" In addition, one black woman, a 71-year-old retired ``cleaning officer,'' said when she heard neighbors discussing the police's chase of Simpson last June, she asked, ``Who's O.J.?'' </P> "	"nyt_eng_199412.gz"
"10651"	"she"	"asked"	" Of the film's makers, she asked, ``How dare they? How dare they put women who are already in a reviled position, who already risk their careers, who are not believed, how dare they reinforce this stereotype that's destroying women's lives?'' </P> "	"nyt_eng_199412.gz"
