"pronoun"	"verb"	"context"	"filename"
"460"	"she"	"asks"	" She cited Packwood's excuse that he was a victim of changing times. But, she asks, ``Was it ever OK to grab women's breasts and stick your tongue in their mouths and take their girdles off?'' </P> "	"nyt_eng_199407.gz"
"546"	"she"	"asks"	" She cited Packwood's excuse that he was a victim of changing times. But, she asks, ``Was it ever OK to grab women's breasts and stick your tongue in their mouths and take their girdles off?'' </P> "	"nyt_eng_199407.gz"
"1621"	"he"	"asks"	" Why, he asks, would anyone tolerate policies promoting discrimination against gays or African-Americans, Latinos or women? </P> "	"nyt_eng_199407.gz"
"2650"	"she"	"asks"	" When she becomes pregnant, she informs them she cannot tell which man is the father until she sees the color of the baby. In the meantime, she asks, get along. </P> "	"nyt_eng_199408.gz"
"3559"	"he"	"asks"	" For example, when Mike spots rocks in customers' yards, he asks, Do you need those rocks?'' Usually, the customers are happy to donate them. A few I bought,'' he said. The stones, along with heat-tolerant evergreens, landscape the small deck he built to one side of the house. </P> "	"nyt_eng_199408.gz"
"8869"	"she"	"asks"	" Like all fairy princesses, Odette is beautiful. Like many cartoon Prince Charmings, Derek is underwritten and wears a silly Prince Valiant hairdo. But their marriage is thwarted for an up-to-date reason. When Derek compliments Odette on her beauty, she asks, ``Is beauty all that matters to you?'' </P> "	"nyt_eng_199411.gz"
"10606"	"she"	"asks"	" Besides, she asks, ``Have you seen those girl cookie cutters? They look stupid! They look like they have granny skirts on.'' </P> "	"nyt_eng_199412.gz"
"12543"	"he"	"asks"	" So Lee admits to being startled by the fury directed at him after what he calls ``the Reggie Thing.'' Why not consider the other person involved, he asks, noting that the 6-foot-7-inch Miller had even once drawn the typically composed Jordan into a brawl. </P> "	"nyt_eng_199501.gz"
"13590"	"she"	"asks"	" So why, Los Angeles-based editor and publisher Nancy Mills asks, do some hoteliers still equip rooms with desks that are too high for many women? Why are peepholes in doors designed for 6-foot-tall males? And why, she asks, ``Do we read in newspapers and magazines about money belts but never about bra stashes?'' </P> "	"nyt_eng_199501.gz"
"15471"	"he"	"asks"	" He bemoans the dropping of communist names for such places as Volgograd: what was wrong, he asks, with Stalingrad? </P> "	"nyt_eng_199502.gz"
"15472"	"he"	"asks"	" He bemoans the dropping of communist names for such places as Volgograd: what was wrong, he asks, with Stalingrad? </P> "	"nyt_eng_199502.gz"
"15473"	"he"	"asks"	" He bemoans the dropping of communist names for such places as Volgograd: what was wrong, he asks, with Stalingrad? </P> "	"nyt_eng_199502.gz"
"15480"	"he"	"asks"	" He bemoans the dropping of communist names for such places as Volgograd: what was wrong, he asks, with Stalingrad? </P> "	"nyt_eng_199502.gz"
