"pronoun"	"verb"	"context"	"filename"
"2071"	"they"	"assert"	" Some European experts charge that the Clinton administration's real aim is managed trade, a practice that, they assert, would not only reduce chances of a deal with Japan but add to growing global pressure to re-introduce trade protectionism in a different guise following last year's passage of a new world agreement liberalizing trade. </P> "	"nyt_eng_199408.gz"
"6650"	"they"	"assert"	" The anger of the anti-apartheid veterans, in fact, is directed less at the white officers than at their former guerrilla leaders, like Modise, who, they assert, have betrayed them by failing to defend their interests and by reneging on promises of readjustment pay. </P> "	"nyt_eng_199410.gz"
"10079"	"they"	"assert"	" And like creationists, they assert, many teachers in these programs dismiss traditional science and intellectual inquiry as biased, while trying to replace these methods with alternative systems of their own. </P> "	"nyt_eng_199412.gz"
"15812"	"they"	"assert"	" In particular, the officials say, the European Union must admit Turkey into its customs union, the antechamber to full membership, at a meeting set for some time after March 6. If not, they assert, the rebuff will add fuel to the popular conviction that the West is rejecting Turkey out of religious bias. </P> "	"nyt_eng_199503.gz"
"15862"	"they"	"assert"	" In particular, the officials say, the European Union must admit Turkey into its customs union, the antechamber to full membership, at a meeting set for some time after March 6. If not, they assert, the rebuff will add fuel to the popular conviction that the West is rejecting Turkey out of religious bias. </P> "	"nyt_eng_199503.gz"
"20278"	"they"	"assert"	" Experts who track the Patriot Movement assert, though, that it is fueled by conspiracy theories about the federal government's purported plots against American citizens and note that one its central symbols is the right to bear arms. Such a combination of symbol and ideology, they assert, is attracting a small number of people ready to act violently. </P> "	"nyt_eng_199504.gz"
"24066"	"they"	"assert"	" These days, certain elected officials want to cut or, to use the term of some, ``zero out'' that money. Publicly funded television and radio, they assert, ought to make it on their own. </P> "	"nyt_eng_199506.gz"
"28664"	"they"	"assert"	" Weary of boom boxes and hot pavement, most New Yorkers long for peace when they retreat from the city. The perfect summer weekend, they assert, involves nothing more demanding than trout fishing in the Catskills, staring into the surf at Southampton, N.Y., or perhaps people-watching in front of Schemmy's ice-cream parlor in placid Rhinebeck, N.Y. </P> "	"nyt_eng_199507.gz"
"31071"	"they"	"assert"	" He and other conservative economists argue that the price the other countries pay for avoiding extremes of childhood poverty may be slower economic growth, which, they assert, leads to lower living standards for all. A large chunk of European social assistance to young families takes the form of generous unemployment benefits that have eroded incentives for people to work, Besharov said. </P> "	"nyt_eng_199508.gz"
"36507"	"they"	"assert"	" But just how uncommon is this superstar phenomenon? Frank and Cook assert that these markets have become ``an increasingly important feature of modern economic life.'' Winner-take-all markets, they assert, ``have permeated law, journalism, consulting, medicine, investment banking, corporate management, publishing, design, fashion, and even the hallowed halls of academe.'' </P> "	"nyt_eng_199510.gz"
"51673"	"they"	"assert"	" The three institutional holders said they're frustrated with the pace of change under Grace Chairman and Chief Executive Albert Costello. Gossage, they assert, has proven his ability to increase shareholder value. </P> "	"nyt_eng_199603.gz"
"54482"	"they"	"assert"	" Allowing same-sex couples to marry, they assert, would somehow diminish the meaning of marriage for heterosexuals. These arguments, uncomfortably similar to those raised in resistance to repealing miscegenation laws a few decades ago, cannot obscure the entrenched anti-gay bigotry underlying much of the public dialogue. Nor can it disguise the fundamental unfairness of government denying a whole class of citizens the important benefits that flow from civil marriages. </P> "	"nyt_eng_199604.gz"
"61426"	"they"	"assert"	" Some corporate executives who have reviewed the list say that many of the names are familiar, and involve Chinese companies that are fronts for Beijing government agencies or the military. Some of the foreign investors, they assert, have been involved in other piracy activities. </P> "	"nyt_eng_199606.gz"
"61912"	"they"	"assert"	" Jews, they assert, account for: 26 percent of reporters, editors and executives of the major print and broadcast media; 59 percent of the writers, producers and directors of the 50 top-grossing films; 40 percent of the top lawyers in New York and Washington; 13 percent of American business executives under 40. </P> "	"nyt_eng_199606.gz"
"61913"	"they"	"assert"	" Jews, they assert, account for: 26 percent of reporters, editors and executives of the major print and broadcast media; 59 percent of the writers, producers and directors of the 50 top-grossing films; 40 percent of the top lawyers in New York and Washington; 13 percent of American business executives under 40. </P> "	"nyt_eng_199606.gz"
"63880"	"they"	"assert"	" Were it not for the cows, they assert, this year's fire dangers, made severe by the worst drought of the century, would be even worse. </P> "	"nyt_eng_199607.gz"
"65580"	"they"	"assert"	" The three railroads' handling of engineer discipline is not unusual in the industry, and officials at all three commuter lines note that they are more vigilant in monitoring and punishing engineers than federal law requires. More severe measures, they assert, are not needed. </P> "	"nyt_eng_199607.gz"
"75733"	"they"	"assert"	" What State Street and other privatization advocates are counting on is a confluence of forces _ including growing disenchantment with the federal government; persistent doubts among the young that Social Security will be there to help when they retire; and some real long-term problems with the system _ to push the issue to the top of the Washington agenda next year. Where the debate goes from there, they assert, they are not trying to control. </P> "	"nyt_eng_199610.gz"
"83112"	"they"	"assert"	" Moreover, department officials admit that part of the plan is to make sure the new sites are alluring enough scientifically to attract the best and brightest to the weapon labs. Such recruitment, they assert, is a vital part of military preparedness since the nation one day might need to design new bombs. </P> "	"nyt_eng_199701.gz"
"86691"	"they"	"assert"	" And it is this fundamental difference, they assert, that makes the delay in releasing the report so telling. </P> "	"nyt_eng_199702.gz"
"86795"	"they"	"assert"	" These market watchers, whom some call the New Era group, divine a new period for stocks that is defined by low inflation and the public's keen attraction to stock mutual funds. When the old standbys for valuing stocks are adjusted for these factors, they assert, stock prices look either perfectly reasonable or, at worst, modestly high. </P> "	"nyt_eng_199702.gz"
"87632"	"they"	"assert"	" The changes are needed, they assert, if they are to keep up with clubs in England like Manchester United, which have used proceeds from stock sales to buy expensive French and other stars, boost their win totals and become league leaders. </P> "	"nyt_eng_199702.gz"
