"pronoun"	"verb"	"context"	"filename"
"34"	"he"	"asserts"	" Given the stock market's recent unpleasant behavior, Wanger said, another ticker symbol has been much on his lips of late. It belonged, he asserts, to a now defunct outfit called Hawaiian Country Safari, which was involved with wild animals. </P> "	"nyt_eng_199407.gz"
"3722"	"he"	"asserts"	" Van Damme predicts he will do a comedy sometime soon (he admires -- who else? -- Jerry Lewis). Isn't he already getting better scripts, talking to bigger directors, meeting more important producers? Last winter, he married for the fourth time, and even his marriages, he asserts, are improving. </P> "	"nyt_eng_199408.gz"
"4242"	"she"	"asserts"	" She also makes little effort to hide her contempt for the national press, which, she asserts, repeatedly distorted the news to discredit or sensationalize the Bush family record. </P> "	"nyt_eng_199409.gz"
"4243"	"she"	"asserts"	" In her book, she states that the remark was made in ``a jovial give-and-take'' with reporters who, she asserts, were honor-bound not to repeat what she had said. </P> "	"nyt_eng_199409.gz"
"5335"	"he"	"asserts"	" It is what we risk, he asserts, when we overplay affirmative action, which he says has its place in ``countering past officially sanctioned discrimination'' but ought not to be extended to condoning black rejection of Western culture. </P> "	"nyt_eng_199409.gz"
"9042"	"he"	"asserts"	" The current managers, he asserts, are trying to hold onto their jobs and are sluggish and lack innovation. Their institution far underperforms the banks he idolizes most, he says, like J.P. Morgan and Wells Fargo in the United States and Lloyds Bank of London. </P> "	"nyt_eng_199411.gz"
"10872"	"he"	"asserts"	" Why? Because, when the economy is operating near its full capacity, ``the Federal Reserve just isn't going to let it happen,'' argues Martin Feldstein, the conservative president of the National Bureau of Economic Research. Any such stimulus, he asserts, would be offset by tighter credit policies by the Fed to prevent higher inflation. </P> "	"nyt_eng_199412.gz"
"11132"	"she"	"asserts"	" Rather, Ms. Redgrave's starting point is political; in tackling a role, she studies the historical context in which characters operate to uncover their natures. It is from this extra dimension, she asserts, that her performances draw their richness. </P> "	"nyt_eng_199412.gz"
"12024"	"he"	"asserts"	" Now McEnaney is suing UAlbany for $20 million. He claims that the university was negligent in failing to bar Ralph Tortorici, who was arrested in the incident, from campus. McEnaney maintains that he has a right to attend class with a reasonable expectation that nobody is going to shoot him. And, he asserts, if he gets shot by somebody who's been acting weird on campus for some time, then the university should pay him damages. </P> "	"nyt_eng_199501.gz"
"14095"	"it"	"asserts"	" ``Why Cats Paint,'' written in a deadpan, academic tone -- one photograph is of a ``swirling (possibly tail symbolist) motif''-- offers an exhaustive historical perspective. The earliest known paintings by a domestic cat, it asserts, would be in ancient Egypt, when the Aperia Cats, circa 3000 B.C., were buried with a papyrus scroll of their artwork between their forelegs. </P> "	"nyt_eng_199502.gz"
"15547"	"it"	"asserts"	" In fact, Salema's firm did no work at all on that West New York bond deal, according to the SEC complaint. That payment, it asserts, was the last installment in more than $220,000 in kickbacks that First Fidelity paid to Salema and Rudi in connection with another lucrative bond in Camden County. </P> "	"nyt_eng_199502.gz"
"16658"	"he"	"asserts"	" Islam, he asserts, is not to be confused with Islamic fundamentalism. </P> "	"nyt_eng_199503.gz"
"18415"	"she"	"asserts"	" Miss Gilgunn's lawsuit is set to go to trial in Suffolk County Superior Court in Boston on Tuesday. She is seeking damages for the mental anguish she said she suffered because, she asserts, her mother's fervent wishes were not followed. </P> "	"nyt_eng_199504.gz"
"19559"	"he"	"asserts"	" His purpose, he asserts, is ``to put before the American people why their government and its leaders behaved as they did and what we may learn from the experience.'' </P> "	"nyt_eng_199504.gz"
"19663"	"he"	"asserts"	" His purpose, he asserts, is ``to put before the American people why their government and its leaders behaved as they did and what we may learn from the experience.'' </P> "	"nyt_eng_199504.gz"
"20782"	"he"	"asserts"	" Foreign aid, he asserts, is needed to address the problems that spawn such crises: overpopulation, hunger, destruction of the environment. And, he says, it can help former communist nations avoid economic chaos. </P> "	"nyt_eng_199504.gz"
"20908"	"he"	"asserts"	" Foreign aid, he asserts, is needed to address the problems that spawn such crises: overpopulation, hunger, destruction of the environment. And, he says, it can help former communist nations avoid economic chaos. </P> "	"nyt_eng_199505.gz"
"26935"	"he"	"asserts"	" Major, by contrast, has adopted a more pragmatic stand that does not upset the liberals in his party. It is virtually impossible, he asserts, for the 15 members of the European Union to coordinate their economies sufficiently to achieve a single currency before the end of the century. </P> "	"nyt_eng_199507.gz"
"31041"	"he"	"asserts"	" Arthur Whimbey, a consultant to Xavier and the author of a book entitled ``Intelligence Can Be Taught,'' claims average SAT increases of more than 100 points during SOAR's four-week program, proving, he asserts, ``that the problem is in the educational system, not in the students' genes.'' </P> "	"nyt_eng_199508.gz"
"31142"	"he"	"asserts"	" Arthur Whimbey, a consultant to Xavier and the author of a book entitled ``Intelligence Can Be Taught,'' claims average SAT increases of more than 100 points during SOAR's four-week program, proving, he asserts, ``that the problem is in the educational system, not in the students' genes.'' </P> "	"nyt_eng_199508.gz"
