"pronoun"	"verb"	"context"	"filename"
"604"	"they"	"assumed"	" Like a lot of major league teams, the Yankees have never approached marketing and advertising with the zest and need of a Coca-Cola. The sports pages, they assumed, pushed the team. A winning team would draw fans. But that's not enough anymore, and only a handful of teams understand that. </P> "	"nyt_eng_199407.gz"
"12795"	"she"	"assumed"	" Ms. Clark had seen Simpson in a Hertz commercial or two, as well as in the ``Naked Gun'' movies, but had thought him unimportant, another fading celebrity in a town chock full of them. When she went to his home, the press was there, but it had frequently been present at crime scenes she visited. Quickly, she assumed, the reporters would move on to the next murder. </P> "	"nyt_eng_199501.gz"
"26706"	"he"	"assumed"	" Stoudamire didn't attend any pre-draft camps, which, he assumed, would draw ``speculation and criticism.'' </P> "	"nyt_eng_199506.gz"
"49186"	"I"	"assumed"	" To thumb one's nose is to place the tip of the thumb against the tip of the nose and wiggle the fingers, long symbolizing an invitation to make an obeisance to the nose-thumber's posterior. What the judge meant to write, I assumed, was snub, or ``insolently turn up its nose at'' its order. He confused a snub nose (one with a pug, turned-up tip), which has no connotation of arrogance, with a thumbed nose, which is overtly contemptuous. </P> "	"nyt_eng_199602.gz"
"49349"	"I"	"assumed"	" To thumb one's nose is to place the tip of the thumb against the tip of the nose and wiggle the fingers, long symbolizing an invitation to make an obeisance to the nose-thumber's posterior. What the judge meant to write, I assumed, was snub, or ``insolently turn up its nose at'' its order. He confused a snub nose (one with a pug, turned-up tip), which has no connotation of arrogance, with a thumbed nose, which is overtly contemptuous. </P> "	"nyt_eng_199602.gz"
"65106"	"she"	"assumed"	" When Kendra Hester heard the Olympics were coming here, she assumed, like many of her friends and neighbors, that she would attend a few events. </P> "	"nyt_eng_199607.gz"
"65157"	"she"	"assumed"	" When Kendra Hester heard the Olympics were coming here, she assumed, like many of her friends and neighbors, that she would attend a few events. </P> "	"nyt_eng_199607.gz"
"73038"	"I"	"assumed"	" My Golden Age hasn't worked out as I expected. For example, I thought ``portly'' would be acceptable when I reached maturity. An expanding waistline, I assumed, is viewed as a natural condition of aging. I was wrong. </P> "	"nyt_eng_199609.gz"
"73141"	"I"	"assumed"	" My Golden Age hasn't worked out as I expected. For example, I thought ``portly'' would be acceptable when I reached maturity. An expanding waistline, I assumed, is viewed as a natural condition of aging. I was wrong. </P> "	"nyt_eng_199610.gz"
"74032"	"I"	"assumed"	" Whatever else occurred, I assumed, no one with a shred of memory would choose to endure another round of colors like pistachio or that nauseating pumpkin-rust that I'll always think of as the official hue of the '70s, this century's tackiest decade. </P> "	"nyt_eng_199610.gz"
"74129"	"I"	"assumed"	" Whatever else occurred, I assumed, no one with a shred of memory would choose to endure another round of colors like pistachio or that nauseating pumpkin-rust that I'll always think of as the official hue of the '70s, this century's tackiest decade. </P> "	"nyt_eng_199610.gz"
"81405"	"we"	"assumed"	" We almost missed our flight, in part because Aldiberto was pulled over by the police. Something to do with his ferrying foreigners, we assumed, though he wouldn't say. </P> "	"nyt_eng_199612.gz"
"87410"	"I"	"assumed"	" In addition, both of my parents _ quite an odd thing for the time _ graduated from college in the middle of the Depression. When I was a school boy they often would say positive things in my presence about the value of a formal (meaning, I assumed, with tuxedos and formals) education. </P> "	"nyt_eng_199702.gz"
"91113"	"it"	"assumed"	" It did not include any obligations to HBO, which has had a longtime deal with Lewis, whose reign, it assumed, would continue. </P> "	"nyt_eng_200104.gz"
"109080"	"he"	"assumed"	" Over the next 12 days, Farooqi said he heard nothing from Pearl about the story; Farooqi had been cut off, he assumed, on instructions from Bashir. During that time, Pearl and Bashir exchanged several e-mails; Pearl sent stories that he had written, according to police, and Bashir eventually agreed to arrange a meeting with Gilani. </P> "	"nyt_eng_200203.gz"
