"pronoun"	"verb"	"context"	"filename"
"13298"	"he"	"avers"	" Admitting he considered suicide on more than one occasion, Simpson says he ``begged God to just take me, to let me be with Nicole.'' Regardless of the trial's outcome, he avers, vindication will come only if the ``real killers'' are found. </P> "	"nyt_eng_199501.gz"
"36702"	"he"	"avers"	" It is, he avers, an ancient Druid festival in honor of the god Samhain and hence there is no room for it in Los Altos public education. </P> "	"nyt_eng_199510.gz"
"36703"	"he"	"avers"	" It is, he avers, an ancient Druid festival in honor of the god Samhain and hence there is no room for it in Los Altos public education. </P> "	"nyt_eng_199510.gz"
"36993"	"he"	"avers"	" It is, he avers, an ancient Druid festival in honor of the god Samhain and hence there is no room for it in Los Altos public education. </P> "	"nyt_eng_199510.gz"
"37569"	"he"	"avers"	" It is, he avers, an ancient Druid festival in honor of the god Samhain and hence there is no room for it in Los Altos public education. </P> "	"nyt_eng_199510.gz"
"37694"	"he"	"avers"	" It is, he avers, an ancient Druid festival in honor of the god Samhain and hence there is no room for it in Los Altos public education. </P> "	"nyt_eng_199510.gz"
"37695"	"he"	"avers"	" It is, he avers, an ancient Druid festival in honor of the god Samhain and hence there is no room for it in Los Altos public education. </P> "	"nyt_eng_199510.gz"
"96639"	"he"	"avers"	" Battery Park City is a state project; the city has the option to regain ownership but so far has not. Gillespie gives the more balanced history here, showing ways in which the compromise benefited New York, while Darton's story is, as always, darker, focused on the machinations of figures like David and Nelson Rockefeller in promoting a public project that, he avers, enhanced their own interests. </P> "	"nyt_eng_200109.gz"
"128134"	"he"	"avers"	" Baraka is offended that anyone could interpret such stuff as anti-Jewish. For one thing, he avers, ``everything said about Israel in the poem is easily researched.'' Which is true, if ``research'' means trolling through Islamist or neo-Nazi Web sites. (``Israelis at the Trade Center had been warned before the attack. . . . There could be no doubt that there had been a prior warning for many Israelis'' _ David Duke, at www.davidduke.com/writings/howisraeliterror.shtml). </P> "	"nyt_eng_200210.gz"
"160957"	"he"	"avers"	" In 1986, in that first flush of Ferris Bueller celebrity, Teen Beat ran an article headlined Broderick's a Babe. In it, he says he wants to be remembered with the Brandos and the Tracys. Broderick doesn't recall this reportorial nugget and isn't sure it's accurate (Teen Beat, he avers, is not the paper of record), but dwells for a moment on his youth. I guess I wasn't so self-deprecating back 'then.'  </P> "	"nyt_eng_200512.gz"
