"pronoun"	"verb"	"context"	"filename"
"4492"	"it"	"became"	" ``Overshadowed by events in Europe and the Philippines, deprived of the publicity that made Guadalcanal, Tarawa and Iwo Jima household names, it became, in the words of one historian, `the forgotten battle.' '' </P> "	"nyt_eng_199409.gz"
"9493"	"she"	"became"	" Ignorance being bliss, Chief Harvard, who at the time was a 22-year-old recent graduate of Morris Brown College, here in Atlanta, with a degree in sociology, took up police work. And last week, when the Atlanta City Council confirmed her Oct. 26 appointment as Atlanta's chief of police, she became, at age 43, one of only three women to head a major police department and the only black woman ever to rise to that position. (Betsy Watson served as police chief of both Houston and Austin, Texas, and Penny Harrington was chief some years ago in Portland, Ore.) </P> "	"nyt_eng_199411.gz"
"21645"	"he"	"became"	" In the eyes of two Metro-North police officers, he became, at least for the moment, a suspect. The two grabbed his elbows, showed their badges and escorted him to a nearby wall. ``They lifted my arms in the air, relieved me of my briefcase and frisked me from top to bottom,'' said Graves, senior vice president for advertising and marketing at Black Enterprise magazine. </P> "	"nyt_eng_199505.gz"
"32426"	"he"	"became"	" Soon he was running off 10 straight victories _ the closest thing to a sure win as there was in baseball. After 17 starts, he had a 0.65 ERA. Then the clock struck midnight. For the last two starts, he became, as Kevin Kennedy said, ``human.'' </P> "	"nyt_eng_199508.gz"
"34090"	"I"	"became"	" So while recuperating from his second bypass surgery, he explores that past. He tells the stories of his mother and father and their troubled marriage. ``When I was a child, making my way in the bad weather of my parents' brilliance and negligence and their dreamy narcissism, I became, as children do in such households, a little adult. ... And lo, whatever praise I gained as a child would come from that precocious adult-seeming faculty, the adorable child speaking in adult tongues, performing grown-up tricks _ a neat effect.'' </P> "	"nyt_eng_199509.gz"
"44304"	"it"	"became"	" The place (italics)was(end italics) the story, in all of these films: more important than plot, more important than characters, it became, in effect, both plot and character. </P> "	"nyt_eng_199601.gz"
"50847"	"she"	"became"	" Other trademarks were a loud, cheerful ``Howdyyyy!'' with a toothy grin and her calico and gingham dresses. As Minnie Pearl, she was not only the first woman to perform on the Opry. More importantly, she became, long before dying Monday night in Nashville at the age of 83, one of the funniest women in entertainment. </P> "	"nyt_eng_199603.gz"
"62878"	"she"	"became"	" In 1976, she became, at 18, the youngest-ever American Olympic basketball player, and later the first woman to play in a men's professional league, eventually entering the basketball Hall of Fame. </P> "	"nyt_eng_199606.gz"
"62881"	"she"	"became"	" In 1976, she became, at 18, the youngest-ever American Olympic basketball player, and later the first woman to play in a men's professional league, eventually entering the basketball Hall of Fame. </P> "	"nyt_eng_199606.gz"
"62965"	"she"	"became"	" In 1976, she became, at 18, the youngest-ever American Olympic basketball player, and later the first woman to play in a men's professional league, eventually entering the basketball Hall of Fame. </P> "	"nyt_eng_199606.gz"
