"pronoun"	"verb"	"context"	"filename"
"11435"	"he"	"began"	" At the first news conference, he began, ``I have a reputation for speaking in a monotone and being boring and not giving you anything.'' </P> "	"nyt_eng_199412.gz"
"27894"	"he"	"began"	" Aghast, he pondered how to explain this terrible accident to the woman. Finally, when she appeared, he began, ``You know, I couldn't help notice how depressed your dog seemed....'' </P> "	"nyt_eng_199507.gz"
"39723"	"she"	"began"	" At first, she began, as she put it, ``hounding'' Scorsese for attention and support. She got it. Scorsese gave her videotapes to watch, a bizarre mix of films like ``Valley of the Dolls,'' the French silent classic ``The Passion of Joan of Arc'' and ``A Woman's Vengeance,'' starring Jessica Tandy. </P> "	"nyt_eng_199511.gz"
"42599"	"he"	"began"	" Amelio went to work for De Seta as an assistant and in the 70s, with Italian television gaining in popularity and influence, he began, like many of the country's best directors, making films for television. </P> "	"nyt_eng_199512.gz"
"58728"	"he"	"began"	" When Michael Davies, a Welshman who heads the international movement to make the Tridentine Mass more widely available, took the podium, he began, ``I have to confess, before I begin, I am not a Vatican II Catholic'' _ to a burst of applause. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960511.0486 type=story > <HEADLINE> MICHAEL HERMAN, FOLK DANCE AUTHORITY, DIES AT 85 </HEADLINE> <DATELINE>  (BC-HERMAN-OBIT-NYT) </DATELINE> <TEXT> "	"nyt_eng_199605.gz"
"76018"	"he"	"began"	" But he also kept up his assault on Clinton's ethics, and the responsive crowd _ estimated at over 4,000 by the Secret Service _ initiated and joined in several chants. When Dole quoted the Rev. Dr. Martin Luther King Jr., he began, ``Our goal must be, as Martin Luther King so eloquently said, `a color-blind country that judges all persons, not by the color of their skin''' _ and here the audience shouted along with him _ ```but by the content of their character!''' </P> "	"nyt_eng_199610.gz"
"80294"	"it"	"began"	" The week of his execution, the killer wrote a letter to Wanda Sweat. Neatly printed and delivered four days before his Nov. 14 death, it began, ``Dear Wanda, I hope this letter finds you and your daughter well!'' </P> "	"nyt_eng_199612.gz"
"90648"	"he"	"began"	" Before Devo formed in Akron, Ohio, he began, its members had a 1960s junior high school band called the Wipeouters that rehearsed in the basement of Bob Casale, a future Devo member. ``We formed the band because we were looking for a way to talk about a thing we were experiencing that we didn't know was going on anywhere else, called surfing,'' he said. ``It was North Coast surfing. We were surfing up at Lake Erie.'' </P> "	"nyt_eng_200104.gz"
"104884"	"he"	"began"	" In the late 1990s, Mugabe announced that the redistribution would finally take place. After he was shocked by a weak showing in parliamentary elections in 2000, he began, according to his critics, to use the land issue as a political wedge. </P> "	"nyt_eng_200201.gz"
"107260"	"it"	"began"	" Shortly after the abduction, which took place on Jan. 23, the kidnappers began communicating through e-mail messages whose tone was stridently anti-American. They accused Pearl of being an agent of first the CIA and then Mossad, the Israeli intelligence agency. The second verified e-mail transmission also contained a message in Urdu. As translated by The New York Times, it began, ``Our intention is not to harm Pakistan but to rid it of the slavery of America and other countries.'' </P> "	"nyt_eng_200202.gz"
"107264"	"it"	"began"	" Shortly after the abduction, which took place on Jan. 23, the kidnappers began communicating through e-mail messages whose tone was stridently anti-American. They accused Pearl of being an agent of first the CIA and then Mossad, the Israeli intelligence agency. The second verified e-mail transmission also contained a message in Urdu. As translated by The New York Times, it began, ``Our intention is not to harm Pakistan but to rid it of the slavery of America and other countries.'' </P> "	"nyt_eng_200202.gz"
"107288"	"it"	"began"	" Shortly after the abduction, which took place on Jan. 23, the kidnappers began communicating through e-mail messages whose tone was stridently anti-American. They accused Pearl of being an agent of first the CIA and then Mossad, the Israeli intelligence agency. The second verified e-mail transmission also contained a message in Urdu. As translated by The New York Times, it began, ``Our intention is not to harm Pakistan but to rid it of the slavery of America and other countries.'' </P> "	"nyt_eng_200202.gz"
"111953"	"he"	"began"	" In 1970, he began, with ABC's permission, a 30-week moonlighting stint for PBS as host of ``Wall Street Week With Louis Rukeyser.'' Three years later he left ABC and concentrated on marketing himself. It worked then. He can't imagine that it won't work now. </P> "	"nyt_eng_200204.gz"
"117928"	"it"	"began"	" The Journal missed the clues and published an item on the nonexistent initial offering on April 1. On April 2 came a correction, and on April 5 there was a short item under the headline ``The Enron of Britain?'' If Harrods ever goes public, it began, ``investors would be wise to question its every disclosure.'' </P> "	"nyt_eng_200206.gz"
"125079"	"they"	"began"	" Once the men saw women on the news beat, they began, reluctantly for some time, to accept them. But not until the last third of the 20th century did men promote them to high positions or let them join their press clubs. </P> "	"nyt_eng_200209.gz"
"128525"	"it"	"began"	" And then, all around him, on this first night of the four-day Metroplex Mission, it began, a predictable stirring, the unfolding scene that has played out at every tent meeting and arena revival where he has preached _ and he has delivered the message of salvation around the world _ for more than 50 years. </P> "	"nyt_eng_200210.gz"
"134676"	"we"	"began"	" After 20 minutes of this, we began, one by one, to have the same thought: We weren't far from the spot where we'd seen a polar bear along the road that afternoon. But surely these curious and playful creatures wouldn't be looking for a meal right now; they must be as transfixed by the celestial psychedelia as we were. </P> "	"nyt_eng_200212.gz"
"138503"	"he"	"began"	" Dean also took a slap at Gen. Wesley K. Clark, who is retired from the Army. Asked by a voter about Clark's appeal, he began, ``General Clark has not attacked me, and I'm not going to start by attacking him.'' He then proceeded to point out that Clark had advised a congressional candidate to support the resolution on Iraq and had praised the Bush administration at a Republican fund-raiser. </P> "	"nyt_eng_200310.gz"
"147720"	"she"	"began"	" When Vardalos said good night to the packed house, she began, Before I ride out with a cleavage-clad woman behind the wheel of a Hummer driving off into the sunset, let me remind you about the gift bag. </P> "	"nyt_eng_200501.gz"
"156456"	"he"	"began"	" McDuff grew faint during his closing argument and was carted from the courtroom on a stretcher. When he returned the next day, he began, As I was saying... </P> "	"nyt_eng_200508.gz"
"158608"	"she"	"began"	" When Diane Carr turned 37 with a compelling desire to have a baby and no true love to have one with, she began, gingerly, to explore the other option she had filed in the back of her mind. </P> "	"nyt_eng_200510.gz"
"158999"	"he"	"began"	" It was the songs Billy Austin, written in 1990, and then Ellis Unit One, written for the 1995 film Dead Man Walking, that led Earle to the death penalty abolition movement. Inmates began writing to him; so did organizations like Murder Victims' Families for Reconciliation. As part of his 12-step recovery plan, he began, as he put it, doing real, live, hands-on activism, washing dishes and picking people up at the airport. </P> "	"nyt_eng_200510.gz"
"170805"	"it"	"began"	" While the lengthy editing process eventually required Zaillian to give up on some of his favorite scenes, it began, he said, with an old horror-movie editor's trick: He threw away the first reel. By early last month, when he turned the movie over to Columbia Pictures, he said, he still had a stack of other peoples' suggestions sitting on an office couch. </P> "	"nyt_eng_200609.gz"
