"pronoun"	"verb"	"context"	"filename"
"25"	"I"	"believe"	" ``Much of this book was reported while events were developing, before the outcomes and consequences were known or imagined,'' he adds. ``As a result, I believe, it contains some events that otherwise might have been lost to the record.'' </P> "	"nyt_eng_199407.gz"
"84"	"I"	"believe"	" Was he excited? ``Apprehensive, I believe, is the word,'' he said thoughtfully. ``Excited, no.'' </P> "	"nyt_eng_199407.gz"
"117"	"I"	"believe"	" But there have been numerous mentions of ``O.J.'' in discussing the latest news, and there have been enough of them, I believe, to cause problems down the road if and when Simpson stands trial and an objective jury is sought. </P> "	"nyt_eng_199407.gz"
"147"	"I"	"believe"	" ``It was his first time in New York City, I believe,'' Moss said. ``He had come just for the summer, for a vacation and relaxation and to explore the city. He was a personable young man. He got along very well with the other employees, was very well liked and fit right in. He was enthusiastic, a hard worker. He was a part of our family for the summer.'' </P> "	"nyt_eng_199407.gz"
"839"	"I"	"believe"	" Here, let me share a couple of little World Cup news items that, I believe, say it all. </P> "	"nyt_eng_199407.gz"
"1251"	"I"	"believe"	" The senator whom Wofford was speaking of, was none other than Republican Arlen Specter, who happens to be assisting Wofford's campaign opponent Rep. Rick Santorum. ``It is one of the paradoxes of politics that those who most distinguish their parties are the men and women who put principles above parties,'' Wofford said. ``On a number of recent occasions Sen. Specter has done just that. His actions, I believe, provide an example for all of us.'' </P> "	"nyt_eng_199407.gz"
"1339"	"I"	"believe"	" ``The simplest thing, I believe, is you draw up a list of those guns that are assault weapons that pose an undue risk to the safety of the state and you ban them,'' he said. </P> "	"nyt_eng_199407.gz"
"1440"	"I"	"believe"	" ``This will, I believe, meet all the concerns expressed by university presidents and boards of regents,'' Sen. Daniel Inouye, D-Hawaii, the subcommittee chairman, said tersely without further explanation. </P> "	"nyt_eng_199407.gz"
"2375"	"I"	"believe"	" ``This device does represent, I believe, the largest advance in treating coronary artery disease without surgery since the introduction of the balloon catheter itself,'' said Dr. Steven Bailey, associate professor of medicine at the health science center, who conducted the local arm of the study. </P> "	"nyt_eng_199408.gz"
"2787"	"I"	"believe"	" His friend and traveling companion, Patricia Dempsey, phoned her good friends at Tyson Foods, the country's largest poultry business. That's ``poultry'' as in ``chickens,'' which are, I believe, classified as ``agriculture.'' </P> "	"nyt_eng_199408.gz"
