"pronoun"	"verb"	"context"	"filename"
"7395"	"they"	"believed"	" Italian architects, for instance, showed relative restraint in the use of glass, an iconic modern material. Masonry walls, they believed, were effective for integrating modern buildings into the historic context of Italian cities. </P> "	"nyt_eng_199410.gz"
"7467"	"he"	"believed"	" Under a 1979 NIOSH grant, Kindwall came up with new tables that, he believed, would minimize decompression sickness among tunnelers. But OSHA never adopted them. </P> "	"nyt_eng_199410.gz"
"7470"	"she"	"believed"	" In April 1988 Vallon and two other OSHA inspectors complained about the numbers game in testimony before the Senate Labor Committee. Vallon told of being sent to an IBM construction site near Dallas three months earlier for the sole purpose, she believed, of generating numbers. </P> "	"nyt_eng_199410.gz"
"8090"	"he"	"believed"	" Success, he believed, would lead to coaching opportunities for other African-Americans. Failure, however, might hinder minority hiring in the NFL. </P> "	"nyt_eng_199411.gz"
"8621"	"she"	"believed"	" But she remained Wilma Rudolph, Olympic Champion. She set up the Wilma Rudolph Foundation for minority youngsters. She gave speeches, she reaped honors for long-ago achievements. And, like other black Olympic champions, she returned to an America that could be hostile. When, once, she went for a bank loan, she experienced rejection because, she believed, of her color. And while she might not have had the same reaction to racial slights as her fellow 1960 American Olympian, Cassius Clay, who threw his gold medal into a river, she remained aware that, in effect, the playing field outside of the playing field was uneven. </P> "	"nyt_eng_199411.gz"
"10744"	"he"	"believed"	" The ultimate joy of giving, my father felt, was in anonymity. He had read Lloyd Douglas' book ``Magnificent Obsession'' and connected its message with an injunction from the Sermon on the Mount about doing one's alms privately rather than in public ``to be seen of men.'' Taking credit, he believed, would spoil it. For many years, I kept my father's secret. Now, so long a time having passed, I think he doesn't mind my telling. </P> "	"nyt_eng_199412.gz"
"11873"	"he"	"believed"	" Throughout his Jets career, Thomas had been hamstrung too. Not only by several pulled hams that kept him in the whirlpool, but also, he believed, by Coach Bruce Coslet's system. </P> "	"nyt_eng_199501.gz"
"13334"	"he"	"believed"	" The greatest evil, he believed, did not lie in unalienable rights. The danger came from romantic and rationalist critics of the Enlightenment like Rousseau, Nietzsche and Heidegger, all of whom believed that a certain intuitive passion was a truer guide to life than reason. When this was fused with traditional German anti-Semitism, Strauss believed, its culmination was in the Holocaust. </P> "	"nyt_eng_199501.gz"
"13440"	"he"	"believed"	" The greatest evil, he believed, did not lie in unalienable rights. The danger came from romantic and rationalist critics of the Enlightenment like Rousseau, Nietzsche and Heidegger, all of whom believed that a certain intuitive passion was a truer guide to life than reason. When this was fused with traditional German anti-Semitism, Strauss believed, its culmination was in the Holocaust. </P> "	"nyt_eng_199501.gz"
"14775"	"he"	"believed"	" Next, he tried baking whole wheat and barley flour with yeast, then ran the loaves through a coffee grinder. Baking reduced the starches to grape sugar, he believed, so the product was dubbed Grape Nuts. </P> "	"nyt_eng_199502.gz"
"14984"	"he"	"believed"	" Shimomura, who has a deeply felt sense of right and wrong, abandoned a cross-country skiing vacation to spend the next two weeks on little sleep, tracking down the person who, he believed, had done it. </P> "	"nyt_eng_199502.gz"
"15070"	"he"	"believed"	" Shimomura, who has a deeply felt sense of right and wrong, abandoned a cross-country skiing vacation to spend the next two weeks on little sleep, tracking down the person who, he believed, had done it. </P> "	"nyt_eng_199502.gz"
"15601"	"he"	"believed"	" When it was first published in magazine installments in 1866, ``Crime and Punishment'' created a sensation. Its critics derided it as too ``realistic,'' meaning it came straight from the newspapers. Dostoevsky devoured newspapers, clipping little stories of hideous crimes and filing them away. But in fact he was not cribbing from the news columns so much as documenting his dark view of the forces that were pushing czarist Russia into the modern world. One of those, he believed, was intellectual pride. </P> "	"nyt_eng_199502.gz"
"16030"	"she"	"believed"	" As soon as she learned she was pregnant, Ms. Miranda did everything she could think of to have a healthy baby. She quit a steady job as a cafeteria worker in Puerto Rico, and with her two children moved to New York City, where, she believed, she would get the best possible care. </P> "	"nyt_eng_199503.gz"
"17471"	"she"	"believed"	" As Deborah saw it, the dream was a powerful confirmation of her instinct to shift careers. She was, she believed, a fish out of water as an editor. Six months later, she finally made the change. Within weeks of starting school, Deborah felt convinced she'd found her true calling. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950322.0280 type=story > <DATELINE>  (BC-MEDITATION-2NDTAKE-NYT) </DATELINE> <TEXT> "	"nyt_eng_199503.gz"
"17531"	"she"	"believed"	" As Deborah saw it, the dream was a powerful confirmation of her instinct to shift careers. She was, she believed, a fish out of water as an editor. Six months later, she finally made the change. Within weeks of starting school, Deborah felt convinced she'd found her true calling. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950323.0105 type=story > <DATELINE>  (BC-MEDITATION-2NDTAKE-NYT) </DATELINE> <TEXT> "	"nyt_eng_199503.gz"
"18668"	"he"	"believed"	" Alfven said the universe was formed of equal amounts of matter and antimatter. This material, he believed, was segregated into separate celestial bodies like stars and asteroids, isolated from one another. But a new oscillation began when the universe contracted enough for the matter and antimatter to meet and react explosively, starting a new expansion. </P> "	"nyt_eng_199504.gz"
"18947"	"they"	"believed"	" They had their own slang for it: ``Workin' for the guv'ment.'' It was a marriage, they believed, of generations. </P> "	"nyt_eng_199504.gz"
"18948"	"they"	"believed"	" Besides, the incinerator, they believed, would serve as an insurance policy. The main base, Fort McClellan, a center for research and development of chemical and biological weapons, would be needed in the event of a chemical disaster at the depot where the weapons are stored or at the incinerator, some military boosters argued. </P> "	"nyt_eng_199504.gz"
"19029"	"I"	"believed"	" ``This move, I believed,'' Hood later declared, ``would defeat Grant and allow General Lee, in command of our combined armies, to march upon Washington or turn upon and annihilate Sherman.'' </P> "	"nyt_eng_199504.gz"
"19097"	"they"	"believed"	" They had their own slang for it: ``Workin' for the guv'ment.'' It was a marriage, they believed, of generations. </P> "	"nyt_eng_199504.gz"
"19098"	"they"	"believed"	" Besides, the incinerator, they believed, would serve as an insurance policy. The main base, Fort McClellan, a center for research and development of chemical and biological weapons, would be needed in the event of a chemical disaster at the depot where the weapons are stored or at the incinerator, some military boosters argued. </P> "	"nyt_eng_199504.gz"
"21070"	"we"	"believed"	" The Japanese had established themselves on Guadalcanal, an island in the Solomon chain with a backbone of huge volcanic mountains. The U.S. Marines had challenged them, gaining a beachhead and airfield, but both were in peril. Already, we believed, the Japanese on Guadalcanal outnumbered our marines by a wide margin. </P> "	"nyt_eng_199505.gz"
"21856"	"it"	"believed"	" The former president's letter represents the continuation of a feud between him and the rifle association, which endorsed him in 1988 but declined to do so when he ran for re-election in 1992. At the time, the group denounced Bush for favoring a ban on the import of some semiautomatic weapons and, it believed, for failing to vigorously oppose what later became the Brady law, a five-day waiting period for the purchase of many handguns. </P> "	"nyt_eng_199505.gz"
"23551"	"she"	"believed"	" But, true to form, she also attacked those in the government who, she believed, had overreacted to the anti-war demonstrators. </P> "	"nyt_eng_199505.gz"
"23607"	"we"	"believed"	" My wife and I offered Sara our friendship. We also proceeded from a slightly different assumption from that of her teachers: Of course, we believed, Sara can learn. </P> "	"nyt_eng_199505.gz"
"24318"	"he"	"believed"	" The company had its beginnings in Thadani's friendship with college buddy Rajendra Pawar. In 1980, Pawar was working in Hindustan Computer Ltd.'s corporate planning department, and he had an idea. India's blossoming software industry, he believed, would succeed only if there was sufficient manpower to feed the growing industry. He pitched the idea of starting a computer training company to the HCL board, but was turned down. </P> "	"nyt_eng_199506.gz"
