"pronoun"	"verb"	"context"	"filename"
"22"	"he"	"believes"	" This tension, he believes, reaches a climax just at the point when the toys end up in the second-hand bins from which he ``rescues'' them for his works of art. </P> "	"nyt_eng_199407.gz"
"27"	"he"	"believes"	" This tension, he believes, reaches a climax just at the point when the toys end up in the second-hand bins from which he ``rescues'' them for his works of art. </P> "	"nyt_eng_199407.gz"
"393"	"he"	"believes"	" The Democratic leadership in the House will be trying to round up conservatives like Hayes in the effort to get the 218 votes necessary to pass a bill. But Hayes said he does not support the two plans approved by House committees, because they include too much government intrusion such as mandates on employers, which, he believes, will hurt the small businesses in his district. </P> "	"nyt_eng_199407.gz"
"444"	"he"	"believes"	" Schumer says he supports both bills but feels the more limited one is politically more realistic. It is more likely, he believes, to get the support of police associations. Unlike the Schumer-Metzenbaum bill (also referred to as Brady II), the smaller Schumer-Bradley bill would avoid the House Energy and Commerce Committee, where its chairman, John Dingell, a board member of the National Rifle Association, would doubtless kill it. </P> "	"nyt_eng_199407.gz"
"894"	"he"	"believes"	" And he demonstrated that, at the age of 77, he still has his eyes on the future. For France, he believes, that future lies in a strong and prosperous Europe. Mitterrand and Kohl have therefore been promoting a 50,000-strong Eurocorps as the cornerstone of a European Army. Belgium, Spain and Luxembourg have now joined, and the corps should become operational Oct. 1, 1995. </P> "	"nyt_eng_199407.gz"
"1175"	"he"	"believes"	" And like Rabun, the three other high mountain counties have large portions within the Chattahoochee National Forest, with 54 percent of Towns in government ownership, 48 percent of Union and 43 percent of Fannin. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940721.0070 type=advis > <HEADLINE> CONSULTANT SHOWS PEOPLE HOW TO TURN BOX OF PHOTOS INTO A COLORFUL SCRAPBOOK </HEADLINE> <DATELINE> WACO, Texas  (BC-PHOTO-ALBUMS-COX) </DATELINE> <TEXT> Almost every person hoards a shoe box full of photos in the closet or attic with the intentions of placing them inside a photo album one day. But for most of us, the day never comes.   Christi McCully, a Creative Memories consultant, teaches people how to turn a box full of photos into a colorful scrapbook that will last several lifetimes.   The Hewitt resident said she became interested in the craft after she discovered that all of her childhood memories were lost forever.   ``I have always been into pictures and when I moved away from home, I left several scrapbooks behind and my parents stuffed them into a storage shed,'' she said.   ``After I recovered them, I was horrified. There was no air conditioning in the shed and the albums were ruined. The pictures and pages were beyond repair.''   Creative Memories is a national company that employs consultants such as McCully to teach people how to preserve their photos using acid-free paper, stickers and albums.   Humidity and photo albums are the worst enemies to photos, said Douglas Severson, a conservator at the Art Institute of Chicago.   ``In some albums, photographs are ruined much more quickly than they would be if you just left them in a shoe box,'' he said.   The worst type of album, he believes, is the most common one: the so-called magnetic album. It has no magnets, but its cardboard pages grip photographs on a sticky adhesive coating covered by a layer of plastic that is peeled back to position the photos.   In such albums, the cheap-quality cardboard gives off peroxides that cause yellow staining in the whites of the prints in both black and white and color photos.   McCully, who recently moved to the area from Jacksonville, Fla., believes she is the only consultant in Waco. People who see her beautiful albums usually become discouraged because they look so professional.   However, if you can use a pair of scissors and peal off stickers, you can make a creative photo album, said McCully, who offers classes to groups and individuals in her home and at seminars.   She offers the following tips to help people create albums safe for their photos and appealing to the eye:   -- The most important thing that she emphasizes is to crop, or trim the dead space, from your photographs using scissors.   ``Most people look at my album and say, ``What a great photographer you are,''' she said. ``But it's not me, it's the cropping that makes the photos look professional and fun.''   -- McCully also recommends using colorful, acid-free paper to frame pictures on a page and to write documentation. She said documentation is important because no matter how visible the event is to you right now, you will eventually forget it.   ``If you don't write a caption for the picture, an important piece of history is lost forever,'' she said.   -- Use photo-safe adhesives to fasten pictures.   -- Record details with colorful water-proof pens. Write humorous captions and list names of those in the picture.   -- Add creative touches such as stickers, vacation brochures and ticket stubs.   -- Store albums in an upright position and not on top of each other.   -- Store negatives in a fire-proof box or a safe deposit box. .  </TEXT> </DOC> <DOC id=NYT_ENG_19940721.0071 type=story > <HEADLINE> INLINE SKATING MAKES FOR A GREAT WORKOUT </HEADLINE> <DATELINE> DAYTON, Ohio  (BC-INLINE-SKATES-COX) </DATELINE> <TEXT> "	"nyt_eng_199407.gz"
"1312"	"he"	"believes"	" In a crisis, he believes, flexibility and ingenuity count. ``Our job has not been to do the thinking on refugee trends but to hop on planes,'' he said. </P> "	"nyt_eng_199407.gz"
"1397"	"he"	"believes"	" In a crisis, he believes, flexibility and ingenuity count. ``Our job has not been to do the thinking on refugee trends but to hop on planes,'' he said. </P> "	"nyt_eng_199407.gz"
"1530"	"he"	"believes"	" His career, he believes, is testimony to the reluctance of top PRI leaders to accept change that would reduce their power over the party and Mexico. ``The PRI is not capable of change right now,'' said Sodi, 50. ``The new guard is as anti-democratic as the old guard.'' </P> "	"nyt_eng_199407.gz"
"1833"	"she"	"believes"	" Such behavior is not altogether instinctive. Cats possess culture, she believes, in the sense of ``a web of socially transmitted behaviors.'' Her most compelling evidence of this is her observation in the 1950s of the lions of the western Kalahari Desert, who lived at peace with the local hunter-gatherers, even to the point of obeying voiced commands from them. </P> "	"nyt_eng_199407.gz"
"2186"	"he"	"believes"	" For the general public, he believes, Japan has tended to become a non-issue. Angst-ridden articles on Japan have all but vanished from the press. </P> "	"nyt_eng_199408.gz"
"2188"	"he"	"believes"	" For the general public, he believes, Japan has tended to become a non-issue. Angst-ridden articles on Japan have all but vanished from the press. </P> "	"nyt_eng_199408.gz"
"2319"	"she"	"believes"	" On one side is a determined young woman seeking justice because her salmon-slicing skills, she believes, have been cruelly impugned. </P> "	"nyt_eng_199408.gz"
"2378"	"he"	"believes"	" For the general public, he believes, Japan has tended to become a non-issue. Angst-ridden articles on Japan have all but vanished from the press. </P> "	"nyt_eng_199408.gz"
"2380"	"he"	"believes"	" For the general public, he believes, Japan has tended to become a non-issue. Angst-ridden articles on Japan have all but vanished from the press. </P> "	"nyt_eng_199408.gz"
"4678"	"he"	"believes"	" The money is no small matter, however, nor is, he believes, the principles for which the players' union has held firm -- in particular, the resistance to the owners' major demand, a salary cap. </P> "	"nyt_eng_199409.gz"
"5203"	"he"	"believes"	" To lawyers like Spence, it is a waste of money. Lawyers, he believes, can do the job just as well using little more than their gut instincts. ``I don't care whether jurors are rich or poor, black or white, male or female, old or young or what they do,'' he said. ``I want to know if it's someone I can bare my soul to, someone who will listen to me, someone I can be a friend to, or if it's some cynic or jerk who's full of hate.'' The entire process, he said, should take a few days. </P> "	"nyt_eng_199409.gz"
"5233"	"it"	"believes"	" Anyway, ``Hemmings Motor News,'' which correctly bills itself as ``The bible of the old car hobby since 1954,'' has made a few predictions about some cars that, it believes, are underpriced now, and will rise in value. Among them are the: </P> "	"nyt_eng_199409.gz"
"5441"	"he"	"believes"	" A popular explanation is that Blake wasn't technically proficient enough to portray a fierce tiger, a theory Essick discounts. A more likely explanation, he believes, is that the tiger represented the more benign view of nature -- and God -- that Blake wanted to promote. </P> "	"nyt_eng_199409.gz"
"5586"	"he"	"believes"	" And the numbers, he believes, have little potential for providing insight into discrimination, since the criteria for judging the creditworthiness of businesses are far less quantifiable than, say, car loans. </P> "	"nyt_eng_199409.gz"
"5603"	"she"	"believes"	" A sense of the past, of traditions that helped Southern blacks live and thrive, seems to have eroded in the trek north, Ms. Wilson said. The essence of such spiritual fortitude is still there, she believes, but is sometimes obscured by the urban hustle. </P> "	"nyt_eng_199409.gz"
"5754"	"she"	"believes"	" She offers the five-year blueprint as an alternative to the detailed plan. The blueprint image, she believes, builds flexibility into the system. </P> "	"nyt_eng_199409.gz"
"5761"	"she"	"believes"	" She offers the five-year blueprint as an alternative to the detailed plan. The blueprint image, she believes, builds flexibility into the system. </P> "	"nyt_eng_199409.gz"
"5912"	"she"	"believes"	" She offers the five-year blueprint as an alternative to the detailed plan. The blueprint image, she believes, builds flexibility into the system. </P> "	"nyt_eng_199410.gz"
"6056"	"he"	"believes"	" After ``Last House on the Left,'' Craven tried to do a variety of things, including a Vietnam script and a love story. But with his money running out, he was forced to take an assignment to write and direct another horror film in 1977, ``The Hills Have Eyes.'' And that, he believes, cinched it for him as a genre director. </P> "	"nyt_eng_199410.gz"
"8258"	"he"	"believes"	" In fact, to be effective, he believes, he must consider neither the bruising recent past, in which he has suffered two concussions in games -- the first last January, the other two weeks ago -- nor must he consider a possibly incapacitating future, in which there could be memory loss, headaches, speech problems, loss of balance and fuzzy vision. </P> "	"nyt_eng_199411.gz"
"9632"	"she"	"believes"	" Her sons, she believes, did what they thought they had to do to survive. They got guns. They took their place in a culture of violence ``'cause it's too hard to be good,'' she said. ``They know they ain't gonna get no decent job and no good life.'' </P> "	"nyt_eng_199412.gz"
"10104"	"he"	"believes"	" Lee's decision to join the Simpson defense team, which required the approval of Gov. Lowell Weicker of Connecticut, stemmed from friendship (with Dr. Michael Baden, chief forensic pathologist for the New York State Police, who had already been enlisted); persuasiveness (Shapiro's), and concern (for forensic science, which, he believes, will be as much on trial as Simpson). </P> "	"nyt_eng_199412.gz"
"10449"	"he"	"believes"	" It is a curious thing to see this renewed vigor in Faldo here amid the island ease. The surroundings are mesmeric. With the breeze wafting off the Caribbean and the smell of money ($550,000 for first place, $52,000 for last) intermingling with the salt air that wraps around the hills and bluffs hanging over the sea, this is a paid vacation for many of the top players here. But Faldo is getting in some serious work as he prepares to make a major life-style change which, he believes, will help him realize his lifelong goals. </P> "	"nyt_eng_199412.gz"
"10946"	"he"	"believes"	" To George Fletcher of Columbia University Law School, it is a bad rap. In his forthcoming book, ``With Justice for Some: Victims' Rights in Criminal Trials'' (Addison-Wesley), he argues that Ms. Brown and Goldman seek out Geraldo Rivera and others like him simply because they have nowhere else to turn. And that, he believes, reflects badly on the criminal justice system in general and prosecutors in particular. </P> "	"nyt_eng_199412.gz"
"10948"	"he"	"believes"	" Fletcher, a scholar in comparative criminal law, advocates what he called the continental European model, one that allows people like Denise Brown a role earlier still: in plea bargaining or at trial, where victims or their next-of-kin, he believes, should be allowed to question witnesses and, in a sense, embody the human costs of crime. </P> "	"nyt_eng_199412.gz"
"10949"	"he"	"believes"	" The process of re-enfranchising disenfranchised crime victims and their families, he believes, must begin with prosecutors who empathize with them, conspicuously and emphatically. </P> "	"nyt_eng_199412.gz"
"10951"	"he"	"believes"	" He cited two trials in which, he believes, prosecutors prevailed precisely because they associated themselves with victims: the rape prosecution of Mike Tyson and the federal trial of the four Los Angeles police officers who beat Rodney King. </P> "	"nyt_eng_199412.gz"
"11280"	"he"	"believes"	" But it is his high-pitched emotional approach, he believes, that has spurred his success. For much of this season, however, he had been at wit's end to escape his shooting slump. </P> "	"nyt_eng_199412.gz"
"11292"	"he"	"believes"	" But it is his high-pitched emotional approach, he believes, that has spurred his success. For much of this season, however, he had been at wit's end to escape his shooting slump. </P> "	"nyt_eng_199412.gz"
"11353"	"he"	"believes"	" This, he believes, was the lesson of Chernobyl, the nuclear accident in the former Soviet Union he covered for the Christian Science Monitor. Chernobyl-related moral lapses were legion, from the state on down to the individual, but perhaps no more egregiously than between the two engineers whose reckless tinkering caused the meltdown. </P> "	"nyt_eng_199412.gz"
"11382"	"she"	"believes"	" This month Mrs. Leech, who regards the association as overly dogmatic, will see her monthly Social Security check push above the $1,600 mark, an unconscionably generous figure, she believes, for someone with other sources of income, including one-third of the proceeds of a farm that has 100 acres in soybeans and corn. </P> "	"nyt_eng_199412.gz"
"11384"	"she"	"believes"	" Three hundred and fifty miles from here, on the bleak eastern outskirts of Berlin, Sestovic's mother, Muska, sits in a hostel for people displaced by the Bosnian war. So far, the total is 2.7 million. She cries a lot. Her one solace is that she has been dreaming often of her missing husband: a sign, she believes, that he is alive. ``I cannot believe Ruzdija is dead,'' she said. </P> "	"nyt_eng_199412.gz"
"11639"	"he"	"believes"	" And in the view of Paul Portney of Resources for the Future, not a moment too soon: The alternative to a rethinking of the basics, he believes, is a piecemeal rebellion against Big Green. </P> "	"nyt_eng_199501.gz"
"12193"	"he"	"believes"	" Several trends in contemporary society, he believes, are exacerbating violent behaviors, especially among the young. </P> "	"nyt_eng_199501.gz"
"12253"	"he"	"believes"	" The receiver's struggles to keep playing didn't end there. Despite being a two-time All-Big West Conference selection, he went undrafted because, he believes, of his medical history. </P> "	"nyt_eng_199501.gz"
"12386"	"he"	"believes"	" Seay was not drafted, he believes, because of the physical handicaps left from the shooting. The 49ers signed him as a free agent, but only after he agreed to sign a medical waiver (he signed a similar waiver with the Chargers). Seay spent the 1992 season on San Francisco's practice squad. </P> "	"nyt_eng_199501.gz"
"12487"	"he"	"believes"	" Brooks' biggest problem with putting his music on television has less to do with what is seen on stage than what happens away from it. Music on TV, he believes, too often fails to capture the excitement and intensity of a live concert. </P> "	"nyt_eng_199501.gz"
"12620"	"he"	"believes"	" Several trends in contemporary society, he believes, are exacerbating violent behaviors, especially among the young. </P> "	"nyt_eng_199501.gz"
"12656"	"he"	"believes"	" Angelos, a noted Baltimore lawyer who made his fortune in part by litigating product liability suits and representing trade unions, is nonetheless studying the league bylaws. What he has seen, he believes, gives him cause to hope that his stance would be supported in court. </P> "	"nyt_eng_199501.gz"
"12811"	"he"	"believes"	" The reaction of the orchestra to such ideas was strongly negative and, he believes, was encouraged by members of the musical establishment hostile to his teacher, Hideo Saito, whose students were on their way to displacing the graduates of the national conservatory as the dominant figures in classical music in Japan. </P> "	"nyt_eng_199501.gz"
"13070"	"he"	"believes"	" ``We're moving to an era where phone companies and cable companies are trying to target certain income groups,'' Markey says. If that occurs over the long run, he believes, ``we're going to wind up in a world where the best information is the most expensive -- and the only high technology that a 10-year-old boy in the inner city has access to is a handgun.'' </P> "	"nyt_eng_199501.gz"
"13540"	"he"	"believes"	" Bernstein also said that the Russian gambit figured in Truman's decision to use the bomb. So did the momentum of the $2-billion Manhattan Project, he said. Had the bomb been ready in time, he believes, it would have been used on Nazi Germany. </P> "	"nyt_eng_199501.gz"
"13746"	"she"	"believes"	" How frugal is Dacyczyn? Frugal enough -- and this is just one of many examples in this book -- to devote an inordinate amount of time and effort to a cost analysis aimed at finding out whether it's cheaper to use cloth or paper napkins. A true tightwad, she believes, has to sweat the small stuff, and she's a true tightwad if there ever was one. Her findings? A family of four could save $14 a year by using cloth napkins. </P> "	"nyt_eng_199502.gz"
"13751"	"she"	"believes"	" Fiona, however, is fascinated by the island and by Hugh's story of how her baby brother, Jamie, disappeared during the evacuation when his wooden cradle was swept off the beach in stormy weather. Permitted to explore Roan Inish while Hugh and her cousin Eamon (Richard Sheridan) set lobster traps, Fiona finds fresh ashes and small footprints -- evidence, she believes, that Jamie may not have perished. </P> "	"nyt_eng_199502.gz"
"13797"	"she"	"believes"	" Her latest battle is two- fold: alter the image of women's gymnastics -- she says the days of Twiggy are over -- and guide the Lady Bulldogs to a fourth national championship. The former, she believes, is inevitable. The latter is very possible. </P> "	"nyt_eng_199502.gz"
"14084"	"he"	"believes"	" ``Technology is moving very fast and is radically reducing the cost of offering new services,'' said Thomas Duesterberg, a former Assistant Secretary of Commerce now at the Hudson Institute. The United States now enjoys a technological lead in many areas of telecommunications, but to maintain it, he believes, ``We have to accelerate the pace of deployment of new services or we will lose some of the competitive edge we have because of superior communications services. That's why we need to go to a fairly radical deregulatory model.'' </P> "	"nyt_eng_199502.gz"
"14627"	"he"	"believes"	" Gene Price, the editor emeritus of the Goldsboro (N.C.) News, says political candidates file by the local barbecue to be anointed, and politicians' waistlines, as much as polls, show who is campaigning hardest. It may be impossible, he believes, for a skinny man to be elected here. </P> "	"nyt_eng_199502.gz"
"15030"	"he"	"believes"	" This belief is a departure from the common wisdom about stock diversification. Owning many different stocks -- good, bad and mediocre -- depresses the returns a more selective portfolio would achieve, he believes, and makes it impossible to understand all that you own. </P> "	"nyt_eng_199502.gz"
"15065"	"he"	"believes"	" This belief is a departure from the common wisdom about stock diversification. Owning many different stocks -- good, bad and mediocre -- depresses the returns a more selective portfolio would achieve, he believes, and makes it impossible to understand all that you own. </P> "	"nyt_eng_199502.gz"
"15243"	"he"	"believes"	" Women, he believes, tend to crave fat-and-sugar combinations, while men want fat with protein and fat with salt. ``It's not a nutritional need -- God knows we get enough fat, sugar and salt in our diet,'' he said. ``But in moderation, it's not a bad thing either. Studies now show that pleasure may strengthen the immune system. If you want to release those endorphins, run five miles -- or eat some chocolate.'' </P> "	"nyt_eng_199502.gz"
"15706"	"he"	"believes"	" But even basketball was not always easy for him. After being drafted by the Nuggets in 1990, he suffered foot problems and excessive weight gain (partly due, he believes, to a now-abandoned attempt to control his symptoms with the drug Haldol) and found himself ill suited to compete professionally. </P> "	"nyt_eng_199502.gz"
"16040"	"he"	"believes"	" For many years, Yamada also spent long periods abroad, though his faith places the family at the center of life. In putting his work first, he believes, he earned his wife's resentment and alienated his children. </P> "	"nyt_eng_199503.gz"
"16043"	"he"	"believes"	" This summer, at the world outdoor championships in Sweden, Johnson will attempt an unprecedented double victory at 200 and 400 meters. Such an accomplishment, he believes, would confirm internationally what he feels is already self-evident, ``that I'm probably the most consistent sprinter there ever has been.'' </P> "	"nyt_eng_199503.gz"
"16283"	"he"	"believes"	" He does so, gladly and, Watson believes, with a different mind-set. He still has a wish list for his career. He is blazing a trail, he believes, for him and others. As a general manager, he is only the second African-American to hold such a position in major league baseball (the late Bill Lucas of the Atlanta Braves was the other). </P> "	"nyt_eng_199503.gz"
"16830"	"he"	"believes"	" There's the patient who's convinced that he's living inside a dream from which he's now ready to be awakened. He's decided that the only way he can effect this is to jump from the roof of the hospital: his fright, he believes, will wake him. </P> "	"nyt_eng_199503.gz"
"17608"	"he"	"believes"	" Most companies are doing little to reassure them, according to Quinn Spitzer, president of Kepner-Tregoe, a consultancy based in Princeton, N.J. Many managers, he believes, handle restructuring with ``an incompetence that is breathtaking.'' </P> "	"nyt_eng_199503.gz"
"17609"	"he"	"believes"	" And just as firms defused unions in the 1980s by usurping their traditional role, these New Age trade unionists are, he believes, ``adopting a management paradigm.'' </P> "	"nyt_eng_199503.gz"
"17613"	"he"	"believes"	" Most companies are doing little to reassure them, according to Quinn Spitzer, president of Kepner-Tregoe, a consultancy based in Princeton, N.J. Many managers, he believes, handle restructuring with ``an incompetence that is breathtaking.'' </P> "	"nyt_eng_199503.gz"
"17614"	"he"	"believes"	" And just as firms defused unions in the 1980s by usurping their traditional role, these New Age trade unionists are, he believes, ``adopting a management paradigm.'' </P> "	"nyt_eng_199503.gz"
"17616"	"he"	"believes"	" Most companies are doing little to reassure them, according to Quinn Spitzer, president of Kepner-Tregoe, a consultancy based in Princeton, N.J. Many managers, he believes, handle restructuring with ``an incompetence that is breathtaking.'' </P> "	"nyt_eng_199503.gz"
"17617"	"he"	"believes"	" And just as firms defused unions in the 1980s by usurping their traditional role, these New Age trade unionists are, he believes, ``adopting a management paradigm.'' </P> "	"nyt_eng_199503.gz"
"17624"	"he"	"believes"	" Most companies are doing little to reassure them, according to Quinn Spitzer, president of Kepner-Tregoe, a consultancy based in Princeton, N.J. Many managers, he believes, handle restructuring with ``an incompetence that is breathtaking.'' </P> "	"nyt_eng_199503.gz"
"17625"	"he"	"believes"	" And just as firms defused unions in the 1980s by usurping their traditional role, these New Age trade unionists are, he believes, ``adopting a management paradigm.'' </P> "	"nyt_eng_199503.gz"
"17626"	"he"	"believes"	" Most companies are doing little to reassure them, according to Quinn Spitzer, president of Kepner-Tregoe, a consultancy based in Princeton, N.J. Many managers, he believes, handle restructuring with ``an incompetence that is breathtaking.'' </P> "	"nyt_eng_199503.gz"
"17627"	"he"	"believes"	" And just as firms defused unions in the 1980s by usurping their traditional role, these New Age trade unionists are, he believes, ``adopting a management paradigm.'' </P> "	"nyt_eng_199503.gz"
"17628"	"he"	"believes"	" Most companies are doing little to reassure them, according to Quinn Spitzer, president of Kepner-Tregoe, a consultancy based in Princeton, N.J. Many managers, he believes, handle restructuring with ``an incompetence that is breathtaking.'' </P> "	"nyt_eng_199503.gz"
"17629"	"he"	"believes"	" And just as firms defused unions in the 1980s by usurping their traditional role, these New Age trade unionists are, he believes, ``adopting a management paradigm.'' </P> "	"nyt_eng_199503.gz"
"17828"	"he"	"believes"	" Most companies are doing little to reassure them, according to Quinn Spitzer, president of Kepner-Tregoe, a consultancy based in Princeton, N.J. Many managers, he believes, handle restructuring with ``an incompetence that is breathtaking.'' </P> "	"nyt_eng_199503.gz"
"17829"	"he"	"believes"	" And just as firms defused unions in the 1980s by usurping their traditional role, these New Age trade unionists are, he believes, ``adopting a management paradigm.'' </P> "	"nyt_eng_199503.gz"
"17833"	"he"	"believes"	" Most companies are doing little to reassure them, according to Quinn Spitzer, president of Kepner-Tregoe, a consultancy based in Princeton, N.J. Many managers, he believes, handle restructuring with ``an incompetence that is breathtaking.'' </P> "	"nyt_eng_199503.gz"
"17834"	"he"	"believes"	" And just as firms defused unions in the 1980s by usurping their traditional role, these New Age trade unionists are, he believes, ``adopting a management paradigm.'' </P> "	"nyt_eng_199503.gz"
"17836"	"he"	"believes"	" Most companies are doing little to reassure them, according to Quinn Spitzer, president of Kepner-Tregoe, a consultancy based in Princeton, N.J. Many managers, he believes, handle restructuring with ``an incompetence that is breathtaking.'' </P> "	"nyt_eng_199503.gz"
"17837"	"he"	"believes"	" And just as firms defused unions in the 1980s by usurping their traditional role, these New Age trade unionists are, he believes, ``adopting a management paradigm.'' </P> "	"nyt_eng_199503.gz"
"17921"	"he"	"believes"	" That time will come, he believes, when he is ``feeling comfortable with where I'm at and with who I am and, feeling like I have some understanding of what happened in this past relationship and hopefully, feeling like the same thing wouldn't happen.'' </P> "	"nyt_eng_199503.gz"
"18412"	"he"	"believes"	" Half a dozen of them, he believes, are comparable to Mozart and Wagner at their best. </P> "	"nyt_eng_199504.gz"
"18828"	"he"	"believes"	" Atlantic City's casinos, thinks Friedman, are a perfect target for cup-borne ads; so are big boxing matches. Cigarette and snack makers, he believes, would also make ideal advertisers. </P> "	"nyt_eng_199504.gz"
"18829"	"he"	"believes"	" Atlantic City's casinos, thinks Friedman, are a perfect target for cup-borne ads; so are big boxing matches. Cigarette and snack makers, he believes, would also make ideal advertisers. </P> "	"nyt_eng_199504.gz"
"18830"	"he"	"believes"	" Atlantic City's casinos, thinks Friedman, are a perfect target for cup-borne ads; so are big boxing matches. Cigarette and snack makers, he believes, would also make ideal advertisers. </P> "	"nyt_eng_199504.gz"
"18848"	"he"	"believes"	" Atlantic City's casinos, thinks Friedman, are a perfect target for cup-borne ads; so are big boxing matches. Cigarette and snack makers, he believes, would also make ideal advertisers. </P> "	"nyt_eng_199504.gz"
"18849"	"he"	"believes"	" Atlantic City's casinos, thinks Friedman, are a perfect target for cup-borne ads; so are big boxing matches. Cigarette and snack makers, he believes, would also make ideal advertisers. </P> "	"nyt_eng_199504.gz"
"18850"	"he"	"believes"	" Atlantic City's casinos, thinks Friedman, are a perfect target for cup-borne ads; so are big boxing matches. Cigarette and snack makers, he believes, would also make ideal advertisers. </P> "	"nyt_eng_199504.gz"
"19108"	"he"	"believes"	" Atlantic City's casinos, thinks Friedman, are a perfect target for cup-borne ads; so are big boxing matches. Cigarette and snack makers, he believes, would also make ideal advertisers. </P> "	"nyt_eng_199504.gz"
"19110"	"he"	"believes"	" Atlantic City's casinos, thinks Friedman, are a perfect target for cup-borne ads; so are big boxing matches. Cigarette and snack makers, he believes, would also make ideal advertisers. </P> "	"nyt_eng_199504.gz"
"19113"	"he"	"believes"	" Atlantic City's casinos, thinks Friedman, are a perfect target for cup-borne ads; so are big boxing matches. Cigarette and snack makers, he believes, would also make ideal advertisers. </P> "	"nyt_eng_199504.gz"
"19327"	"he"	"believes"	" Certain points in the book come across like thunderclaps, like the author's clear preference for Kennedy, who, he believes, would have pulled out of Vietnam had he lived, over Johnson, whom he faults for not allowing open discussion of Vietnam policy among his senior advisers. </P> "	"nyt_eng_199504.gz"
"19691"	"she"	"believes"	" Among other things, she believes, this requires focusing on prevention and building political consensus at the local level, as she recently attempted to do in issuing new standards for the discharge of toxic materials into the Great Lakes. </P> "	"nyt_eng_199504.gz"
"19792"	"he"	"believes"	" This time he was pleased, so much so that he substituted the Mozart for Prokofiev's Left-Hand Concerto on a program this weekend with the Cleveland Orchestra. He does not want too much read into these performances. The injury remains. But in certain works he has found a way, he believes, to get around it. </P> "	"nyt_eng_199504.gz"
"20503"	"she"	"believes"	" A step in that direction, she believes, are minority participation goals on such large projects as the stadium. The joint venture building the stadium, Atlanta Stadium Constructors, abides by an Olympic goal of giving 40 percent of its work to businesses owned by minorities or women. Female-owned businesses also will landscape the parking lots, supply kitchen equipment inside the concourses and install the beige architectural concrete slabs on the outside of the stadium. </P> "	"nyt_eng_199504.gz"
