"pronoun"	"verb"	"context"	"filename"
"1920"	"you"	"bet"	" ``There was no other outstretched hand'' to the Soviet Union but his, Turner said. But now, ``The Cold War is over, you bet,'' he said. And his reason for keeping the games going is: ``It's an event that's proprietary to us.'' Turner is also the owner of Turner Broadcasting Systems and Cable News Network. </P> "	"nyt_eng_199408.gz"
"5242"	"I"	"bet"	" Small-niche theme parks like this, I bet, can be what make our economic engine run and grow and belch exhaust. </P> "	"nyt_eng_199409.gz"
"5429"	"I"	"bet"	" Small-niche theme parks like this, I bet, can be what make our economic engine run and grow and belch exhaust. </P> "	"nyt_eng_199409.gz"
"6379"	"I"	"bet"	" Both sports have affluent followings, but advertisers, I bet, would prefer to reach golfers. It's much more expensive to join a golf club than a tennis club. Golf equipment is more expensive, too. </P> "	"nyt_eng_199410.gz"
"9836"	"I"	"bet"	" He explained that the locale was not definite, ``Could be Chicago, San Francisco, or even L.A.'' Next, I bet, he was going to tell me it might be on a freeway. I hung up. </P> "	"nyt_eng_199412.gz"
"9837"	"I"	"bet"	" He explained that the locale was not definite, ``Could be Chicago, San Francisco, or even L.A.'' Next, I bet, he was going to tell me it might be on a freeway. I hung up. </P> "	"nyt_eng_199412.gz"
"11160"	"I"	"bet"	" ``He feels this one just as much as his first one, I bet,'' said Clippers forward Loy Vaught, saddled with foul trouble throughout a 20-point, six-rebound, three-steal evening. ``You don't get used to that misery. It's in the locker room now. You take it home.'' </P> "	"nyt_eng_199412.gz"
"11300"	"I"	"bet"	" What these people are suffering from, I bet, is ``Stephen King novel nose.'' </P> "	"nyt_eng_199412.gz"
"12532"	"I"	"bet"	" During the holidays, there was a picture of the three Clintons at a tree-lighting ceremony, all three smiling bigger than Christmas. How do you suppose, for example, Chelsea had stood up under all the talk and all the jokes and innuendoes about her parents' private and public lives? Yet there she stood, still in the tender teen years, but proud of him, proud of her mother and proud, I bet, to be there. Somebody is doing something right in that family, and my money's on Hillary. </P> "	"nyt_eng_199501.gz"
"14426"	"I"	"bet"	" ``When was the last time you saw an ad somewhere for Amtrak? It's been a while, I bet,'' Porter suggested. ``And I know it's been a long, long time since you've seen an ad about this particular line.'' </P> "	"nyt_eng_199502.gz"
"14678"	"you"	"bet"	" Baseball is a team game, you bet, but each team consists of one player. For every game lost to the strike, Lenny Dykstra's team, ``Lenny Dykstra,'' loses $31,147.54. Lenny, a team guy, has to consider what's good for Lenny's team. Surely he has discussed it among himself. </P> "	"nyt_eng_199502.gz"
"15299"	"I"	"bet"	" ``The idea of beating people is pretty primitive and you'd get pretty primitive results with it, I bet,'' Hamilton said. </P> "	"nyt_eng_199502.gz"
"18894"	"they"	"bet"	" But some investors like things simple and easy to size up. If something looks muddled, they want to break it into bite-size pieces -- parts, they bet, worth more than the whole. That's clearly what's happening at Chase. </P> "	"nyt_eng_199504.gz"
