"pronoun"	"verb"	"context"	"filename"
"28092"	"he"	"boasts"	" ``I'm going to make the Bhopal disaster look like a Girl Scout picnic,'' he announces, as he is about to test his supertoy by blowing up a chemical weapons plant in China. Chortling over what might happen if he took aim at California's earthquake faults, he boasts, ``In 15 seconds Arizona could be beachfront property.'' </P> "	"nyt_eng_199507.gz"
"28093"	"he"	"boasts"	" ``I'm going to make the Bhopal disaster look like a Girl Scout picnic,'' he announces, as he is about to test his supertoy by blowing up a chemical weapons plant in China. Chortling over what might happen if he took aim at California's earthquake faults, he boasts, ``In 15 seconds Arizona could be beachfront property.'' </P> "	"nyt_eng_199507.gz"
"34854"	"he"	"boasts"	" Not that Goldstein is a politician. He is, rather, an ally of the Brooklyn Democrats who has, he boasts, used his connections for the good of his school. </P> "	"nyt_eng_199509.gz"
"41364"	"he"	"boasts"	" In 1970, he stepped into the national company of ``Zorba,'' stopped dying his hair and has played what he calls ``white-hair roles'' ever since. In that repertoire are such musicals as ``South Pacific,'' ``Most Happy Fella'' and, he boasts, ``I was the tallest, loudest John Adams to play `1776.' '' </P> "	"nyt_eng_199511.gz"
"44223"	"he"	"boasts"	" The director waits until the end of the film to introduce the grown-up Ari. A disturbed young man who bears a strong resemblance to his father, he is mesmerized by his mother's legend. Once, when he was in drug-induced coma, he boasts, she visited him in the hospital and asked if she could tape the sound of his life-support machine for a record. </P> "	"nyt_eng_199601.gz"
"44300"	"he"	"boasts"	" The director waits until the end of the film to introduce the grown-up Ari. A disturbed young man who bears a strong resemblance to his father, he is mesmerized by his mother's legend. Once, when he was in drug-induced coma, he boasts, she visited him in the hospital and asked if she could tape the sound of his life-support machine for a record. </P> "	"nyt_eng_199601.gz"
"54131"	"he"	"boasts"	" Darnell's goal is to score what he calls a ``hit.'' And the movie's opening scenes find him cynically juggling several continuing hits, none of whom, he boasts, has ever heard him say ``I love you.'' </P> "	"nyt_eng_199604.gz"
"57883"	"he"	"boasts"	" The play is set in Hemingway's trophy-decorated home (a spacious Santo Loquasto set) outside Havana in 1959, five years after he won the Nobel Prize in Literature and two years before his suicide by shotgun in Ketchum, Idaho. He has been working on a 10,000-word story about bullfighting for Life magazine whose $90,000 fee, he boasts, is ``the price of two fifths of Dewar's a word.'' </P> "	"nyt_eng_199605.gz"
"57942"	"he"	"boasts"	" The play is set in Hemingway's trophy-decorated home (a spacious Santo Loquasto set) outside Havana in 1959, five years after he won the Nobel Prize in Literature and two years before his suicide by shotgun in Ketchum, Idaho. He has been working on a 10,000-word story about bullfighting for Life magazine whose $90,000 fee, he boasts, is ``the price of two fifths of Dewar's a word.'' </P> "	"nyt_eng_199605.gz"
"57946"	"he"	"boasts"	" The play is set in Hemingway's trophy-decorated home (a spacious Santo Loquasto set) outside Havana in 1959, five years after he won the Nobel Prize in Literature and two years before his suicide by shotgun in Ketchum, Idaho. He has been working on a 10,000-word story about bullfighting for Life magazine whose $90,000 fee, he boasts, is ``the price of two fifths of Dewar's a word.'' </P> "	"nyt_eng_199605.gz"
"60195"	"he"	"boasts"	" And if his team loses at his own track? Penske recalls his disappointment last year when his cars failed even to qualify at the Indy 500. But rather than brood about the setback, he boasts, ``we went on to win five races the rest of that year.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960524.0626 type=story > <HEADLINE> SHARON'S HAWKISH TALONS AS SHARP AS EVER </HEADLINE> <DATELINE> SEDEROT, Israel (BC-ISRAEL-SHARON-ART-NYT) </DATELINE> <TEXT> "	"nyt_eng_199605.gz"
"60355"	"he"	"boasts"	" And if his team loses at his own track? Penske recalls his disappointment last year when his cars failed even to qualify at the Indy 500. But rather than brood about the setback, he boasts, ``we went on to win five races the rest of that year.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960525.0512 type=story > <HEADLINE> PLANS HAVE A FAMILIAR VROOM </HEADLINE> <DATELINE> FONTANA, Calif. (BC-PENSKE-RACETRACK-ONTARIO-$ADV26-NYT) </DATELINE> <TEXT> "	"nyt_eng_199605.gz"
"61068"	"she"	"boasts"	" Many people doubt whether Europe Online will survive. Ms. Johnson is no quitter. She has moved her desk into the company's office. The service, she boasts, gets 300,000 hits a day: ``more than the pope got when he was sick.'' </P> "	"nyt_eng_199605.gz"
"61071"	"she"	"boasts"	" Many people doubt whether Europe Online will survive. Ms. Johnson is no quitter. She has moved her desk into the company's office. The service, she boasts, gets 300,000 hits a day: ``more than the pope got when he was sick.'' </P> "	"nyt_eng_199605.gz"
"61074"	"she"	"boasts"	" Many people doubt whether Europe Online will survive. Ms. Johnson is no quitter. She has moved her desk into the company's office. The service, she boasts, gets 300,000 hits a day: ``more than the pope got when he was sick.'' </P> "	"nyt_eng_199605.gz"
"61476"	"she"	"boasts"	" Many people doubt whether Europe Online will survive. Ms. Johnson is no quitter. She has moved her desk into the company's office. The service, she boasts, gets 300,000 hits a day: ``more than the pope got when he was sick.'' </P> "	"nyt_eng_199606.gz"
"101759"	"he"	"boasts"	" Smith keeps much of his collection in rented storage. He's  appropriated space in the bedrooms of his two grown sons, and the dining  room is home to the desks of his two part-time employees. His basement  is filled with file cabinets, rolled-up flags, stacks of boxes linked to  the ceiling by spider webs, and bookcases of cinder block and planks,  whose titles include ``The Truth About Betsy Ross'' and ``Prolegomena to  the Study of Political Symbolism.''  His library, he boasts, is ``larger  than what the Library of Congress, the New York Public Library, Harvard  University, and the British Museum collectively have on the subject.''  How does he know? ``I've been to those institutions,'' he says. ``I've  spent hours in them, in fact, in the days before computerized  information sources, writing down by hand all the information on the  file cards in their library so I would know what books there were so I  could try to acquire copies.'' </P> "	"nyt_eng_200111.gz"
"113690"	"he"	"boasts"	" But they didn't have the right patient until last August, when Wardan, a building contractor and father of two, flew to Boston. He charmed the doctors immediately. The first one to examine him, he boasts, called him ``a delightful young man, alert and determined.'' He liked to admonish them: ``I have a good heart. You have to protect it.'' </P> "	"nyt_eng_200204.gz"
"123025"	"he"	"boasts"	" Still, as his latest rebound proves, ``You've got to stay in the picture.'' It's Evans' inspirational mantra. His life and hard times can be a lesson for us all, he boasts, far beyond the movie business. </P> "	"nyt_eng_200208.gz"
"126564"	"she"	"boasts"	" In short order, the play introduces us to Malcolm McLaren (Henry Stram), who created the Sex Pistols; Rotten (Jason Liebrecht); Richard Huelsenbeck (T. Ryder Smith), a psychiatrist who helped initiate the Dada movement; and Guy Debord (Randolph Curtis Rand), who led the similar French collective Situationist International in the late '50s and '60s. The play's glue and biggest postmodern giggle comes in the form of Dr. Narrator (a very funny Lana Lesley), alternately confident and a puddle of insecurities -- she has a Ph.D. in narration, she boasts, adding uncertainly, ``I'm not fiction, but I'm not real.'' </P> "	"nyt_eng_200209.gz"
"126582"	"she"	"boasts"	" Randall wears his hair in a mullet. His biggest fan is his garrulous twice-divorced mother, Roberta (Kathy Bates), who loudly informs Warren that the bond sealing the newlyweds' happiness is their ``white hot'' sex life. Her son, she boasts, inherited his healthy sex drive from her. And in one of the movie's funniest scenes, she terrifies Warren by plopping down next to him in a hot tub and waiting for the sparks to fly. </P> "	"nyt_eng_200209.gz"
"126584"	"she"	"boasts"	" Randall wears his hair in a mullet. His biggest fan is his garrulous twice-divorced mother, Roberta (Kathy Bates), who loudly informs Warren that the bond sealing the newlyweds' happiness is their ``white hot'' sex life. Her son, she boasts, inherited his healthy sex drive from her. And in one of the movie's funniest scenes, she terrifies Warren by plopping down next to him in a hot tub and waiting for the sparks to fly. </P> "	"nyt_eng_200209.gz"
