"pronoun"	"verb"	"context"	"filename"
"4097"	"he"	"calculates"	" In 1990, he calculates, the 8.4 percent of households with foreign-born heads received 13.1 of the total cash assistance. And he questions the capacities of low-income immigrants to assimilate into America's largely middle-class culture as rapidly as preceding generations did. </P> "	"nyt_eng_199409.gz"
"18389"	"he"	"calculates"	" Ed Thomas, a third-year student from Fairfield, Conn., is a residence hall adviser, active in dance and theater. ``I used to drink,'' he said, ``but I don't any more.'' This, he calculates, gives him about 15 more hours a week to study, because ``I don't have a hangover; I don't have to sleep as late.'' </P> "	"nyt_eng_199504.gz"
"18410"	"he"	"calculates"	" Ed Thomas, a third-year student from Fairfield, Conn., is a residence hall adviser, active in dance and theater. ``I used to drink,'' he said, ``but I don't any more.'' This, he calculates, gives him about 15 more hours a week to study, because ``I don't have a hangover; I don't have to sleep as late.'' </P> "	"nyt_eng_199504.gz"
"37471"	"he"	"calculates"	" A. The Earth's interior cools about 1 degree Fahrenheit every million years, says MIT's Toksoz. At that rate, he calculates, the Earth will not cool completely for at least 4 billion years. And yes, if it cooled completely, it would solidify. </P> "	"nyt_eng_199510.gz"
"38024"	"he"	"calculates"	" Ken Delfino, another supervisor, lives only a mile and a half from the new office, which opened in August. He stands to save $2,300 a year in bridge tolls, gas and parking charges, he calculates, in addition to 416 hours a year on the road. </P> "	"nyt_eng_199510.gz"
"38127"	"he"	"calculates"	" Ken Delfino, another supervisor, lives only a mile and a half from the new office, which opened in August. He stands to save $2,300 a year in bridge tolls, gas and parking charges, he calculates, in addition to 416 hours a year on the road. </P> "	"nyt_eng_199510.gz"
"38446"	"he"	"calculates"	" Ken Delfino, another supervisor, lives only a mile and a half from the new office, which opened in August. He stands to save $2,300 a year in bridge tolls, gas and parking charges, he calculates, in addition to 416 hours a year on the road. </P> "	"nyt_eng_199511.gz"
"38466"	"he"	"calculates"	" Ken Delfino, another supervisor, lives only a mile and a half from the new office, which opened in August. He stands to save $2,300 a year in bridge tolls, gas and parking charges, he calculates, in addition to 416 hours a year on the road. </P> "	"nyt_eng_199511.gz"
"38473"	"he"	"calculates"	" Ken Delfino, another supervisor, lives only a mile and a half from the new office, which opened in August. He stands to save $2,300 a year in bridge tolls, gas and parking charges, he calculates, in addition to 416 hours a year on the road. </P> "	"nyt_eng_199511.gz"
"84163"	"he"	"calculates"	" He favors bonds now partly because he expects a slumping economy will reduce the risk of rising inflation, preserving the value of bonds' fixed payments. Those conditions will hurt stocks, he calculates, as slower spending by businesses and consumers hurt corporate earnings. </P> "	"nyt_eng_199701.gz"
"84167"	"he"	"calculates"	" He favors bonds now partly because he expects a slumping economy will reduce the risk of rising inflation, preserving the value of bonds' fixed payments. Those conditions will hurt stocks, he calculates, as slower spending by businesses and consumers hurt corporate earnings. </P> "	"nyt_eng_199701.gz"
