"pronoun"	"verb"	"context"	"filename"
"18377"	"it"	"came"	" When the judge, Sonia Sotomayor, dealt the owners their latest blow, it came, ironically, in the same Manhattan courtroom where the owners beat back Curt Flood's attempt at free agency in 1970. </P> "	"nyt_eng_199504.gz"
"20078"	"it"	"came"	" Before the New York bombing, we were as innocent about terrorism as the children in the day-care center. Now we all have that same look of horror in our eyes. It's coming, it came, it's here. It's a blessing Will Rogers never met these people. He's the only innocent left. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950421.0085 type=story > <HEADLINE> WE WERE NAIVE TO THINK TERROR WOULDN'T VISIT US </HEADLINE> <DATELINE>  (BC-YOST-COLUMN-AZG) </DATELINE> <TEXT> "	"nyt_eng_199504.gz"
"20079"	"it"	"came"	" Before the New York bombing, we were as innocent about terrorism as the children in the day-care center. Now we all have that same look of horror in our eyes. It's coming, it came, it's here. It's a blessing Will Rogers never met these people. He's the only innocent left. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950421.0087 type=story > <HEADLINE> FORTIFIED AGAINST TERROR: WILL AMERICA FOLLOW THE MIDDLE EAST AND EUROPE? </HEADLINE> <DATELINE> JERUSALEM  (BC-BOMBING-SECURITY-650&AMP;add-$ADV23-COX) </DATELINE> <TEXT> "	"nyt_eng_199504.gz"
"39904"	"he"	"came"	" Safety Freddie Steinmark had already been diagnosed with the cancer that would eventually claim his life, and on Dec. 12, one of his legs had been amputated. Now, he came, on crutches, to be with his teammates one last time. </P> "	"nyt_eng_199511.gz"
"43022"	"it"	"came"	" For that momentous prospect, Hollis and gobs of his comrades were gathered at the shore on the appointed day looking for the white plane. Sure enough, it came, a squadron of one. </P> "	"nyt_eng_199512.gz"
"60162"	"it"	"came"	" Still, it came, we laughed at it, and it stayed. Now there are actually ``experts'' in rhythmic gymnastics, which then creates the need for ``predictions'' about rhythmic gymnastics. As though somewhere, in a particularly lonely part of the world, there is betting on rhythmic gymnastics. </P> "	"nyt_eng_199605.gz"
"96471"	"he"	"came"	" ``So the only master of the world wants to threaten us,'' said Shaheen, speaking in English. ``But make no mistake: Afghanistan, as it was in the past _ the Great Britain, he came, the Red Army, he came _ Afghanistan is a swamp. People enter here laughing, are exiting injured.'' </P> "	"nyt_eng_200109.gz"
"129174"	"she"	"came"	" ``After that she was promoted buyer of cosmetics,'' Gould recalled. ``When I went to Georgio's, she came, too, and when I went to Bloomingdale's in 1991, she was made CEO at Georgio's.'' </P> "	"nyt_eng_200210.gz"
"149106"	"she"	"came"	" She would never miss work without calling. Even when she didn't feel good, she came, said Toni Campbell, a co-worker and friend. </P> "	"nyt_eng_200502.gz"
"172578"	"he"	"came"	" As far as I know, he came, dug it up and took it away, Niegowski said. It filled up a 5-gallon bucket. It was rather large. </P> "	"nyt_eng_200610.gz"
