"pronoun"	"verb"	"context"	"filename"
"1037"	"we"	"can"	" ``Si, se puede. Yes, we can,'' the president said. He asked the Hispanic leaders to help him take that message to Congress on health care, crime, education and other issues of importance to the Hispanic community. </P> "	"nyt_eng_199407.gz"
"1782"	"you"	"can"	" ``I started out by stuffing rocks in my pocket just so I could be big enough to make the team,'' Dorsett said. ``It's been a long journey. To the youth, two words: You can, you can, you can. And if we all run to daylight, we can always find our way back home.'' </P> "	"nyt_eng_199407.gz"
"2930"	"you"	"can"	" ``We'll make it a lot like it was in New York: smaller, more intimate, people really up close, so if you're doing the monologue and you want to reach down and slap somebody, you can,'' said Leno. </P> "	"nyt_eng_199408.gz"
"3467"	"you"	"can"	" Near the end of the art fair, you can, for a quarter, hop on the open-air, waterfront shuttle bus and go to the zoo. The bus runs every few minutes all along Cabrillo Boulevard. It's a bit of a walk up Ninos Drive from Cabrillo Boulevard, but the zoo is delightful enough to warrant the effort. </P> "	"nyt_eng_199408.gz"
"3870"	"we"	"can"	" If nothing else, we can, at least, take the first steps. Maybe we can't do it all at once, right now, but to do absolutely nothing, zero, as Cook predicts, would be pitiful -- partisan, political and pitiful. </P> "	"nyt_eng_199409.gz"
"4017"	"you"	"can"	" Just below the beautiful old steeple of Mount Loretta, there are high sandy bluffs with a line of trees along the ridge. When you are in the sheltering cover there, you can, for a moment, imagine yourself off Mount Desert Island rather than Perth Amboy. </P> "	"nyt_eng_199409.gz"
"4776"	"we"	"can"	" ``If we want to run the ball, we can,'' Williams said. ``But we have to want to.'' </P> "	"nyt_eng_199409.gz"
"4856"	"they"	"can"	" Kheel replied, ``If they want to strike, they can, but they'd be violating the contract.'' </P> "	"nyt_eng_199409.gz"
"6266"	"they"	"can"	" ``If the United States wants to settle with a half-baked compromise and the media wants to describe it as a good agreement, they can,'' he said. ``But I think it would bring more danger and peril.'' </P> "	"nyt_eng_199410.gz"
"7545"	"he"	"can"	" ``We've only dealt with one-third of the problems,'' Shields said. ``Certainly, if anyone can do it, he can, because of his motivation and his work ethic.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941027.0008 type=story > <HEADLINE> COTTON BOWL RETURNS TO CBS FOR SIX YEARS </HEADLINE> <DATELINE>  (BC-FBC-COTTON BOWL-TV-TEX) </DATELINE> <TEXT> "	"nyt_eng_199410.gz"
"8873"	"you"	"can"	" ``For marketing, (interactive) means that instead of simply sitting in front of a television or reading a magazine, quietly watching an advertisement pass before your eyes, you can, in some way communicate back to the seller your level of interest, questions, or desire to purchase,'' Canter and Siegel write. </P> "	"nyt_eng_199411.gz"
"9507"	"you"	"can"	" Well, yes, you can, but this new trend is frankly baffling to Ed Parker, who operates the Panola Grocery in tiny Panola, Ala., just a few miles from the Mississippi-Alabama border. Parker, who has eaten Moon Pies all his life, never heard of warming one up until 12 years ago, when his store got a microwave. </P> "	"nyt_eng_199411.gz"
"9508"	"you"	"can"	" Well, yes, you can, but this new trend is frankly baffling to Ed Parker, who operates the Panola Grocery in tiny Panola, Ala., just a few miles from the Mississippi-Alabama border. Parker, who has eaten Moon Pies all his life, never heard of warming one up until 12 years ago, when his store got a microwave. </P> "	"nyt_eng_199411.gz"
"11577"	"you"	"can"	" I wish someone would invent a personal habit that is both healthy and heavy with ritual. Opening a bottle of mineral water is not a stylish event, although if we all carried our own openers it might be more fun. And you can't let mineral water dribble out your mouth and then suck it up through your nose -- I mean, you can, but it's not a great way to get girls. </P> "	"nyt_eng_199501.gz"
"13677"	"they"	"can"	" Luckily for Corbin and everybody else connected with ``Northern Exposure,'' including its longtime fans, of which I am one, I know exactly what's wrong with the show, and if those in control want to fix it, they can, quite easily. </P> "	"nyt_eng_199502.gz"
"14299"	"you"	"can"	" Yes, you can, with a hint: A year ago, he was the most talked-about trainer on the circuit, and his best colt was the favorite for the Kentucky Derby. </P> "	"nyt_eng_199502.gz"
"14308"	"you"	"can"	" Yes, you can, with a hint: A year ago, he was the most talked-about trainer on the circuit, and his best colt was the favorite for the Kentucky Derby. </P> "	"nyt_eng_199502.gz"
"14341"	"I"	"can"	" ``If I want to outrun them early, I can,'' Croll said. ``I can't take him back, because of the post position. If someone wants to be whipping and driving, coming out of there, let them go ahead. Whatever we do, he'll abide by it.'' </P> "	"nyt_eng_199502.gz"
"14351"	"I"	"can"	" ``If I want to outrun them early, I can,'' Croll said. ``I can't take him back, because of the post position. If someone wants to be whipping and driving, coming out of there, let them go ahead. Whatever we do, he'll abide by it.'' </P> "	"nyt_eng_199502.gz"
"15931"	"you"	"can"	" ``If you want to boo them, you can,'' Erickson said. ``Go ahead. </P> "	"nyt_eng_199503.gz"
"16257"	"they"	"can"	" -- Swimming elephant: Elephants can't swim, can they? Believe it or not, they can, said Susan McDermott, a Coca-Cola spokeswoman -- some up to 20 miles a day. </P> "	"nyt_eng_199503.gz"
"16656"	"they"	"can"	" But there is only so much that even revolutionary freshmen can do. By signaling their discontent with the current rules of advancement, they can, perhaps, send a shiver up the back of a committee chairman the next time he thinks about bucking the party. They can exercise their clout within the caucus by acting as a group, and they already meet weekly among themselves to plot strategy, Ms. Snowe said. </P> "	"nyt_eng_199503.gz"
"16986"	"you"	"can"	" Gianna Cardinale, a 10-year-old fifth-grader from Los Gatos, Calif., who has been on line for a year, says that one difference between school friends and on-line friends is that ``on line, you can, like, lie and they wouldn't really know.'' </P> "	"nyt_eng_199503.gz"
"17456"	"you"	"can"	" Gianna Cardinale, a 10-year-old fifth-grader from Los Gatos, Calif., who has been on line for a year, says that one difference between school friends and on-line friends is that ``on line, you can, like, lie and they wouldn't really know.'' </P> "	"nyt_eng_199503.gz"
"21109"	"we"	"can"	" ``There is no need to move kids out early,'' Flaherty said. ``Just as soon as the administration gives us the amount they need to fully fund the program, we can, and will, provide that funding in a supplemental budget.'' </P> "	"nyt_eng_199505.gz"
"25246"	"he"	"can"	" ``If he wants to come back here, he can,'' Sutter said. ``But I don't know if I want him to. St. Mark's wants an answer, and I can't give them an answer. We've got tremendous schooling in Canada and damn good hockey.'' </P> "	"nyt_eng_199506.gz"
"29701"	"I"	"can"	" ``Yes, I can,'' Clark replied. </P> "	"nyt_eng_199508.gz"
"29702"	"I"	"can"	" ``Yes, I can,'' Clark replied. </P> "	"nyt_eng_199508.gz"
