"pronoun"	"verb"	"context"	"filename"
"25033"	"they"	"care"	" ``Batman is an icon,'' says Gary Caplan, a licensing consultant who heads up Gary Caplan, Inc., Studio City, Calif. ``And what I like most about Warner Bros. is that they've kept the character alive. The bottom line is that they pay attention, they care, they manage the property with a great deal of common sense.'' </P> "	"nyt_eng_199506.gz"
"25034"	"they"	"care"	" ``Batman is an icon,'' says Gary Caplan, a licensing consultant who heads up Gary Caplan, Inc., Studio City, Calif. ``And what I like most about Warner Bros. is that they've kept the character alive. The bottom line is that they pay attention, they care, they manage the property with a great deal of common sense.'' </P> "	"nyt_eng_199506.gz"
"25035"	"they"	"care"	" ``Batman is an icon,'' says Gary Caplan, a licensing consultant who heads up Gary Caplan, Inc., Studio City, Calif. ``And what I like most about Warner Bros. is that they've kept the character alive. The bottom line is that they pay attention, they care, they manage the property with a great deal of common sense.'' </P> "	"nyt_eng_199506.gz"
"25155"	"they"	"care"	" ``Batman is an icon,'' says Gary Caplan, a licensing consultant who heads up Gary Caplan, Inc., Studio City, Calif. ``And what I like most about Warner Bros. is that they've kept the character alive. The bottom line is that they pay attention, they care, they manage the property with a great deal of common sense.'' </P> "	"nyt_eng_199506.gz"
"25156"	"they"	"care"	" ``Batman is an icon,'' says Gary Caplan, a licensing consultant who heads up Gary Caplan, Inc., Studio City, Calif. ``And what I like most about Warner Bros. is that they've kept the character alive. The bottom line is that they pay attention, they care, they manage the property with a great deal of common sense.'' </P> "	"nyt_eng_199506.gz"
"25157"	"they"	"care"	" ``Batman is an icon,'' says Gary Caplan, a licensing consultant who heads up Gary Caplan, Inc., Studio City, Calif. ``And what I like most about Warner Bros. is that they've kept the character alive. The bottom line is that they pay attention, they care, they manage the property with a great deal of common sense.'' </P> "	"nyt_eng_199506.gz"
"25270"	"they"	"care"	" ``Batman is an icon,'' says Gary Caplan, a licensing consultant who heads up Gary Caplan, Inc., Studio City, Calif. ``And what I like most about Warner Bros. is that they've kept the character alive. The bottom line is that they pay attention, they care, they manage the property with a great deal of common sense.'' </P> "	"nyt_eng_199506.gz"
"25271"	"they"	"care"	" ``Batman is an icon,'' says Gary Caplan, a licensing consultant who heads up Gary Caplan, Inc., Studio City, Calif. ``And what I like most about Warner Bros. is that they've kept the character alive. The bottom line is that they pay attention, they care, they manage the property with a great deal of common sense.'' </P> "	"nyt_eng_199506.gz"
"25272"	"they"	"care"	" ``Batman is an icon,'' says Gary Caplan, a licensing consultant who heads up Gary Caplan, Inc., Studio City, Calif. ``And what I like most about Warner Bros. is that they've kept the character alive. The bottom line is that they pay attention, they care, they manage the property with a great deal of common sense.'' </P> "	"nyt_eng_199506.gz"
"35556"	"they"	"care"	" Yes, they care, just as much as the moms and dads at the classroom door when the school bell rings. But they can't be there. They might not own a car. They might have other children at home. Most importantly, in the age of busing for integration, too often a poor child's school has been miles away. </P> "	"nyt_eng_199510.gz"
"43930"	"I"	"care"	" ``Well, I care,'' Mom would declare. ``I wouldn't want any of you children to think I loved one of you more than the other!'' </P> "	"nyt_eng_199512.gz"
"77606"	"they"	"care"	" ``They're reliable, they care, and they're a family,'' said David Murbach, a consultant to Tishman Speyer Properties, the new management company for Rockefeller Center. ``They don't delegate. They do it themselves. I don't think they think of it as just a business proposition. I think they think of it as a public service, a public event that everybody loves. I couldn't pay them enough for the attention they put into it.'' </P> "	"nyt_eng_199611.gz"
"105809"	"I"	"care"	" Does he care? ``Yeah, I care,'' he said reluctantly. </P> "	"nyt_eng_200202.gz"
"118093"	"they"	"care"	" ``I know parents who make a point of hugging and kissing their children when they get home,'' Taylor says, ``to smell what's on their breath or on their clothes. They love them, they care, but that kiss or hug is to see where they've been and what they've been doing.'' </P> "	"nyt_eng_200206.gz"
"126125"	"they"	"care"	" ``All that stuff is good,'' Zimmer said. ``But I believe the more personalities that are like yours, the better you are. You can go right down the list on this defense; we have a lot of guys with big-time hearts. They play hard, they sell out, they care, and they don't make mistakes. That's mainly why we have been successful.'' </P> "	"nyt_eng_200209.gz"
"159516"	"they"	"care"	" Regarding criticism that his approach had grown stale, Paterno said: I never resented any of that stuff. We get 100,000 people in that stadium. When we lose, they care, and when we win, they get enthusiastic about it. </P> "	"nyt_eng_200511.gz"
"162095"	"we"	"care"	" If you don't measure, you don't care, he said. In Florida, we care, so we measure the be-jesus out of everything. </P> "	"nyt_eng_200601.gz"
"163651"	"I"	"care"	" Well, I care, Tate told him, folding her arms across her chest. If you don't do this, you could die. </P> "	"nyt_eng_200603.gz"
