"pronoun"	"verb"	"context"	"filename"
"19"	"he"	"cautioned"	" However, he cautioned, ``If we're just crawling around on our hands and knees trying to find out what he's for, so we can be for it too, why now that's pitiful...It's only hard for us if we don't know what we're for, which we don't seem to half the time.'' </P> "	"nyt_eng_199407.gz"
"1842"	"he"	"cautioned"	" But, he cautioned, he is in the minority among the owners, so his position can't be viewed as potentially instrumental in averting a strike. </P> "	"nyt_eng_199407.gz"
"4443"	"he"	"cautioned"	" Part of the problem, said Steve Wagner, vice president of Luntz Research Co., a Republican polling and consulting firm, is that ``the public no longer sees gun control as a serious crime-control measure.'' He acknowledged polls that show voters favoring the ban on assault weapons. But, he cautioned, ``Even in places where the ban enjoys a presumptive popularity, people don't think it will help,'' mainly because guns are already so plentiful. </P> "	"nyt_eng_199409.gz"
"5920"	"he"	"cautioned"	" Dr. Heino Diringer of the Robert Koch Institute in Berlin, said he has found virus-like particles in the brains of hamsters and, he reports in the current issue of The Lancet, a medical journal, he also finds them in the brains of people who died of Creutzfeldt-Jakob disease. But, he cautioned, ``these are virus-like particles; they are not a virus.'' Dr. Diringer said in a telephone interview that he does not believe in prions. He believes that prion disease is caused by a virus. ``The trouble is, we can't find it,'' he added. </P> "	"nyt_eng_199410.gz"
"12318"	"he"	"cautioned"	" But, he cautioned, Republicans should temper their celebration with serious reflection. The same voters who swept Republicans into control of the U.S. Congress and Bush into the Texas governor's office can turn them out if the GOP does not deliver on its promise of reduced government. </P> "	"nyt_eng_199501.gz"
"13486"	"he"	"cautioned"	" It may be that each type of neuron needs a special mix of neurotrophic factors to survive, he said. That is being tried in animals. But it is much too early, he cautioned, to say if any of these treatments will pan out in humans. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950130.0340 type=story > <HEADLINE> FIRMS ANSWER CALL FOR CELLPHONE SECURITY </HEADLINE> <DATELINE> SEATTLE  (BC-PHONEFRAUD-CTS-SPI) </DATELINE> <TEXT> "	"nyt_eng_199501.gz"
"13491"	"he"	"cautioned"	" It may be that each type of neuron needs a special mix of neurotrophic factors to survive, he said. That is being tried in animals. But it is much too early, he cautioned, to say if any of these treatments will pan out in humans. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950130.0343 type=other > <DATELINE>  (BC-KEYRATES-NYT) </DATELINE> <TEXT> Here are the daily key rates from The New York Times.   ---------------------Monday----Previous day---Year Ago   PRIME RATE ---------- 8.50 ------ 8.50 ------- 6.00   DISCOUNT RATE ------- 4.75 ------ 4.75 ------- 3.00   FEDERAL FUNDS(x) ---- 5.81 ------ 5.67 ------- 3.68   3-MO. TREAS. BILLS -- 5.73 ------ 5.73 ------- 2.99   6-MO. TREAS. BILLS -- 6.10 ------ 6.10 ------- 3.16   10-YR. TREAS. NOTES - 7.62 ------ 7.61 ------- 5.64   30-YR. TREAS. BONDS - 7.75 ------ 7.73 ------- 6.23   TELEPHONE BONDS ----- 8.62 ------ 8.58 ------- 7.15   MUNICIPAL BONDS(xx) - 6.70 ------ 6.73 ------- 5.45   (x) Estimated daily average, source Telerate   (xx) Municipal Bond Index, The Bond Buyer   Salomon Brothers and Telerate for Treasury bellwether bonds, notes and bills.  </TEXT> </DOC> <DOC id=NYT_ENG_19950130.0344 type=story > <HEADLINE> HOME WARRANTIES OFTEN NOT AS GOOD AS THEY LOOK </HEADLINE> <DATELINE> HOUSTON  (BC-HOME-WARRANTIES-HNS) </DATELINE> <TEXT> "	"nyt_eng_199501.gz"
"14531"	"he"	"cautioned"	" Ronald Hamburger, a structural engineer at EQE International in San Francisco, described a recent driving tour of the East Bay he took to assess how buildings would fare in the hypothetical Hayward quake. He concluded -- based, he cautioned, largely on external observation -- that many of the East Bay's shopping centers and landmarks wouldn't survive the shake. </P> "	"nyt_eng_199502.gz"
"19983"	"he"	"cautioned"	" ``We have to keep our powder dry until we get more facts'' on what happened in Oklahoma, he cautioned, but he said it's time to reassess the nature and extent of anti-terror measures. </P> "	"nyt_eng_199504.gz"
"21946"	"he"	"cautioned"	" ``I think they're on the right track,'' said Greg Mastel, trade analyst with the Economic Strategy Institute, a Washington think tank. But, he cautioned, ``Nobody really knows how it's going to work out.'' </P> "	"nyt_eng_199505.gz"
"25435"	"he"	"cautioned"	" Nevertheless, he cautioned, the models are partly based on inferences made by his staff and are far from foolproof. </P> "	"nyt_eng_199506.gz"
"27691"	"he"	"cautioned"	" But, he cautioned, ``That does not mean there won't be some effort by members to freeze pay'' through floor amendments to appropriations or other bills. </P> "	"nyt_eng_199507.gz"
"27692"	"he"	"cautioned"	" But, he cautioned, ``That does not mean there won't be some effort by members to freeze pay'' through floor amendments to appropriations or other bills. </P> "	"nyt_eng_199507.gz"
"27767"	"he"	"cautioned"	" But, he cautioned, ``That does not mean there won't be some effort by members to freeze pay'' through floor amendments to appropriations or other bills. </P> "	"nyt_eng_199507.gz"
"27768"	"he"	"cautioned"	" But, he cautioned, ``That does not mean there won't be some effort by members to freeze pay'' through floor amendments to appropriations or other bills. </P> "	"nyt_eng_199507.gz"
"28058"	"he"	"cautioned"	" But, he cautioned, ``That does not mean there won't be some effort by members to freeze pay'' through floor amendments to appropriations or other bills. </P> "	"nyt_eng_199507.gz"
"28059"	"he"	"cautioned"	" But, he cautioned, ``That does not mean there won't be some effort by members to freeze pay'' through floor amendments to appropriations or other bills. </P> "	"nyt_eng_199507.gz"
"28085"	"he"	"cautioned"	" Ms. Hoeppner suggested that he find a used car; Bolton would be happy to see Lin select a studio apartment, but had no problem with the fancy wheels. Still, he cautioned, leasing or buying secondhand might be wise. </P> "	"nyt_eng_199507.gz"
"28432"	"he"	"cautioned"	" The method is ``a huge leap forward,'' said Dr. Arnold Belker, a urologist at the University of Louisville School of Medicine. But, he cautioned, ``There's a strong caveat and that is the ability of patients to afford the advanced reproductive technologies.'' </P> "	"nyt_eng_199507.gz"
"29722"	"they"	"cautioned"	" (--Europe and Asia: KARL HORWITZ in Paris at 47-42-17-11; fax, 47-42-80-44 or 47-42-18-81; telex, 282-942. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950801.0205 type=advis > <DATELINE>  (BC-BUDGET-FEATURE-SPI) </DATELINE> <TEXT> The Seattle Post-Intelligencer plans to move the following for clients of the NYTimes News Service for editions of Wednesday, Aug. 2, and thereafter. If you have any questions, please call Bob Schenet on the Post-Intelligencer's National/Foreign Desk at (206) 448-8037.  BOMB-SURVIVORS-$ADV03 (Seattle) _ It was hot and sunny, and Tonoyo Mary Fujita was looking for a seat on the streetcar. Then it was dark, and buildings were burning, and people were running. Some wore only the seams and waistbands of their clothes, which flapped as they ran. The fabric had burned away. ``I thought maybe I died and went to a different world,'' she recalls. Fujita, Rikuko Tanaka and Yoshimi Chinen are among the hundreds of people who survived the atomic bomb in Hiroshima 50 years ago and now make their home in America. They are telling the story of the worst day of their lives because they want everyone to understand that this must not happen again.  By Tina Kelley. (Story will move in the ``a'' category, for use Thursday, Aug. 3, and thereafter.)  BOMB-NEWERA-$ADV03 (Washington) _ Fifty years ago this week, when the Enola Gay dropped a single atomic warhead on Hiroshima, it not only propelled Japan toward surrender in World War II, but sent the United States on a course of unprecedented world dominance. The attack was the ultimate symbol of America's arrival as a superpower willing to work its will by force or the threat of force _ a role it continued to play in the Cold War against Moscow. How times have changed.  By Christopher Hanson. (Story will move in the ``w'' category for use Thursday, Aug. 3, and thereafter.)  BOMB-LEGACY-$ADV03 (Washington) _ The development of the atomic bomb and its use at Hiroshima and Nagasaki to end World War II was widely seen at the time as a triumph of science, with little thought given to the dangerous side effects of nuclear weapons production. But today those side effects loom as one of the bitterest legacies of the Manhattan Project.  By Christopher Hanson. (Story will move in the ``w'' category for use Thursday, Aug. 3, and thereafter.)  BOMB-VET-$ADV03 (Seattle) _ Fifty years after heroism off Okinawa earned him a Medal of Honor, Dick McCool has been reading how some historians now believe that America need not have used the atomic bomb to force the surrender of Japan. McCool, 72, isn't buying it.  By Joel Connelly. (Story will move in the ``a'' category for use Thursday, Aug. 3, and thereafter.)  BOOKS-BIGFOOT (Undated) _ He was warned, oh Robert Michael Pyle was warned. Friends and loved ones tried to dissuade the Grays River, Wash., writer from doing a book on Bigfoot. The subject was fraught with danger, they cautioned, and not just danger of the hairy primate kind. Pyle listened, but was not persuaded.  By John Marshall. (Story will move in the ``e'' category.)  CDROM-MAPS (Undated) _ Cast off those tour books! Forget about those unwieldy maps! The CD-ROM is here to change your life! Well, it hasn't come to that. Not yet, anyway. But increasingly, Americans are turning to CD-ROMs, those silvery, data-laden discs, to prepare for vacations, weekend trips and even for getting around town.  By David Lyman. (Story will move in the ``t'' category.) </TEXT> </DOC> <DOC id=NYT_ENG_19950801.0206 type=story > <HEADLINE> WESTINGHOUSE SEEN ANNOUNCING CBS BUYOUT TODAY AS BOARDS MEET </HEADLINE> <DATELINE> Pittsburgh, Aug. 1 (Bloomberg) (BC-WESTINGHOUSE-CBS-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199508.gz"
"29725"	"they"	"cautioned"	" Friends and loved ones tried to dissuade the Grays River, Wash., writer from doing a book on Bigfoot. The subject was fraught with danger, they cautioned, and not just danger of the hairy primate kind. </P> "	"nyt_eng_199508.gz"
"30288"	"he"	"cautioned"	" Well, that's progress. But, he cautioned, Parisians still must be made to understand that tourism is the city's most important industry. </P> "	"nyt_eng_199508.gz"
"33637"	"he"	"cautioned"	" But concern for the family, he cautioned, should be asserted with compassion, not stridency. He expressed anger at right-to-life extremists who attack physicians at American abortion clinics. </P> "	"nyt_eng_199509.gz"
"35032"	"he"	"cautioned"	" But, he cautioned, ``I wouldn't invest money based on that.'' </P> "	"nyt_eng_199509.gz"
"36521"	"they"	"cautioned"	" But, they cautioned, a lot of the smart money in Britain seems to be focusing more on potential players in the current wave of mergers and acquisitions than on beneficiaries of foreign investment. </P> "	"nyt_eng_199510.gz"
"37154"	"he"	"cautioned"	" The company is talking to other potential customers, in the U.S. as well as in Asia and Europe, Stonecipher said. Still, he cautioned, ``We're pretty poor at judging when people will make decisions to buy airplanes.'' </P> "	"nyt_eng_199510.gz"
"37883"	"he"	"cautioned"	" The trend is still just in its early phases, he cautioned, and may not developed into pronounced cooler ocean temperatures in the tropical Pacific. </P> "	"nyt_eng_199510.gz"
"38587"	"he"	"cautioned"	" Stephen C. Goodall, senior partner at Power, acknowledged that the gap between domestic and Japanese companies had ``substantially closed.'' But, he cautioned, ``The funny thing is that customer expectations have also increased.'' </P> "	"nyt_eng_199511.gz"
"39384"	"he"	"cautioned"	" Still, he cautioned, he was not promoting fare increases for commuters, only more generous subsidies for subway riders. </P> "	"nyt_eng_199511.gz"
"39621"	"he"	"cautioned"	" Yet, he cautioned, ``this is very much a book of strategy more than a book on how to do it.'' </P> "	"nyt_eng_199511.gz"
"42021"	"he"	"cautioned"	" The research done so far is basic, and any application to treating people with AIDS would be far down the road. ``From a conceptual standpoint, it's very important,'' said Dr. Anthony S. Fauci, director of the National Institute of Allergy and Infectious Diseases. But, he cautioned, people should be wary of assuming that the chemicals in question will be useful as a treatment. More than a decade of experience with AIDS has taught him, he said, that many things that look great in the test tube, ``never make it to the major league.'' </P> "	"nyt_eng_199512.gz"
"48224"	"he"	"cautioned"	" But a handful of mushroom species in the region, he cautioned, are poisonous. </P> "	"nyt_eng_199602.gz"
"49619"	"he"	"cautioned"	" ``By the year 2010 films and multimedia and television will be the largest single employer in Europe,'' said Jeremy Thomas, one of Britain's leading independent film producers and the chairman of the British Film Institute. Yet the United States' film industry, he cautioned, is increasingly behaving ``like when you have a predator fish in a pond.'' </P> "	"nyt_eng_199602.gz"
"49671"	"he"	"cautioned"	" President/general manager Harry Sinden said after the Bruins' victory over the Vancouver Canucks last Saturday night that he considered it a good win. However, he cautioned, ``We didn't exactly beat a powerhouse.'' </P> "	"nyt_eng_199602.gz"
"50560"	"he"	"cautioned"	" And yet, he cautioned, given the low income levels in many Asian and Latin American countries, and the absence of an established system for billing and collection, even subscriber fees may be tough to collect. </P> "	"nyt_eng_199603.gz"
"50678"	"he"	"cautioned"	" And yet, he cautioned, given the low income levels in many Asian and Latin American countries, and the absence of an established system for billing and collection, even subscriber fees may be tough to collect. </P> "	"nyt_eng_199603.gz"
"70851"	"he"	"cautioned"	" Diaz expects Cemex's revenue and profit margin to increase in Mexico, Spain and Venezuela in the next 12 months. Still, he cautioned, earnings may suffer in 1997 when it must begin to repay holders of about $1 billion in bonds which mature by 1998. </P> "	"nyt_eng_199609.gz"
"71152"	"he"	"cautioned"	" Elliot Weinstein, a lawyer for defendant Gordon Robinson, said the alleged comments were ``irreverant, irresponsible and in bad taste.'' But, he cautioned, ``you have to view it is as the comments of men confined all day in a jail cell who find themselves facing serious federal time.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960912.0629 type=story > <HEADLINE> GOP'S EMBRACE OF DOLE MAY LOOSEN SOON </HEADLINE> <DATELINE> WASHINGTON (BC-DOLE-JUDGMENTDAY-2TAKES-KAN) </DATELINE> <TEXT> "	"nyt_eng_199609.gz"
"72707"	"he"	"cautioned"	" But, he cautioned, military action to reclaim the islands would not be undertaken lightly. ``We cannot go to war just so that everyone can feel good.'' </P> "	"nyt_eng_199609.gz"
"76947"	"he"	"cautioned"	" ``The stakes are very high. If the claims are true, it's a new epoch in human history,'' said astronomer and bestselling author Carl Sagan last week. But, he cautioned, ``you don't casually commit to discoveries of such significance. You need really compelling evidence. We don't have that, so we have to be very thorough.'' </P> "	"nyt_eng_199611.gz"
"77044"	"he"	"cautioned"	" ``The stakes are very high. If the claims are true, it's a new epoch in human history,'' said astronomer and bestselling author Carl Sagan last week. But, he cautioned, ``you don't casually commit to discoveries of such significance. You need really compelling evidence. We don't have that, so we have to be very thorough.'' </P> "	"nyt_eng_199611.gz"
"79742"	"she"	"cautioned"	" But, she cautioned, ``It's not easy to make entertainment programming that works, period, and to make it with this educational component added is even harder.'' </P> "	"nyt_eng_199612.gz"
"82514"	"he"	"cautioned"	" With the ebonics issue now on the table, Meyers worries that it is ``not going to go away.'' Politicians, he cautioned, can be unpredictable, a point affirmed by statements in the last few days from Jackson and the Rev. Al Sharpton softening what initially were forceful attacks on the Oakland action. </P> "	"nyt_eng_199612.gz"
"83318"	"he"	"cautioned"	" They called the museum and told Andrew J. Vadnais, the curator of technology, about their discovery, and Vadnais agreed to look at it. But he was certain, he cautioned, that it was only a reproduction. </P> "	"nyt_eng_199701.gz"
"83830"	"he"	"cautioned"	" ``There are indications that the good times will keep rolling for a while,'' said Stephen Roach, chief economist for Morgan Stanley &AMP; Co. But, he cautioned, ``I worry about a potential financial bust on the Internet, or a culmination of a software product cycle.'' </P> "	"nyt_eng_199701.gz"
"83847"	"he"	"cautioned"	" ``There are indications that the good times will keep rolling for a while,'' said Stephen Roach, chief economist for Morgan Stanley &AMP; Co. But, he cautioned, ``I worry about a potential financial bust on the Internet, or a culmination of a software product cycle.'' </P> "	"nyt_eng_199701.gz"
"84139"	"he"	"cautioned"	" ``There are indications that the good times will keep rolling for a while,'' said Stephen Roach, chief economist for Morgan Stanley &AMP; Co. But, he cautioned, ``I worry about a potential financial bust on the Internet, or a culmination of a software product cycle.'' </P> "	"nyt_eng_199701.gz"
"87990"	"he"	"cautioned"	" Still, he cautioned, if bad weather this year drives grain prices higher, high feed costs could lead livestock farmers to slaughter their animals early and ``set the stage for a serious increase in retail beef and other meat prices in 1998.'' </P> "	"nyt_eng_199702.gz"
"89319"	"he"	"cautioned"	" If that's not enough, ``we're going to be very aggressive and very creative in formulating an offer to Boeing, Snell said. Those could include tax credit, relief on property tax, and picking up the cost of the executives' relocation. But, he cautioned, ``we're not a state that gives away $500 million. </P> "	"nyt_eng_200103.gz"
"90727"	"she"	"cautioned"	" Body builders have long used high-protein bars to supplement their diets, and Davis said those who want to build muscle could benefit from the added protein in high-protein bars. But, she cautioned, serious body builders usually eat five to seven meals a day anyway. </P> "	"nyt_eng_200104.gz"
"96236"	"he"	"cautioned"	" Jon Coupal, president of the Howard Jarvis Taxpayers Association, was among those who backed the council's appeal to Congress, saying it seems appropriate under the unusual circumstances, and that some type of support such as low-interest loans should be granted. But, he cautioned, local governments and airports should not use the tragedy as an excuse to get more money than they truly need to cope with the situation. </P> "	"nyt_eng_200109.gz"
"96537"	"he"	"cautioned"	" While there is a need to exterminate radical evil, he cautioned, ``not in such a way that we will sell our soul in doing it.'' </P> "	"nyt_eng_200109.gz"
"97177"	"he"	"cautioned"	" In his analysis, Zandi ranked the nation's metropolitan economies, based on their vulnerability in the coming months. He also ranked the cities best positioned to withstand the shock of the attack. The rankings are to some degree based, he cautioned, on assumptions that may ultimately prove false: that there will be no more terrorist attacks in the United States, that the Federal Reserve will reduce interest rates by an additional half-point, that the government will continue to provide fiscal stimulus and that energy prices will remain relatively high. </P> "	"nyt_eng_200109.gz"
