"pronoun"	"verb"	"context"	"filename"
"18583"	"they"	"charge"	" Fed up with what they call bloated bureaucracy, residents of six neighborhoods want out. Even as the county's budget has mushroomed, services have shrunk, they charge, and they want to form their own cities to do the job better and cheaper. </P> "	"nyt_eng_199504.gz"
"23645"	"they"	"charge"	" On the political right, some radicals go so far as to cast the army as the enemy _ a tool, they charge, of a government that they also consider an enemy for its willingness to give up territory to the Arabs. It is an accusation of a type not often heard in Israel's 47-year history, and it has raised fears that a consensus against attacking the military so harshly is unraveling. </P> "	"nyt_eng_199505.gz"
"30369"	"they"	"charge"	" Headrick and others suggest that if Jones is successful, the NFL will return to a league of ``haves and have nots.'' The Cowboys, they charge, have the visibility and history to go it alone, but other clubs will struggle, to the ultimate detriment of the league. </P> "	"nyt_eng_199508.gz"
"37451"	"they"	"charge"	" The high-tech stock market is just naturally volatile, the companies say, and naturally not all products meet a company's expectations. Lerach and other class-action plaintiffs' attorneys, they charge, go after high-tech firms knowing the firms will find it cheaper to settle than fight. </P> "	"nyt_eng_199510.gz"
"42710"	"they"	"charge"	" Joe Waldholtz controlled access to his wife, they charge, in order to hide the fact that he was allegedly swindling money from her father and violating election law. </P> "	"nyt_eng_199512.gz"
"42713"	"they"	"charge"	" Joe Waldholtz controlled access to his wife, they charge, in order to hide the fact that he was allegedly swindling money from her father and violating election law. </P> "	"nyt_eng_199512.gz"
"42773"	"they"	"charge"	" Joe Waldholtz controlled access to his wife, they charge, in order to hide the fact that he was allegedly swindling money from her father and violating election law. </P> "	"nyt_eng_199512.gz"
"42776"	"they"	"charge"	" Joe Waldholtz controlled access to his wife, they charge, in order to hide the fact that he was allegedly swindling money from her father and violating election law. </P> "	"nyt_eng_199512.gz"
"42791"	"they"	"charge"	" Joe Waldholtz controlled access to his wife, they charge, in order to hide the fact that he was allegedly swindling money from her father and violating election law. </P> "	"nyt_eng_199512.gz"
"42795"	"they"	"charge"	" Joe Waldholtz controlled access to his wife, they charge, in order to hide the fact that he was allegedly swindling money from her father and violating election law. </P> "	"nyt_eng_199512.gz"
"43379"	"they"	"charge"	" Joe Waldholtz controlled access to his wife, they charge, in order to hide the fact that he was allegedly swindling money from her father and violating election law. </P> "	"nyt_eng_199512.gz"
