"pronoun"	"verb"	"context"	"filename"
"2248"	"he"	"charges"	" Africa studied its cynicism at the knees of Western experts, Johnson adds. First the colonial powers established the practice of ethnic social engineering, playing tribe against tribe. Then, he charges, the United Nations, under the leadership of the ambitious idealist Dag Hammarskjold, pandered to Third World delegates by promoting ``a characteristic U.N. double standard: that whereas the killing of Africans by whites (as at Sharpeville in South Africa on 21 March 1960) was of international concern and a threat to peace, the killing of Africans by Africans (or of whites by Africans, or of Asians by Africans or all three races by Africans) was a purely internal matter outside the purview of the U.N.'' </P> "	"nyt_eng_199408.gz"
"2354"	"he"	"charges"	" Africa studied its cynicism at the knees of Western experts, Johnson adds. First the colonial powers established the practice of ethnic social engineering, playing tribe against tribe. Then, he charges, the United Nations, under the leadership of the ambitious idealist Dag Hammarskjold, pandered to Third World delegates by promoting ``a characteristic U.N. double standard: that whereas the killing of Africans by whites (as at Sharpeville in South Africa on 21 March 1960) was of international concern and a threat to peace, the killing of Africans by Africans (or of whites by Africans, or of Asians by Africans or all three races by Africans) was a purely internal matter outside the purview of the U.N.'' </P> "	"nyt_eng_199408.gz"
"28711"	"he"	"charges"	" Terry Lumsden, the Baldwin's attorney, alleged that Jack in the Box executives decided to ignore Washington rules that required burgers to be cooked to 155 degrees partly because they believed it made the meat too tough, he said. It was, he charges, a considered business decision to maximize profits even if it meant putting children at risk. </P> "	"nyt_eng_199507.gz"
"28923"	"it"	"charges"	" McCain, it charges, was even furnished ``his own private and affectionate nurse'' while convalescing from injuries received when he ejected from his A-4E Skyhawk over Hanoi. </P> "	"nyt_eng_199507.gz"
"44151"	"he"	"charges"	" Stossel delivers a scattershot indictment that relies heavily on horror stories of frivolous suits and outsize settlements, which, he charges, are costing Americans a fortune, discouraging innovation, inhibiting personal freedom and spreading fear through the land. ``It's extortion!'' declares John Langbein, a professor at Yale Law School and Stossel's favorite expert. </P> "	"nyt_eng_199601.gz"
"51644"	"she"	"charges"	" In many cases, she charges, young people are not given the information needed to protect themselves: ``We hurt our children by not talking to them.'' </P> "	"nyt_eng_199603.gz"
"51645"	"she"	"charges"	" In many cases, she charges, young people are not given the information needed to protect themselves: ``We hurt our children by not talking to them.'' </P> "	"nyt_eng_199603.gz"
"58573"	"she"	"charges"	" Miller states in the lawsuit that she was unable to plead her case and thus went on that one-week leave of absence. When she returned, she lost her job as a baker's helper and was put to work as a general service worker in one of the campus's 14 kitchens. Her pay was cut from $10.99 an hour to $10.22. Also, she charges, she lost a week of overtime. </P> "	"nyt_eng_199605.gz"
"83522"	"she"	"charges"	" There, she charges, is an underground warren crammed with poorly paid immigrant workers who chop and slice and sweat over vats of bubbling tomato sauce, hunks of fancy cheeses and buckets of pricey prawns. They work 6-day weeks, 11-hour days, for less than minimum wage, she contends. And when talk in the store turned to unions, she says, three employees were dismissed. </P> "	"nyt_eng_199701.gz"
"95733"	"he"	"charges"	" The Bush plan infuriates some conservatives. ``Why should free-market types cheer a 'comprehensive national energy strategy'?'' asks Jerry Taylor, director of natural resource studies at the Cato Institute. These are schemes, he charges, more in line with ``old Soviet commissars and young French socialists'' than ``free-market American presidents.'' </P> "	"nyt_eng_200107.gz"
"95735"	"he"	"charges"	" The Bush plan infuriates some conservatives. ``Why should free-market types cheer a 'comprehensive national energy strategy'?'' asks Jerry Taylor, director of natural resource studies at the Cato Institute. These are schemes, he charges, more in line with ``old Soviet commissars and young French socialists'' than ``free-market American presidents.'' </P> "	"nyt_eng_200107.gz"
"104694"	"it"	"charges"	" Starting in 1995, the contractors, it charges, gave both cash and ``things of value'' such as paintings to Fajardo and Cruz, the associate education secretary, to win contracts for their companies. They also paid NPP invoices, it says. </P> "	"nyt_eng_200201.gz"
"131206"	"he"	"charges"	" Ogan, whose IQ approaches 140, has mounted a flamboyant media campaign in his defense. If he is executed, he charges, the state will be guilty of ``premeditated mass murder'' by precluding his possibility of having children. Some of them, he says, might have had ``the intellect of Albert Einstein.'' </P> "	"nyt_eng_200211.gz"
"136318"	"he"	"charges"	" Traditionally, Zen stresses an inward search for understanding and mental discipline. But Victoria said that imperial military trainers developed the self-denying egolessness Zen prizes into ``a form of fascist mind-control.'' He said Suzuki and others helped by ``romanticizing'' the tie between Zen and the warrior ethos of the samurai. Worse, he charges, they stressed a connection between Buddhist compassion and the acceptance of death in a way that justified collective martyrdom and killing one's enemies. </P> "	"nyt_eng_200301.gz"
