"pronoun"	"verb"	"context"	"filename"
"1278"	"they"	"claim"	" Democratic congressional leaders, however, made it clear to the Clintons on Thursday that they cannot garner the votes needed for the president's plan, which would require employers to pay for most of the cost of their workers' health care premiums. The Democratic leaders are developing their own plans, which, they claim, will be less bureaucratic and contain fewer mandates than the administration's blueprint. </P> "	"nyt_eng_199407.gz"
"1280"	"they"	"claim"	" Democratic congressional leaders, however, made it clear to the Clintons on Thursday that they cannot garner the votes needed for the president's plan, which would require employers to pay for most of the cost of their workers' health care premiums. The Democratic leaders are developing their own plans, which, they claim, will be less bureaucratic and contain fewer mandates than the administration's blueprint. </P> "	"nyt_eng_199407.gz"
"4271"	"they"	"claim"	" Challender said the drivers he's talked with ``claim they are less tired during the day, and they don't mind the trip so much, when they listen to a good story. The one thing they definitely want, they claim, are simpler stories so its easier to follow, and a really good plot that keeps them moving. A lot of stories that are in so much depth, like Grisham's, are hard for them to follow in traffic.'' </P> "	"nyt_eng_199409.gz"
"8804"	"they"	"claim"	" You probably can't get much more in the middle than Kansas. The actual geographical center of America, they claim, is just a few miles from here. </P> "	"nyt_eng_199411.gz"
"10617"	"they"	"claim"	" The United States, they claim, is conceding a lot before getting anything in return. Not so. The North had to freeze its program first -- refrain from refueling its reactor, stop reprocessing spent fuel and halt construction of two new reactors -- all of which it has done, according to international inspectors. The United States agreed to supply fuel oil and move toward diplomatic recognition only after Pyongyang had taken those steps. </P> "	"nyt_eng_199412.gz"
"10970"	"they"	"claim"	" Tyson people slip into some rich Arkansas vocabulary when describing the Smaltz investigation and allegations of undue political influence. The company has nothing to fear from tighter inspection rules, they claim, because it already does extra-rigorous tests without anyone having to ask. </P> "	"nyt_eng_199412.gz"
"10971"	"they"	"claim"	" Tyson people slip into some rich Arkansas vocabulary when describing the Smaltz investigation and allegations of undue political influence. The company has nothing to fear from tighter inspection rules, they claim, because it already does extra-rigorous tests without anyone having to ask. </P> "	"nyt_eng_199412.gz"
"10972"	"they"	"claim"	" Tyson people slip into some rich Arkansas vocabulary when describing the Smaltz investigation and allegations of undue political influence. The company has nothing to fear from tighter inspection rules, they claim, because it already does extra-rigorous tests without anyone having to ask. </P> "	"nyt_eng_199412.gz"
"11104"	"they"	"claim"	" Tyson people slip into some rich Arkansas vocabulary when describing the Smaltz investigation and allegations of undue political influence. The company has nothing to fear from tighter inspection rules, they claim, because it already does extra-rigorous tests without anyone having to ask. </P> "	"nyt_eng_199412.gz"
"11107"	"they"	"claim"	" Tyson people slip into some rich Arkansas vocabulary when describing the Smaltz investigation and allegations of undue political influence. The company has nothing to fear from tighter inspection rules, they claim, because it already does extra-rigorous tests without anyone having to ask. </P> "	"nyt_eng_199412.gz"
"11108"	"they"	"claim"	" Tyson people slip into some rich Arkansas vocabulary when describing the Smaltz investigation and allegations of undue political influence. The company has nothing to fear from tighter inspection rules, they claim, because it already does extra-rigorous tests without anyone having to ask. </P> "	"nyt_eng_199412.gz"
"11165"	"they"	"claim"	" Tyson people slip into some rich Arkansas vocabulary when describing the Smaltz investigation and allegations of undue political influence. The company has nothing to fear from tighter inspection rules, they claim, because it already does extra-rigorous tests without anyone having to ask. </P> "	"nyt_eng_199412.gz"
"11168"	"they"	"claim"	" Tyson people slip into some rich Arkansas vocabulary when describing the Smaltz investigation and allegations of undue political influence. The company has nothing to fear from tighter inspection rules, they claim, because it already does extra-rigorous tests without anyone having to ask. </P> "	"nyt_eng_199412.gz"
"11169"	"they"	"claim"	" Tyson people slip into some rich Arkansas vocabulary when describing the Smaltz investigation and allegations of undue political influence. The company has nothing to fear from tighter inspection rules, they claim, because it already does extra-rigorous tests without anyone having to ask. </P> "	"nyt_eng_199412.gz"
"11482"	"they"	"claim"	" Tyson people slip into some rich Arkansas vocabulary when describing the Smaltz investigation and allegations of undue political influence. The company has nothing to fear from tighter inspection rules, they claim, because it already does extra-rigorous tests without anyone having to ask. </P> "	"nyt_eng_199501.gz"
"11485"	"they"	"claim"	" Tyson people slip into some rich Arkansas vocabulary when describing the Smaltz investigation and allegations of undue political influence. The company has nothing to fear from tighter inspection rules, they claim, because it already does extra-rigorous tests without anyone having to ask. </P> "	"nyt_eng_199501.gz"
"11900"	"they"	"claim"	" Only later, they claim, was he asked to observe and then murder Fouad Mougnieh, a senior Hezbollah official and brother of Imad Mougnieh, whose Islamic Jihad movement held Terry Waite, John McCarthy, Terry Anderson and most other Western captives in Lebanon. </P> "	"nyt_eng_199501.gz"
