"pronoun"	"verb"	"context"	"filename"
"325"	"he"	"claimed"	" The club members said most of the Skagit catch is taken in the morning on that section of the river. Hawley said he expects to lose business if the proposal becomes final. Many anglers, he claimed, will pass up the Skagit to fish in Canada. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940706.0369 type=story > <HEADLINE> DECISION ON EVIDENCE CRITICAL FOR BOTH SIDES IN SIMPSON CASE </HEADLINE> <DATELINE> LOS ANGELES  (BC-SIMPSON-EVIDENCE-LADN) </DATELINE> <TEXT> "	"nyt_eng_199407.gz"
"500"	"he"	"claimed"	" On Sunday Yeltsin accused the Estonians of ``very crude violations of human rights'' against the country's large ethnic Russian population, a holdover from the time Estonia was part of the Soviet Union. This, he claimed, had prevented the Russian army from leaving as it has already done from Lithuania and plans to do from Latvia on Aug. 31. </P> "	"nyt_eng_199407.gz"
"503"	"he"	"claimed"	" On Sunday Yeltsin accused the Estonians of ``very crude violations of human rights'' against the country's large ethnic Russian population, a holdover from the time Estonia was part of the Soviet Union. This, he claimed, had prevented the Russian army from leaving as it has already done from Lithuania and plans to do from Latvia on Aug. 31. </P> "	"nyt_eng_199407.gz"
"965"	"he"	"claimed"	" Valenzuela is 1-2 with a 2.84 ERA after four starts. It was his first National League victory since pitching a 10-4, complete-game win for Los Angeles at Cincinnati on Sept. 14, 1990. But getting it against his former team, he claimed, was not especially meaningful. </P> "	"nyt_eng_199407.gz"
"3430"	"he"	"claimed"	" The affair with Beaton gradually eroded. When Beaton published a slightly cleansed version of his diary of their affair in 1971 -- stimulated partly, he claimed, by the intolerable way she had treated de Acosta in her impoverished later years -- all communication ceased, except for a brief, typically chilly visit shortly before Beaton died. </P> "	"nyt_eng_199408.gz"
"5022"	"they"	"claimed"	" Some Republicans said they were reluctant to approve a resolution drafted by Senate Majority Leader George Mitchell, D-Maine, which, they claimed, indirectly implied support for the deployment of U.S. troops in Haiti. </P> "	"nyt_eng_199409.gz"
"5166"	"he"	"claimed"	" Johnson also again suggested he is in frequent conversation with some Cowboys players who, he claimed, have made derogatory remarks to him about Switzer. </P> "	"nyt_eng_199409.gz"
"5899"	"he"	"claimed"	" Yeltsin, he claimed, is aware that drink-influenced behavior isn't as easily condoned in the West as it is in his own country. </P> "	"nyt_eng_199410.gz"
"5903"	"he"	"claimed"	" Yeltsin, he claimed, is aware that drink-influenced behavior isn't as easily condoned in the West as it is in his own country. </P> "	"nyt_eng_199410.gz"
"5906"	"he"	"claimed"	" Yeltsin, he claimed, is aware that drink-influenced behavior isn't as easily condoned in the West as it is in his own country. </P> "	"nyt_eng_199410.gz"
"6090"	"she"	"claimed"	" Wilcox also said she fell in love with Lucas, who, she claimed, provided her with added details that would convince authorities she was telling the truth. </P> "	"nyt_eng_199410.gz"
"6452"	"he"	"claimed"	" Bob is an author himself, a former bookstore owner, a television reviewer and a past president of the American Booksellers Association. He recently suffered a painful but brief heart attack -- on the first night in their 40-year marriage, he claimed, that his wife slept so soundly he couldn't awaken her and get her to the rescue. He went to the hospital the next day and the delay did him no harm. Mrs. Hale, who runs their farm in Pembroke, Mass., liked Georgia when she accompanied him last spring and is planning a return in December. </P> "	"nyt_eng_199410.gz"
"6591"	"he"	"claimed"	" But cataclysmic events were about to shatter his life. That same morning, a fellow detective in the squad made a startling confession. The week before, he claimed, he and Arroyo and a sergeant who were searching the car of two murder victims discovered a bag stuffed with cash and stole it. The accuser, Detective John Young, said he wanted to return his share, nearly $17,000. </P> "	"nyt_eng_199410.gz"
"6658"	"it"	"claimed"	" One of the sect's documents sent to newspapers last week suggested the group's leaders chose to die because they were targets of persecution in Quebec where, it claimed, they were being accused of assorted crimes, including terrorism. It blamed the police, government and press in Quebec for the group's decision ``to leave this earth prematurely.'' </P> "	"nyt_eng_199410.gz"
"9875"	"she"	"claimed"	" Mrs. Roden said she moved out of her house a few years ago because, she claimed, people were trying to sneak into it and poison her food. She spends most of her time now in a small shack on the Branch Davidian property, working on scriptural studies to which she assigns such titles as ``The Law and the Testimony of the 67th Angel Messenger.'' </P> "	"nyt_eng_199412.gz"
"10067"	"he"	"claimed"	" In Newark, N.J., a man filed suit against a restaurant, claiming that it served him a double espresso instead of the decaffeinated coffee he ordered. It caused him, he claimed, to go to a hospital with a rapid heart beat. </P> "	"nyt_eng_199412.gz"
"10169"	"he"	"claimed"	" He then called on the judge to consider a motion to set aside all the charges against him because, he claimed, the prosecution had prolonged and delayed the proceedings. The judge denied the motion. </P> "	"nyt_eng_199412.gz"
"11032"	"he"	"claimed"	" At the end of the Gorazde crisis last April, Lieut. Gen. Sir Michael Rose took to berating the Sarajevo press for inflating Muslim casualties and so, he claimed, almost precipitating World War III. Why, then, I asked him, would he not put a handful of reporters into one of the U.N. helicopters then going to the town? Oh, no, he replied, that would irritate the Serbs and cut off U.N. access to Gorazde. When I suggested he was kowtowing to the Serbs, he got angry. </P> "	"nyt_eng_199412.gz"
"11095"	"he"	"claimed"	" At the end of the Gorazde crisis last April, Lieut. Gen. Sir Michael Rose took to berating the Sarajevo press for inflating Muslim casualties and so, he claimed, almost precipitating World War III. Why, then, I asked him, would he not put a handful of reporters into one of the U.N. helicopters then going to the town? Oh, no, he replied, that would irritate the Serbs and cut off U.N. access to Gorazde. When I suggested he was kowtowing to the Serbs, he got angry. </P> "	"nyt_eng_199412.gz"
"13075"	"he"	"claimed"	" --A Seattle resident representing himself as the agent for an inventor offered information on an ``intelligent robotics earth station'' that, he claimed, would allow citizens to control communications satellites with their personal computers. </P> "	"nyt_eng_199501.gz"
"16015"	"he"	"claimed"	" The reasons he did not do better against Moorer, he claimed, was because of a bad left shoulder that had troubled him even before the fight. </P> "	"nyt_eng_199503.gz"
"19233"	"he"	"claimed"	" Yet, Joe said he could lose as much money as he could afford to ante up. Everyday gamblers, he claimed, can ``get around it (loss limit) pretty easily. I've played next to a person who lost $15,000 over two cruises.'' </P> "	"nyt_eng_199504.gz"
"19325"	"it"	"claimed"	" South Africa signed in 1991 but waited until two years later to admit that it had produced seven nuclear bombs, which, it claimed, it subsequently had destroyed in time to sign the NPT. </P> "	"nyt_eng_199504.gz"
"19404"	"it"	"claimed"	" South Africa signed in 1991 but waited until two years later to admit that it had produced seven nuclear bombs, which, it claimed, it subsequently had destroyed in time to sign the NPT. </P> "	"nyt_eng_199504.gz"
"20404"	"it"	"claimed"	" Williams entered a contract on May 9, 1989, to sell the house, and agreed to a closing date of July 3. App. 8. One week before the closing, the Government gave actual notice to Williams and the purchaser of over $41,000 in tax liens which, it claimed, were valid against the property or proceeds of the sale. The purchaser threatened to sue Williams if the sale did not go through on schedule. Believing she had no realistic alternative none having been suggested by the Government Williams, under protest, authorized disbursement of $41,937 from the sale proceeds directly to the Internal Revenue Service so that she could convey clear title. </P> "	"nyt_eng_199504.gz"
"21974"	"he"	"claimed"	" The panel, he claimed, was stacked in favor of the nuclear industry. ``It was scandalously rigged.'' </P> "	"nyt_eng_199505.gz"
"22431"	"he"	"claimed"	" Now, he claimed, he is returning to what he described as ``painting.'' </P> "	"nyt_eng_199505.gz"
"23395"	"he"	"claimed"	" Inevitably, critics question why the Feds could not have nipped the plot beforehand. Neighbors in Michigan knew of the Nichols brothers' penchant for bomb-building, and McVeigh tried to sell at least one undercover cop a rocket launcher that, he claimed, could be used to shoot down government helicopters. </P> "	"nyt_eng_199505.gz"
"23820"	"they"	"claimed"	" During the debate over the House Republicans' tax bill, however, Democrats charged that the GOP violated its own measure by failing to invoke the three-fifths rule on a provision that, they claimed, hiked certain tax rates. </P> "	"nyt_eng_199506.gz"
"23822"	"they"	"claimed"	" During the debate over the House Republicans' tax bill, however, Democrats charged that the GOP violated its own measure by failing to invoke the three-fifths rule on a provision that, they claimed, hiked certain tax rates. </P> "	"nyt_eng_199506.gz"
"23916"	"they"	"claimed"	" During the debate over the House Republicans' tax bill, however, Democrats charged that the GOP violated its own measure by failing to invoke the three-fifths rule on a provision that, they claimed, hiked certain tax rates. </P> "	"nyt_eng_199506.gz"
"23919"	"they"	"claimed"	" During the debate over the House Republicans' tax bill, however, Democrats charged that the GOP violated its own measure by failing to invoke the three-fifths rule on a provision that, they claimed, hiked certain tax rates. </P> "	"nyt_eng_199506.gz"
"23926"	"they"	"claimed"	" During the debate over the House Republicans' tax bill, however, Democrats charged that the GOP violated its own measure by failing to invoke the three-fifths rule on a provision that, they claimed, hiked certain tax rates. </P> "	"nyt_eng_199506.gz"
"26898"	"he"	"claimed"	" For Green, it was no accident. He saw this coming, he claimed, as he spoke of a new attitude in recent games. And this was the second straight comeback victory for his club. </P> "	"nyt_eng_199506.gz"
"26972"	"she"	"claimed"	" Times change. When the history standards were released last October, they were greeted with a hail of criticism from ... Lynne Cheney. Her movement, she claimed, had been hijacked. </P> "	"nyt_eng_199507.gz"
"27046"	"she"	"claimed"	" Times change. When the history standards were released last October, they were greeted with a hail of criticism from ... Lynne Cheney. Her movement, she claimed, had been hijacked. </P> "	"nyt_eng_199507.gz"
"30438"	"he"	"claimed"	" When Fordice, a man with overarching conservative views, snapped back at hecklers who, he claimed, ``want the return of world communism,'' it was just like old times, when political dialogue at the Neshoba County Fair was characterized by insult and insinuation. </P> "	"nyt_eng_199508.gz"
"31641"	"he"	"claimed"	" The House minority leader from Missouri charged that the Republicans were raiding Medicare to pay for proposed tax cuts. Their proposal, he claimed, would result in seniors paying $1,000 more in out-of-pocket expenses a year and would ultimately limit their choice of doctors and hospitals. </P> "	"nyt_eng_199508.gz"
"32107"	"I"	"claimed"	" More important, a break from work, I claimed, allowed me to recharge my creative batteries. Having a good reason assuaged my guilt over abandoning the 9-to-5 workday, just as did telling my parents I cut class for a humanitarian reason: to care for a sick friend who insisted that only I could make her feel better. </P> "	"nyt_eng_199508.gz"
"32318"	"they"	"claimed"	" He would from now on. Iowa, they claimed, was a blessing because it lowered expectations _ a classic spinmeister line. Campaign staff had been lazy; locals had let them down. No one had bunched Dole's supporters in the hall for maximum effect. </P> "	"nyt_eng_199508.gz"
