"pronoun"	"verb"	"context"	"filename"
"12991"	"they"	"complain"	" For their part, Palestinian political leaders say separation would be fine with them if it were based on mutual consideration and equality. Instead, they complain, Israel opens and shuts the borders as it sees fit, and looks upon fences and security systems through the eyes of an occupying force, thinking only of its own interests. </P> "	"nyt_eng_199501.gz"
"17143"	"they"	"complain"	" Karno opened The Novel in the summer of 1990. The characters began to show up shortly thereafter, and few have ever strayed to trendier establishments like Starbucks Coffee a mere six blocks away, where, they complain, the stools are uncomfortable, the cappuccino expensive. </P> "	"nyt_eng_199503.gz"
"17713"	"they"	"complain"	" But opponents say that the farmland assessment program has done more to benefit the wealthy than it has to preserve farmland. Instead of taking a hard look at loopholes in the program, they complain, the Legislature is preparing to vote on a series of measures that would widen them. </P> "	"nyt_eng_199503.gz"
"36585"	"they"	"complain"	" But in the next breath, they add that the quantity is not matched by the quality. The agency, they complain, often cannot separate the vital from the trivial, and its analysis of economic data is still amateurish. </P> "	"nyt_eng_199510.gz"
"46785"	"they"	"complain"	" Dole, they complain, only comes home to announce he's running for president again. Usually, they add, he's at his condominium in Florida or busy in the nation's capital, where he's lived since he was first elected to Congress in 1960. </P> "	"nyt_eng_199601.gz"
"46894"	"they"	"complain"	" Dole, they complain, only comes home to announce he's running for president again. Usually, they add, he's at his condominium in Florida or busy in the nation's capital, where he's lived since he was first elected to Congress in 1960. </P> "	"nyt_eng_199601.gz"
"51314"	"they"	"complain"	" The Cuban government, they complain, has from the day of their return carried out a campaign of reprisals, intimidation and harassment against them, while the United States has failed to prevent continued violations of the immigration accord the two nations had signed. </P> "	"nyt_eng_199603.gz"
"51340"	"they"	"complain"	" The Cuban government, they complain, has from the day of their return carried out a campaign of reprisals, intimidation and harassment against them, while the United States has failed to prevent continued violations of the immigration accord the two nations had signed. </P> "	"nyt_eng_199603.gz"
"51370"	"they"	"complain"	" The Cuban government, they complain, has from the day of their return carried out a campaign of reprisals, intimidation and harassment against them, while the United States has failed to prevent continued violations of the immigration accord the two nations had signed. </P> "	"nyt_eng_199603.gz"
"51380"	"they"	"complain"	" The Cuban government, they complain, has from the day of their return carried out a campaign of reprisals, intimidation and harassment against them, while the United States has failed to prevent continued violations of the immigration accord the two nations had signed. </P> "	"nyt_eng_199603.gz"
"51499"	"they"	"complain"	" The Cuban government, they complain, has from the day of their return carried out a campaign of reprisals, intimidation and harassment against them, while the United States has failed to prevent continued violations of the immigration accord the two nations had signed. </P> "	"nyt_eng_199603.gz"
"51509"	"they"	"complain"	" The Cuban government, they complain, has from the day of their return carried out a campaign of reprisals, intimidation and harassment against them, while the United States has failed to prevent continued violations of the immigration accord the two nations had signed. </P> "	"nyt_eng_199603.gz"
"62493"	"they"	"complain"	" The Phoenix area lurches along with 457 buses, limited nighttime service and no Sunday runs. Phoenix-area residents who say they'd like to use mass transit don't. The bus, they complain, either won't get them to where they want to go or it takes so long that it is not a realistic alternative. </P> "	"nyt_eng_199606.gz"
"66117"	"they"	"complain"	" They note that the added scrutiny is coming at the beginning of the process rather than after a problem has been indicated. The technique, they complain, is leading to drawn-out audits and a more adversarial relationship between agents and taxpayers. </P> "	"nyt_eng_199607.gz"
"77025"	"they"	"complain"	" Kalamazoo hopes to lure back merchants who have abandoned the downtown strip because, they complain, weekends, evenings and snowy afternoons _ of which there are no shortage in Western Michigan _ leave the pedestrian mall deserted. </P> "	"nyt_eng_199611.gz"
"88716"	"they"	"complain"	" And many executives from small- and medium-size Western businesses say they are freezing their investments or, as Shaulis has, simply pulling out. Once the required bribes are paid and an investment is sealed, they complain, officials begin delaying, lengthening and altering procedures so much that turning a profit is often impossible. </P> "	"nyt_eng_199703.gz"
