"pronoun"	"verb"	"context"	"filename"
"2016"	"he"	"complained"	" Altman struck a nervous but defiant pose as he offered an apology to the Senate Banking Committee and suggested much of the confusion rested with Treasury's top lawyer who, he complained, failed to give him complete information. </P> "	"nyt_eng_199408.gz"
"3967"	"he"	"complained"	" Hugo Sukman, another film critic, twitted as ``laughable'' the accents of the largely American actors. Furthermore, he complained, the movie ``completely omitted'' Mendes' political education in the Brazilian Communist Party. </P> "	"nyt_eng_199409.gz"
"7238"	"he"	"complained"	" As he prepared to meet Foreign Minister Shimon Peres in Cairo on Sunday night to discuss the Israeli-Palestinian relationship, which has rapidly turned sour, Shaath said the Palestinian Authority had nothing to do with the Tel Aviv bombing. Israel, he complained, cannot blockade its borders ``whenever it feels like it.'' </P> "	"nyt_eng_199410.gz"
"7677"	"he"	"complained"	" The schools, he complained, are now teaching in 96 different languages. ``It's insanity, it doesn't make sense and the average guy in this country is not going to buy into it anymore.'' </P> "	"nyt_eng_199410.gz"
"7764"	"he"	"complained"	" The schools, he complained, are now teaching in 96 different languages. ``It's insanity, it doesn't make sense and the average guy in this country is not going to buy into it anymore.'' </P> "	"nyt_eng_199410.gz"
"7766"	"he"	"complained"	" The schools, he complained, are now teaching in 96 different languages. ``It's insanity, it doesn't make sense and the average guy in this country is not going to buy into it anymore.'' </P> "	"nyt_eng_199410.gz"
"8194"	"he"	"complained"	" Politicians, he complained, take too much of his pay in taxes and dispatch too much to people on welfare. Some welfare recipients need it, he said, ``but you could let a lot of them clean up the streets and fix the highways. The government has forgotten us. They're supposed to work for us. They make these outrageous salaries. For what?'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941104.0343 type=story > <HEADLINE> CORNELL ASKS WHETHER ITS GORGES INSPIRE STUDENT SUICIDES </HEADLINE> <DATELINE>  (BC-CORNELL-SUICIDES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199411.gz"
"8445"	"she"	"complained"	" But Trudy Coxe, the secretary of environmental affairs in Massachusetts, said that the auto companies had exaggerated the increased costs, and that ``the role of government is to push them beyond the limits they set for themselves, to raise the bar a little bit.'' The EPA, she complained, had ``wimped out.'' </P> "	"nyt_eng_199411.gz"
"8839"	"they"	"complained"	" The Fed, these critics argued, ought not to slow down the economy when inflation is low, seven million Americans cannot find jobs and tens of millions more cannot find work that pays good wages. Besides, they complained, driving up interest rates amounts to an unfair assault on vulnerable workers and an unseemly giveaway to rich bondholders. </P> "	"nyt_eng_199411.gz"
"14409"	"he"	"complained"	" Traditionally, Said contends, differences in opinion have not only been accepted but encouraged in Islam. Today, he complained, ``Every sheik who issues a fatwa believes it is the last word in Islam and rejects any divergent view as atheism.'' </P> "	"nyt_eng_199502.gz"
"19448"	"she"	"complained"	" The dismissed juror described how a second movie room had to be set up after white jurors were regularly outvoted on what to watch. Even so, she complained, deputies gave whites the first crack at videos. ``There were times when there was something we may have wanted to see and it would go back to Blockbuster because they didn't get around to seeing it and the movie just sat on the shelf,'' she said. </P> "	"nyt_eng_199504.gz"
"19735"	"she"	"complained"	" Much of that contamination, the defense has argued, may have come from a blanket police placed over Mrs. Simpson's body to shield it from gawkers. Such contamination, Ms. Clark said, would have required Mr. Fung to come in and wave the blanket ``like a matador would in an arena,'' adding: ``I can't believe that any reasonable juror would ever buy it.'' But when the prosecution tried to rebut the charge, she complained, the defense was ``screaming bloody murder.'' </P> "	"nyt_eng_199504.gz"
"21352"	"he"	"complained"	" The Serbs, he complained, have been ``treated like beasts'' by the international community. ``If they expect us to behave humanly, they should treat us in a human way.'' </P> "	"nyt_eng_199505.gz"
