"pronoun"	"verb"	"context"	"filename"
"6687"	"he"	"complains"	" ``I always felt like I got sidetracked,'' he says. ``I was groomed to be a music student. I studied at Juilliard, and I went to North Carolina State on a music scholarship.'' Tesh graduated, however, as a communications major, and backed into composing again while on staff at CBS Sports. Respect, he complains, is hard to find. ``If you do TV music in Los Angeles, then that's what you do. You don't do films.'' </P> "	"nyt_eng_199410.gz"
"26595"	"he"	"complains"	" Five years into the government's privatization effort, he complains, the vast majority of Romania's businesses still are owned by the state. Moreover, he charges, government at the highest levels is marked by corruption and profiteering. </P> "	"nyt_eng_199506.gz"
"27509"	"he"	"complains"	" Ayres' interests run to whether the government will improve its crime-fighting policies, raise educational standards, halt the decline of the national health service and restore economic confidence. Instead, he complains, the Conservatives seem fixated on their own divisions over dealing with the European Union _ and panicky at the prospect of losing to Labor in the next general election, which must be held by April 1997. </P> "	"nyt_eng_199507.gz"
"27628"	"he"	"complains"	" Ayres' interests run to whether the government will improve its crime-fighting policies, raise educational standards, halt the decline of the national health service and restore economic confidence. Instead, he complains, the Conservatives seem fixated on their own divisions over dealing with the European Union _ and panicky at the prospect of losing to Labor in the next general election, which must be held by April 1997. </P> "	"nyt_eng_199507.gz"
"28890"	"he"	"complains"	" More recently, he complains, ``For Bush and his friends, a senator like D'Amato was to be endured at best, humored when need be, and ignored most of the time.'' He writes that Bush's secretary of State, James Baker, ``is a blue blood, a snob, and he didn't hide the fact that he really didn't care for ethnic Americans of any stripe.'' </P> "	"nyt_eng_199507.gz"
"30959"	"he"	"complains"	" One result, he complains, is a bleating cacophony instead of one voice, creating policies that contain many points of view but no point. </P> "	"nyt_eng_199508.gz"
"32531"	"she"	"complains"	" Also necessary for young readers, she complains, is responsible handling of some tough topics in the new series. ``With the drug use and date rape, they raise the issues but don't give kids a handle on it,'' Appleby-Vanko says. </P> "	"nyt_eng_199508.gz"
"32667"	"she"	"complains"	" Also necessary for young readers, she complains, is responsible handling of some tough topics in the new series. ``With the drug use and date rape, they raise the issues but don't give kids a handle on it,'' Appleby-Vanko says. </P> "	"nyt_eng_199508.gz"
"33221"	"he"	"complains"	" It is pouring its meager resources, he complains, into linking the delta to the Yangtze's distant hinterland, Sichuan province and beyond, before first tying together the country's disparate coastal successes: in Guangdong and Fujian provinces, along the Yangtze delta, north along the Bohai gulf, and in Manchuria. </P> "	"nyt_eng_199509.gz"
"33222"	"he"	"complains"	" It is pouring its meager resources, he complains, into linking the delta to the Yangtze's distant hinterland, Sichuan province and beyond, before first tying together the country's disparate coastal successes: in Guangdong and Fujian provinces, along the Yangtze delta, north along the Bohai gulf, and in Manchuria. </P> "	"nyt_eng_199509.gz"
"33532"	"he"	"complains"	" It is pouring its meager resources, he complains, into linking the delta to the Yangtze's distant hinterland, Sichuan province and beyond, before first tying together the country's disparate coastal successes: in Guangdong and Fujian provinces, along the Yangtze delta, north along the Bohai gulf, and in Manchuria. </P> "	"nyt_eng_199509.gz"
"33535"	"he"	"complains"	" It is pouring its meager resources, he complains, into linking the delta to the Yangtze's distant hinterland, Sichuan province and beyond, before first tying together the country's disparate coastal successes: in Guangdong and Fujian provinces, along the Yangtze delta, north along the Bohai gulf, and in Manchuria. </P> "	"nyt_eng_199509.gz"
"50986"	"she"	"complains"	" There is pressure all around her, she complains, to choose and commit. It comes from friends, from parents, from potential employers, all of them beating the same maddening drum: competition is everywhere. You must dive in and start swimming. Stragglers lose. But what if you just don't know? And what if you choose wrong, plunging into a career only to find yourself trapped later in something you hate? </P> "	"nyt_eng_199603.gz"
