"pronoun"	"verb"	"context"	"filename"
"254"	"he"	"conceded"	" Keys often described himself as an economic doctor rather than a long-term manager, and before entering the new government he hinted strongly that he saw the assignment as temporary. In the long run, he conceded, it would be difficult to reconcile Mandela's promises of housing, jobs and free education for all with his promise of free markets and growth-oriented economics. </P> "	"nyt_eng_199407.gz"
"292"	"he"	"conceded"	" Religious beliefs, too, tend to hold marriage as a linchpin of community, and many churches and synagogues offer marital counseling. In the Roman Catholic Church, for instance, couples undergo pre-wedding counseling on the specifics of married life, like raising children and handling finances, said the Rev. Francis Muller, a judge with the Marriage Tribunal of the Archdiocese of New York. But, he conceded, ``if people have a bad marriage, they have the right to the civil protection of a divorce.'' He added, ``We certainly don't believe in divorce at whim, but if two people mutually want a divorce, they probably have plenty of reason for divorce.'' </P> "	"nyt_eng_199407.gz"
"402"	"he"	"conceded"	" But, he conceded, looking around the room full of young corps members: ``Every once and a while you see something and think there's hope for the country.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940708.0214 type=story > <HEADLINE> OBSERVER: NEW WHITE HATS </HEADLINE> <DATELINE>  (BC-BAKER-COLUMN-NYT) </DATELINE> <TEXT> "	"nyt_eng_199407.gz"
"752"	"he"	"conceded"	" What may have worked 50 years ago, he conceded, today ``is a cauldron of -- and I hesitate to say it -- crime, violence and poverty and social isolation and economic alienation of the worst kind.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940713.0385 type=story > <HEADLINE> U.S. ACTS TO PREVENT ATTACKS BY OWN AIRCRAFT </HEADLINE> <DATELINE> WASHINGTON  (BC-FRIENDLY-FIRE-550&AMP;ADD-NYT) </DATELINE> <TEXT> "	"nyt_eng_199407.gz"
"2138"	"he"	"conceded"	" Still, many financial advisers confess they cringe when their otherwise savvy business clients start fantasizing about dabbling in restaurants. ``I sit them down and try to ask them if it's the glitz they're after or dollars and cents,'' said Jeffrey Levine, an accountant in the Newton, Mass., firm Alkon &AMP; Levine P.C. ``If they say it's the money, I try to make them think about the realities.'' But most of the time, he conceded, ``it's really just the glitz they're after.'' </P> "	"nyt_eng_199408.gz"
"2914"	"he"	"conceded"	" Such laws are far more popular in cities, he conceded, than in the small towns and rural communities he represents; ``in Indianapolis a gun is a threat, but in DuBois or Spencer County it's a security device.'' </P> "	"nyt_eng_199408.gz"
"4030"	"he"	"conceded"	" Gene DeWitt, who also heads a media buying agency, is more cautious about the spending boom this fall, saying, ``This industry always gets overly bullish when things are going well and overly bearish when they're not.'' But, he conceded, ``this is the firmest market I've seen in at least five or six years.'' </P> "	"nyt_eng_199409.gz"
"4044"	"he"	"conceded"	" Gene DeWitt, who also heads a media buying agency, is more cautious about the spending boom this fall, saying, ``This industry always gets overly bullish when things are going well and overly bearish when they're not.'' But, he conceded, ``this is the firmest market I've seen in at least five or six years.'' </P> "	"nyt_eng_199409.gz"
"4065"	"he"	"conceded"	" Gene DeWitt, who also heads a media buying agency, is more cautious about the spending boom this fall, saying, ``This industry always gets overly bullish when things are going well and overly bearish when they're not.'' But, he conceded, ``this is the firmest market I've seen in at least five or six years.'' </P> "	"nyt_eng_199409.gz"
"4692"	"he"	"conceded"	" That, he conceded, will take a long time. Last year, only 10,000 HDTV sets were sold in Japan, compared with 8 million or more conventional sets. A total of 130,000 high-definition sets have been sold since high-definition broadcasting began in the late 1980s. Matsushita itself has sold 8,400 high-definition sets and 150,000 wide-screen ones. </P> "	"nyt_eng_199409.gz"
