"pronoun"	"verb"	"context"	"filename"
"2943"	"he"	"concedes"	" The new Arts Council chairman has publicly courted not only the two heritage secretaries under whom he has already served, but also the Labor Party's arts politicians. He has moved to restore confidence in the council by restructuring, a term that, he concedes, includes dismissals. </P> "	"nyt_eng_199408.gz"
"6319"	"he"	"concedes"	" When he started, he concedes, he was ``terrified,'' wondering ``how I could come close to what my father and my uncles had done,'' and ``stumbling over everything I had to say.'' </P> "	"nyt_eng_199410.gz"
"6391"	"he"	"concedes"	" When he started, he concedes, he was ``terrified,'' wondering ``how I could come close to what my father and my uncles had done,'' and ``stumbling over everything I had to say.'' </P> "	"nyt_eng_199410.gz"
"8874"	"she"	"concedes"	" Helena is skewered by Kate Nelligan with the kind of icy calculation perfected by Faye Dunaway. It is the Depression. Helena knows that people need faith, perhaps even a miracle. Nobody cares what's happening in Canada, she concedes, but that wire story about the quints has an irresistible angle: a modern-day Nativity for our troubled times. The circus begins. Make way for the clowns. </P> "	"nyt_eng_199411.gz"
"9918"	"he"	"concedes"	" Dr. Stephen McNees of the Federal Reserve Bank of Boston, who has tracked records of economic seers for years, says they do pretty well generally. But it's a dangerously irrational belief, he concedes, to think that economists really know whether inflation or car sales or factory orders or, especially, interest rates, will rise or fall at any given time in the future. </P> "	"nyt_eng_199412.gz"
"11411"	"she"	"concedes"	" There is, she concedes, a lag time in perception because many people continue to equate seriousness with suits and frivolousness with frippery. But, she says, the variety of fashion poses and fashion icons offered today -- from the pre-nubile smoothness of a Kate Moss to the sunny, gap-toothed allure of a mature Lauren Hutton -- is a sign of permission for women to be vixens, vamps and nice girls simultaneously. </P> "	"nyt_eng_199412.gz"
"11475"	"she"	"concedes"	" There is, she concedes, a lag time in perception because many people continue to equate seriousness with suits and frivolousness with frippery. But, she says, the variety of fashion poses and fashion icons offered today -- from the pre-nubile smoothness of a Kate Moss to the sunny, gap-toothed allure of a mature Lauren Hutton -- is a sign of permission for women to be vixens, vamps and nice girls simultaneously. </P> "	"nyt_eng_199501.gz"
"11670"	"he"	"concedes"	" Now comes Willis H. Stephens Jr., 39, who lives in the house in Brewster built by his grandfather. A lawyer, he had been a counsel to the Senate MAjority since 1985. But, since the Assembly is now controlled by Democrats, moving on to head Ways and Means, he concedes, looks unlikely. </P> "	"nyt_eng_199501.gz"
"14191"	"he"	"concedes"	" Bergsten envisions such a fund, along with a ``fundamental surveillance role for the IMF.'' The sums needed to make such a fund credible, he concedes, would run on the order of $100 billion and would require tacit congressional consent (if not legislation) to implement. But he argues, ``It would be better to line up the money now, before the next crisis.'' </P> "	"nyt_eng_199502.gz"
"16041"	"he"	"concedes"	" Greenstein said he is also at ease with his work transplanting organs from people who have been declared brain dead -- even though, he concedes, some rabbis do not accept brain death as the measure of the end of life. </P> "	"nyt_eng_199503.gz"
"16303"	"he"	"concedes"	" Yet, he concedes, the city scares him. It is not the violence of its streets that intimidates him, but the memories of restaurant muggings, where stylish editors bought him fancy lunches and told him that he had written the greatest thing they had ever read, then never called, though they said they would. ``For me, this is a place of deceit and heartache,'' he confided. </P> "	"nyt_eng_199503.gz"
"16304"	"he"	"concedes"	" Yet, he concedes, the city scares him. It is not the violence of its streets that intimidates him, but the memories of restaurant muggings, where stylish editors bought him fancy lunches and told him that he had written the greatest thing they had ever read, then never called, though they said they would. ``For me, this is a place of deceit and heartache,'' he confided. </P> "	"nyt_eng_199503.gz"
"18738"	"he"	"concedes"	" Now Shon-du is on 30-day medical leave, exempt from workfare because of hemorrhoids, from which he really does suffer (though, he concedes, he can work). </P> "	"nyt_eng_199504.gz"
"20252"	"he"	"concedes"	" There will be adjustments, he concedes, but Negroponte is confident that the technology will not only make people better off materially but also ``be a natural force drawing people into greater world harmony.'' </P> "	"nyt_eng_199504.gz"
"20512"	"he"	"concedes"	" There will be adjustments, he concedes, but Negroponte is confident that the technology will not only make people better off materially but also ``be a natural force drawing people into greater world harmony.'' </P> "	"nyt_eng_199504.gz"
"22405"	"she"	"concedes"	" Yes, she concedes, her new novel, ``Moo,'' does have a character she is willing to identify as ``the bad me.'' But there is ``not a me'' in ``A Thousand Acres,'' her 1992 Pulitzer Prize winner. Whether there is a ``me'' among the scores of characters in ``The Greenlanders'' is open to conjecture. </P> "	"nyt_eng_199505.gz"
"23055"	"he"	"concedes"	" But the long putter, he concedes, is not for everyone. Singh, in fact, abandoned his 42-inch putter three days after terming it the catalyst in his opening round of 65 at the Greater Greensboro Open. When Singh won the Buick Classic on Sunday, he stroked his 12-foot birdie putt on the fifth playoff hole in a conventional manner. </P> "	"nyt_eng_199505.gz"
"28084"	"he"	"concedes"	" Lin does have his heart set on a one-bedroom apartment. But he is willing to make some concessions. A budget of $250 a month for dating could be trimmed, he concedes, though ``roses every now and then would be nice.'' And he figures that, yes, he could put up with a $15,000 car instead of an $18,000 one. </P> "	"nyt_eng_199507.gz"
"30593"	"he"	"concedes"	" Ticket sales for the Matisse exhibition were limited to 6,000 a day. But with at least 500 people crammed into a gallery, he concedes, ``works of art are not appreciated at the same level.'' </P> "	"nyt_eng_199508.gz"
"30998"	"she"	"concedes"	" She feels a little pressure, she concedes, not to fail the woman who helped her. ``I was thinking how amazing it was that she made all that money doing laundry,'' said Miss Bullock, who plans to major in business. </P> "	"nyt_eng_199508.gz"
"32146"	"he"	"concedes"	" Television, he concedes, plays a role in the hot-dogging by players, who seem to know where all the cameras are. </P> "	"nyt_eng_199508.gz"
"34042"	"he"	"concedes"	" Maybe, he concedes, there is something in the way he carries the ball that gets his coaches nervous. Murrell holds it away from his body, instead of protecting it the way coaches want. Still, he has not been a fumbler. He has been someone who can shimmy and shake but who, at 212 pounds on a 5-foot-11-inch frame, can also run over people. </P> "	"nyt_eng_199509.gz"
"36216"	"he"	"concedes"	" It is true, he concedes, that many of his political pronouncements _ pro abortion, pro welfare, pro gun-control, even, relatively speaking, pro Bill Clinton _ make him an unusual Republican for the 1990s. </P> "	"nyt_eng_199510.gz"
"36220"	"he"	"concedes"	" It is true, he concedes, that many of his political pronouncements _ pro abortion, pro welfare, pro gun-control, even, relatively speaking, pro Bill Clinton _ make him an unusual Republican for the 1990s. </P> "	"nyt_eng_199510.gz"
"36339"	"he"	"concedes"	" It is true, he concedes, that many of his political pronouncements _ pro abortion, pro welfare, pro gun-control, even, relatively speaking, pro Bill Clinton _ make him an unusual Republican for the 1990s. </P> "	"nyt_eng_199510.gz"
"36343"	"he"	"concedes"	" It is true, he concedes, that many of his political pronouncements _ pro abortion, pro welfare, pro gun-control, even, relatively speaking, pro Bill Clinton _ make him an unusual Republican for the 1990s. </P> "	"nyt_eng_199510.gz"
"38702"	"she"	"concedes"	" There wasn't time, says Public Safety Secretary Kathleen O'Toole; this was an emergency situation. An emergency that, she concedes, was under discussion for five weeks. </P> "	"nyt_eng_199511.gz"
"42652"	"he"	"concedes"	" Carlson was given until Monday to raise a $100,000 bond set Wednesday by U.S. District Court Judge John W. Bissell. If convicted of the single count of arson, he faces a maximum sentence of life imprisonment and a $20,000 fine. Johnson was freed on $10,000 bond. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19951213.0717 type=advis > <DATELINE>  (BC-PHOTO-FULL-UPDATE-NYT) </DATELINE> <TEXT> ATTENTION EDITORS: The following photos are part of tonight's New York Times Photo Full picture package moving: 12/13/95.  NYT Photo clients will automatically receive these photos via AP's PhotoExpress or may download them from either the Wieck Photo Database in Dallas at 214-392-0888 or from NYTPhotos on NewsCom at 305-448-8411. Non-clients can make individual purchase by calling 212-556-4204.  (NYT17) SAN FRANCISCO -- Dec. 13, 1995 -- CALIF-ELECTIONS, 12-13 -- There were clear winners on Tuesday in two political races in California. San Francisco Mayor-elect Willie L. Brown Jr., shown, appears to be ready to deal with pot holes after a news conference. ``We're on the threshold of all our tomorrows,'' he said in his victory speech. Tom Campbell, a California State Senator and a moderate Republican, was elected to represent the state's 15th District in Congress, even though Democrats contend he is a ``Newt clone.'' (Darcy Padilla/New York Times Photo)  (NYT16) DUBLIN, Ireland -- Dec. 13, 1995 -- CORRIGAN-OBIT, 12-13 -- Douglas Corrigan in Dublin after his famously errant flight in 1938. Corrigan, a brash aviator who captured the imagination of a Depression-weary public when he took off from Brooklyn on a nonstop solo flight to Los Angeles and landed his improbable airplane in Dublin a day later, died on Saturday at a hospital in Orange, Calif. He was 88 and had been lionized for more than half a century as Wrong Way Corrigan. (New York Times Photo)  (NYT15) ROCHESTER, N.Y. -- Dec. 13, 1995 -- BAUSCH-RETIRE, 12-13 -- Dan Gill, foreground, who retired Wednesday as chairman of Bausch &AMP; Lomb, enters a news conference in Rochester, N.Y. Behind him are William Waltrip, who will serve as interim chairman, and William Carpenter, who was named president and chief operating officer. (Wayne Scarberry/New York Times Photo)  (NYT14) NEWPORT BEACH, Calif. -- Dec. 13, 1995 -- REPUBS-ORANGE-COUNTY-CLR-2, 12-13 -- Randy Bird of Newport Beach, calls Newt Gingrich ``my favorite politician.'' He says of Gingrich: ``Certainly he's moving things in the right direction. But he's too much of a compromiser on the budget.'' (John Stinson/New York Times Photo)  (NYT13) UNDATED -- Dec. 13, 1995 -- REPUBS-ORANGE-COUNTY-CLR-1, 12-13 -- Linda McDaniel of Laguna Beach, says she is a longtime Republican and is heartened by the Contract With America. ``But I'm frustrated with the system. You realize how hard it is to get things done.'' Richard Secord of San Clemente says he is unimpressed with the Republican presidential candidates. While he finds Bob Dole too conservative, he concedes, ``Dole might be the best of a bad lot.'' (John Stinson/New York Times Photo)  (NYT12) NEW YORK -- Dec. 13, 1995 -- OLY-NBC-EBERSOL-CLR, 12-13 -- For Dick Ebersol, the biggest deal in the history of television, the $2.3 billion agreement that he engineered between NBC and the International Olympic Committee for rights to the Games of 2004, 2006, and 2008, represents the culmination of both his professional and his personal life. ``My whole adult life has been irrevocably bound to the Olympics,'' Ebersol said in an interview after Tuesday's announcement. (Philip Greenberg/New York Times Photo)  (NYT11) NEW YORK -- Dec. 13, 1995 -- GUCCI-RENAISSANCE-CLR, 12-13 -- A window display at the Gucci store on Fifth Avenue shows the popular 'retro' fashion designs. The company's current renaissance began only after the Guccis were bought out by the Bahrain-based investment bank Investcorp. Years of family feuding had brought down the great dynasty. In October, Investcorp took Gucci public. The shares have since soared from the initial offering price of $22 to about $36, valuing the company at well over $2 billion. (Fred R. Conrad/New York Times Photo)  (NYT10) NEW YORK -- Dec. 13, 1995 -- BOX-HOYA-CLR, 12-13 -- With his Olympic medal, Golden Boy nickname and the adulation of the Mexican-American community, Oscar De La Hoya, right, has been as conscious of his image as if he were trying to sell a squeaky-clean bar of soap. While in New York on Wednesday, he said he will be more of a slugger Thursday night: ``I adjusted my style for this fight. Not only for Jesse James Leija, but for the fans. Frank Sinatra said if you don't make it here, you won't make it anywhere.'' (Angel Franco/New York Times Photo)  (NYT9) SALT LAKE CITY, Utah -- Dec. 13, 1995 -- SNOWBOARDING, 12-13 -- At Alta in Utah, a sign snowboarders hate to see. Backed by its potential for growth and revenue, and with an increasing number of enthusiasts on the nation's slopes, snowboarding has gained widespread acceptance by ski areas that shunned it only 10 years ago. But nine major resorts and a handful of minor ones among the 520 or so ski areas in the United States continue to ban them, including Park City, Utah, which will stage the 2002 Olympic Winter Games. (John Bing/New York Times Photo)  (NYT8) UNDATED -- Dec. 13, 1995 -- ADV. FOR SUN. DEC. 17 -- ABOUT-CARS-MERCEDES-BENZ, 12-13 -- The front of the 1996 E320 sedan, above, has an attractive new look, with a smoother shape and retro-style oval headlamps. Likewise, the flowing roofline, more reminiscent of a coupe than a sedan, gives the car a streamlined profile that is still readily recognizable as a Mercedes. The Mercedes SLK, below, a roadster for about $40,000, will arrive in early 1997. (Mercedes-Benz of North America/New York Times Photo)  (NYT7) LOS ANGELES -- Dec. 13, 1995 -- DREAMWORKS-HUGHES-CLR, 12-13 -- Part of new 100-acre backlot where Steven Spielberg, David Geffen and Jeffrey Katzenberg are to make films. Dreamworks will be building its studio (and a campus for its projects) in the old hangar Howard Hughes used for the Spruce Goose. (Bart Bartholomew/New York Times Photo)  (NYT6) FRAMINGHAM, Mass. -- Dec. 13, 1995 -- SHOPPING-MADNESS-BOS-CLR, 12-13 -- Shoppers mingle in the aisles at Toys R Us in Framingham, Mass., the busiest New England store within the country's biggest toy chain. It is here, among 12,000 to 15,000 different toys covering roughly two-thirds of an acre, that the Christmas shopping battle is being waged. (Michael Robinson-Chavez/The Boston Globe).  (NYT5) NEW YORK -- Dec. 13, 1995 -- CHAYA-DANCE-REVIEW, 12-13 -- Amos Machanic Jr., left, and Jeffrey Gerodias in a duet from ``Streams,'' part of the Alvin Ailey American Dance Theater's tribute to Masazumi Chaya, associate artistic director of the company. On Tuesday night at City Center, where the troupe is in residence through Dec. 31, the tribute suggested Chaya's enduring legacy of his work with the Ailey dancers: first-rate performers who dance with their hearts as well as their bodies. (Jack Vartoogian/New York Times Photo)  (NYT4) UNDATED -- Dec. 13, 1995 -- HOME-IMPROVEMENT, 12-13 -- Time can take its toll on furniture, and even well-made pieces may need maintenance and repair. Repairs to valuable heirlooms or prized antiques should be left to professionals. Simple repairs can usually be tackled by the average do-it-yourselfer, but fashioning intricate parts, veneering or reupholstering may require the help of a professional. (Edward R. Lipinski/New York Times Photo)  (NYT3) NEW YORK -- Dec. 13, 1995 -- GHETTO-AESTHETIC, 12-13 -- A wallpaper river runs through the Bronx home of Maria Cosme and Manuel Rivera, left, 1990. In his new book, ``The New American Ghetto,'' photographer and sociologist Camilo Jose Vergara documents the deep human need to shape space. In Vergara's view, interior design has become an important anchor in neighborhoods where there is little that might be construed as a public realm. In such surroundings, he argues, interiors ``bring order and coherence and beauty.'' (Angel Franco/New York Times Photo)  (NYT2) DEDHAM, Mass. -- Dec. 13, 1995 -- ZIPKIN-SOCIALITE-CLR, 12-13 -- When Jerome R. Zipkin, the New York socialite and confidante of Mrs. Reagan, died, the contents of his large Park Avenue apartment had to be sorted out for an upcoming Sotheby's Arcade auction. ``The deal was to clear out the apartment and leave it broom clean,'' says Michael Grogan, a Boston auctioneer who organized the cleanup. At the Holiday Inn in Dedham, Mass., on Dec. 2, treasure-hunters sift through items not consigned to friends or to Sotheby's. (Ed Quinn/New York Times Photo)  (NYT1) NEW YORK -- Dec. 13, 1995 -- HIRSCHFELD-CARTOONIST-PROFILE-CLR, 12-13 -- Al Hirschfeld in his studio where he works seven days a week, in the townhouse he has occupied since 1947. His work has appeared in The New York Times since 1925, and is included in the permanent collections of, among others, the Smithsonian Institution, National Portrait Gallery, Metropolitan Museum of Art, and the Museum of Modern Art. ``You roll with the punches to exist or else you're complaining most of your life,'' he says. (Monica Almeida/New York Times Photo)  N.Y. Times News Service </TEXT> </DOC> <DOC id=NYT_ENG_19951213.0718 type=advis > <DATELINE>  (BC-HEARST-NEWS-BUDGET-2NDLD-WRITETHRU-HNS) </DATELINE> <TEXT> Wednesday, Dec. 13, 1995  Editors:  The Hearst News Service has filed the following stories for Thursday. If you have questions, please call Susie McBee at 202-298-6920 or Judy Holland or Eric Rosenberg at 202-298-6320.  (Sluglines include the ``HNS'' tag.)  WASHINGTON NEWS (``w'' category)  BUDGET (Washington) _ After weeks of political jockeying, Congress and President Clinton agreed Wednesday to begin ``serious negotiations'' on a seven-year balanced budget plan starting Friday. By NANCY MATHIS.  GOVERNMENT-EMPLOYEES (Washington) _ With another federal government shutdown looming in just two days, some 350,000 ``non-essential'' government employees are facing what amounts to an unscheduled but fully paid vacation of uncertain duration. Some members of Congress and advocacy groups are criticizing the practice of paying laid-off government workers for not working. By VIC OSTROWIDZKI.  NATIONAL NEWS (``a'' category)  BAD-WEATHER (San Francisco) _ After being spoiled by this fall's balmy weather, Northern Californians were jolted by the ferocity of the first major storm of the winter season. By SUSAN FERRISS.  SPORTS (``s'' category)  BKC-TARKANIAN (Santa Clara, Calif.) _ Jerry Tarkanian was in town the other night. At the game, a student from Santa Clara held up a sign behind one of the baskets. ``Shark, i Can Play Four Ur Teem,'' it said, with dollar signs decorating the corners. Tarkanian's basketball team almost shamed the kid into tucking the sign away. By GWEN KNAPP.  EDs: Robert E. Thompson is away. His THOMPSON-COLUMN, usually filed Wednesday in advance for Sunday, will resume next week and will be filed in the COMMENTARY (``k'') category. </TEXT> </DOC> <DOC id=NYT_ENG_19951213.0719 type=story > <HEADLINE> NYC MAYOR DELAYS DECISION ON WATER FILTRATION PLANT </HEADLINE> <DATELINE> NEW YORK (BC-NY-WATER-PLANT-NYT) </DATELINE> <TEXT> "	"nyt_eng_199512.gz"
