"pronoun"	"verb"	"context"	"filename"
"205"	"he"	"concluded"	" But, he concluded, ``a lot of businessmen do not put everything in China.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940704.0263 type=story > <HEADLINE> BRAZIL GAME A GOOD LEGACY FOR AMERICA </HEADLINE> <DATELINE> PALO ALTO, Calif.  (BC-SOC-WCUP-VECSEY-COLUMN-1STLD-NYT(EDS: Subbing to fix spelling) </DATELINE> <TEXT> "	"nyt_eng_199407.gz"
"2488"	"he"	"concluded"	" Without exactly answering, he concluded, ``But it's what you strive your whole lifetime for.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940809.0262 type=story > <HEADLINE> FOES OF ORDINATION FOR WOMEN SEEKING SHOWDOWN AT CHURCH MEETING </HEADLINE> <DATELINE>  (BC-EPISCOPAL-WOMEN-HNS) </DATELINE> <TEXT> "	"nyt_eng_199408.gz"
"3144"	"he"	"concluded"	" Budishchev conceded that the death of towns that produce nothing is ``painful for all those who live there, a catastrophe of course.'' But, he concluded, ``if they can't sustain themselves in a real economy what should we do about it?'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940820.0095 type=story > <DATELINE>  (BC-SIBERIA-3RDTAKE-NYT) </DATELINE> <TEXT> "	"nyt_eng_199408.gz"
"3152"	"he"	"concluded"	" Budishchev conceded that the death of towns that produce nothing is ``painful for all those who live there, a catastrophe of course.'' But, he concluded, ``if they can't sustain themselves in a real economy what should we do about it?'' </P> "	"nyt_eng_199408.gz"
"4096"	"he"	"concluded"	" Using other Sun Belt cities as a benchmark, he found that the Marielitos had no discernible impact on wages or unemployment. The local economy, he concluded, expanded rapidly enough to absorb the new immigrants without driving the largely black and Hispanic competition onto the unemployment rolls. </P> "	"nyt_eng_199409.gz"
"4723"	"she"	"concluded"	" But, she concluded, ``I'm grateful that I've been here, but I can't say it would be on the top 100 places I'd want to visit.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940915.0113 type=story > <HEADLINE> PROSECUTORS CLOSE A CHAPTER IN `MEXICAN MAFIA' CASE </HEADLINE> <DATELINE> SAN ANTONIO  (BC-MEXICAN-MAFIA-HNS) </DATELINE> <TEXT> "	"nyt_eng_199409.gz"
"6399"	"I"	"concluded"	" You become adept at stereotyping this way. I knew no Bubbas before I came South, and not many Baptists. The only contact I'd had with straight-arrow Episcopalians was when I caddied at the country club. Episcopalians, I concluded, were tight with the tips (but I wasn't the greatest caddie they'd ever had either). Back then, no one spoke of ``valuing differences,'' or whatever the vogue phrase is, and, frankly, no one much cared whether I had my papers. </P> "	"nyt_eng_199410.gz"
"6401"	"I"	"concluded"	" You become adept at stereotyping this way. I knew no Bubbas before I came South, and not many Baptists. The only contact I'd had with straight-arrow Episcopalians was when I caddied at the country club. Episcopalians, I concluded, were tight with the tips (but I wasn't the greatest caddie they'd ever had either). Back then, no one spoke of ``valuing differences,'' or whatever the vogue phrase is, and, frankly, no one much cared whether I had my papers. </P> "	"nyt_eng_199410.gz"
"7000"	"they"	"concluded"	" Bids tend to rise or fall by 25 cents, they concluded, and to stay at even quarters of a dollar. In the above example, when the price rises it would likely be to $50.50 from $50.25 </P> "	"nyt_eng_199410.gz"
"7758"	"he"	"concluded"	" Indeed, he concluded, the reverse was true. </P> "	"nyt_eng_199410.gz"
"8402"	"he"	"concluded"	" Democrats, he concluded, underestimated him. </P> "	"nyt_eng_199411.gz"
"9086"	"they"	"concluded"	" The scholars also said that ``studies in patients with stroke indicate that those people with localized lesions to the lateral and orbital cortex are at increased risk of suicide.'' Significantly, they concluded, the differences in the brains of suicide victims ``may mean that the patient is no longer able to suppress suicidal acts, which are suppressed under normal circumstances.'' </P> "	"nyt_eng_199411.gz"
"10352"	"she"	"concluded"	" Yes, she concluded, the pictures were hard to look at, but they were no worse than the pictures she has carried in her mind for these past 50 years, the ones she can't get rid of, ever. </P> "	"nyt_eng_199412.gz"
"11488"	"they"	"concluded"	" Geologists found the rock in the crater, named Chicxulub, to be unusually rich in sulfur. If it had not been, they concluded, the dinosaurs might well have survived the impact, thereby changing the course of evolution. </P> "	"nyt_eng_199501.gz"
"11493"	"he"	"concluded"	" The width of the birds' palate grooves, in particular, was closely correlated with seed size. Differences in cone structure and seed size among key conifers, he concluded, were ``ultimately responsible for the diversification of crossbills.'' </P> "	"nyt_eng_199501.gz"
"13417"	"he"	"concluded"	" To economists, said Sen. Joseph Biden, D-Del., this may all make sense. But back home, he concluded, ``it's not a very neat answer.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950129.0154 type=story > <HEADLINE> STIFF SENTENCES LEAD TO CROWDED PRISONS </HEADLINE> <DATELINE> NEW YORK  (BC-NY-DRUGLAWS-SENTENCING-NYT) </DATELINE> <TEXT> "	"nyt_eng_199501.gz"
"14127"	"she"	"concluded"	" Calling for a stiff sentence, she concluded, ``He should not be allowed to use his so-called celebrity status to avoid the consequences of his actions.'' </P> "	"nyt_eng_199502.gz"
"15209"	"we"	"concluded"	" The question asks whether the challenged policy ``was not state action'' and therefore may, at first blush, appear to present the umbrella inquiry. Yee suggests otherwise. The petition there recited two decisions by the Courts of Appeals and asked: ``Was it error for the state appellate court to disregard the rulings and hold that there was no taking under the fifth and fourteenth amendments?'' Instead of focusing on whether ``there was no taking,'' we read the question as a whole. Since the decisions by the Courts of Appeals and the lower court opinion involved only physical takings, we concluded, ``Fairly construed, then, petitioners' question presented is the equivalent of the question, `Did the court below err in finding no physical taking?''' 503 U. S., at --- (slip op., at 15). </P> "	"nyt_eng_199502.gz"
"15777"	"it"	"concluded"	" A divided panel of the Arizona Court of Appeals reversed because it ``believe(d) that the exclusionary rule (was) not intended to deter justice court employees or Sheriff's Office employees who are not directly associated with the arresting officers or the arresting officers' police department.'' 172 Ariz. 314, 317, 836 P. 2d 1024, 1027 (1992). Therefore, it concluded, ``the purpose of the exclusionary rule would not be served by excluding the evidence obtained in this case.'' Ibid. </P> "	"nyt_eng_199503.gz"
"16563"	"he"	"concluded"	" Souljah, he concluded, did not resort to using gratuitous sexuality or obscenity. After all, her book is a memoir, although many of the names in it have been changed for reasons of discretion. The sex in it was the real thing, hers and that of others, and was was related more realistically and analytically than sensationally. </P> "	"nyt_eng_199503.gz"
"17351"	"he"	"concluded"	" Ninety percent of hitting, he concluded, involves the lower body. If the lower half is in balance, the upper half naturally is in the correct position. </P> "	"nyt_eng_199503.gz"
"19163"	"she"	"concluded"	" ``Far from me to say I'm the most educated person in the world, but we can't just stop and go to work when child care costs $300 a month for just one child, and that was my whole check,'' she said. State and congressional leaders, she concluded, ``don't know what it's like to have to wonder and struggle.'' </P> "	"nyt_eng_199504.gz"
"20127"	"he"	"concluded"	" The Morgan Stanley people, he added ``went away shaking their heads.'' The brokerage firm, he concluded, ``Sent guys down here to stroke these folks and blow smoke.'' </P> "	"nyt_eng_199504.gz"
"20467"	"she"	"concluded"	" In 1951, Rogers won wide praise in a Broadway comedy, ``Love and Let Love,'' although reviewers panned the play. Typically, she concluded, ``We could have gone on touring around the country, probably playing to packed houses and getting our money back, but I'd rather be a sitting duck in a big pond.'' </P> "	"nyt_eng_199504.gz"
"22700"	"he"	"concluded"	" Remarking that Christianity arrived in his native Poland through the ``gateway of Moravia'' a thousand years ago, he concluded, ``A thousand years of Christianity weighs more in the end than the terrible 40 years of communism.'' </P> "	"nyt_eng_199505.gz"
"23584"	"we"	"concluded"	" The habeas petitioners in Peyton sought to present challenges that, if successful, would advance their release dates. That was enough, we concluded, to permit them to invoke the Great Writ. Id., at 66-67. </P> "	"nyt_eng_199505.gz"
