"pronoun"	"verb"	"context"	"filename"
"5909"	"he"	"concludes"	" ``What is there that can't fail?'' he wonders. A dam could break, he concludes, a rich man could be kidnaped or robbed. `` </P> "	"nyt_eng_199410.gz"
"7500"	"she"	"concludes"	" At the dinner table with her family, after Angela's father betrays perfectly normal curiosity about what Angela does for entertainment, she concludes, solely on intuition, that ``Dad thinks everybody in the world is having more fun than him.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941026.0242 type=story > <DATELINE>  (BC-MY-SO-CALLED-LIFE-TV-2NDTAKE-$ADV30-NYT) </DATELINE> <TEXT> "	"nyt_eng_199410.gz"
"9039"	"he"	"concludes"	" What meaning did Frazier finally wrest from his pursuit of the past? In an eloquent summing up of the American experience as a tragic attempt to build a New Jerusalem, he concludes, ``And in suburbs like country towns of a century before but with ever less distance between them, ... in single-family houses built in a colonial style to suggest perhaps the Americanness of the people inside, ... in master bedrooms and living rooms and dens connected to the outside world mainly by technology, in closet top shelves stacked with boxes of old family papers and in bookshelves of mostly forgotten books, the dream of America as the kingdom of God came to rest.'' </P> "	"nyt_eng_199411.gz"
"9111"	"it"	"concludes"	" On night work, the record says, ``Her tendency was to consistently add too much power on line-up corrections.'' But, it concludes, ``She improved tremendously from her first look (first try at qualifying) at the boat. Her scan has greatly improved, especially at night, and should progress well with experience.'' </P> "	"nyt_eng_199411.gz"
"13385"	"he"	"concludes"	" Therefore, he concludes, ``you are expected to read yourself into this book.'' </P> "	"nyt_eng_199501.gz"
"15027"	"she"	"concludes"	" While such shortcomings are adverse in themselves, Ms. Ravitch adds, they are bound to loom larger as the U.S. economy continues to shift from being labor-based to knowledge-based. Therefore, she concludes, some sort of basic reform in educational techniques will become increasingly essential. </P> "	"nyt_eng_199502.gz"
"18598"	"he"	"concludes"	" But gut-toting belligerence returns in the final songs. When 2Pac raps about his trial, he concludes, ``If you're black you'd better stay strapped,'' or armed. In ``Death Around the Corner,'' he's a paranoid character, staring out the window with his AK-47 in hand. </P> "	"nyt_eng_199504.gz"
"23468"	"he"	"concludes"	" Like Kaplan, Reynolds begins with a view of Whitman in old age, when he was famous enough to have his 70th birthday celebrated in public yet still remained ``largely unread,'' as Reynolds puts it, ``by those vibrant American masses whose concerns, attitudes and language had provided the basis for some of his greatest poems.'' Summing up his approach to Whitman, he concludes, ``This is the story of how he absorbed his country and how he tried to make his country absorb him.'' </P> "	"nyt_eng_199505.gz"
"23826"	"he"	"concludes"	" Large employers ``go after the very best minorities'' who already have jobs, says Bloch. ``They're not getting them from the chronically underemployed.'' Affirmative action, he concludes,has helped middle-class minorities and not the poor. </P> "	"nyt_eng_199506.gz"
"25648"	"he"	"concludes"	" He notes that the first modern biotech company to sell stock to the public, Genentech Corp., did so a few months after the June 1980 Supreme Court decision recognizing biotech patents. Patent rights, he concludes, are indispensable. </P> "	"nyt_eng_199506.gz"
