"pronoun"	"verb"	"context"	"filename"
"6149"	"I"	"confess"	" Citing extensive research of the painting, offering to send a copy of the report and inviting me to come to California to personally inspect the painting -- for a nominal charge of $2,000 -- astonishes me because, I confess, the most I ever paid for a piece of art was for an artist's proof of the official poster of the 1988 Winter Olympics in Calgary. </P> "	"nyt_eng_199410.gz"
"7335"	"I"	"confess"	" For a few moments this past week, I confess, I did wrestle with the very notion of ``celebrity gossip'' and the human desire for it. </P> "	"nyt_eng_199410.gz"
"8322"	"I"	"confess"	" These proposals (which, I confess, would not do much to reduce the demagogy and lunacy of talk radio) are not original and probably not enforceable; they involve technical and economic as well as legal problems. So if other approaches serve better, fine. The object is simply to add more accurate information to the campaign commotion and reduce the vicious nonsense. </P> "	"nyt_eng_199411.gz"
"9259"	"I"	"confess"	" By the time I approached the newsroom bulletin board, order forms already overlapped. So I tried niche marketing -- penning my plea in the business staff's electronic mail. (Too narrow a market, I confess, based on results.) </P> "	"nyt_eng_199411.gz"
"35754"	"I"	"confess"	" I feel bad about saying this the same week that the pope is visiting America but, I confess, years of watching Christmas Eve midnight mass on television had ill-prepared me for the rampant commercialism and tourism at the Vatican. </P> "	"nyt_eng_199510.gz"
"35755"	"I"	"confess"	" I feel bad about saying this the same week that the pope is visiting America but, I confess, years of watching Christmas Eve midnight mass on television had ill-prepared me for the rampant commercialism and tourism at the Vatican. </P> "	"nyt_eng_199510.gz"
"35764"	"I"	"confess"	" I feel bad about saying this the same week that the pope is visiting America but, I confess, years of watching Christmas Eve midnight mass on television had ill-prepared me for the rampant commercialism and tourism at the Vatican. </P> "	"nyt_eng_199510.gz"
"35772"	"I"	"confess"	" I feel bad about saying this the same week that the pope is visiting America but, I confess, years of watching Christmas Eve midnight mass on television had ill-prepared me for the rampant commercialism and tourism at the Vatican. </P> "	"nyt_eng_199510.gz"
"35782"	"I"	"confess"	" I feel bad about saying this the same week that the pope is visiting America but, I confess, years of watching Christmas Eve midnight mass on television had ill-prepared me for the rampant commercialism and tourism at the Vatican. </P> "	"nyt_eng_199510.gz"
"35973"	"I"	"confess"	" I feel bad about saying this around the time the pope was visiting America but, I confess, years of watching Christmas Eve midnight mass on television had ill-prepared me for the rampant commercialism and tourism at the Vatican. </P> "	"nyt_eng_199510.gz"
"35974"	"I"	"confess"	" I feel bad about saying this around the time the pope was visiting America but, I confess, years of watching Christmas Eve midnight mass on television had ill-prepared me for the rampant commercialism and tourism at the Vatican. </P> "	"nyt_eng_199510.gz"
"35977"	"I"	"confess"	" I feel bad about saying this around the time the pope was visiting America but, I confess, years of watching Christmas Eve midnight mass on television had ill-prepared me for the rampant commercialism and tourism at the Vatican. </P> "	"nyt_eng_199510.gz"
"39202"	"I"	"confess"	" Here, I confess, I'm torn. Midwestern cornball that I am, every Thanksgiving when Marilyn's father puts his arm around my shoulder and asks how's his daughter-in-law, I almost start to cry. </P> "	"nyt_eng_199511.gz"
"39203"	"I"	"confess"	" Here, I confess, I'm torn. Midwestern cornball that I am, every Thanksgiving when Marilyn's father puts his arm around my shoulder and asks how's his daughter-in-law, I almost start to cry. </P> "	"nyt_eng_199511.gz"
"39863"	"I"	"confess"	" I like to keep things simple. At the same time, I tend to use Thanksgiving as an excuse to pull out special bottles, or expensive ones that I've been saving for just such occasions. But, I confess, I'm less likely to open those bottles if there are a lot of wine drinkers seated at the table _ there won't be enough to get a decent taste _ or if the guests simply don't care for or appreciate fine wine. </P> "	"nyt_eng_199511.gz"
"48531"	"I"	"confess"	" I had worked for Loeb, I confess, and when there were not enough letters to the editor to fill the page, reporters were told to stop working on stories and begin writing letters to the editor that were published anonymously. ``Oh, really?'' says Chancellor, surprised. ``That's a great story.'' </P> "	"nyt_eng_199602.gz"
