"pronoun"	"verb"	"context"	"filename"
"2978"	"she"	"confided"	" A kind of log on the living-room sideboard contained helpful hints on local restaurants, shops and winemakers, where to get the cheapest gas and so on. A previous guest from Australia conferred the ultimate accolade on the local eateries. The best ones, she confided, ``approach the quality of Melbourne's fabulous restaurants.'' </P> "	"nyt_eng_199408.gz"
"3369"	"she"	"confided"	" Later, she confided, ``They're very uncomfortable. All that squeezing -- it hurts.'' </P> "	"nyt_eng_199408.gz"
"31899"	"he"	"confided"	" ``We aren't exporting anything this year,'' said da Silva, whose company did almost $1 billion a year in cocoa exports in the 1970s. Operating under legal protection from creditors, he confided, with the true anguish of a commodity trader, ``We just lost our Reuters wire.'' </P> "	"nyt_eng_199508.gz"
"40419"	"he"	"confided"	" Republicans approach him weekly, he confided, but ``I don't even talk about it even in humor anymore, because it just feeds on itself.'' </P> "	"nyt_eng_199511.gz"
"87307"	"she"	"confided"	" In addition to the usual stresses of her job, being the first African-American president of an elite, predominantly white college, she is also in demand as a speaker and commentator. One of the things that helps her cope, she confided, is her new weekend hideaway. </P> "	"nyt_eng_199702.gz"
"93768"	"he"	"confided"	" At a West Village deli last winter, Petra Barchi got an unexpected earful. The man behind the counter wanted to dish. Some big TV show, he confided, was destroying everything inside the building next door. </P> "	"nyt_eng_200106.gz"
"106835"	"he"	"confided"	" Mao, he confided, ``considered my voice too loud _ I startled the Chairman several times,'' so Ji trained a female colleague to take over for him. </P> "	"nyt_eng_200202.gz"
"106918"	"he"	"confided"	" Mao, he confided, ``considered my voice too loud _ I startled the Chairman several times,'' so Ji trained a female colleague to take over for him. </P> "	"nyt_eng_200202.gz"
"138982"	"he"	"confided"	" Another shopkeeper said he knew Albany well, since he often stayed here on his way back from Seventh Avenue in New York City which, he confided, is where he goes to purchase his ``Canada'' T-shirtsthe ones with the Maple Leafs _ at a wholesale discount. </P> "	"nyt_eng_200312.gz"
"149618"	"he"	"confided"	" Variously earnest, confident or prickly in those conversations, Bush weighs the political risks and benefits of his religious faith, discusses campaign strategy and comments on rivals. John McCain will wear thin, he predicted. John Ashcroft, he confided, would be a very good Supreme Court pick or fabulous vice president. And in exchanges about his handling of media questions about his past, Bush appears to have acknowledged trying marijuana. </P> "	"nyt_eng_200502.gz"
"149628"	"he"	"confided"	" Variously earnest, confident or prickly in those conversations, Bush weighs the political risks and benefits of his religious faith, discusses campaign strategy and comments on rivals. John McCain will wear thin, he predicted. John Ashcroft, he confided, would be a very good Supreme Court pick or a fabulous vice president. And in exchanges about his handling of media questions about his past, Bush appears to have acknowledged trying marijuana. </P> "	"nyt_eng_200502.gz"
