"pronoun"	"verb"	"context"	"filename"
"1369"	"she"	"contends"	" Even an investor planning to unload some foreign stocks does not need option hedges, Ms. Scott said. It is wiser, she contends, to sell off the equities gradually, as the time approaches when the money is needed. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940724.0097 type=story > <DATELINE>  (BC-MONEY-Q&AMP;A-NYT) </DATELINE> <TEXT> "	"nyt_eng_199407.gz"
"1680"	"he"	"contends"	" These days, Scott is bursting with plans. Too often, he contends, an older jazz or blues performer returns to dust off their legend as a mere coda to what could have been. ``They get a record,'' he says, ``and then they just die.'' </P> "	"nyt_eng_199407.gz"
"3592"	"he"	"contends"	" Sen. Harris Wofford, D-Pa., who put this issue on the national agenda when he won an upset victory in 1991, now often reminds his colleagues that the 1957 Civil Rights Act, a modest federal entry into the problem of discrimination in voting, was seen by many at the time as woefully inadequate, undeserving of support. But it proved to pave the way to a slightly more confident step in 1960 and then to the historic laws of 1964 and 1965. The right first steps now, he contends, could begin a similar journey. </P> "	"nyt_eng_199408.gz"
"3827"	"he"	"contends"	" Part of the explanation, he contends, has to do with the social upheavals of the last 20 to 30 years, in which individuals -- particularly women and minorities -- came to see themselves as victims of tacit or organized societal repression and persecution. MORE </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940831.0291 type=story > <DATELINE> KANSAS CITY, Mo.  (BC-MISSING-MYSTERY-2ndtake-KAN) </DATELINE> <TEXT> "	"nyt_eng_199408.gz"
"4862"	"it"	"contends"	" The suit says that under Clifford's and Warnke's stewardship the funds grew to $29 million in 1989, from $13 million in 1984. But then, it contends, Clifford, Warnke, Mrs. Harriman and others made bad investments. </P> "	"nyt_eng_199409.gz"
"5263"	"he"	"contends"	" The result, he contends, was sometimes a broadening of perspectives and sometimes sheer Babel. </P> "	"nyt_eng_199409.gz"
"5368"	"he"	"contends"	" The result, he contends, was sometimes a broadening of perspectives and sometimes sheer Babel. </P> "	"nyt_eng_199409.gz"
"5752"	"she"	"contends"	" Employers, she contends, have started to view employees as fungible tools necessary to the production process. When they can, employers will replace employees with smart machines. Or failing that, with contingent workers who will come and go as needed and who, like smart machines, require no outlay for employment costs like pensions and health insurance. </P> "	"nyt_eng_199409.gz"
"5759"	"she"	"contends"	" Employers, she contends, have started to view employees as fungible tools necessary to the production process. When they can, employers will replace employees with smart machines. Or failing that, with contingent workers who will come and go as needed and who, like smart machines, require no outlay for employment costs like pensions and health insurance. </P> "	"nyt_eng_199409.gz"
"5910"	"she"	"contends"	" Employers, she contends, have started to view employees as fungible tools necessary to the production process. When they can, employers will replace employees with smart machines. Or failing that, with contingent workers who will come and go as needed and who, like smart machines, require no outlay for employment costs like pensions and health insurance. </P> "	"nyt_eng_199410.gz"
"7961"	"she"	"contends"	" Ms. Tyson finds all this frustrating. Worries about job security, she contends, do not mesh with the reality. ``Job tenure rates haven't noticeably changed,'' she points out. </P> "	"nyt_eng_199411.gz"
"7970"	"she"	"contends"	" Ms. Tyson finds all this frustrating. Worries about job security, she contends, do not mesh with the reality. ``Job tenure rates haven't noticeably changed,'' she points out. </P> "	"nyt_eng_199411.gz"
"7998"	"she"	"contends"	" And how did this guideline travesty come about? Simply, she contends, because of the election of Democrat Bill Clinton, which among other things let loose the PC hounds across the land. </P> "	"nyt_eng_199411.gz"
"8000"	"she"	"contends"	" And how did this guideline travesty come about? Simply, she contends, because of the election of Democrat Bill Clinton, which among other things let loose the PC hounds across the land. </P> "	"nyt_eng_199411.gz"
"8031"	"she"	"contends"	" And how did this guideline travesty come about? Simply, she contends, because of the election of Democrat Bill Clinton, which among other things let loose the PC hounds across the land. </P> "	"nyt_eng_199411.gz"
"8033"	"she"	"contends"	" And how did this guideline travesty come about? Simply, she contends, because of the election of Democrat Bill Clinton, which among other things let loose the PC hounds across the land. </P> "	"nyt_eng_199411.gz"
"8069"	"she"	"contends"	" And how did this guideline travesty come about? Simply, she contends, because of the election of Democrat Bill Clinton, which among other things let loose the PC hounds across the land. </P> "	"nyt_eng_199411.gz"
"8073"	"she"	"contends"	" And how did this guideline travesty come about? Simply, she contends, because of the election of Democrat Bill Clinton, which among other things let loose the PC hounds across the land. </P> "	"nyt_eng_199411.gz"
"9201"	"he"	"contends"	" The University of Florida's Fullerton contends the treat is a perfect fit for the U.S. economy, which has shifted from smokestack manufacturing to a more high-tech, service economy. Protectionism, he contends, delays the evolution of industry and helps a few businesses at the expense of consumers. </P> "	"nyt_eng_199411.gz"
"9378"	"she"	"contends"	" Small surprise, then, that in delivering the Charles Eliot Norton Lecture series this semester at Harvard University, Ms. Gordimer, a 70-year-old South African, is again combining political commitment with literary insight to focus on Naguib Mahfouz, Chinua Achebe and Amos Oz -- ``absolutely wonderful writers'' of the developing world who, she contends, have been virtually shut out of Western literary discourse. </P> "	"nyt_eng_199411.gz"
"9763"	"he"	"contends"	" C. Fred Bergsten, the president of the Institute for International Economics and a key participant in the past two Asian economic summits, argues that regional agreements, as long as they do not create warring trading blocs, can speed overall change: If Europe sees the Asians and the United States sign a regional economic agreement, ``it is likely to want to match or better the terms.'' Fear of a closer alliance between the United States and the Pacific nations, he contends, was a major factor in persuading European countries to finish long-stalled negotiations on GATT last year. </P> "	"nyt_eng_199412.gz"
"9912"	"he"	"contends"	" He believes the rise in reported ``Marian apparitions'' is part of ``a need for simple answers to complex questions,'' which also partly explains, he contends, the phenomenal success of radio commentator Rush Limbaugh. </P> "	"nyt_eng_199412.gz"
"10372"	"he"	"contends"	" ``I have been left with a $10,000 water bill by tenants, unpaid rent and other bad debts that I just had to cover,'' he said. The risk in this tenuous marriage, he contends, is mutual. </P> "	"nyt_eng_199412.gz"
"10798"	"he"	"contends"	" Beyond Gingrich's own re-election committee, the centerpiece of Newt Inc. is Gopac, the big political action committee Gingrich has used to recruit, train, and finance Republican House candidates. Many lawmakers maintain such ``leadership'' PACs. But Gingrich has relied on a uniquely goofy rationale to shield his PAC from reporting fully to the Federal Election Commission. Gopac, he contends, is required to reveal only a handful of its donors because only 10 percent of its budget goes directly to federal candidates. </P> "	"nyt_eng_199412.gz"
"11022"	"he"	"contends"	" The specs, he contends, were nearly useless. ``You could never figure out from reading the batch records how to make Brompheril,'' said Nolette. Why does he think the company ignored his complaint? ``The people at Copley were great but the company grew so fast and the money was so good, that management didn't want to put the brakes on to take care of some important things,'' he said. </P> "	"nyt_eng_199412.gz"
"12012"	"he"	"contends"	" Democracy in Germany, he contends, ``can't be guaranteed until Jews again become an active part of our national existence, as they are in other democracies.'' </P> "	"nyt_eng_199501.gz"
"13167"	"he"	"contends"	" Those problems, he contends, are beginning to show. </P> "	"nyt_eng_199501.gz"
"13539"	"he"	"contends"	" Instead, he contends, American policy shifted, largely under the influence of the president's old congressional mentor James Byrnes, the secretary of state, who wanted to block Russia from moving into northern China and to deliver a warning for the future with the bomb. </P> "	"nyt_eng_199501.gz"
"14062"	"he"	"contends"	" For one thing, he contends, you won't always need a computer to get around. Goodman believes that, in the future, the vehicle of choice will be a two-way television set or a tiny personal digital assistant. </P> "	"nyt_eng_199502.gz"
"15907"	"he"	"contends"	" In 14 years at Smith Barney, Michael R. Lissack earned millions of dollars. He advised local governments on bond issues worth tens of billions. And, he contends, he helped Wall Street line its pockets at the expense of taxpayers. </P> "	"nyt_eng_199503.gz"
