"pronoun"	"verb"	"context"	"filename"
"112"	"she"	"continued"	" A limit, she continued, should also be placed on how far back in time a search can go. Otherwise, she warned, an inordinate number of staff hours could be consumed pulling out decades of board minutes. </P> "	"nyt_eng_199407.gz"
"371"	"he"	"continued"	" At whatever site was to be chosen, he continued, the Haitians would be supervised by U.N. troops. The role of the United States, as he described it, would be to guarantee both the cost of the operation and payment for any damages done to Panamanian property. </P> "	"nyt_eng_199407.gz"
"857"	"he"	"continued"	" ``Preventive detention must go back to being an exceptional measure,'' Berlusconi said. Italy, he continued, ``has got to be stopped from becoming a police state.'' </P> "	"nyt_eng_199407.gz"
"1067"	"he"	"continued"	" Conti, who rides for the Lampre team, was ecstatic about his performance. ``It's a great victory for me, the greatest of my career,'' he said. Nevertheless, he continued, he knows that he is a support rider and will return to that role, working for the team and not himself, in the mountainous days to come. </P> "	"nyt_eng_199407.gz"
"1737"	"he"	"continued"	" ``Organizations guided by strategic intent,'' Linder's memo stated, ``precipitate both cognitive and emotional shifts by creating a sense of urgency or quasi crisis.'' Such crises, he continued, ``amplify weak signals in an environment that point up the need to improve, instead of allowing inaction to precipitate a real crisis.'' </P> "	"nyt_eng_199407.gz"
"1986"	"he"	"continued"	" South Africa, he continued, is neither fish nor fowl; it does not fit the profile of other emerging economies, but neither does it have the skills and industrial technology base to compete with developed countries. </P> "	"nyt_eng_199408.gz"
"2944"	"he"	"continued"	" But, he continued, ``the various ornamental Oriental cherries do not have harmful twigs or foliage.'' These important and valuable ornamentals, which include the many popular varieties of Prunus sargentii, P. serrulata and P. subhirtella, ``pose no danger whatsoever,'' he said. </P> "	"nyt_eng_199408.gz"
"3498"	"he"	"continued"	" The game plan now, he continued, is to wait and see if the most desperate Cubans, aware now that Clinton will not permit them to enter the United States, will remain home and work for Castro's removal. </P> "	"nyt_eng_199408.gz"
"3537"	"he"	"continued"	" The Fed, Fine said, believes that the economy's maximum noninflationary growth rate in the long run is 2.5 percent, so, he continued, it is unlikely to change policy until it sees growth near or below that level. </P> "	"nyt_eng_199408.gz"
"3606"	"he"	"continued"	" W.J. Nolan might go to the floor of the New York Stock Exchange, he continued, and pay 99 cents on the dollar for a bond and then sell it to the customer at 100 cents on the dollar. So the brokerage firm's profit is ``already in it,'' he said. </P> "	"nyt_eng_199408.gz"
"3648"	"he"	"continued"	" W.J. Nolan might go to the floor of the New York Stock Exchange, he continued, and pay 99 cents on the dollar for a bond and then sell it to the customer at 100 cents on the dollar. So the brokerage firm's profit is ``already in it,'' he said. </P> "	"nyt_eng_199408.gz"
"4963"	"she"	"continued"	" The magazine article, she continued, approvingly described how the siblings involved fell into a sharp competition to buy the most extravagant urn. </P> "	"nyt_eng_199409.gz"
"5095"	"he"	"continued"	" The citrus department has already ``asked Saatchi to conceptually explore some ideas'' for additional infomercials, he continued, ``though we're not committed to anything until we evaluate this one.'' </P> "	"nyt_eng_199409.gz"
"5147"	"she"	"continued"	" The results of the survey, which is being conducted by Ketchum Public Relations in Pittsburgh, will be released next week, she continued, adding, ``The whole idea is, `Can we seize the opportunity and do something really positive for the brand?' '' </P> "	"nyt_eng_199409.gz"
"5333"	"she"	"continued"	" The stock, she continued, trades at a significant discount to competitors, and she estimates that Vitalink will earn 80 cents a share in fiscal 1995, a 21 percent increase over the 66 cents a share reported for 1994. The stock, which went public at $17, closed on Friday at $12.50 on Nasdaq. </P> "	"nyt_eng_199409.gz"
"5640"	"she"	"continued"	" When the youth was on the other side of the fence, she continued, ``Johnson turned and pointed the gun at Officer Rodriguez, who fired one time.'' Rodriguez, 23, has been with the department for three years, she said. </P> "	"nyt_eng_199409.gz"
"6007"	"he"	"continued"	" ``We deplore the incident that happened yesterday,'' he said. ``That was a stupid incident and will not happen again.'' To bring peace to Haiti, he continued, ``the only solution is the return of Aristide.'' </P> "	"nyt_eng_199410.gz"
"6077"	"he"	"continued"	" But the real test is not age, he said. Before children are left by themselves for any period of time, he continued, parents should discuss hypothetical situations -- a fire, a burglar, an accident, a threatening sound -- and ask their children what they would do. </P> "	"nyt_eng_199410.gz"
