"pronoun"	"verb"	"context"	"filename"
"1796"	"he"	"continues"	" The 18-room house interested so many townspeople, he continues, because it is certainly one of the grandest of this sailing village's handful of grand houses, and it possesses the most commanding location -- an acre and a half on a rise at the top of South Main Street. Its wide columned porch, added in 1859, boasts rare tulip capitals. </P> "	"nyt_eng_199407.gz"
"3000"	"he"	"continues"	" In ``The Great Chile Book'' (Ten Speed Press, $14.95), food-historian and restaurateur Mark Miller notes that chiles tend to be most popular in steamy locales. Perhaps, he continues, ``this is because their stimulating qualities raise the heart rate and induce the process of sweating, which is a natural form of air conditioning!'' </P> "	"nyt_eng_199408.gz"
"5626"	"she"	"continues"	" Worse, she continues, his television attacks on her constitute ``character assassination, distortion and just plain outright lies.'' </P> "	"nyt_eng_199409.gz"
"7661"	"he"	"continues"	" ``If you can't appeal to managed care providers, you will not be in business,'' Scott warned his Tampa listeners. Hospitals like his, he continues, have helped to cut health care inflation from the double digits to 4.7 percent. </P> "	"nyt_eng_199410.gz"
"12538"	"he"	"continues"	" With the New Deal, he continues, ``statutes began to dominate the legal landscape, providing job relief, welfare programs and Social Security; agencies like the Securities and Exchange Commission were created as part of a broad plan to regulate the economy.'' </P> "	"nyt_eng_199501.gz"
"12539"	"he"	"continues"	" But in the 1950s, he continues, ``the abuses of McCarthyism and civil rights violations in the South had led ... to a heightened distrust of government officials'' that developed ``overpowering momentum during the counterculture revolution'' in the 1960s. </P> "	"nyt_eng_199501.gz"
"13067"	"it"	"continues"	" -30- </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950125.0160 type=multi > <DATELINE> JERUSALEM (NYT)  (BC-WORLD-BRIEFS-NYT) </DATELINE> <TEXT> Hoping to dispel widespread confusion over its policy on settlements, the Israeli government approved plans Wednesday for at least 2,200 new West Bank apartments this year near Jerusalem, but said it would slow the pace of construction.   Whether confusion had ended was not clear.   On one hand, the Labor-led government says its wants to curtail the expansion of settlements championed by its Likud predecessor. But on the other, it continues, as it did Wednesday, to accept new building in and around sensitive areas like Jerusalem and the Jordan Valley, albeit not nearly to the extent that settler groups would like.   Palestinians expressed anger that construction of any kind would continue in West Bank areas that Israelis claim as ``Greater Jerusalem'' but that Palestinians say belong to them for their hoped-for future state. Settler leaders and the Likud-led political opposition were also displeased, complaining that the government had yielded to PLO pressure and set aside original plans for several thousand more housing units.   KOBE, Japan (NYT) -- In a neighborhood where hearses and teetering buildings underscore the devastation of last week's great earthquake, the Army has set up special tents that for many residents were the key landmark in the restoration of vital services.   The tents contain public baths -- Japanese are among the most scrubbed humans on earth, and its Army may be the only one around that travels with steaming communal baths -- and the thrill the baths aroused illustrates the way Kobe and its neighboring cities are beginning the slog back to normality after the earthquake.   Estimates of the damage caused by the quake are rising steadily and now often exceed $100 billion, one of the largest construction bills in world history. The transport ministry said that the costs of repairing railroads alone will be about $40 billion, but whatever the cost the work is proceeding.   Stores are reopening, some schools are summoning students to class, and every day more families are getting back their telephone lines and electrical connections. Demolition experts are tearing down teetering buildings, and rail service is steadily being extended closer to Kobe.   BERLIN (NYT) -- In an unusually blunt confession of guilt, Germany's Roman Catholic bishops have asserted that Catholics share responsibility for the Nazi Holocaust.   The bishops deplored the failure of German Catholics to act against Nazism, and asserted that they now bear a special responsibility to speak out against anti-Semitism.   ''The denial and guilt that was prevalent in those days also came from the church,'' the bishops said in a statement. ``During the period of the Third Reich, Christians did not carry out the required resistance to racist anti-Semitism.''   Christian and Jewish leaders welcomed the bishops' statement, which was issued in advance of Friday's 50th anniversary of the liberation of the Auschwitz concentration camp.   CRACOW, Poland (NYT) -- On the eve of commemoration ceremonies to mark the 50th anniversary of the liberation of the Auschwitz death camp, two public opinion surveys suggest that the Polish people underestimate the extent of Jewish suffering in Poland at the hands of the Nazis while stressing their own afflictions.   The results of one poll, released here wednesday by the American Jewish Committee, show that 40 percent of Poles believe the Jews and Poles suffered about equally from Nazi persecution during World War 11 and that only 29 percent believed Jews suffered more.   Another survey, taken for the Polish President Lech Walesa and released Monday, showed a much larger gap with 47 percent of Poles saying Auschwitz was a place primarily of Polish martyrdom with only 8 percent believing it was a site primarily of Jewish death.   The poll results explain a great deal about why the nature of the services in memory of the estimated 1.5 million victims at Auschwitz, about 90 percent of whom were Jewish, have become so contentious, experts on Jewish-Polish relations said.   ROME (NYT) -- Lamberto Dini, Italy's new prime minister, Wednesday won his first confidence vote in Parliament, thanks to the mass abstention by deputies from the center-right coalition led by his predecessor, Silvio Berlusconi.   The 270 abstentions in the Parliament's 630-seat lower chamber allowed the new government to win with a technical majority with 302 ''yes'' votes - a number that fell far short of the broad mandate Dini had sought, and will probably need, as he pushes through a four-point program of economic and political reform.   By withholding its votes, the Freedom Alliance - the coalition which won Italy's elections last spring - put Dini on notice that it keep up the pressure for another round of parliamentary elections, as early as June if Berlusconi has his way.   UNITED NATIONS (NYT) -- A treaty that has limited the spread of nuclear weapons for a quarter of a century is under fire this week as United States negotiators battle influential nonnuclear nations threatening to block an indefinite extension of the pact.   The nuclear accord, known as the Non-Proliferation Treaty, which was signed in 1968 and put into effect two years later, is up for renewal at an international conference beginning in April. This week, representatives of 168 nations who are party to the accord are meeting to establish the ground rules for that crucial conference and to lobby for the treaty's extension or some alternative action.   ``We have one chance -- the only chance -- to make this treaty permanent,'' Thomas Graham, leader of the American team, told reporters on Tuesday. ``It is imporant to remove any doubt about the health of the N.P.T., that it is not going to go away some day.''   MEXICO CITY (NYT) -- Generous though it might sound, an American plan to rescue Mexico's economy with $40 billion of loan guarantees has sparked growing opposition from Mexicans who say it could jeopardize their country's independence without solving its problems.   The terms under which the United States might provide the loan guarantees have yet to be fully decided. Congressional hearings on the issue only began in Washington Wednesday, and American officials say it may take more bargaining to overcome the opposition of legislators in both parties.   But the concessions proposed for the package by American congressmen touch on some of the issues dearest to Mexico's nationalistic heart: control over the oil industry; illegal migration to the United States; the country's traditionally warm relations with the Communist government of Cuba.  </TEXT> </DOC> <DOC id=NYT_ENG_19950125.0161 type=story > <HEADLINE> CONGRESSIONAL STAFFERS PREDICT MEDICARE CUTS </HEADLINE> <DATELINE> WASHINGTON  (BC-MEDICARE-440&AMP;add-COX) </DATELINE> <TEXT> "	"nyt_eng_199501.gz"
"13092"	"it"	"continues"	" On one hand, the Labor-led government says it wants to curtail the expansion of settlements championed by its Likud predecessor. But on the other, it continues, as it did Wednesday, to accept new building in and around sensitive areas like Jerusalem and the Jordan Valley, albeit not nearly to the extent that settler groups would like. </P> "	"nyt_eng_199501.gz"
"14698"	"he"	"continues"	" Pepin knows he tells a good story. De Gaulle, he continues, liked to eat the minute he sat down at the table. ``And he loved souffles. So one souffle was always in the oven on its way up. Another was on its way down. Yet another was on its way out.'' </P> "	"nyt_eng_199502.gz"
"15230"	"he"	"continues"	" In fact, he continues, ``in this era of media and the cult of personality, we know too much about everyone.'' Silver says he particularly resents the fact that his plays are often thought to be autobiographical. </P> "	"nyt_eng_199502.gz"
