"pronoun"	"verb"	"context"	"filename"
"921"	"she"	"could"	" ``I think if anybody could, she could,'' said McClain. ``She gets tired from the travel and likes to come home and just go in her room for a while. </P> "	"nyt_eng_199407.gz"
"995"	"I"	"could"	" And without wearing out my car, I could, if I wanted to, visit such places as Tightwad, Mo.; Kismet, Kan.; McCool Junction, Neb., and Flippin, Ark. The question, however, is why I should have to go past 108 Mount Pleasants, 106 Riversides and 98 New Hopes to do it. </P> "	"nyt_eng_199407.gz"
"1704"	"they"	"could"	" A. No. They are all radio-controlled, like hobbyists who drive radio-controlled cars and fly radio-controlled planes. If people want to put in an on-board computer, they could, but that would make them that much more vulnerable. It's a mechanical sporting event. </P> "	"nyt_eng_199407.gz"
"1821"	"they"	"could"	" A. No. They are all radio-controlled, like hobbyists who drive radio-controlled cars and fly radio-controlled planes. If people want to put in an on-board computer, they could, but that would make them that much more vulnerable. It's a mechanical sporting event. </P> "	"nyt_eng_199407.gz"
"2818"	"I"	"could"	" Ausanio said: ``Watching him sit there, struggling for his life every day and not know what he's struggling for ... that made me stronger. If he could make it, I could, you know?'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940815.0349 type=story > <HEADLINE> WHO'S THAT? COMMON QUESTION AT VOLVO TOURNEY </HEADLINE> <DATELINE> NEW HAVEN, Conn.  (BC-TEN-VOLVO-NYT) </DATELINE> <TEXT> "	"nyt_eng_199408.gz"
"2826"	"I"	"could"	" Ausanio said: ``Watching him sit there, struggling for his life every day and not know what he's struggling for ... that made me stronger. If he could make it, I could, you know?'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940815.0373 type=story > <HEADLINE> EDITORIAL: THE SENATE HELPS ON BOSNIA </HEADLINE> <DATELINE>  (BC-EDIT-U.S.-BOSNIA-NYT) </DATELINE> <TEXT> "	"nyt_eng_199408.gz"
"3751"	"it"	"could"	" Everybody has fears about health care reform. More than a few of us fear that after it, we'll be worse off than we are now. In a worst case scenario, what's wrong will become worse, what we hate will become the norm, nothing will improve and it will all cost more than it does now. (Yes, it could, too.) </P> "	"nyt_eng_199408.gz"
"5259"	"he"	"could"	" ``There is compartmentalized information, but finally, someone has to have all of it,'' he said. ``If the producer wanted to be foolish enough, he could, probably by dint of great intrigue, give someone the answers. </P> "	"nyt_eng_199409.gz"
"7178"	"he"	"could"	" Actually, he could, he said in a telephone interview last week. ``The reason I think I can get one in 50 and probably one in 20 of my neighbors to buy is almost entirely environmental,'' he explained. ``Someone speculated that about 1 percent of Americans are eco-fanatics but that in Vermont the percentage is more like 20.'' </P> "	"nyt_eng_199410.gz"
"7291"	"he"	"could"	" Actually, he could, he said in a telephone interview last week. ``The reason I think I can get one in 50 and probably one in 20 of my neighbors to buy is almost entirely environmental,'' he explained. ``Someone speculated that about 1 percent of Americans are eco-fanatics but that in Vermont the percentage is more like 20.'' </P> "	"nyt_eng_199410.gz"
"8860"	"I"	"could"	" Another drawback to this city life is that I can't burn the leaves. Oh, I could, and many city dwellers do, but it is rather tacky. I will drive home and see this haze hovering along our street, the result of someone burning leaves maybe a half-mile away. It seems rather inconsiderate to force everyone in a half-mile radius to stay indoors and to keep all their windows shut so that you can set a match to a pile of oak leaves that will smolder for about a week. </P> "	"nyt_eng_199411.gz"
"10010"	"they"	"could"	" ``I think Garcia Abrego's right there in Monterrey. Between Monterey and Veracruz. And I suspect everyone knows where he is within the intelligence circles of the PGR (Attorney General's office) and Gobernacion (Interior Ministry). If they wanted to get him on the phone this afternoon, they could,'' he said. </P> "	"nyt_eng_199412.gz"
"10812"	"he"	"could"	" ``If he wanted to, he could,'' said Dead spokesman Dennis McNally. ``The Grateful Dead, without exception, thinks the world of Branford Marsalis, both as a musician and a person. It sounds like one of those fabulous ideas that may or may not happen. It would not be hard for him to do if he wanted to.'' </P> "	"nyt_eng_199412.gz"
"22127"	"you"	"could"	" ``Yes, you could,'' she said. ``And you'd probably get pretty good odds on it too.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950513.0225 type=story > <HEADLINE> POLS AND TIX AS USUAL </HEADLINE> <DATELINE> BOSTON (BC-OLY-OLYMPICNOTES-BOS) </DATELINE> <TEXT> "	"nyt_eng_199505.gz"
"23598"	"we"	"could"	" ``But with the new drugs coming out, we could, in the foreseeable future, arrive at a point at which osteoporosis is no longer a public health menace.'' </P> "	"nyt_eng_199505.gz"
"24753"	"I"	"could"	" ``I figured if the cows could live off it, I could,'' he later explained. The cows in the rocky pasture near his hiding place were a nuisance. </P> "	"nyt_eng_199506.gz"
"24900"	"I"	"could"	" ``I figured if the cows could live off it, I could,'' he later explained. The cows in the rocky pasture near his hiding place were a nuisance. </P> "	"nyt_eng_199506.gz"
"26016"	"he"	"could"	" ``If Clinton really wanted to settle on this, he could, but if he doesn't settle before Wednesday,'' DeMuth added, ``it will be because he chose to take the political way out _ not the sensible way.'' </P> "	"nyt_eng_199506.gz"
