"pronoun"	"verb"	"context"	"filename"
"334"	"you"	"couldn't"	" ``If you wanted to wear somethin' to cover them up, you couldn't,'' explains Fusco, who wears a long, thin ponytail down his back. ``You don't need to be a spectacle all of the time.'' </P> "	"nyt_eng_199407.gz"
"16517"	"they"	"couldn't"	" Second is that their promise was only to bring the issues to a vote, to draw a sharp contrast with Democrats who had buried them for years. They never promised passage; indeed, they couldn't, since constitutional items require two-third majorities and Democratic votes. </P> "	"nyt_eng_199503.gz"
"16518"	"they"	"couldn't"	" Second is that their promise was only to bring the issues to a vote, to draw a sharp contrast with Democrats who had buried them for years. They never promised passage; indeed, they couldn't, since constitutional items require two-third majorities and Democratic votes. </P> "	"nyt_eng_199503.gz"
"16528"	"they"	"couldn't"	" Second is that their promise was only to bring the issues to a vote, to draw a sharp contrast with Democrats who had buried them for years. They never promised passage; indeed, they couldn't, since constitutional items require two-third majorities and Democratic votes. </P> "	"nyt_eng_199503.gz"
"30250"	"they"	"couldn't"	" ``When the authorities asked the workers to open the doors, they couldn't,'' she said. ``They were locked from the outside. The police had to ax down each door. Everyone was shocked and terrified.'' </P> "	"nyt_eng_199508.gz"
"39124"	"I"	"couldn't"	" ``It was so strange because whenever I tried to wake up, I couldn't,'' he said. ``I was so drugged, I kept going back to sleep, and the first couple of days, I was really sluggish.'' </P> "	"nyt_eng_199511.gz"
"40142"	"you"	"couldn't"	" ``You could travel this road year-round, whereas the others, you couldn't,'' said John Laird, historian and curator at the Gila Bend Museum. ``The Santa Fe and the Oregon trails got snowed in in the winter.'' </P> "	"nyt_eng_199511.gz"
"40378"	"you"	"couldn't"	" ``You could travel this road year-round, whereas the others, you couldn't,'' said John Laird, historian and curator at the Gila Bend Museum. ``The Santa Fe and the Oregon trails got snowed in in the winter.'' </P> "	"nyt_eng_199511.gz"
"43493"	"I"	"couldn't"	" ``No, I couldn't,'' he said. ``I was never a top player. I could never get away with it. I wasn't that stupid.'' </P> "	"nyt_eng_199512.gz"
"45836"	"you"	"couldn't"	" ``No, you couldn't,'' he said. ``And even if you did, who'd believe you?'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960118.0578 type=multi > <DATELINE>  (BC-LEAH-PERSONALS-SFCHRON) </DATELINE> <TEXT> (Eds: This story also moved in the ``a'' national news file) By LEAH GARCHIK c.1996 San Francisco Chronicle  EVERY DAY IS LADIES' DAY AROUND HERE  One Woman's Confession No. 23B  ``I was obsessively addicted to exercise.''  _ Abdominal crunch mogul Jane Fonda, recovering also from addictions to bulimia, yo-yo dieting, breast implants, leftism, feminism, marriages Nos. 1 and 2, being a movie star and being a movie star's daughter, in Good Housekeeping magazine.  What Do Women Want?  Barry Novack, a Beverly Hills cosmetic surgeon, appeared on ``Extra'' and revealed that his most popular request is from the nasally disadvantaged, who ask for the nose of Sharon Stone. ``It isn't too small,'' said the doctor, ``but just very, very classic.''  Among the other sought-after body parts were the lips of Uma Thurman, the breasts of Cindy Crawford and the hindquarters of Vendela.  They're Still Not Satisfied?  ``Does pink make you puke?'' asks the ad for Urban Decay, a kind of Elizabeth Arden for the tattooed and nose-ringed. The Southern California company has a new line of lipstick and nail polish in ``alternative colors'' that ``rattle the notion of what beauty is'' and offer the wearer ``a chance to be at one with the streets.''  The palette:  The polish comes in Oil Slick (black base with a rainbow sheen), Plague (rich violet with a blue sheen); Roach (dark brown with a golden sheen); Smog (deep olive with a copper sheen); Mildew (vibrant green muted with a brownish gold sheen); Frostbite (deep blue-black with a rich blue sheen); Radium (brilliant blue with a blue sheen); UV-B (soft blue base with a lavender sheen); Pallor (light gray-green base with a flesh-colored sheen); Uzi (dark gunmetal); Bruise (reddish purple with a green sheen); Ozone (a quick-drying protective finish).  The lipstick colors are similar to the nail polishes, with the addition of Asphyxia (lavender with a blue sheen). More information is available from (800) 784-URBAN.  P.S. In Canada, Brazil, Australia, New Zealand and France, Avon has struck a deal for its ladies to sell subscriptions to the Reader's Digest along with lipsticks and hand lotion.  Ladies, Start Your Engines  Attempting to simulate the talons of manicured women, male interior designers wore paper clips on their fingers when they designed dashboard buttons for the 1996 Ford Taurus and Cadillac Catera.  According to Life magazine _ the whole of the latest issue is about America's passion for the automobile _ more than half the car-buyers in the U.S. are women. Manufacturers trying to figure out what the heck those ladies want have come up with lumbar support for the pregnant, smooth upholstery designed to be kind to pantyhose and ``crowned'' buttons for those dashboards. Ford designer Nevenka Schumaker says that new cars' ``soft, swoopy'' shapes are supposed to be appealing to females.  Drag racer Shelly Anderson says that the Dodge Neon, Toyota Camry and Mercedes 190 appeal to women; the Porsche 911, Corvette and Lexus 400 are appealing to men.  Meanwhile, the latest version of Gallup's annual survey has found that the only profession rated less favorably than members of Congress is car salesmen.  Gender Issues  _ In celebration of the grand opening of its Atherton, Calif., office, the New Hair Institute of Los Angeles has invited the media to an open house during which ``our medical team will be performing a live hair transplant procedure. ... not to mention we will be serving great food, too.''  _ Cosmopolitan magazine has named Bonnie Fuller heir apparent to Helen Gurley Brown, who has been editor of the magazine since 1965.  Brown, who will show Fuller the ropes for a year and a half before leaving the helm of the magazine, said that her successor, former editor of Marie Claire and YM, ``thoroughly understands the Cosmo girl.''  WHO SAID WHAT  ``My husband and I had a very romantic liaison after a dish of your Hot and Sweet Cran-Apple Crumble a la Mode.''  _ Letter from a New Jersey reader to Gail Hobbs, editor of the newsletter A Sizzling Affair with the Passionate Gourmet. Readers interested in apples, cranberries or romantic liaisons can learn more about this publication by writing to Gold Coast Press, 4360 East Main Street, Ventura, Calif. 93003. </TEXT> </DOC> <DOC id=NYT_ENG_19960118.0579 type=story > <HEADLINE> BODY OF KIDNAPPED TEXAS GIRL FOUND </HEADLINE> <DATELINE> DALLAS (BC-KIDNAPPED-GIRL-NYT) </DATELINE> <TEXT> "	"nyt_eng_199601.gz"
