"pronoun"	"verb"	"context"	"filename"
"9446"	"he"	"cried"	" My own favorite anecdote stars an apparently normal high school student. Amazed to hear a graybeard refer to the First World War, he cried, ``I never knew there was a First World War!'' </P> "	"nyt_eng_199411.gz"
"10380"	"they"	"cried"	" ``When the woman gave them the money and told them it was from Diobelys, they cried,'' said Julio Martinez, who is a principal of Mundo Promotions, which is promoting Hurtado's professional debut Friday. ``They wished they had him back, but they understand what he is doing.'' </P> "	"nyt_eng_199412.gz"
"10507"	"she"	"cried"	" Next Badham came to a woman hanging upside still strapped in her seat. As she came in and out of consciousness, she cried, ``Let me, let me, let me out of here,'' Badham said. </P> "	"nyt_eng_199412.gz"
"10686"	"she"	"cried"	" As the town's women learned of the girl's unhappiness, more rag dolls appeared in the big house. There were large dolls and small dolls, fat dolls and skinny dolls, store-bought and homemade dolls, rag dolls dressed as clowns and scarecrows and rag dolls in tiny delicate handstitched gowns and bonnets. Lupe rejected every one. None, she cried, was her doll. </P> "	"nyt_eng_199412.gz"
"10711"	"she"	"cried"	" As the town's women learned of the girl's unhappiness, more rag dolls appeared in the big house. There were large dolls and small dolls, fat dolls and skinny dolls, store-bought and homemade dolls, rag dolls dressed as clowns and scarecrows and rag dolls in tiny delicate handstitched gowns and bonnets. Lupe rejected every one. None, she cried, was her doll. </P> "	"nyt_eng_199412.gz"
"23058"	"he"	"cried"	" ``His dad told me when he went to the airport, he cried,'' Mondesi said. ``It was hard for him.'' </P> "	"nyt_eng_199505.gz"
"26604"	"she"	"cried"	" The teacher was beaten and her glasses flew off her face. With blood running down her face, she cried, begging Min to tell the truth. Min looked away. </P> "	"nyt_eng_199506.gz"
"29746"	"I"	"cried"	" ``I can't,'' he explained, two words I didn't have to write down to recall. At that, in fact, I cried, leaning against a phone pole, feeling its splinters dig into my arm. I cried all the way across town, too, driving to the park where Megan's killer had hidden her body in some high weeds. There were softball games being played in the twilight, and purple balloons to mark a family picnic. It was a beautiful scene, and so terribly wrong. </P> "	"nyt_eng_199508.gz"
"42704"	"she"	"cried"	" Their congratulatory mood didn't last. When their older daughter got wind of the plan, she cried, ``You're rushing us through Chanukah! This proves you don't even really care about it!'' She directed her anger at her Catholic father, although the idea originated with her Jewish mother. The outburst stunned both parents, not just because she pitted them against each other, but because her anger was so close to the surface. </P> "	"nyt_eng_199512.gz"
"47758"	"I"	"cried"	" But don't we love the idea. When the very first such article appeared awhile back in one of the news magazines, I cried, ``Hear, hear. This is what I've been searching for all along. The simple life. Now it's chic, now it can be mine.'' </P> "	"nyt_eng_199602.gz"
"53766"	"we"	"cried"	" ``We laughed, we cried,'' Nava said. ``They were open about everything and very honest. I'm very grateful to them. They've been totally unbelievable through it all.'' </P> "	"nyt_eng_199603.gz"
"53935"	"we"	"cried"	" ``We laughed, we cried,'' Nava said. ``They were open about everything and very honest. I'm very grateful to them. They've been totally unbelievable through it all.'' </P> "	"nyt_eng_199604.gz"
"69054"	"I"	"cried"	" There was no way out. I could not stop the throbbing moonlight. I COULD NOT STOP THE THROBBING MOONLIGHT! On and on it shone, piercing my mind like that Jimi Hendrix song, ``Purple Haze.'' Louder and louder. It's the bells, I cried, those sickening bells. STOP THE BELLS! ARRRGGGHHH! </P> "	"nyt_eng_199608.gz"
"69189"	"I"	"cried"	" There was no way out. I could not stop the throbbing moonlight. I COULD NOT STOP THE THROBBING MOONLIGHT! On and on it shone, piercing my mind like that Jimi Hendrix song, ``Purple Haze.'' Louder and louder. It's the bells, I cried, those sickening bells. STOP THE BELLS! ARRRGGGHHH! </P> "	"nyt_eng_199608.gz"
"72938"	"he"	"cried"	" Driving home after doctors found the cancerous lump in his neck in 1993, he cried, for himself and for trying to figure how he could tell his wife that, of all the people in the world, Mario Lemieux had cancer. </P> "	"nyt_eng_199609.gz"
"73010"	"he"	"cried"	" Driving home after doctors found the cancerous lump in his neck in 1993, he cried, for himself and for trying to figure how he could tell his wife that, of all the people in the world, Mario Lemieux had cancer. </P> "	"nyt_eng_199609.gz"
"76332"	"they"	"cried"	" And yet to watch these girls perform during the Olympics was to be ground down by nervousness. They fell, they stepped out of bounds, they cried, they hurt themselves, they cried and they almost never, ever smiled. It was painful to watch. </P> "	"nyt_eng_199610.gz"
"76334"	"they"	"cried"	" And yet to watch these girls perform during the Olympics was to be ground down by nervousness. They fell, they stepped out of bounds, they cried, they hurt themselves, they cried and they almost never, ever smiled. It was painful to watch. </P> "	"nyt_eng_199610.gz"
"88923"	"I"	"cried"	" This definitely beats, ``I laughed, I cried, I haven't had this much fun since `The Red Shoes.' '' The show starts previews on Thursday at the Longacre Theater. </P> "	"nyt_eng_199703.gz"
"89469"	"I"	"cried"	" ``There was a woman at the mall a few weeks ago. I was buying something at the counter and I paid with a check. And when she saw my name on the driver's license, she came back and said, `I knew that I knew you. And I saw you on television.' And she said, `I just have to give you a big hug.' And she hugged me and said, `Everything's going to work out and I feel for you.' Oh, I cried, you know. And what can you do with support like that from a stranger?'' </P> "	"nyt_eng_200103.gz"
"89472"	"I"	"cried"	" ``There was a woman at the mall a few weeks ago. I was buying something at the counter and I paid with a check. And when she saw my name on the driver's license, she came back and said, `I knew that I knew you. And I saw you on television.' And she said, `I just have to give you a big hug.' And she hugged me and said, `Everything's going to work out and I feel for you.' Oh, I cried, you know. And what can you do with support like that from a stranger?'' </P> "	"nyt_eng_200103.gz"
"98882"	"I"	"cried"	" So I bought the sardines, along with coffee and sweet bread (one of their favorite breakfasts), ingredients for tortillas and spices for guisos, or stews. As I took a large photo of my father from a shelf in my living room, I realized that I had no photographs displayed of my mother. Although she was never a woman who needed tangible objects to define her, I decided to remedy this. As I framed a black-and-white photo of her, memories crowded close: gathering mint in the back yard for her iced tea, waking to kitchen sounds, kissing the beauty mark on her cheek. Trying _ and failing _ to hear the echo of her voice, I cried, confronted again with the enormity of her absence. </P> "	"nyt_eng_200110.gz"
"99700"	"they"	"cried"	" Belching smoke and churning up the road, two armored personnel carriers roared through the central market here this week, prompting young boys to shout with excitement. The tanks, they cried, were off to fight the Taliban. </P> "	"nyt_eng_200111.gz"
"99715"	"they"	"cried"	" Belching smoke and churning up the road, two armored personnel carriers roared through the central market here this week, prompting young boys to shout with excitement. The tanks, they cried, were off to fight the Taliban. </P> "	"nyt_eng_200111.gz"
"110494"	"she"	"cried"	" From the first day, Ruiz, 53, distinguished herself as a different kind of lawyer. During her opening statement, she cried, crawled on all fours, writhed on the floor, shouted and whispered in a dramatic reenactment of the attack in which she cast her client as the valiant hero who desperately tried to shield the victim from the dog. </P> "	"nyt_eng_200203.gz"
"111341"	"I"	"cried"	" ``When I heard him say it, I cried,'' says Hazboun, who added that Arafat's use of the word triggered powerful emotions among Palestinians. </P> "	"nyt_eng_200204.gz"
"111419"	"we"	"cried"	" ``We laughed, we cried, we made Jesse Jackson happy,'' is the answering-machine message forBruce Vilanch, maestro of one-liners, ``Hollywood Squares'' regular and head writer for the Oscars, which is the subject of that message. ``It's a reference back to 1996, when Jesse organized a protest at the show,'' he told TIC. ``Of course, he chose the year the show was produced by a black man, Quincy Jones, and hosted by a black woman, Whoopi Goldberg.'' </P> "	"nyt_eng_200204.gz"
"111421"	"we"	"cried"	" ``We laughed, we cried, we made Jesse Jackson happy,'' is the answering-machine message forBruce Vilanch, maestro of one-liners, ``Hollywood Squares'' regular and head writer for the Oscars, which is the subject of that message. ``It's a reference back to 1996, when Jesse organized a protest at the show,'' he told TIC. ``Of course, he chose the year the show was produced by a black man, Quincy Jones, and hosted by a black woman, Whoopi Goldberg.'' </P> "	"nyt_eng_200204.gz"
"112031"	"she"	"cried"	" When I told Susie Bayer that I was hoping to follow her T-shirt to Africa, she cried, ``I know exactly what you're doing!'' As a girl, her favorite movie was ``Tales of Manhattan'' _ the story of a coat that passes from Charles Boyer through a line of other people, bringing tragedy or luck, before finally falling out of the sky with thousands of dollars in the pockets and landing on the dirt plot of a sharecropper played by Paul Robeson. </P> "	"nyt_eng_200204.gz"
"112719"	"I"	"cried"	" ``I laughed, I cried, and, the most magical feeling of all, I glowed while watching.'' _ Thelma Adams, New York Post, on ``The Secret of Roan Inish.'' </P> "	"nyt_eng_200204.gz"
"112720"	"I"	"cried"	" ``I laughed, I cried, I spun the emotional wheel!'' _ Geri Richter Campbell, Jane magazine, on ``Hope Floats'' </P> "	"nyt_eng_200204.gz"
"113713"	"I"	"cried"	" ``I prayed, I cried,'' she said. ``I told him, `Lord, you know I don't need to live like this. Help me to live up to standard.' </P> "	"nyt_eng_200204.gz"
"116065"	"I"	"cried"	" ``When I found out I was having triplets, I cried,'' said Reynolds, who contacted Mothers of Supertwins during pregnancy. ``They helped me understand the differences in having multiples, and someone called me during pregnancy who I could ask questions to, and that was so helpful.'' </P> "	"nyt_eng_200205.gz"
"118987"	"she"	"cried"	" ``Yes, she cried,'' he said shyly. ``It's normal. I was in the film and it is a bit autobiographical.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_20020619.0270 type=story > <HEADLINE> By LEAH GARCHIK </HEADLINE> <DATELINE> There were three beloved stars from Richard Nixon 's enemies list at Moose's lunch Tuesday celebrating the 30th anniversary of the Watergate break-in (BC-LEAH-CROWD-SFCHRON) </DATELINE> <TEXT> "	"nyt_eng_200206.gz"
"120241"	"I"	"cried"	" ``When I first heard about the auction, I cried,'' said Froyen, 62, a retired teacher and resort operator. ``But after being here and talking to the caretakers, I understand the problems they're up against.'' </P> "	"nyt_eng_200207.gz"
"121930"	"I"	"cried"	" ``Why spend so much on a statue to praise people who are already dead?'' she asked. ``I lost a friend there, I cried, I mourned, but that's the past. I think the city should be focusing on all the people who lost their jobs. A lot of people on the Lower East Side lost their jobs, and they have families to support. That's what hurts.'' </P> "	"nyt_eng_200208.gz"
"125169"	"they"	"cried"	" In the week that followed the tragedy last year, people grieved personally, spontaneously. This year they found comfort in numbers. Kansas Citians gathered in churches and schools, parks and fire stations, the Liberty Memorial, and the federal courthouse. They offered prayers, they cried, they remembered. </P> "	"nyt_eng_200209.gz"
"140337"	"she"	"cried"	" What is Mann up to with this odd combination of obfuscation and unblinkingness? Her photographs of the battlefields of Antietam are introduced with a quotation from Walt Whitman's Leaves of Grass in which the Mother of All surveys the battlefield, her gaze desperate on the torn bodies, and then calls upon the earth to do its work: Absorb them well O my earth, she cried, I charge you lose not my sons, lose not an atom. </P> "	"nyt_eng_200407.gz"
"152862"	"he"	"cried"	" This was Selig's official act of surrender to Congress. No mas, he cried, throwing up his hands and demonstrating that he didn't like the public beatings he had taken. In the two months between hearings, the commissioner found religion, and he wanted everyone to hear him declare: I believe. I believe. </P> "	"nyt_eng_200505.gz"
"155663"	"I"	"cried"	" Honestly, I cried, man, Witherspoon says. </P> "	"nyt_eng_200507.gz"
"170306"	"I"	"cried"	" I love it because it's ... very sweet, but the skirt is very modern, said Arenas, who will be married Dec. 2. I like the combination of both things. When I tried it, I cried, so I was sure it was the one. </P> "	"nyt_eng_200608.gz"
"172911"	"I"	"cried"	" Other than that, Borat's bowel-moving journey from the glorious republic of Kazakhstan to the United States -- legendary birthplace of freedom and Pamela Anderson's breast implants -- is very nice by me. I laughed, I cried, I immediately used my cell phone to text protests to the B'nai B'rith, the NAACP and Daughters of the Confederacy. </P> "	"nyt_eng_200611.gz"
