"pronoun"	"verb"	"context"	"filename"
"636"	"I"	"decide"	" I cannot, I decide, leave this place without climbing up to the rooms. So, I drive back down, park the car and start my climb. It's a good path, but steep; the cliffs are more than 6,900 feet above sea level. Ahead of me, two men pause for a breather. </P> "	"nyt_eng_199407.gz"
"5033"	"I"	"decide"	" The more I read the more I wonder how voters in our village would react to a bare-bottomed office seeker. It's time, I decide, for another one of my utterly useless, representative-of-nothing surveys. </P> "	"nyt_eng_199409.gz"
"5038"	"I"	"decide"	" The more I read the more I wonder how voters in our village would react to a bare-bottomed office seeker. It's time, I decide, for another one of my utterly useless, representative-of-nothing surveys. </P> "	"nyt_eng_199409.gz"
"11476"	"I"	"decide"	" Maybe, I decide, this is their Christmas bonus. Maybe they're on their way home to adoring wives and eager offspring. But if they're thinking what I think they're thinking, I hope their garbage grinder runs amuck and their stinkin' wheels fall off. </P> "	"nyt_eng_199501.gz"
"13260"	"they"	"decide"	" After meeting as strangers on a train and clicking, they decide, impulsively, to see just where they might take what seems like a good thing. She lets herself be talked into getting off the train to Paris and stepping with Hawke into the 14-hour window before he must board the plane taking him back to the States. So there's urgency in the situation, but also a measure of tentativeness, and it's given its due in a way you can't imagine a Hollywood studio film allowing. </P> "	"nyt_eng_199501.gz"
"13261"	"they"	"decide"	" After meeting as strangers on a train and clicking, they decide, impulsively, to see just where they might take what seems like a good thing. She lets herself be talked into getting off the train to Paris and stepping with Hawke into the 14-hour window before he must board the plane taking him back to the States. So there's urgency in the situation, but also a measure of tentativeness, and it's given its due in a way you can't imagine a Hollywood studio film allowing. </P> "	"nyt_eng_199501.gz"
"16805"	"I"	"decide"	" There's nothing I can't live with, I decide, unless.... ``I've named him Spot,'' he chortles into the phone. I'm suspicious of the unbridled glee in his voice. </P> "	"nyt_eng_199503.gz"
"18018"	"I"	"decide"	" This is, I decide, a blessing in disguise. If there were California-style freeways here, you'd speed by the beauty, the picture possibilities and the people. </P> "	"nyt_eng_199503.gz"
"41137"	"I"	"decide"	" It's time, I decide, to tell Aunt Betty the story of my favorite photo in our family album. </P> "	"nyt_eng_199511.gz"
"49180"	"I"	"decide"	" Now's the time, I decide, for my favorite question. I've asked it many a time before, but never gotten an answer. ``Can anybody tell me how the government managed to operate before there was such a thing as income tax?'' </P> "	"nyt_eng_199602.gz"
"73184"	"I"	"decide"	" The Green Room is, in fact, jammed with wall-to-wall models, all perfectly coiffed and made up and stick-skinny. I've never felt so fat, middle-aged and homely in my life. Still hungry from our meager, expensive lunch, Katherine and I try to get to the buffet table. But we can't; models are congregated there like hogs at a trough, and they're cramming down deli sandwiches, salads and mixed fruit faster than presidential candidates can churn out campaign promises. Ricki Lake drops by to say hello to everyone. In person she's very short, a little squatty (she tells us she's pregnant) and has, I decide, an exceptionally sweet, friendly smile. </P> "	"nyt_eng_199610.gz"
"76563"	"you"	"decide"	" What Berlinger couldn't say then was that that was the party line from Home Box Office, the film's executive producers, who commissioned the film. ``It was decided by all the powers that be that we should not take any kind of stance and just say that this is a story, we're showing both sides, you decide,'' explained Berlinger. ``That was more or less an HBO-mandated decision and we all agreed to it.'' . . MORE </P> </TEXT> </DOC> <DOC id=NYT_ENG_19961101.0214 type=story > <HEADLINE> AUDIO-BOOKS TELL TALES AT DRIVING SPEED </HEADLINE> <DATELINE>  (BC-ROAD-READING-COX) </DATELINE> <TEXT> "	"nyt_eng_199611.gz"
"77050"	"I"	"decide"	" Time, I decide, to change the subject to something safer and less controversial _ like maybe politics or religion! </P> "	"nyt_eng_199611.gz"
"77200"	"I"	"decide"	" Time, I decide, to change the subject to something safer and less controversial _ like maybe politics or religion! </P> "	"nyt_eng_199611.gz"
"85279"	"I"	"decide"	" Okay. That's it, I decide, kicking back my chair and heading for the loveseat. </P> "	"nyt_eng_199701.gz"
"85432"	"I"	"decide"	" Okay. That's it, I decide, kicking back my chair and heading for the loveseat. </P> "	"nyt_eng_199701.gz"
"112818"	"I"	"decide"	" We order a soft beef (barbacoa or barbecued) burrito and a beef tongue taco and settle down to eat in front of the only decorative element in the room _ a brightly painted mural of a cow with a hole punched in one corner. The chunks of tongue, moist and meaty, have a way of sneaking out of the small and chewy corn tortillas, but doused with some piquant tomatillo salsa, they're good enough to chase. The barbacoa has a strong edge of smokiness in a flour taco filled to bursting. All in all, it's a simple but very filling lunch, I decide, as my son teases me while I fumble with change, not understanding the Spanish-speaking counterman. </P> "	"nyt_eng_200204.gz"
"115264"	"you"	"decide"	" During a dinner with Indonesian journalists in Jakarta, I was taken aback when Dini Djalal, a reporter for The Far Eastern Economic Review, suddenly launched into a blistering criticism of the Fox News Channel and Bill O'Reilly. ``They say (on Fox), `We report, you decide,' but it's biased _ they decide before us,'' she said. ``They say there is no spin, but I get dizzy looking at it. I also get upset when they invite on Muslims and just insult them.'' </P> "	"nyt_eng_200205.gz"
