"pronoun"	"verb"	"context"	"filename"
"303"	"she"	"declared"	" On a sweaty afternoon in a battered Bronx neighborhood, a little girl in shorts and a turquoise shirt peered through the glass door of the brand-new Sedgwick branch library and had a vision. Spotting a gray-suited security guard, she declared, ``I see a man with a tuxedo.'' </P> "	"nyt_eng_199407.gz"
"1506"	"he"	"declared"	" Speaking softly but firmly, he declared, ``Nothing irritates me more or is more painful to me than to witness and see acts and attitudes attributed to Islam that have nothing to do with Islam, my faith and my religion.'' </P> "	"nyt_eng_199407.gz"
"1994"	"he"	"declared"	" The armed forces, one of the largest military machines in the world, are legal, he declared, the country's nuclear reactors, providing about a quarter of Japan's electricity, will not be shut down and the flag and anthem praising the emperor will remain the national symbols. </P> "	"nyt_eng_199408.gz"
"2789"	"she"	"declared"	" A call to 800-number directory assistance and a few voice-mail menus later I reached a service representative. Password issues, she declared, were the province of local service centers, since there was no way of knowing over the phone whether the machine actually happened to be mine. </P> "	"nyt_eng_199408.gz"
"4294"	"he"	"declared"	" The critics and carpers were 180 degrees off, he declared, proffering a new analysis of his original speech. </P> "	"nyt_eng_199409.gz"
"4769"	"he"	"declared"	" He offered a careful justification for military action. To permit Haiti's coup leaders to remain in place, he declared, would be to acquiesce in brutal violations of human rights, to endanger fragile democracies elsewhere in the hemisphere, and to risk the renewal of a flow of tens of thousands of desperate Haitians toward American shores. </P> "	"nyt_eng_199409.gz"
"4777"	"he"	"declared"	" To permit Haiti's coup leaders to remain in place, he declared, would be to acquiesce in brutal violations of human rights, to endanger fragile democracies elsewhere in the hemisphere, and to risk the renewal -- at a tremendous cost to American taxpayers -- of a flow of tens of thousands of desperate Haitians toward American shores. </P> "	"nyt_eng_199409.gz"
"5994"	"he"	"declared"	" ``That is a precursor of inflation,'' said Paul D. Mastroddi, a managing director at J.P. Morgan in New York. As a whole, he declared, ``it looks like the economy's booming along.'' </P> "	"nyt_eng_199410.gz"
"6513"	"he"	"declared"	" If the realization of his own agenda is admittedly incomplete, he declared, the Republican agenda, as outlined in a list of legislative goals that 300 Republican congressional candidates signed last month, would return the nation to a decade when, he said, federal spending was uncontrolled and the economy decayed. </P> "	"nyt_eng_199410.gz"
"8337"	"he"	"declared"	" Hours before, at a rally at the University of Michigan's campus in the blue-collar town of Flint, he declared, ``You know, folks, this has really turned out to be an amazing election in ways that are both wonderful and troubling.'' </P> "	"nyt_eng_199411.gz"
"8340"	"he"	"declared"	" Hours before, at a rally at the University of Michigan's campus in the blue-collar town of Flint, he declared, ``You know, folks, this has really turned out to be an amazing election in ways that are both wonderful and troubling.'' </P> "	"nyt_eng_199411.gz"
"8430"	"he"	"declared"	" By 1974 the event had grown from a match between a couple of half-serious contenders to a field of three women and 22 men. When the announcer went to the microphone to reveal the name of the winner, selected by secret ballot, he declared, ``It's a (profanity deleted) woman. ... '' </P> "	"nyt_eng_199411.gz"
"8432"	"he"	"declared"	" By 1974 the event had grown from a match between a couple of half-serious contenders to a field of three women and 22 men. When the announcer went to the microphone to reveal the name of the winner, selected by secret ballot, he declared, ``It's a (profanity deleted) woman. ... '' </P> "	"nyt_eng_199411.gz"
"9433"	"she"	"declared"	" ``If we were to lose those 10 Madagascan species,'' she says, it would be far worse than ``losing 10 from the mainland of Africa. The information they contain is qualitatively different.'' All species, she declared, ``are not created equal.'' </P> "	"nyt_eng_199411.gz"
"10611"	"he"	"declared"	" Although a few months ago it was an article of faith among ANC militants that the Inkatha hostels must be demolished, ``it's not such an issue now,'' Buthelezi said. With a confidence most Tokoza residents would like to share, he declared, ``Now, the fight is finished.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941216.0263 type=story > <HEADLINE> JETS AND CHARGERS FIND SELVES IN SIMILAR EMOTIONAL STATES </HEADLINE> <DATELINE> HEMPSTEAD, N.Y.  (BC-FBN-JETS-CHARGERS-475&AMP;ADD-NYT) </DATELINE> <TEXT> "	"nyt_eng_199412.gz"
"11373"	"he"	"declared"	" In 1962, when Fox was the chairman of the Social Action Commission of the Massachusetts Council of Rabbis, he declared, ``Sabbatarians are certainly owed the privilege of opening six days a week.'' </P> "	"nyt_eng_199412.gz"
"11797"	"he"	"declared"	" Then, apparently talking to himself, he declared, ``I can't believe I am talking with a machine.'' </P> "	"nyt_eng_199501.gz"
"12752"	"he"	"declared"	" But Gingrich asserted angrily Friday that there was no comparison between his crusade against Wright and the Democratic attacks against him because he and Wright were not ``morally equal.'' Jabbing the air with his finger, he declared, ``Jim Wright was a crook!'' </P> "	"nyt_eng_199501.gz"
"13801"	"he"	"declared"	" The solution for France, he declared, was to ``adopt legislation similar to America's by restoring to employers complete freedom to hire and fire as necessity dictates and by drastically reducing the social security costs that discourage employers from increasing their work force.'' </P> "	"nyt_eng_199502.gz"
"13804"	"he"	"declared"	" The solution for France, he declared, was to ``adopt legislation similar to America's by restoring to employers complete freedom to hire and fire as necessity dictates and by drastically reducing the social security costs that discourage employers from increasing their work force.'' </P> "	"nyt_eng_199502.gz"
"15495"	"he"	"declared"	" ``I do not think the American people expect or support these radical right-wing measures that are coming out of these House committees,'' the president said. Expressing his hope that the Senate would serve as a brake on the Republican juggernaut, he declared, ``We've got a constitutional system and we've got a chance to see it work.'' </P> "	"nyt_eng_199502.gz"
"15543"	"they"	"declared"	" I think this Russian impulse should be nurtured. The problem with U.S. policy toward Russia is that in order to persuade Congress to give aid to Moscow, Presidents Bush and Clinton oversold the relationship. Our aid to Russia, they declared, was intended to make Russia just like us. </P> "	"nyt_eng_199502.gz"
"19851"	"he"	"declared"	" Montana, he declared, was simply ``the greatest football player of all time.'' </P> "	"nyt_eng_199504.gz"
"19853"	"he"	"declared"	" Montana, he declared, was simply ``the greatest football player of all time.'' </P> "	"nyt_eng_199504.gz"
"19855"	"he"	"declared"	" On welfare, he declared, ``We all know what we need,'' referring to time limits for welfare recipients, strict work requirements, tough child support enforcement and more flexibility for the states to experiment. </P> "	"nyt_eng_199504.gz"
"20796"	"it"	"declared"	" The official poverty levels are adjusted each year for increases in consumer prices, so they ``represent the same purchasing power now as they did 30 years ago,'' the panel said. But, it declared, the poverty thresholds have not kept pace with improvements in the American standard of living. Indeed, it said, simply updating the thresholds for inflation ``ignores changes in living standards over time.'' </P> "	"nyt_eng_199504.gz"
"22619"	"she"	"declared"	" Laughing wistfully, she declared, ``I would have opened it.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950519.0237 type=story > <HEADLINE> WHERE MANDARIN IS READY TO WEAR </HEADLINE> <DATELINE> NEW YORK (BC-MANDARIN-PROM-FASHION-ART-$ADV21-NYT) </DATELINE> <TEXT> "	"nyt_eng_199505.gz"
"22783"	"she"	"declared"	" Laughing wistfully, she declared, ``I would have opened it.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950522.0085 type=story > <HEADLINE> TANGLED IN THE WEB? TO SURF THE 'NET YOU NEED A BOARD </HEADLINE> <DATELINE>  (BC-INTERNET-HOWTO-TEX) </DATELINE> <TEXT> "	"nyt_eng_199505.gz"
"25705"	"she"	"declared"	" After being told this was not just a temporary situation, Ms. Balaguer's solution was to find a substitute seed in the same product line to enter into the system on the spot. With the aid of a table in her binder that produces random numbers and with some rapid-fire pointing at rows of seed packets, the answer emerged in less than a minute. From now on, she declared, ``we'll use pampas grass'' in the index. </P> "	"nyt_eng_199506.gz"
