"pronoun"	"verb"	"context"	"filename"
"6593"	"he"	"declares"	" ``Can't I just play baseball?'' Joe, portrayed by Jason Workman, asks plaintively -- implying perhaps that he has sold his soul a second time. The only endorsement that excites him is Wheaties because, he declares, ``I eat Wheaties!'' </P> "	"nyt_eng_199410.gz"
"7529"	"he"	"declares"	" That's why author Dan Jenkins, whose writings on golf are well known, says the sport will never again be a private domain of the rich. No longer, he declares, is it a question of class and hierarchy. </P> "	"nyt_eng_199410.gz"
"26689"	"he"	"declares"	" After some hesitation, he declares, ``I know if I were in his (Loving's) situation, I would have wanted it to end a long time ago. If I were in his shoes, I would have done the same thing.'' </P> "	"nyt_eng_199506.gz"
"26721"	"he"	"declares"	" After some hesitation, he declares, ``I know if I were in his (Loving's) situation, I would have wanted it to end a long time ago. If I were in his shoes, I would have done the same thing.'' </P> "	"nyt_eng_199506.gz"
"33330"	"he"	"declares"	" But Phillips is undaunted. One way or another, he declares, he will press on. His lawyer, J. Blair Richardson, even suggests that the best way to put an end to the confrontation would be for Donnelley to hire Phillips to overhaul Metromail. </P> "	"nyt_eng_199509.gz"
"36484"	"she"	"declares"	" The film uses a 1989 taped interview with Miss Ling (who later refused to be reinterviewed), weeping copiously as she describes her belief that bloodshed will be the inevitable upshot of confrontation. It is the only way, she declares, that the people will learn the oppressive nature of their government. </P> "	"nyt_eng_199510.gz"
"38770"	"he"	"declares"	" To opponents of the communist government whom he is now trying to woo, he declares, ``There were many mistakes, absurdities, wrongdoings and even crimes.'' </P> "	"nyt_eng_199511.gz"
"43054"	"he"	"declares"	" At another, he declares, ``Look at this! They just don't get it!'' Ostrofsky has taken one of those why-didn't-someone-do-this-before ideas and run with it. The Houston native has created a trade show aimed at home computer buyers and taken it on the road. </P> "	"nyt_eng_199512.gz"
"43217"	"he"	"declares"	" At another, he declares, ``Look at this! They just don't get it!'' Ostrofsky has taken one of those why-didn't-someone-do-this-before ideas and run with it. The Houston native has created a trade show aimed at home computer buyers and taken it on the road. </P> "	"nyt_eng_199512.gz"
"53669"	"she"	"declares"	" Before embarking on their journey, Mel, Nancy and Tina visit his adoptive parents (Mary Tyler Moore and George Segal, exhibiting a finely sifted neuroticism worthy of ``Seinfeld''). Moore is especially upset by her son's search for his roots. Eyeing the ever-earnest Tina suspiciously, she declares, ``This woman strikes me as very dangerous.'' </P> "	"nyt_eng_199603.gz"
"55900"	"he"	"declares"	" PANEL FOUR: Before Speed can gasp in wonder, Typo tosses a spent flashbulb onto a strategic spot in the carpet pattern, unleashing a deadly but misdirected assortment of flying knives, flames, arrows and venomous spiders. Observing a single telltale bleached hair lodged in the doorjamb, he declares, ``Split ends! Just as I thought, Boss! This is Features Editor Hyperba Lee's handiwork! She is indeed a dangerous rival when scorned!'' </P> "	"nyt_eng_199604.gz"
"55902"	"he"	"declares"	" PANEL FOUR: Before Speed can gasp in wonder, Typo tosses a spent flashbulb onto a strategic spot in the carpet pattern, unleashing a deadly but misdirected assortment of flying knives, flames, arrows and venomous spiders. Observing a single telltale bleached hair lodged in the doorjamb, he declares, ``Split ends! Just as I thought, Boss! This is Features Editor Hyperba Lee's handiwork! She is indeed a dangerous rival when scorned!'' </P> "	"nyt_eng_199604.gz"
"55903"	"he"	"declares"	" PANEL FOUR: Before Speed can gasp in wonder, Typo tosses a spent flashbulb onto a strategic spot in the carpet pattern, unleashing a deadly but misdirected assortment of flying knives, flames, arrows and venomous spiders. Observing a single telltale bleached hair lodged in the doorjamb, he declares, ``Split ends! Just as I thought, Boss! This is Features Editor Hyperba Lee's handiwork! She is indeed a dangerous rival when scorned!'' </P> "	"nyt_eng_199604.gz"
"55904"	"he"	"declares"	" PANEL FOUR: Before Speed can gasp in wonder, Typo tosses a spent flashbulb onto a strategic spot in the carpet pattern, unleashing a deadly but misdirected assortment of flying knives, flames, arrows and venomous spiders. Observing a single telltale bleached hair lodged in the doorjamb, he declares, ``Split ends! Just as I thought, Boss! This is Features Editor Hyperba Lee's handiwork! She is indeed a dangerous rival when scorned!'' </P> "	"nyt_eng_199604.gz"
