"pronoun"	"verb"	"context"	"filename"
"491"	"we"	"did"	" ``My sister got flooded out Tuesday, so we brought all her stuff over to my house, my brother's stuff too,'' said Bessie Reeves, as she sat, swatting away mosquitos, on a metal chair outside a smoke-filled Club Del Rio, in a low-income area near downtown on Friday night. ``We got it all in, then they said we were about to get it, too. Sure enough, we did, and everything is sitting right there in that brown water. Ain't nothing you can do. When that water wants to come, it's going to come.'' </P> "	"nyt_eng_199407.gz"
"789"	"I"	"did"	" If it sounds as if I'm rushing to a conclusion, well, that's realistic representation for you. Truthfully, I didn't much want to go on (I LIKE Sag Harbor) but for the sake of completeness, I did, crossing the South Fork into East Hampton and then bolting straight east along Route 27, a k a the Montauk Highway, through picturesque Amagansett and out onto the long, windswept flats. </P> "	"nyt_eng_199407.gz"
"792"	"I"	"did"	" If it sounds as if I'm rushing to a conclusion, well, that's realistic representation for you. Truthfully, I didn't much want to go on (I LIKE Sag Harbor) but for the sake of completeness, I did, crossing the South Fork into East Hampton and then bolting straight east along Route 27, a k a the Montauk Highway, through picturesque Amagansett and out onto the long, windswept flats. </P> "	"nyt_eng_199407.gz"
"1038"	"they"	"did"	" Well, they did, and he didn't. The reporters were gentle, and Allen's answers were calm and collected. </P> "	"nyt_eng_199407.gz"
"2601"	"I"	"did"	" ``Both of us got attorneys -- first she did, then because she did, I did,'' said Linda Estabrook, a resident of the Hartford area, recalling the collapse of her relationship several years ago and the ensuing fight over the home that she and her partner had bought. </P> "	"nyt_eng_199408.gz"
"2617"	"I"	"did"	" ``Both of us got attorneys -- first she did, then because she did, I did,'' said Linda Estabrook, a resident of the Hartford area, recalling the collapse of her relationship several years ago and the ensuing fight over the home that she and her partner had bought. </P> "	"nyt_eng_199408.gz"
"2629"	"I"	"did"	" But those are about the only products to be excluded. Along with the expected T-shirts, sweats and posters, the promoters have licensed an official Woodstock '94 condom. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940811.0383 type=advis > <DATELINE>  (BC-PHOTO-FULL-UPDATE-NYT) </DATELINE> <TEXT> ATTENTION EDITORS: The following photos are part of tonight's New York Times Photo package moving: 8/11/94.   NYT Picture clients will automatically receive these photos via AP's PhotoExpress or may download them from Wieck Photo Database in Dallas at 214-416-3686. Non-clients can make individual purchase by calling 212-556-4204.   (NYT14) UNDATED -- August 11, 1994 -- MEXICO-ELECTION, 8-11 -- The new face of MexicoUs long-ruling Institutional Revolutionary Party is embodied in Jaime Martinez Veloz, center, a candidate for Congress from Tijuana. At 40 he is relatively young, and as an architect he does not come from the unions that produced many PRI candidates. But critics charge that his past as a local head of an anti-poverty program makes him little different from the PRIUs old-line patronage dispensers. (Librado Romero/New York Times Photo)   (NYT13) LOS ANGELES -- August 11, 1994 -- JUROR-IDENTITY-LAW, 8-11 -- After his wife served on a jury which convicted a gang member of murder, Judge Philip K. Mautino of the Municipal Court in Los Cerritos became aware of jurorsU fears. Now, he has decided that jurors should be allowed to keep their identities secret. ``The average person does not want to have dealings with violent people,'' he said. ``But the juror finds himself thrust into their focus.'' (Mojgan B. Azimi/New York Times Photo)   (NYT12) NEW YORK -- August 11, 1994 -- SENIORITY-LAW-COLUMN, 8-11 -- In a 60-year career, Edith I. Spivak has collected property taxes, penalties and notoriety. There is a temptation to call Ms. Spivak, who has worked for nine mayors and 21 corporation counsels, an institution. But institutions are often sluggish creatures, and sluggishness doesn't suit her at all. (Steve Hart/New York Times Photo)   (NYT11) HARTFORD, Conn. -- August 11, 1994 -- GAY-DIVORCE-LAW, 8-11 -- Linda M. Estabrook, foreground, with Margaret M. Casella, the lawyer who handled the collapse of her relationship and the ensuing legal battle over the home she and her partner had bought. ``Both of us got attorneys - first she did, then because she did, I did,'' said Ms Estabrook, who also noted that when the lawyers intervened, the tension escalated. (George Ruhe/New York Times Photos)   (NYT10) LONDON -- August 11, 1994 -- BRITAIN-NONWHITE, 8-11 -- Rap stars Dave Watts, left, and Haq Newaz Qureshi in West London near their office. ``All the time I'd be apologizing,'' said the 31-year-old Qureshi. ``I'd be saying, 'Oh, I don't eat curry, I love fish and chips.' You couldn't even go by your own name because people said it was too hard to pronounce.'' (Jonathan Player/New York Times Photo)   (NYT9) NASHUA, New Hampshire -- August 11, 1994 -- CYBERSPACE-SECURITY, 8-11 -- A system from the Net Market Co. allows credit card shopping on the Internet in total privacy. Net Market's chief executive, Daniel M. Kohn, foreground, worked at the companyUs office in Nashua, N.H. Behind him, from left, were the president, Roger Lee; program developer, Mark Birmingham; senior program developer, Guy H. T. Haskin, and chief information officer, Eiji Hirai. (MacArther S. McBurney/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH ALLMON-PROFILE BY LESLIE EATON   (NYT8) BETHESDA, Maryland -- August 11, 1994 -- ALLMON-PROFILE, 8-11 -- Charles Allmon, guru and fund manager, may favor low-risk investing, but heUs still able to afford four homes, including this one in Bethesda, Md. ``Twenty-five years ago, I would have been running with the crowd,'' he said. ``But the more years of experience you have in this business, the more valuable you are.'' (Kirsten Bremmer/New York Times Photo)   (NYT7) NEW YORK -- August 11, 1994 -- FRAN-LEBOWITZ-PROFILE, 8-8 -- Fran Lebowitz, the 43-year-old author, views writing as ``a rarefied form of a tantrum.'' Smoking is one topic on a stunningly long list of things that concern the professionally deadpan author. (Fred R. Conrad/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH UKRAINE-WARSHIP BY JILL BARSHAY   (NYT6) SEVASTOPOL, Ukraine -- August 11, 1994 -- UKRAINE-WARSHIP, 8-11 -- For two days last month, a battleship docked at Sevastopol - a port city on the Black Sea - was transformed into a daring and provocative post-Soviet art gallery. Illya Chichkan's pickled mutant fetus, upper left, as a metaphor for war, on board the Ukrainian battleship Slavutich; a sailor swabs a decorated deck; Arsen Savadov and Yury Senchenko's headless statue in a tutu, right, an escape from tensions between Ukraine and Russia. (James Hill/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH SEAL-MUSIC BY SIMON REYNOLDS   (NYT5) LONDON -- August 11, 1994 -- SEAL-MUSIC-CLR, 8-11 -- Of Nigerian parentage, but born and bred in London, Seal (whose full name is Sealhenry Samuels) broke through to stardom in 1991 with hits like ``Crazy'' and ``Future Love Paradise'' and a debut album, ``Seal,'' that sold three million copies world wide. After a three year hiatus he is back with his second album also called ``Seal.'' (Jonathan Player/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH MADISON-MOVIES BY ANN HORNADAY   (NYT4) UNDATED -- August 11, 1994 -- MADISON-MOVIES, 8-11 -- The filming of ``The Bridges of Madison County'' has been a boom for this quaint and stately region of south central Iowa. The New York Times best-selling novel has already increased local retail business by up to 30 percent. This is a piece of the Roseman Bridge, near Winterset, Iowa, where the fictional Robert and Francesca had their fling. (Gary Fandel/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH AMSTERDAM-THEATER BY DAVID W. DUNLAP   (NYT3) NEW YORK -- August 11, 1994 -- AMSTERDAM-THEATER-3, 8-11 -- After the New Amsterdam Theater was turned into a movie house in 1937, the 42nd Street entrance was stripped of decoration. This is the facade as it appears today. (Fred R. Conrad/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH AMSTERDAM-THEATER BY DAVID W. DUNLAP   (NYT2) NEW YORK -- August 11, 1994 -- AMSTERDAM-THEATER-CLR-2, 8-11 -- Most theaters have only a narrow passage at the back of the orchestra but the New Amsterdam has this grand promenade with a rounded series of vaults and arched openings through which tantalizing vistas can be glimpsed. (Fred R. Conrad/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH AMSTERDAM-THEATER BY DAVID W. DUNLAP   (NYT1) NEW YORK -- August 11, 1994 -- AMSTERDAM-THEATER-CLR-1, 8-11 -- Its faded beauty still aglow, the 91-year old New Amsterdam Theater, just west of Times Square in New York, prepares for Disney's plan: lease the New Amsterdam from New York State for 49 years, restore and modernize the two-balcony house with the help of a $21 million low-interest loan, increase seating to 1,810 and live stage productions. (Fred R. Conrad/New York Times Photo)   NEW YORK TIMES NEWS SERVICE  </TEXT> </DOC> <DOC id=NYT_ENG_19940811.0384 type=advis > <DATELINE>  (BC-PHOTO-FULL-UPDATE-NYT) </DATELINE> <TEXT> ATTENTION EDITORS: The following photos are part of tonight's New York Times Photo package moving: 8/11/94.   NYT Picture clients will automatically receive these photos via AP's PhotoExpress or may download them from Wieck Photo Database in Dallas at 214-416-3686. Non-clients can make individual purchase by calling 212-556-4204.   (NYT14) UNDATED -- August 11, 1994 -- MEXICO-ELECTION, 8-11 -- The new face of MexicoUs long-ruling Institutional Revolutionary Party is embodied in Jaime Martinez Veloz, center, a candidate for Congress from Tijuana. At 40 he is relatively young, and as an architect he does not come from the unions that produced many PRI candidates. But critics charge that his past as a local head of an anti-poverty program makes him little different from the PRIUs old-line patronage dispensers. (Librado Romero/New York Times Photo)   (NYT13) LOS ANGELES -- August 11, 1994 -- JUROR-IDENTITY-LAW, 8-11 -- After his wife served on a jury which convicted a gang member of murder, Judge Philip K. Mautino of the Municipal Court in Los Cerritos became aware of jurorsU fears. Now, he has decided that jurors should be allowed to keep their identities secret. ``The average person does not want to have dealings with violent people,'' he said. ``But the juror finds himself thrust into their focus.'' (Mojgan B. Azimi/New York Times Photo)   (NYT12) NEW YORK -- August 11, 1994 -- SENIORITY-LAW-COLUMN, 8-11 -- In a 60-year career, Edith I. Spivak has collected property taxes, penalties and notoriety. There is a temptation to call Ms. Spivak, who has worked for nine mayors and 21 corporation counsels, an institution. But institutions are often sluggish creatures, and sluggishness doesn't suit her at all. (Steve Hart/New York Times Photo)   (NYT11) HARTFORD, Conn. -- August 11, 1994 -- GAY-DIVORCE-LAW, 8-11 -- Linda M. Estabrook, foreground, with Margaret M. Casella, the lawyer who handled the collapse of her relationship and the ensuing legal battle over the home she and her partner had bought. ``Both of us got attorneys - first she did, then because she did, I did,'' said Ms Estabrook, who also noted that when the lawyers intervened, the tension escalated. (George Ruhe/New York Times Photos)   (NYT10) LONDON -- August 11, 1994 -- BRITAIN-NONWHITE, 8-11 -- Rap stars Dave Watts, left, and Haq Newaz Qureshi in West London near their office. ``All the time I'd be apologizing,'' said the 31-year-old Qureshi. ``I'd be saying, 'Oh, I don't eat curry, I love fish and chips.' You couldn't even go by your own name because people said it was too hard to pronounce.'' (Jonathan Player/New York Times Photo)   (NYT9) NASHUA, New Hampshire -- August 11, 1994 -- CYBERSPACE-SECURITY, 8-11 -- A system from the Net Market Co. allows credit card shopping on the Internet in total privacy. Net Market's chief executive, Daniel M. Kohn, foreground, worked at the companyUs office in Nashua, N.H. Behind him, from left, were the president, Roger Lee; program developer, Mark Birmingham; senior program developer, Guy H. T. Haskin, and chief information officer, Eiji Hirai. (MacArther S. McBurney/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH ALLMON-PROFILE BY LESLIE EATON   (NYT8) BETHESDA, Maryland -- August 11, 1994 -- ALLMON-PROFILE, 8-11 -- Charles Allmon, guru and fund manager, may favor low-risk investing, but heUs still able to afford four homes, including this one in Bethesda, Md. ``Twenty-five years ago, I would have been running with the crowd,'' he said. ``But the more years of experience you have in this business, the more valuable you are.'' (Kirsten Bremmer/New York Times Photo)   (NYT7) NEW YORK -- August 11, 1994 -- FRAN-LEBOWITZ-PROFILE, 8-8 -- Fran Lebowitz, the 43-year-old author, views writing as ``a rarefied form of a tantrum.'' Smoking is one topic on a stunningly long list of things that concern the professionally deadpan author. (Fred R. Conrad/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH UKRAINE-WARSHIP BY JILL BARSHAY   (NYT6) SEVASTOPOL, Ukraine -- August 11, 1994 -- UKRAINE-WARSHIP, 8-11 -- For two days last month, a battleship docked at Sevastopol - a port city on the Black Sea - was transformed into a daring and provocative post-Soviet art gallery. Illya Chichkan's pickled mutant fetus, upper left, as a metaphor for war, on board the Ukrainian battleship Slavutich; a sailor swabs a decorated deck; Arsen Savadov and Yury Senchenko's headless statue in a tutu, right, an escape from tensions between Ukraine and Russia. (James Hill/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH SEAL-MUSIC BY SIMON REYNOLDS   (NYT5) LONDON -- August 11, 1994 -- SEAL-MUSIC-CLR, 8-11 -- Of Nigerian parentage, but born and bred in London, Seal (whose full name is Sealhenry Samuels) broke through to stardom in 1991 with hits like ``Crazy'' and ``Future Love Paradise'' and a debut album, ``Seal,'' that sold three million copies world wide. After a three year hiatus he is back with his second album also called ``Seal.'' (Jonathan Player/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH MADISON-MOVIES BY ANN HORNADAY   (NYT4) UNDATED -- August 11, 1994 -- MADISON-MOVIES, 8-11 -- The filming of ``The Bridges of Madison County'' has been a boom for this quaint and stately region of south central Iowa. The New York Times best-selling novel has already increased local retail business by up to 30 percent. This is a piece of the Roseman Bridge, near Winterset, Iowa, where the fictional Robert and Francesca had their fling. (Gary Fandel/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH AMSTERDAM-THEATER BY DAVID W. DUNLAP   (NYT3) NEW YORK -- August 11, 1994 -- AMSTERDAM-THEATER-3, 8-11 -- After the New Amsterdam Theater was turned into a movie house in 1937, the 42nd Street entrance was stripped of decoration. This is the facade as it appears today. (Fred R. Conrad/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH AMSTERDAM-THEATER BY DAVID W. DUNLAP   (NYT2) NEW YORK -- August 11, 1994 -- AMSTERDAM-THEATER-CLR-2, 8-11 -- Most theaters have only a narrow passage at the back of the orchestra but the New Amsterdam has this grand promenade with a rounded series of vaults and arched openings through which tantalizing vistas can be glimpsed. (Fred R. Conrad/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH AMSTERDAM-THEATER BY DAVID W. DUNLAP   (NYT1) NEW YORK -- August 11, 1994 -- AMSTERDAM-THEATER-CLR-1, 8-11 -- Its faded beauty still aglow, the 91-year old New Amsterdam Theater, just west of Times Square in New York, prepares for Disney's plan: lease the New Amsterdam from New York State for 49 years, restore and modernize the two-balcony house with the help of a $21 million low-interest loan, increase seating to 1,810 and live stage productions. (Fred R. Conrad/New York Times Photo)   NEW YORK TIMES NEWS SERVICE  </TEXT> </DOC> <DOC id=NYT_ENG_19940811.0385 type=advis > <DATELINE>  (BC-PHOTO-FULL-UPDATE-NYT) </DATELINE> <TEXT> ATTENTION EDITORS: The following photos are part of tonight's New York Times Photo package moving: 8/11/94.   NYT Picture clients will automatically receive these photos via AP's PhotoExpress or may download them from Wieck Photo Database in Dallas at 214-416-3686. Non-clients can make individual purchase by calling 212-556-4204.   (NYT14) UNDATED -- August 11, 1994 -- MEXICO-ELECTION, 8-11 -- The new face of MexicoUs long-ruling Institutional Revolutionary Party is embodied in Jaime Martinez Veloz, center, a candidate for Congress from Tijuana. At 40 he is relatively young, and as an architect he does not come from the unions that produced many PRI candidates. But critics charge that his past as a local head of an anti-poverty program makes him little different from the PRIUs old-line patronage dispensers. (Librado Romero/New York Times Photo)   (NYT13) LOS ANGELES -- August 11, 1994 -- JUROR-IDENTITY-LAW, 8-11 -- After his wife served on a jury which convicted a gang member of murder, Judge Philip K. Mautino of the Municipal Court in Los Cerritos became aware of jurorsU fears. Now, he has decided that jurors should be allowed to keep their identities secret. ``The average person does not want to have dealings with violent people,'' he said. ``But the juror finds himself thrust into their focus.'' (Mojgan B. Azimi/New York Times Photo)   (NYT12) NEW YORK -- August 11, 1994 -- SENIORITY-LAW-COLUMN, 8-11 -- In a 60-year career, Edith I. Spivak has collected property taxes, penalties and notoriety. There is a temptation to call Ms. Spivak, who has worked for nine mayors and 21 corporation counsels, an institution. But institutions are often sluggish creatures, and sluggishness doesn't suit her at all. (Steve Hart/New York Times Photo)   (NYT11) HARTFORD, Conn. -- August 11, 1994 -- GAY-DIVORCE-LAW, 8-11 -- Linda M. Estabrook, foreground, with Margaret M. Casella, the lawyer who handled the collapse of her relationship and the ensuing legal battle over the home she and her partner had bought. ``Both of us got attorneys - first she did, then because she did, I did,'' said Ms Estabrook, who also noted that when the lawyers intervened, the tension escalated. (George Ruhe/New York Times Photos)   (NYT10) LONDON -- August 11, 1994 -- BRITAIN-NONWHITE, 8-11 -- Rap stars Dave Watts, left, and Haq Newaz Qureshi in West London near their office. ``All the time I'd be apologizing,'' said the 31-year-old Qureshi. ``I'd be saying, 'Oh, I don't eat curry, I love fish and chips.' You couldn't even go by your own name because people said it was too hard to pronounce.'' (Jonathan Player/New York Times Photo)   (NYT9) NASHUA, New Hampshire -- August 11, 1994 -- CYBERSPACE-SECURITY, 8-11 -- A system from the Net Market Co. allows credit card shopping on the Internet in total privacy. Net Market's chief executive, Daniel M. Kohn, foreground, worked at the companyUs office in Nashua, N.H. Behind him, from left, were the president, Roger Lee; program developer, Mark Birmingham; senior program developer, Guy H. T. Haskin, and chief information officer, Eiji Hirai. (MacArther S. McBurney/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH ALLMON-PROFILE BY LESLIE EATON   (NYT8) BETHESDA, Maryland -- August 11, 1994 -- ALLMON-PROFILE, 8-11 -- Charles Allmon, guru and fund manager, may favor low-risk investing, but heUs still able to afford four homes, including this one in Bethesda, Md. ``Twenty-five years ago, I would have been running with the crowd,'' he said. ``But the more years of experience you have in this business, the more valuable you are.'' (Kirsten Bremmer/New York Times Photo)   (NYT7) NEW YORK -- August 11, 1994 -- FRAN-LEBOWITZ-PROFILE, 8-8 -- Fran Lebowitz, the 43-year-old author, views writing as ``a rarefied form of a tantrum.'' Smoking is one topic on a stunningly long list of things that concern the professionally deadpan author. (Fred R. Conrad/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH UKRAINE-WARSHIP BY JILL BARSHAY   (NYT6) SEVASTOPOL, Ukraine -- August 11, 1994 -- UKRAINE-WARSHIP, 8-11 -- For two days last month, a battleship docked at Sevastopol - a port city on the Black Sea - was transformed into a daring and provocative post-Soviet art gallery. Illya Chichkan's pickled mutant fetus, upper left, as a metaphor for war, on board the Ukrainian battleship Slavutich; a sailor swabs a decorated deck; Arsen Savadov and Yury Senchenko's headless statue in a tutu, right, an escape from tensions between Ukraine and Russia. (James Hill/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH SEAL-MUSIC BY SIMON REYNOLDS   (NYT5) LONDON -- August 11, 1994 -- SEAL-MUSIC-CLR, 8-11 -- Of Nigerian parentage, but born and bred in London, Seal (whose full name is Sealhenry Samuels) broke through to stardom in 1991 with hits like ``Crazy'' and ``Future Love Paradise'' and a debut album, ``Seal,'' that sold three million copies world wide. After a three year hiatus he is back with his second album also called ``Seal.'' (Jonathan Player/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH MADISON-MOVIES BY ANN HORNADAY   (NYT4) UNDATED -- August 11, 1994 -- MADISON-MOVIES, 8-11 -- The filming of ``The Bridges of Madison County'' has been a boom for this quaint and stately region of south central Iowa. The New York Times best-selling novel has already increased local retail business by up to 30 percent. This is a piece of the Roseman Bridge, near Winterset, Iowa, where the fictional Robert and Francesca had their fling. (Gary Fandel/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH AMSTERDAM-THEATER BY DAVID W. DUNLAP   (NYT3) NEW YORK -- August 11, 1994 -- AMSTERDAM-THEATER-3, 8-11 -- After the New Amsterdam Theater was turned into a movie house in 1937, the 42nd Street entrance was stripped of decoration. This is the facade as it appears today. (Fred R. Conrad/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH AMSTERDAM-THEATER BY DAVID W. DUNLAP   (NYT2) NEW YORK -- August 11, 1994 -- AMSTERDAM-THEATER-CLR-2, 8-11 -- Most theaters have only a narrow passage at the back of the orchestra but the New Amsterdam has this grand promenade with a rounded series of vaults and arched openings through which tantalizing vistas can be glimpsed. (Fred R. Conrad/New York Times Photo)   ADVANCE FOR SUN. AUG. 14 WITH AMSTERDAM-THEATER BY DAVID W. DUNLAP   (NYT1) NEW YORK -- August 11, 1994 -- AMSTERDAM-THEATER-CLR-1, 8-11 -- Its faded beauty still aglow, the 91-year old New Amsterdam Theater, just west of Times Square in New York, prepares for Disney's plan: lease the New Amsterdam from New York State for 49 years, restore and modernize the two-balcony house with the help of a $21 million low-interest loan, increase seating to 1,810 and live stage productions. (Fred R. Conrad/New York Times Photo)   NEW YORK TIMES NEWS SERVICE  </TEXT> </DOC> <DOC id=NYT_ENG_19940811.0386 type=story > <HEADLINE> AT WOODSTOCK '94, WILL THE ODDS LET THE BIG BUCKS ROLL THIS TIME? </HEADLINE> <DATELINE>  (BC-WOODSTOCK-BUCKS-2TAKES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199408.gz"
"3448"	"they"	"did"	" For whatever reason, they did, and the children found a place in the big, generous hearts of Deborah and Dwight Berry. </P> "	"nyt_eng_199408.gz"
"3880"	"he"	"did"	" When the media hoard finally cleared out of the locker room after last season's Rose Bowl, Stokes and Cook were the only players remaining. With the NFL beckoning, who knew where Stokes would be this season. Apparently, he did, turning to console Cook. </P> "	"nyt_eng_199409.gz"
"6771"	"I"	"did"	" ``I didn't help influence, I did,'' she told the investigators. ``I take every bit of credit for it. I saved the company $7 million, no question about it.'' </P> "	"nyt_eng_199410.gz"
