"pronoun"	"verb"	"context"	"filename"
"2840"	"I"	"didn't"	" Well, I did a little homework on it and there are -- actually, I didn't, The Urban Institute did -- did the homework, and said the figure of 37 million uninsured is a snapshot at one point. A study that found that most of the people who lose their insurance get it back within a very short period of time. The study found that half of the uninsured go without coverage for less than five months. That's interesting. </P> "	"nyt_eng_199408.gz"
"5382"	"you"	"didn't"	" ``No, Mom, you didn't,'' they insist. </P> "	"nyt_eng_199409.gz"
"8199"	"he"	"didn't"	" ``No, he didn't,'' said Van Exel, suggesting the passing will be forthcoming. ``It's hard, though, when you're on fire. And when the fellas on your team keep telling you to shoot it, you've pretty much got to keep putting it up. Especially if it keeps going in.'' </P> "	"nyt_eng_199411.gz"
"8200"	"he"	"didn't"	" ``No, he didn't,'' said Van Exel, suggesting the passing will be forthcoming. ``It's hard, though, when you're on fire. And when the fellas on your team keep telling you to shoot it, you've pretty much got to keep putting it up. Especially if it keeps going in.'' </P> "	"nyt_eng_199411.gz"
"10847"	"I"	"didn't"	" ``No, I didn't,'' he said. </P> "	"nyt_eng_199412.gz"
"15020"	"he"	"didn't"	" No, he didn't, Janssen told a pool reporter. </P> "	"nyt_eng_199502.gz"
"17223"	"she"	"didn't"	" ``Luckily for me, she didn't, and I managed to limp in.'' </P> "	"nyt_eng_199503.gz"
"19868"	"it"	"didn't"	" ``Well, it didn't,'' repeated Duncan abruptly, ``do you remember Lost Laysen?'' </P> "	"nyt_eng_199504.gz"
"21590"	"it"	"didn't"	" The Guard had ordered the group to disband, it didn't, and the killing started. The horror of watching our troops shoot our kids was lost on many of our countrymen. In fact, there were many in the country who thought the shootings were justified. </P> "	"nyt_eng_199505.gz"
"23283"	"he"	"didn't"	" ``To the best of my knowledge, he didn't,'' Yamauchi said. </P> "	"nyt_eng_199505.gz"
"27396"	"I"	"didn't"	" ``It was always a dream of mine to play for Boston,'' Lawton recalled the other day, a dozen years after he was the rage of the National Hockey League draft. ``The disappointing part was, I didn't do very well when I got there. I was capable of doing a better job, but for some reason, I didn't, and I regret that _ because, like I say, that was my dream, the Bruins. </P> "	"nyt_eng_199507.gz"
"31732"	"I"	"didn't"	" ``It was so quick,'' he explained, ``I didn't even know the (takes the Lord's name in vain) thing was an uppercut. I didn't, I didn't, I didn't. He's right on you. He's strong as a freakin' bull. But I never gave a thought of fighting him any other way. I gotta beat force with force.'' </P> "	"nyt_eng_199508.gz"
"31867"	"they"	"didn't"	" Toward the end of the interview, his phone rang. It was a friend from California, calling to say she had just been admitted to the hospital out there. ``She called last night and said she had a terrific fever and felt awful. I told her to get down to her HMO clinic and get a chest X-ray and have them read it that night. Well, they didn't, and today they called her up and said she had pneumonia and they're admitting her to the hospital. I knew they were going to blow her off; she should have made them read it last night. Well, she's young and strong. If she (was) 70, and they sent her home like that, chances are they'd find her dead.'' </P> "	"nyt_eng_199508.gz"
"39189"	"you"	"didn't"	" You don't separate from this land if you are Phillip Castillo. It raised you. It watched you run. It made you want to help people called Acoma, Hopi and Cherokee. It made you run harder when you saw a negative article, written in 1979, about your people. It made you the most hated man on campus your freshman year. Your school was nicknamed the Indians and you thought that was insensitive. The students said lighten up, you didn't, and now the nickname isn't there anymore. </P> "	"nyt_eng_199511.gz"
"43499"	"they"	"didn't"	" ``No, they didn't,'' Calipari said. </P> "	"nyt_eng_199512.gz"
"44706"	"it"	"didn't"	" No, it didn't, and imagine that. Owner Jones spends $42 million in bonus money trying to upstage the 49ers, and San Francisco gags on its champagne while being limoed to the rematch. </P> "	"nyt_eng_199601.gz"
"51706"	"I"	"didn't"	" ``No, I didn't,'' said Van Gundy. ``That's a great story.'' </P> "	"nyt_eng_199603.gz"
"53826"	"she"	"didn't"	" They did, she didn't, and with 1 minute 19 seconds left in regulation time, Wolters fouled out. That left UConn with 5-10 Jamelle Elliott, generously listed as 6 feet, as the main rebounder. With 3.1 seconds left, she fouled out, too, leaving as UConn's rebounders 6-0 Carla Berube, 6-0 Nykesha Sales and 5-11 Amy Duran. It was not enough. </P> "	"nyt_eng_199603.gz"
"53838"	"we"	"didn't"	" ``We thought we could shoot them out of (the zone defense), but as the score showed, we didn't,'' said Mississippi State senior guard Darryl Wilson, who was 6-of-13 on 3-pointers for a team-high 20 points. </P> "	"nyt_eng_199603.gz"
"59922"	"she"	"didn't"	" ``No, she didn't,'' the doctor responds quietly, leaving unsaid what the room knows. The Veteran's wait is over. </P> "	"nyt_eng_199605.gz"
"68684"	"we"	"didn't"	" After a four-month search, the New Haven firm of Neubert, Pepe &AMP; Monteith offered him a job. ``Although a large firm might have viewed his contacts as insignificant, we didn't,'' said Greg Pepe of the three-year-old, three-partner firm. ``They dovetailed nicely with our transactions and litigation practices. Doug estimated he might generate $350,000, but did $500,000.'' </P> "	"nyt_eng_199608.gz"
"68834"	"we"	"didn't"	" After a four-month search, the New Haven firm of Neubert, Pepe &AMP; Monteith offered him a job. ``Although a large firm might have viewed his contacts as insignificant, we didn't,'' said Greg Pepe of the three-year-old, three-partner firm. ``They dovetailed nicely with our transactions and litigation practices. Doug estimated he might generate $350,000, but did $500,000.'' </P> "	"nyt_eng_199608.gz"
"68882"	"we"	"didn't"	" After a four-month search, the New Haven firm of Neubert, Pepe &AMP; Monteith offered him a job. ``Although a large firm might have viewed his contacts as insignificant, we didn't,'' said Greg Pepe of the three-year-old, three-partner firm. ``They dovetailed nicely with our transactions and litigation practices. Doug estimated he might generate $350,000, but did $500,000.'' </P> "	"nyt_eng_199608.gz"
