"pronoun"	"verb"	"context"	"filename"
"12777"	"you"	"die"	" There is a Korean saying that goes: ``I die, you die, all die.'' When I repeated that to a South Korean professor, he corrected me with a frown. ``In Korean,'' he said, `` `You die' comes first.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950121.0057 type=story > <HEADLINE> SALT LAKE CITY MAY GET ITS WINTER GAMES IN 2002 </HEADLINE> <DATELINE> SALT LAKE CITY, Utah  (BC-OLY-UTAH-2TAKES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199501.gz"
"12865"	"you"	"die"	" There is a Korean saying that goes: ``I die, you die, all die.'' When I repeated that to a South Korean professor, he corrected me with a frown. ``In Korean,'' he said, `` `You die' comes first.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950123.0104 type=story > <DATELINE>  (BC-RICH-COLUMN-NYT) </DATELINE> <TEXT> "	"nyt_eng_199501.gz"
"30701"	"they"	"die"	" Laborers who try to flee are not killed by their bosses' henchmen, said Eliana da Silva, another worker _ not exactly. ``They knock the wits out of them, and if they can't stand it, they die,'' she said. ``That's happened to many people.'' </P> "	"nyt_eng_199508.gz"
"30736"	"they"	"die"	" Laborers who try to flee are not killed by their bosses' henchmen, said Eliana da Silva, another worker _ not exactly. ``They knock the wits out of them, and if they can't stand it, they die,'' she said. ``That's happened to many people.'' </P> "	"nyt_eng_199508.gz"
"30745"	"they"	"die"	" Laborers who try to flee are not killed by their bosses' henchmen, said Eliana da Silva, another worker _ not exactly. ``They knock the wits out of them, and if they can't stand it, they die,'' she said. ``That's happened to many people.'' </P> "	"nyt_eng_199508.gz"
"30776"	"they"	"die"	" Laborers who try to flee are not killed by their bosses' henchmen, said Eliana da Silva, another worker _ not exactly. ``They knock the wits out of them, and if they can't stand it, they die,'' she said. ``That's happened to many people.'' </P> "	"nyt_eng_199508.gz"
"35188"	"I"	"die"	" There was nothing the frightened boy could do but try to survive. ``Who was going to help me? I thought if I died, I die,'' he said. </P> "	"nyt_eng_199509.gz"
"39682"	"we"	"die"	" Nor does it give any ultimate meaning to life. Provine revealed that he has a brain tumor that will probably kill him within a few years, and asked what kind of ultimate meaning he can derive from that. ``We live, we die, we're gone.'' </P> "	"nyt_eng_199511.gz"
"57061"	"I"	"die"	" What makes the aging laureate run so hard? Part of it is simply that Garcia Marquez _ a short, stocky man with a bushy mustache and what one writer has called a cauliflower nose _ is bubbling over with ideas, words, images. He can't help himself. ``If I stop, I die,'' he says. </P> "	"nyt_eng_199604.gz"
"57065"	"I"	"die"	" What makes the aging laureate run so hard? Part of it is simply that Garcia Marquez _ a short, stocky man with a bushy mustache and what one writer has called a cauliflower nose _ is bubbling over with ideas, words, images. He can't help himself. ``If I stop, I die,'' he says. </P> "	"nyt_eng_199604.gz"
"57189"	"I"	"die"	" What makes the aging laureate run so hard? Part of it is simply that Garcia Marquez _ a short, stocky man with a bushy mustache and what one writer has called a cauliflower nose _ is bubbling over with ideas, words, images. He can't help himself. ``If I stop, I die,'' he says. </P> "	"nyt_eng_199604.gz"
"57193"	"I"	"die"	" What makes the aging laureate run so hard? Part of it is simply that Garcia Marquez _ a short, stocky man with a bushy mustache and what one writer has called a cauliflower nose _ is bubbling over with ideas, words, images. He can't help himself. ``If I stop, I die,'' he says. </P> "	"nyt_eng_199604.gz"
"87211"	"you"	"die"	" Abraha, a Tigrean, alienated many countrymen here when he traveled to Ethiopia in 1992 and then effusively praised the new government. ``Before, in Ethiopia, if you speak, you die,'' he told The Atlanta Journal-Constitution in a story after his return. ``But nobody arrests you now. I love it.'' </P> "	"nyt_eng_199702.gz"
"108548"	"you"	"die"	" Downie and Kaiser also spend some illuminating time with each of the network evening news anchors, asking Dan Rather, Peter Jennings and Tom Brokaw to watch broadcasts from their first months on the air and to compare the attention paid to national and foreign news then and now. In each case, there was currently less airtime devoted to these subjects and the stories were shorter and shallower. (Rather, for one, openly laments the losses. But, as he told the authors, if he suggested a newscast today that relied heavily on foreign news, he'd likely hear something like this: ``Dan, you cannot lead with El Salvador and take the broadcast through an inside Washington power struggle and go to a piece about Poland. ... There was a time when you could do that, 1981 was the time. But if you do it today, you die, and we die.'') </P> "	"nyt_eng_200203.gz"
"110793"	"I"	"die"	" ``If I stop working, I die,'' he once observed. ``If there's another way of life, I don't know it.'' </P> "	"nyt_eng_200203.gz"
"141110"	"you"	"die"	" We had a couple Australians on the bus coming back from the range the other day and one says, 'You shoot, you die, you come back. What in the world?'  Erickson said. </P> "	"nyt_eng_200408.gz"
"161821"	"we"	"die"	" But if the people here were once open to negotiation, the Jan. 2 incident has now left them seething. If we die, we die, spat Amba Tiria, in the village of Champakoila, on the edge of the battlefield. We will not leave our land. We're dying anyway. </P> "	"nyt_eng_200601.gz"
"161823"	"we"	"die"	" If the people here were once open to negotiation, the Jan. 2 incident has now left them seething. If we die, we die, spat Amba Tiria, in the village of Champakoila, on the edge of the battlefield. We will not leave our land. We're dying anyway. </P> "	"nyt_eng_200601.gz"
"170819"	"we"	"die"	" What arose next? Prices. When They're Playing Our Song opened in 1979, Wachtel said, the top ticket cost $27. Three years later the top ticket to Cats cost $45, a jump of 66 percent. Prices continued to rise over the next decade, albeit a bit more slowly. But they did not end up scaring people away. Shows used to say, 'OK, we get to the winter, we die,' said Emanuel Azenberg, a longtime producer and manager on Broadway who also cited the importance of new, more sophisticated accounting methods. But now you could sustain the bad winter as long as spring was coming again because of the prices. </P> "	"nyt_eng_200609.gz"
