"pronoun"	"verb"	"context"	"filename"
"9269"	"he"	"died"	" ``We checked with a rabbi, who said it was not a sin, and then we agonized over what to do, because assisted suicide was against the law,'' said Mrs. Steinbock. They obtained a prescription from their doctor for a lethal dose of medication. But just before Steinbock was set to take the pills, he died, Mrs. Steinbock said. </P> "	"nyt_eng_199411.gz"
"12843"	"she"	"died"	" ``That's why it's so strange that she's gone; it's so weird that of all the people there, she died,'' Ung said. </P> "	"nyt_eng_199501.gz"
"18591"	"she"	"died"	" Most Americans know only the broadest outlines of the life of legendary French scientist Marie Curie: She, along with her husband, Pierre, helped usher in the nuclear age by discovering the radioactive element radium. She was awarded two Nobel prizes -- one for physics and one for chemistry. And in the end, she died, poisoned by the very radiation she labored to understand. </P> "	"nyt_eng_199504.gz"
"28572"	"they"	"died"	" The new British research found that people who received early treatment suffered fewer AIDS-related infections. Yet once they became ill, they died, on average, a year sooner than those who were not treated until severe symptoms began. The overall time from acquiring infection to death was similar, the British team reported. </P> "	"nyt_eng_199507.gz"
"43316"	"she"	"died"	" Her own inabilities often drove her into a screaming rage. A physical examination at first revealed nothing. Her heart, her reflexes and metabolism appeared normal. After four and a half years, she died, poor, bed-ridden, incontinent, weak-minded and vacant. </P> "	"nyt_eng_199512.gz"
"43391"	"she"	"died"	" Her own inabilities often drove her into a screaming rage. A physical examination at first revealed nothing. Her heart, her reflexes and metabolism appeared normal. After four and a half years, she died, poor, bed-ridden, incontinent, weak-minded and vacant. </P> "	"nyt_eng_199512.gz"
"54250"	"they"	"died"	" The lack of oxygen must have finally forced the frogs out of the water (the Bible describes them getting into the palace and even into beds, ovens and larders) _ but since these amphibians can't last for long on land, they died, too. </P> "	"nyt_eng_199604.gz"
"56067"	"they"	"died"	" It is hard to say who in the group has the most rats and mice. Betty Silver said she once had 51 rats and 100 mice. ``One by one by one, they died,'' she said, and now she has none. </P> "	"nyt_eng_199604.gz"
"56246"	"they"	"died"	" It is hard to say who in the group has the most rats and mice. Betty Silver said she once had 51 rats and 100 mice. ``One by one by one, they died,'' she said, and now she has none. </P> "	"nyt_eng_199604.gz"
"84590"	"she"	"died"	" When Ted was 11 and his mother was 46, she died, leaving his father, Michael, a chemical engineering consultant, to raise him, his sister and their brothers, David, then 13, and Mark, 19. Bankrupt from the costs of his wife's medical care, Michael Kesler moved his family to East Brunswick to be closer to his office in Princeton, and began traveling in three-week spurts on business. </P> "	"nyt_eng_199701.gz"
"95008"	"they"	"died"	" The study, by Dr. Christopher Li, the lead author and a post-doctoral researcher in the Hutchinson Center's Public Health Science Division. used a tumor registry to identify 9,000 women who had gotten breast cancer in Washington between 1990 and 1998. Half the women had used tamoxifen and half had not. The women were followed until a second tumor developed, they died, or the study ended. Overall, 89 of the women who used tamoxifen developed a tumor in the opposite breast. Among non-users, 100 women did. </P> "	"nyt_eng_200107.gz"
"111578"	"you"	"died"	" Shackleton's greatest triumph was not physical, but mental. He convinced 27 men to keep moving beyond despite staggering odds. ``If you stopped, you died,'' Sturridge said. ``If they didn't act, they couldn't survive. They constantly re-found a hope and an energy to move forward.'' </P> "	"nyt_eng_200204.gz"
"151363"	"she"	"died"	" His mother was more supportive, but when Saul was 17, she died, a tragedy that he found difficult to overcome. With her death and his father's remarriage, he said, I was turned loose -- freed, in a sense: free but also stunned, like someone who survives an explosion but hasn't yet grasped what has happened. He added, It was disabling for me for a couple of years. </P> "	"nyt_eng_200504.gz"
"164548"	"he"	"died"	" My wife had an accident at my son's baseball game, and I decided on Anaheim so I could stay home, Finley said. The same day she went into the hospital, my dad had open heart surgery. Two weeks later, he died, so it was just a bad year. </P> "	"nyt_eng_200603.gz"
